,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년11월_남_40~49세,"18,834","1,427","1,528","1,084","1,163",355,"1,131",342,499,729,707,"1,193","2,094",558,"1,002","1,899",944,"2,179"
2020년11월_남_50~59세,"20,179","1,521","1,117","1,177","1,059",512,"1,427",489,642,777,839,"1,123","2,178",635,"1,084","1,742","1,163","2,694"
2020년11월_남_60~69세,"15,924","1,116",512,931,870,428,"1,433",415,571,550,658,720,"1,561",588,"1,021","1,224",945,"2,381"
2020년11월_남_70~79세,"9,267",533,286,515,463,281,860,278,355,357,417,441,"1,024",285,694,740,514,"1,224"
2020년11월_남_80~89세,"3,459",169,119,186,182,109,266,134,147,140,196,149,378,101,247,326,223,387
2020년11월_남_90~99세,309,22,6,21,23,8,19,10,17,11,18,9,38,7,26,25,13,36
2020년11월_남_100세 이상,20,4,1,1,2,1,0,3,2,3,0,0,0,0,2,1,0,0
2020년11월_여_총인구수,"119,774","7,842","7,700","6,943","7,160","2,287","7,951","2,793","3,389","5,062","5,527","7,048","13,725","3,141","7,073","11,820","6,628","13,685"
2020년11월_여_연령구간인구수,"119,774","7,842","7,700","6,943","7,160","2,287","7,951","2,793","3,389","5,062","5,527","7,048","13,725","3,141","7,073","11,820","6,628","13,685"
2020년11월_여_0~9세,"7,500",470,763,383,442,76,355,66,133,269,331,560,972,155,459,951,335,780
2020년11월_여_10~19세,"10,732",502,"1,245",579,512,136,573,118,224,406,395,830,"1,555",150,471,"1,395",521,"1,120"
2020년11월_여_20~29세,"15,156","1,473",817,771,"1,328",231,849,544,367,993,744,757,"1,433",377,896,"1,427",682,"1,467"
2020년11월_여_30~39세,"12,775","1,120",878,639,982,204,699,250,289,593,655,815,"1,287",396,767,"1,324",583,"1,294"
2020년11월_여_40~49세,"18,271","1,086","1,733","1,077","1,012",250,988,275,425,694,780,"1,304","2,379",403,930,"2,135",940,"1,860"
2020년11월_여_50~59세,"19,732","1,167",980,"1,233",987,347,"1,435",456,628,719,902,"1,101","2,316",565,"1,158","1,800","1,282","2,656"
2020년11월_여_60~69세,"17,530","1,055",651,"1,132",932,443,"1,536",493,637,603,753,795,"1,890",581,"1,199","1,328","1,083","2,419"
2020년11월_여_70~79세,"11,343",602,409,691,611,367,"1,012",364,415,482,555,572,"1,177",329,770,940,710,"1,337"
2020년11월_여_80~89세,"5,711",307,188,376,285,201,429,190,216,257,345,279,604,156,356,441,435,646
2020년11월_여_90~99세,960,57,32,57,63,29,68,33,52,43,66,35,106,27,62,76,54,100
2020년11월_여_100세 이상,64,3,4,5,6,3,7,4,3,3,1,0,6,2,5,3,3,6
