,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년02월_남_60~69세,"30,429","2,196","2,146","1,680","1,203","1,349","1,381","2,396",904,"1,143","2,090","2,464","1,923","1,182","1,756","1,466","3,345",27,"1,778"
2021년02월_남_70~79세,"14,999","1,195",816,785,532,534,598,"1,259",519,534,"1,073","1,273",987,663,924,790,"1,642",13,862
2021년02월_남_80~89세,"4,041",389,156,214,117,160,149,334,145,140,279,368,274,180,286,203,424,9,214
2021년02월_남_90~99세,399,55,12,23,18,21,21,36,15,12,20,27,17,23,18,17,36,1,27
2021년02월_남_100세 이상,65,3,2,2,0,10,4,5,2,4,5,8,5,1,4,3,5,1,1
2021년02월_여_총인구수,"235,952","20,267","18,356","13,388","8,888","12,576","11,201","17,787","7,948","9,313","13,919","17,337","13,579","10,414","12,308","11,933","23,726",131,"12,881"
2021년02월_여_연령구간인구수,"235,952","20,267","18,356","13,388","8,888","12,576","11,201","17,787","7,948","9,313","13,919","17,337","13,579","10,414","12,308","11,933","23,726",131,"12,881"
2021년02월_여_0~9세,"16,943","1,667","2,305","1,033",569,"1,413","1,245","1,087",686,973,720,804,598,745,503,609,"1,169",1,816
2021년02월_여_10~19세,"18,573","2,353","1,834","1,189","1,138","1,496",936,"1,232",519,915,837,882,645,839,611,715,"1,428",4,"1,000"
2021년02월_여_20~29세,"31,272","2,342","1,833","1,598","1,106","1,125","1,147","2,305","1,042",984,"1,896","2,598","2,392","1,395","2,181","1,780","3,768",7,"1,773"
2021년02월_여_30~39세,"36,461","2,681","3,124","2,072",950,"1,828","2,074","2,523","1,453","1,382","1,941","2,999","2,382","1,714","2,046","1,732","3,706",10,"1,844"
2021년02월_여_40~49세,"37,399","3,384","3,303","2,198","1,703","2,711","1,864","2,697","1,203","1,653","1,927","2,423","1,831","1,708","1,659","1,859","3,356",26,"1,894"
2021년02월_여_50~59세,"37,109","2,950","2,650","2,105","1,399","1,681","1,631","3,060","1,168","1,380","2,418","2,840","2,052","1,606","1,922","2,103","3,922",11,"2,211"
2021년02월_여_60~69세,"33,862","2,690","2,191","1,920","1,277","1,401","1,440","2,673","1,048","1,221","2,365","2,649","2,049","1,416","1,951","1,812","3,748",28,"1,983"
2021년02월_여_70~79세,"16,005","1,363",741,831,446,548,558,"1,494",580,537,"1,217","1,444","1,072",673,965,905,"1,741",26,864
2021년02월_여_80~89세,"6,635",679,287,350,224,261,235,587,205,206,472,562,471,265,390,344,699,4,394
2021년02월_여_90~99세,"1,502",146,84,86,71,93,70,108,34,57,112,119,77,48,66,64,169,7,91
2021년02월_여_100세 이상,191,12,4,6,5,19,1,21,10,5,14,17,10,5,14,10,20,7,11
