,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년09월_계_80~89세,"11,744",716,569,"1,484",649,891,653,864,454,486,704,544,419,330,595,470,545,561,810
2021년09월_계_90~99세,"1,526",96,90,201,89,131,87,117,61,70,75,67,51,45,70,57,74,55,90
2021년09월_계_100세 이상,67,7,0,5,4,6,4,10,5,2,4,5,3,2,1,2,4,2,1
2021년09월_남_총인구수,"186,414","10,820","15,466","15,613","10,001","17,532","8,972","16,065","8,858","11,035","8,783","8,200","6,116","5,192","9,324","9,982","7,255","5,949","11,251"
2021년09월_남_연령구간인구수,"186,414","10,820","15,466","15,613","10,001","17,532","8,972","16,065","8,858","11,035","8,783","8,200","6,116","5,192","9,324","9,982","7,255","5,949","11,251"
2021년09월_남_0~9세,"12,870",687,592,"1,366",567,"1,435",463,"1,690",690,797,261,577,425,396,590,"1,100",465,210,559
2021년09월_남_10~19세,"12,347",630,456,"1,452",468,"1,110",492,"1,548",501,784,432,570,430,360,702,915,489,270,738
2021년09월_남_20~29세,"27,418","1,521","3,123","1,693","1,569","2,935","1,285","1,754","1,231","1,712","1,675","1,061",808,641,"1,475","1,311","1,048",956,"1,620"
2021년09월_남_30~39세,"35,409","1,683","4,136","2,224","2,190","3,935","1,667","2,861","2,322","2,730","1,730","1,276",971,795,"1,550","1,675","1,019",930,"1,715"
2021년09월_남_40~49세,"28,719","1,561","2,083","2,501","1,439","2,613","1,408","3,031","1,566","1,637","1,293","1,237",971,833,"1,387","1,696","1,078",846,"1,539"
2021년09월_남_50~59세,"28,675","1,892","2,212","2,511","1,539","2,298","1,538","2,132","1,093","1,565","1,317","1,439","1,002",878,"1,474","1,499","1,231","1,034","2,021"
2021년09월_남_60~69세,"23,367","1,672","1,826","1,985","1,285","1,874","1,187","1,663",787,"1,119","1,135","1,185",909,757,"1,236","1,083","1,030",849,"1,785"
2021년09월_남_70~79세,"12,389",850,759,"1,161",649,935,660,996,472,485,621,637,431,413,655,504,656,590,915
2021년09월_남_80~89세,"4,785",290,250,642,273,357,248,352,177,185,298,202,155,113,243,184,226,252,338
2021년09월_남_90~99세,418,34,29,78,21,36,23,35,18,21,20,15,12,6,12,15,10,12,21
2021년09월_남_100세 이상,17,0,0,0,1,4,1,3,1,0,1,1,2,0,0,0,3,0,0
2021년09월_여_총인구수,"191,122","10,333","13,760","17,573","10,332","19,936","8,838","16,735","9,240","11,336","8,482","8,417","6,193","5,512","9,838","9,974","7,339","6,098","11,186"
2021년09월_여_연령구간인구수,"191,122","10,333","13,760","17,573","10,332","19,936","8,838","16,735","9,240","11,336","8,482","8,417","6,193","5,512","9,838","9,974","7,339","6,098","11,186"
2021년09월_여_0~9세,"12,284",676,606,"1,379",508,"1,328",446,"1,602",602,781,282,546,429,397,572,977,413,190,550
2021년09월_여_10~19세,"11,397",573,416,"1,439",472,"1,137",433,"1,417",496,706,395,522,378,366,539,789,384,291,644
2021년09월_여_20~29세,"31,704","1,323","4,351","2,006","1,866","4,374","1,385","1,899","1,666","2,103","1,727","1,106",747,656,"1,724","1,337","1,035",918,"1,481"
2021년09월_여_30~39세,"33,904","1,517","3,306","2,693","2,066","4,308","1,507","3,181","2,251","2,575","1,315","1,206",897,725,"1,544","1,664",922,725,"1,502"
2021년09월_여_40~49세,"26,965","1,450","1,489","2,860","1,352","2,635","1,224","2,963","1,383","1,624","1,055","1,151",894,771,"1,289","1,650",933,749,"1,493"
2021년09월_여_50~59세,"27,545","1,728","1,327","2,633","1,432","2,494","1,383","2,113",984,"1,465","1,187","1,411","1,008",940,"1,567","1,496","1,287","1,066","2,024"
2021년09월_여_60~69세,"24,683","1,604","1,195","2,189","1,418","1,978","1,223","1,921",948,"1,145","1,208","1,310",980,923,"1,444","1,141","1,169","1,020","1,867"
2021년09월_여_70~79세,"14,523",967,690,"1,404",771,"1,051",765,"1,038",586,585,849,767,556,476,748,590,812,785,"1,083"
2021년09월_여_80~89세,"6,959",426,319,842,376,534,405,512,277,301,406,342,264,217,352,286,319,309,472
2021년09월_여_90~99세,"1,108",62,61,123,68,95,64,82,43,49,55,52,39,39,58,42,64,43,69
2021년09월_여_100세 이상,50,7,0,5,3,2,3,7,4,2,3,4,1,2,1,2,1,2,1
