,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년03월_여_연령구간인구수,"159,787","10,615","7,510","6,868","5,999","14,218","11,046","12,970","8,776","8,119","5,764","13,832","20,299","14,601","5,788","10,100","3,282"
2020년03월_여_0~9세,"10,479",561,480,302,272,854,643,757,572,576,556,"1,011","1,695",934,657,526,83
2020년03월_여_10~19세,"12,728",782,575,382,417,"1,182",855,"1,162",584,636,464,"1,202","1,920","1,265",395,753,154
2020년03월_여_20~29세,"19,047","1,174",755,768,677,"1,707","1,742","2,185",928,"1,132",530,"1,679","2,110","1,574",660,"1,167",259
2020년03월_여_30~39세,"18,539","1,154",820,729,566,"1,593","1,355","1,562","1,049","1,093",807,"1,833","2,344","1,455","1,058",916,205
2020년03월_여_40~49세,"23,288","1,447","1,068",800,857,"2,075","1,560","1,839","1,205","1,205",957,"2,154","3,450","2,203",834,"1,302",332
2020년03월_여_50~59세,"28,978","1,942","1,248","1,246","1,071","2,724","1,977","2,264","1,647","1,550",865,"2,500","3,598","2,879",914,"1,989",564
2020년03월_여_60~69세,"25,601","1,812","1,394","1,410","1,176","2,361","1,652","1,820","1,468","1,177",863,"2,084","2,754","2,274",766,"1,908",682
2020년03월_여_70~79세,"13,840","1,077",787,800,648,"1,134",832,959,885,486,503,955,"1,539","1,249",329,"1,022",635
2020년03월_여_80~89세,"6,140",555,320,367,272,510,359,371,360,221,191,350,757,642,134,431,300
2020년03월_여_90~99세,"1,018",91,54,56,36,69,64,48,61,41,27,62,122,119,36,75,57
2020년03월_여_100세 이상,129,20,9,8,7,9,7,3,17,2,1,2,10,7,5,11,11
