,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년09월_계_90~99세,"1,326",133,69,72,53,91,76,65,88,59,27,72,165,157,39,90,70
2020년09월_계_100세 이상,162,28,9,12,7,10,10,4,22,2,2,4,11,7,6,13,15
2020년09월_남_총인구수,"156,796","9,803","7,139","6,318","5,544","13,512","11,018","12,763","9,135","8,109","5,951","14,351","20,126","13,976","5,982","9,716","3,353"
2020년09월_남_연령구간인구수,"156,796","9,803","7,139","6,318","5,544","13,512","11,018","12,763","9,135","8,109","5,951","14,351","20,126","13,976","5,982","9,716","3,353"
2020년09월_남_0~9세,"10,554",613,488,307,292,908,650,760,586,599,512,"1,097","1,606",892,691,492,61
2020년09월_남_10~19세,"13,445",863,577,407,396,"1,245",886,"1,011",621,726,537,"1,305","2,174","1,332",458,766,141
2020년09월_남_20~29세,"21,673","1,208",848,764,779,"1,890","1,957","2,814","1,091","1,105",612,"1,934","2,526","1,897",696,"1,214",338
2020년09월_남_30~39세,"20,053","1,236",819,892,634,"1,632","1,620","1,747","1,254","1,222",850,"2,036","2,275","1,448","1,075","1,022",291
2020년09월_남_40~49세,"23,866","1,382","1,152",891,762,"1,952","1,515","1,805","1,437","1,242","1,137","2,354","3,289","2,038",974,"1,449",487
2020년09월_남_50~59세,"27,113","1,583","1,178","1,053",943,"2,243","1,799","1,992","1,682","1,422",994,"2,421","3,653","2,682",917,"1,810",741
2020년09월_남_60~69세,"24,505","1,645","1,164","1,154",972,"2,201","1,603","1,610","1,547","1,174",822,"2,106","2,907","2,361",764,"1,796",679
2020년09월_남_70~79세,"11,986",940,724,642,594,"1,120",751,789,701,479,392,894,"1,285",991,333,907,444
2020년09월_남_80~89세,"3,307",299,174,184,158,299,227,223,189,127,89,194,369,304,68,244,159
2020년09월_남_90~99세,260,27,15,19,13,19,7,11,22,13,5,9,41,30,6,15,8
2020년09월_남_100세 이상,34,7,0,5,1,3,3,1,5,0,1,1,1,1,0,1,4
2020년09월_여_총인구수,"157,932","10,496","7,380","6,800","5,905","13,988","11,020","12,886","8,671","8,103","5,505","13,848","20,040","14,415","5,754","9,943","3,178"
2020년09월_여_연령구간인구수,"157,932","10,496","7,380","6,800","5,905","13,988","11,020","12,886","8,671","8,103","5,505","13,848","20,040","14,415","5,754","9,943","3,178"
2020년09월_여_0~9세,"10,073",540,461,272,260,822,634,720,563,562,508,972,"1,632",902,636,507,82
2020년09월_여_10~19세,"12,362",755,564,378,399,"1,135",842,"1,078",572,627,451,"1,190","1,878","1,244",397,718,134
2020년09월_여_20~29세,"18,682","1,141",742,731,667,"1,652","1,710","2,260",900,"1,129",489,"1,663","2,075","1,520",646,"1,117",240
2020년09월_여_30~39세,"17,906","1,138",774,717,544,"1,530","1,348","1,513",994,"1,057",757,"1,798","2,247","1,382","1,008",908,191
2020년09월_여_40~49세,"22,748","1,407","1,059",784,821,"2,014","1,549","1,761","1,208","1,204",916,"2,152","3,351","2,140",845,"1,230",307
2020년09월_여_50~59세,"28,410","1,893","1,201","1,197","1,060","2,652","1,926","2,229","1,572","1,540",825,"2,496","3,564","2,837",926,"1,958",534
2020년09월_여_60~69세,"26,202","1,850","1,393","1,444","1,185","2,427","1,701","1,900","1,520","1,225",841,"2,150","2,801","2,344",791,"1,944",686
2020년09월_여_70~79세,"14,124","1,097",795,840,642,"1,152",866,981,902,492,501,"1,008","1,593","1,266",328,"1,042",619
2020년09월_여_80~89세,"6,231",548,328,377,281,525,368,387,357,219,194,353,765,647,138,432,312
2020년09월_여_90~99세,"1,066",106,54,53,40,72,69,54,66,46,22,63,124,127,33,75,62
2020년09월_여_100세 이상,128,21,9,7,6,7,7,3,17,2,1,3,10,6,6,12,11
