,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년01월_남_70~79세,"4,127",246,188,91,131,128,178,127,121,128,80,145,153,135,146,120,166,177,202,229,272,224,353,387
2021년01월_남_80~89세,"1,998",155,77,45,87,84,98,83,60,85,40,93,75,87,66,53,85,86,73,84,104,83,151,144
2021년01월_남_90~99세,219,12,16,7,10,8,8,12,8,7,8,9,7,11,9,1,6,9,11,7,12,11,19,11
2021년01월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2021년01월_여_총인구수,"41,063","2,002","1,293",588,"1,032",932,"1,213",844,819,730,475,755,943,"1,142",962,"1,071","1,385","1,839","1,779","3,220","3,493","2,118","3,550","8,878"
2021년01월_여_연령구간인구수,"41,063","2,002","1,293",588,"1,032",932,"1,213",844,819,730,475,755,943,"1,142",962,"1,071","1,385","1,839","1,779","3,220","3,493","2,118","3,550","8,878"
2021년01월_여_0~9세,"2,333",78,41,27,32,28,41,18,29,22,5,26,30,41,37,39,60,83,83,269,290,100,197,757
2021년01월_여_10~19세,"3,530",91,92,25,57,44,57,37,40,25,15,34,38,65,57,91,77,178,126,337,392,137,309,"1,206"
2021년01월_여_20~29세,"3,348",133,96,29,62,42,50,36,38,43,26,46,53,91,45,59,61,161,161,308,256,193,353,"1,006"
2021년01월_여_30~39세,"3,122",98,69,31,47,34,50,30,37,37,24,28,44,52,41,42,81,137,135,347,336,173,287,962
2021년01월_여_40~49세,"5,237",160,128,35,67,63,83,49,56,43,25,42,63,98,64,138,138,247,231,508,554,262,467,"1,716"
2021년01월_여_50~59세,"6,378",327,212,84,163,127,156,95,128,91,64,94,134,183,133,214,246,307,263,482,500,358,597,"1,420"
2021년01월_여_60~69세,"6,526",363,264,108,183,179,247,174,163,134,109,139,174,184,197,162,309,294,327,414,513,375,570,944
2021년01월_여_70~79세,"5,662",373,206,102,194,209,277,180,151,162,105,157,190,196,203,168,243,269,281,343,411,310,421,511
2021년01월_여_80~89세,"4,162",310,153,125,188,175,214,189,145,154,89,162,186,193,155,137,140,145,143,185,207,174,300,293
2021년01월_여_90~99세,734,67,28,22,38,30,36,35,32,19,13,25,29,37,28,20,28,18,28,26,33,34,46,62
2021년01월_여_100세 이상,31,2,4,0,1,1,2,1,0,0,0,2,2,2,2,1,2,0,1,1,1,2,3,1
