,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년07월_남_50~59세,"155,526","51,912","27,448","24,464","22,978","25,107","10,009","7,302","7,610","8,541","2,581","2,325","2,090","2,693","2,464","5,026","4,888"
2020년07월_남_60~69세,"123,068","35,629","19,478","16,151","18,060","19,536","8,177","6,340","7,166","6,994","2,479","2,161","2,098","2,610","2,380","4,692","4,746"
2020년07월_남_70~79세,"74,009","19,268","10,454","8,814","10,086","10,708","5,766","4,089","4,909","4,160","1,750","1,423","1,362","1,887","1,694","3,580","3,327"
2020년07월_남_80~89세,"30,154","6,872","3,668","3,204","3,380","4,018","2,648","1,939","2,241","1,753",793,793,693,985,889,"1,657","1,493"
2020년07월_남_90~99세,"2,930",611,347,264,302,440,260,218,262,161,90,67,61,99,94,139,126
2020년07월_남_100세 이상,175,30,16,14,37,23,21,11,13,10,9,4,4,7,1,1,4
2020년07월_여_총인구수,"909,325","332,877","173,970","158,907","132,746","142,493","55,169","41,326","41,988","44,689","12,604","12,085","11,154","13,561","14,421","27,760","26,452"
2020년07월_여_연령구간인구수,"909,325","332,877","173,970","158,907","132,746","142,493","55,169","41,326","41,988","44,689","12,604","12,085","11,154","13,561","14,421","27,760","26,452"
2020년07월_여_0~9세,"64,393","26,830","12,244","14,586","10,592","9,744","3,240","2,419","2,160","3,583",673,573,576,668,766,"1,307","1,262"
2020년07월_여_10~19세,"85,315","34,972","17,632","17,340","13,057","13,881","4,600","3,601","3,069","3,981",780,896,826,811,"1,100","1,943","1,798"
2020년07월_여_20~29세,"97,423","43,866","23,659","20,207","13,458","16,568","4,845","3,377","3,269","3,991",853,790,732,898,955,"1,894","1,927"
2020년07월_여_30~39세,"93,333","40,825","19,872","20,953","15,033","13,906","4,288","3,243","3,188","4,705",894,788,763,929,"1,065","1,868","1,838"
2020년07월_여_40~49세,"131,213","54,910","28,216","26,694","20,833","20,807","7,148","5,316","4,459","6,060","1,174","1,296","1,136","1,150","1,466","2,715","2,743"
2020년07월_여_50~59세,"145,470","53,847","29,547","24,300","20,971","24,347","8,655","6,478","6,415","6,790","1,993","1,889","1,621","2,077","2,087","4,189","4,111"
2020년07월_여_60~69세,"126,374","39,006","21,695","17,311","18,535","19,897","8,334","6,360","7,138","6,526","2,232","2,099","2,074","2,296","2,341","4,805","4,731"
2020년07월_여_70~79세,"94,554","24,105","13,035","11,070","12,425","13,440","7,589","5,685","6,412","4,934","2,085","1,986","1,782","2,411","2,509","4,818","4,373"
2020년07월_여_80~89세,"60,290","12,306","6,811","5,495","6,567","8,376","5,497","4,096","4,916","3,478","1,630","1,495","1,406","1,974","1,837","3,551","3,161"
2020년07월_여_90~99세,"10,289","2,077","1,192",885,"1,194","1,444",887,719,902,607,272,258,220,332,265,638,474
2020년07월_여_100세 이상,671,133,67,66,81,83,86,32,60,34,18,15,18,15,30,32,34
