,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년07월_남_20~29세,"3,533,877","695,318","219,519","167,871","205,607","108,441","110,519","79,327","19,589","952,920","99,500","109,450","132,930","113,377","110,375","158,989","206,798","43,347"
2021년07월_남_30~39세,"3,489,645","724,203","210,113","150,289","207,425","93,380","99,801","78,464","29,851","980,593","85,889","102,288","141,297","95,370","95,322","151,590","202,780","40,990"
2021년07월_남_40~49세,"4,171,193","741,884","254,695","185,857","245,977","117,951","116,203","94,480","36,069","1,167,605","113,089","123,456","174,130","135,327","136,216","197,549","273,344","57,361"
2021년07월_남_50~59세,"4,343,464","741,685","270,927","205,641","254,119","116,206","119,467","104,911","24,520","1,139,981","136,100","138,752","178,960","154,652","167,880","235,352","295,036","59,275"
2021년07월_남_60~69세,"3,446,678","601,834","257,303","160,779","192,484","80,573","91,051","76,866","16,110","808,530","126,663","118,942","147,789","130,943","141,824","212,645","241,299","41,043"
2021년07월_남_70~79세,"1,672,022","317,171","133,057","77,101","81,532","41,768","41,779","29,381","6,754","350,473","60,131","54,341","78,288","75,893","84,667","108,557","110,365","20,764"
2021년07월_남_80~89세,"634,245","112,410","43,573","28,508","27,948","14,782","15,191","7,934","2,513","132,910","26,574","23,384","35,873","31,625","36,027","45,955","40,697","8,341"
2021년07월_남_90~99세,"56,641","10,359","3,154","2,078","2,632","1,288","1,361",520,263,"12,574","2,495","2,047","3,465","3,119","3,316","3,963","3,386",621
2021년07월_남_100세 이상,"2,219",616,150,69,128,28,37,11,8,550,114,68,91,86,65,96,89,13
2021년07월_여_총인구수,"25,903,259","4,912,976","1,715,987","1,214,398","1,466,455","728,856","729,019","547,216","182,368","6,711,859","762,908","787,243","1,035,551","901,415","913,947","1,305,431","1,650,732","336,898"
2021년07월_여_연령구간인구수,"25,903,259","4,912,976","1,715,987","1,214,398","1,466,455","728,856","729,019","547,216","182,368","6,711,859","762,908","787,243","1,035,551","901,415","913,947","1,305,431","1,650,732","336,898"
2021년07월_여_0~9세,"1,873,108","291,852","109,390","83,855","107,577","56,520","53,467","45,919","22,981","546,412","50,039","58,479","81,434","59,990","62,332","88,772","125,347","28,742"
2021년07월_여_10~19세,"2,290,154","373,003","129,765","105,457","131,934","74,143","69,397","52,438","22,035","644,449","64,885","70,768","96,869","82,837","79,265","106,079","153,290","33,540"
2021년07월_여_20~29세,"3,199,177","745,166","202,969","147,180","188,943","99,373","100,136","61,383","18,676","856,390","77,375","87,260","107,325","96,157","86,837","121,432","163,950","38,625"
2021년07월_여_30~39세,"3,274,689","725,231","199,862","137,301","193,212","89,168","91,012","68,985","31,325","917,908","77,346","89,839","120,971","89,398","85,796","132,169","184,751","40,415"
2021년07월_여_40~49세,"4,034,604","755,470","250,421","190,565","234,551","119,509","116,919","90,471","34,950","1,127,830","107,363","114,744","152,241","127,499","118,692","181,312","257,671","54,396"
2021년07월_여_50~59세,"4,247,621","764,060","285,554","213,876","254,369","117,789","119,804","101,683","22,358","1,109,266","127,659","130,707","158,678","143,166","143,949","218,561","281,446","54,696"
2021년07월_여_60~69세,"3,592,693","672,356","287,341","177,206","196,241","88,534","96,652","75,787","16,358","817,152","127,322","117,963","146,633","133,864","139,014","214,449","244,183","41,638"
2021년07월_여_70~79세,"2,027,022","379,281","161,656","98,832","96,729","52,303","49,962","32,261","7,800","419,290","73,522","65,572","93,204","94,844","106,585","133,229","137,129","24,823"
2021년07월_여_80~89세,"1,155,988","174,101","76,701","52,169","52,560","26,603","26,922","15,608","4,852","230,583","48,167","44,350","66,388","62,108","77,440","93,251","87,837","16,348"
2021년07월_여_90~99세,"199,604","30,595","11,722","7,654","9,922","4,709","4,576","2,609","1,005","40,817","8,879","7,313","11,380","11,106","13,505","15,621","14,707","3,484"
2021년07월_여_100세 이상,"8,599","1,861",606,303,417,205,172,72,28,"1,762",351,248,428,446,532,556,421,191
