,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년11월_계_80~89세,"9,649",867,505,558,439,828,608,623,552,352,282,554,"1,155",971,212,668,475
2020년11월_계_90~99세,"1,346",133,70,71,57,96,74,67,87,55,28,74,169,159,42,96,68
2020년11월_계_100세 이상,162,28,9,12,7,9,10,4,23,2,2,3,11,7,6,13,16
2020년11월_남_총인구수,"155,766","9,734","7,044","6,273","5,516","13,457","10,896","12,697","9,084","8,076","5,844","14,312","20,070","13,857","5,979","9,621","3,306"
2020년11월_남_연령구간인구수,"155,766","9,734","7,044","6,273","5,516","13,457","10,896","12,697","9,084","8,076","5,844","14,312","20,070","13,857","5,979","9,621","3,306"
2020년11월_남_0~9세,"10,314",590,470,296,286,888,630,748,574,578,504,"1,067","1,580",879,685,482,57
2020년11월_남_10~19세,"13,278",859,573,392,390,"1,236",864,998,619,718,529,"1,301","2,164","1,295",453,751,136
2020년11월_남_20~29세,"21,483","1,205",816,761,781,"1,878","1,937","2,806","1,079","1,087",588,"1,917","2,521","1,889",695,"1,197",326
2020년11월_남_30~39세,"19,710","1,232",800,869,628,"1,611","1,586","1,720","1,235","1,215",811,"2,015","2,236","1,413","1,063",997,279
2020년11월_남_40~49세,"23,686","1,335","1,141",894,765,"1,956","1,493","1,800","1,435","1,240","1,131","2,346","3,274","1,992",969,"1,437",478
2020년11월_남_50~59세,"26,941","1,589","1,152","1,054",929,"2,212","1,777","1,968","1,683","1,428",976,"2,427","3,639","2,659",926,"1,787",735
2020년11월_남_60~69세,"24,668","1,645","1,180","1,143",976,"2,217","1,608","1,628","1,537","1,185",823,"2,125","2,954","2,398",781,"1,791",677
2020년11월_남_70~79세,"12,024",937,724,655,588,"1,134",760,785,705,482,386,903,"1,277",990,329,918,451
2020년11월_남_80~89세,"3,362",307,175,185,158,302,231,231,190,131,90,201,381,312,71,243,154
2020년11월_남_90~99세,267,28,13,19,14,21,7,12,22,12,5,9,43,29,7,17,9
2020년11월_남_100세 이상,33,7,0,5,1,2,3,1,5,0,1,1,1,1,0,1,4
2020년11월_여_총인구수,"157,074","10,451","7,329","6,729","5,895","13,936","10,953","12,834","8,633","8,041","5,434","13,853","19,927","14,326","5,738","9,857","3,138"
2020년11월_여_연령구간인구수,"157,074","10,451","7,329","6,729","5,895","13,936","10,953","12,834","8,633","8,041","5,434","13,853","19,927","14,326","5,738","9,857","3,138"
2020년11월_여_0~9세,"9,822",522,436,259,253,810,618,709,550,550,491,956,"1,600",865,625,494,84
2020년11월_여_10~19세,"12,262",749,557,375,401,"1,122",846,"1,048",576,621,458,"1,182","1,864","1,226",391,716,130
2020년11월_여_20~29세,"18,584","1,155",755,712,670,"1,653","1,695","2,278",891,"1,109",483,"1,674","2,057","1,499",640,"1,078",235
2020년11월_여_30~39세,"17,552","1,099",739,705,540,"1,495","1,311","1,478",977,"1,035",735,"1,773","2,215","1,377",992,892,189
2020년11월_여_40~49세,"22,591","1,405","1,051",778,820,"1,988","1,525","1,749","1,210","1,196",911,"2,146","3,323","2,104",855,"1,231",299
2020년11월_여_50~59세,"28,183","1,890","1,191","1,180","1,045","2,660","1,900","2,219","1,551","1,524",820,"2,492","3,552","2,799",915,"1,932",513
2020년11월_여_60~69세,"26,410","1,856","1,405","1,441","1,202","2,440","1,738","1,916","1,528","1,244",824,"2,182","2,809","2,390",807,"1,947",681
2020년11월_여_70~79세,"14,175","1,089",799,847,634,"1,160",869,987,905,496,496,"1,028","1,597","1,271",331,"1,051",615
2020년11월_여_80~89세,"6,287",560,330,373,281,526,377,392,362,221,192,353,774,659,141,425,321
2020년11월_여_90~99세,"1,079",105,57,52,43,75,67,55,65,43,23,65,126,130,35,79,59
2020년11월_여_100세 이상,129,21,9,7,6,7,7,3,18,2,1,2,10,6,6,12,12
