카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년07월_남_0~9세,"2,532",91,57,22,26,35,25,25,37,31,20,28,30,46,53,39,62,88,95,297,273,112,203,837
2021년07월_남_10~19세,"3,693",104,74,31,53,52,57,36,49,40,21,33,46,85,57,98,109,170,118,300,370,187,301,"1,302"
2021년07월_남_20~29세,"4,187",137,135,37,85,68,77,40,55,62,30,54,73,92,53,73,114,214,193,358,353,279,424,"1,181"
2021년07월_남_30~39세,"3,158",117,80,26,64,43,61,33,53,36,27,29,46,76,50,52,61,134,142,337,286,228,305,872
2021년07월_남_40~49세,"5,312",179,148,75,90,97,136,83,88,62,46,86,95,113,104,114,156,208,212,456,551,241,501,"1,471"
2021년07월_남_50~59세,"7,239",368,270,95,210,177,197,137,155,165,96,132,192,230,181,284,279,293,268,504,533,329,700,"1,444"
2021년07월_남_60~69세,"6,701",435,293,120,246,196,253,183,207,150,119,140,186,251,195,197,295,250,252,412,466,354,592,909
2021년07월_남_70~79세,"4,139",249,187,91,135,130,185,132,121,129,81,139,153,135,151,120,170,172,204,214,268,224,358,391
2021년07월_남_80~89세,"2,066",158,85,47,82,82,96,81,67,82,39,92,80,90,69,58,85,86,77,91,109,86,164,160
2021년07월_남_90~99세,236,13,16,8,11,9,8,12,9,8,8,11,6,14,7,1,6,10,12,7,11,15,22,12
2021년07월_남_100세 이상,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2021년07월_여_총인구수,"40,758","2,001","1,291",563,"1,029",909,"1,196",839,815,722,454,733,924,"1,144",950,"1,064","1,397","1,797","1,754","3,198","3,433","2,145","3,486","8,914"
2021년07월_여_연령구간인구수,"40,758","2,001","1,291",563,"1,029",909,"1,196",839,815,722,454,733,924,"1,144",950,"1,064","1,397","1,797","1,754","3,198","3,433","2,145","3,486","8,914"
2021년07월_여_0~9세,"2,258",78,42,22,34,23,36,18,31,22,7,25,26,41,35,39,51,81,87,270,260,100,188,742
2021년07월_여_10~19세,"3,471",98,88,25,53,45,56,36,36,21,13,31,35,64,56,83,83,166,116,324,392,138,288,"1,224"
2021년07월_여_20~29세,"3,295",124,92,25,64,42,45,33,37,37,24,37,48,83,38,64,61,157,162,311,264,212,334,"1,001"
2021년07월_여_30~39세,"3,014",97,75,29,45,32,44,27,33,39,25,23,38,52,40,38,82,134,134,340,317,168,276,926
2021년07월_여_40~49세,"5,063",160,114,32,65,62,82,46,57,47,19,42,63,101,60,126,131,222,224,493,526,253,463,"1,675"
2021년07월_여_50~59세,"6,300",317,215,78,160,126,152,93,118,81,59,87,133,177,131,222,241,299,245,476,494,361,576,"1,459"
2021년07월_여_60~69세,"6,722",384,272,109,188,175,252,182,171,133,107,141,173,202,198,166,315,312,326,423,532,390,579,992
2021년07월_여_70~79세,"5,599",370,204,96,187,201,264,169,151,160,104,156,189,195,203,163,251,255,280,345,400,309,422,525
2021년07월_여_80~89세,"4,239",311,156,122,195,173,223,196,147,160,86,166,186,186,160,145,148,148,147,188,211,177,306,302
2021년07월_여_90~99세,771,62,29,25,37,30,41,38,34,21,10,24,31,41,27,18,32,23,32,27,37,34,52,66
2021년07월_여_100세 이상,26,0,4,0,1,0,1,1,0,1,0,1,2,2,2,0,2,0,1,1,0,3,2,2
