,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년03월_남_60~69세,"25,797","2,188","1,809","2,317","2,035","1,289","2,751","2,468","1,915","1,367","1,584","1,669","1,778","1,319","1,308"
2020년03월_남_70~79세,"13,309",976,942,"1,545","1,320",705,"1,303","1,150",860,776,714,824,879,665,650
2020년03월_남_80~89세,"4,838",383,336,519,519,252,429,426,327,343,188,299,291,268,258
2020년03월_남_90~99세,441,29,32,35,52,17,37,38,35,25,26,35,27,23,30
2020년03월_남_100세 이상,46,12,4,4,1,1,3,3,2,2,0,10,1,3,0
2020년03월_여_총인구수,"230,145","15,205","16,061","18,585","18,370","10,705","22,795","22,882","16,277","17,388","23,513","14,199","13,239","9,631","11,295"
2020년03월_여_연령구간인구수,"230,145","15,205","16,061","18,585","18,370","10,705","22,795","22,882","16,277","17,388","23,513","14,199","13,239","9,631","11,295"
2020년03월_여_0~9세,"16,900",549,909,"1,198","1,309",767,"1,398","1,542","1,220","1,450","3,394","1,041",751,574,798
2020년03월_여_10~19세,"21,014",852,"1,056","1,396","1,792","1,021","2,166","2,428","1,495","2,228","2,465","1,285","1,028",775,"1,027"
2020년03월_여_20~29세,"30,869","3,038","2,667","2,415","2,246","1,183","3,028","3,180","2,087","2,191","2,567","1,840","1,732","1,184","1,511"
2020년03월_여_30~39세,"29,264","2,050","2,280","2,367","2,158","1,199","2,668","2,350","1,982","2,032","4,529","1,659","1,571","1,034","1,385"
2020년03월_여_40~49세,"37,316","1,952","2,477","2,815","2,967","1,750","3,734","3,830","2,672","3,445","4,282","2,273","1,934","1,385","1,800"
2020년03월_여_50~59세,"40,129","2,610","2,866","3,014","3,078","1,801","4,416","4,418","2,942","2,807","3,035","2,677","2,628","1,801","2,036"
2020년03월_여_60~69세,"27,647","2,106","2,004","2,735","2,300","1,419","2,830","2,646","1,969","1,483","1,848","1,685","1,799","1,444","1,379"
2020년03월_여_70~79세,"17,112","1,254","1,196","1,846","1,690",968,"1,606","1,516","1,088","1,096",881,"1,060","1,184",888,839
2020년03월_여_80~89세,"8,397",633,521,691,732,497,826,824,687,558,446,584,514,446,438
2020년03월_여_90~99세,"1,336",114,78,94,91,91,114,143,126,96,65,87,89,68,80
2020년03월_여_100세 이상,161,47,7,14,7,9,9,5,9,2,1,8,9,32,2
