카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년11월_남_10~19세,"10,886",486,"1,211",589,583,162,551,149,240,327,385,759,"1,538",188,510,"1,455",555,"1,198"
2021년11월_남_20~29세,"15,356","1,275",770,803,"1,124",283,949,433,409,811,734,774,"1,574",480,917,"1,401",837,"1,782"
2021년11월_남_30~39세,"13,009","1,254",633,658,"1,002",236,868,356,391,694,683,721,"1,070",476,797,"1,095",700,"1,375"
2021년11월_남_40~49세,"17,880","1,348","1,471",974,"1,126",334,"1,098",327,451,690,706,"1,126","1,964",538,"1,014","1,780",861,"2,072"
2021년11월_남_50~59세,"19,765","1,429","1,127","1,089","1,007",480,"1,389",438,631,764,838,"1,135","2,187",589,"1,078","1,805","1,145","2,634"
2021년11월_남_60~69세,"16,640","1,160",561,953,865,468,"1,511",436,621,559,714,755,"1,618",614,"1,073","1,278",990,"2,464"
2021년11월_남_70~79세,"9,218",515,288,526,452,269,843,259,343,346,413,447,"1,045",277,684,725,498,"1,288"
2021년11월_남_80~89세,"3,714",180,126,198,188,126,291,145,149,148,207,164,423,106,264,341,259,399
2021년11월_남_90~99세,310,19,9,27,29,5,19,12,15,11,22,9,31,7,20,24,17,34
2021년11월_남_100세 이상,8,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1
2021년11월_여_총인구수,"117,329","7,644","7,533","6,437","7,008","2,251","7,792","2,799","3,330","4,931","5,626","6,894","13,340","3,143","6,953","11,645","6,541","13,462"
2021년11월_여_연령구간인구수,"117,329","7,644","7,533","6,437","7,008","2,251","7,792","2,799","3,330","4,931","5,626","6,894","13,340","3,143","6,953","11,645","6,541","13,462"
2021년11월_여_0~9세,"6,865",461,674,314,378,70,329,69,130,265,330,506,885,146,422,873,300,713
2021년11월_여_10~19세,"10,178",493,"1,231",521,515,135,529,103,184,391,384,812,"1,436",139,444,"1,333",477,"1,051"
2021년11월_여_20~29세,"14,840","1,437",788,667,"1,328",225,808,586,394,922,774,704,"1,393",404,859,"1,460",703,"1,388"
2021년11월_여_30~39세,"12,179","1,083",786,594,948,182,677,280,286,640,679,741,"1,173",393,747,"1,224",541,"1,205"
2021년11월_여_40~49세,"17,504","1,051","1,710",939,"1,014",238,909,256,386,650,736,"1,259","2,256",391,909,"2,063",905,"1,832"
2021년11월_여_50~59세,"19,231","1,098","1,013","1,146",945,358,"1,373",414,598,688,952,"1,112","2,290",535,"1,130","1,799","1,226","2,554"
2021년11월_여_60~69세,"18,187","1,051",699,"1,116",933,455,"1,615",510,667,613,798,844,"1,964",597,"1,223","1,409","1,143","2,550"
2021년11월_여_70~79세,"11,343",608,401,682,593,347,"1,014",346,407,460,553,591,"1,215",338,755,922,732,"1,379"
2021년11월_여_80~89세,"5,966",298,198,396,283,202,464,204,223,262,349,285,610,176,404,486,441,685
2021년11월_여_90~99세,"1,005",62,29,60,69,38,73,30,54,40,71,40,111,23,59,75,70,101
2021년11월_여_100세 이상,31,2,4,2,2,1,1,1,1,0,0,0,7,1,1,1,3,4
