,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년10월_남_100세 이상,83,7,11,4,1,8,10,7,1,7,5,4,1,4,4,2,7
2020년10월_여_총인구수,"250,002","19,595","20,945","14,701","11,938","15,248","16,537","14,551","16,123","14,215","12,922","24,643","14,322","10,471","7,890","5,596","30,305"
2020년10월_여_연령구간인구수,"250,002","19,595","20,945","14,701","11,938","15,248","16,537","14,551","16,123","14,215","12,922","24,643","14,322","10,471","7,890","5,596","30,305"
2020년10월_여_0~9세,"14,760","1,265","1,167",598,476,786,912,584,"1,119","1,580",470,"1,360",863,550,373,327,"2,330"
2020년10월_여_10~19세,"19,096","1,173","1,284",907,789,"1,242","1,500",893,"1,255","1,119",809,"1,770","1,028",744,584,356,"3,643"
2020년10월_여_20~29세,"34,687","2,674","2,815","2,152","1,846","2,283","2,240","2,738","2,226","1,387","1,799","3,405","1,912","1,426","1,053",721,"4,010"
2020년10월_여_30~39세,"34,794","3,072","2,785","1,852","1,472","1,999","2,014","2,117","2,585","2,671","1,590","3,494","2,055","1,328","1,001",820,"3,939"
2020년10월_여_40~49세,"39,007","2,903","3,138","1,944","1,686","2,464","2,593","2,084","2,667","2,532","1,777","3,832","2,142","1,571","1,156",759,"5,759"
2020년10월_여_50~59세,"40,161","3,082","3,611","2,660","2,144","2,569","2,815","2,149","2,328","1,862","2,121","4,092","2,419","1,828","1,322",965,"4,194"
2020년10월_여_60~69세,"34,486","2,772","3,050","2,332","1,860","1,984","2,301","1,960","2,031","1,568","2,030","3,491","2,049","1,629","1,261",857,"3,311"
2020년10월_여_70~79세,"21,783","1,779","1,998","1,524","1,172","1,312","1,406","1,363","1,271",979,"1,506","2,152","1,259",905,780,500,"1,877"
2020년10월_여_80~89세,"9,378",723,942,627,405,515,632,570,544,441,697,887,516,423,297,249,910
2020년10월_여_90~99세,"1,508",133,132,97,75,83,112,78,87,61,109,139,71,57,57,39,178
2020년10월_여_100세 이상,342,19,23,8,13,11,12,15,10,15,14,21,8,10,6,3,154
