,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년02월_남_60~69세,"138,566","13,888","20,376","17,480","8,298","9,052","4,344","2,656","2,344","6,361","3,873","5,032","3,326","3,127","6,211","4,187","5,520","3,115","4,272","3,870","4,307","2,703","4,224"
2021년02월_남_70~79세,"84,582","7,805","11,262","8,551","5,040","3,666","2,821","1,810","1,630","4,965","2,829","3,100","2,303","2,244","4,354","2,671","3,549","2,140","3,083","2,612","3,272","2,010","2,865"
2021년02월_남_80~89세,"35,010","2,436","3,625","3,354","2,008","1,488","1,277","1,001",822,"2,349","1,494","1,452","1,213","1,101","1,877","1,265","1,290","1,031","1,240","1,206","1,413",870,"1,198"
2021년02월_남_90~99세,"3,297",212,298,320,217,133,139,98,81,271,156,149,130,104,161,104,99,115,110,124,110,70,96
2021년02월_남_100세 이상,123,16,17,8,11,5,3,3,3,6,7,3,4,5,1,8,6,2,3,4,3,0,5
2021년02월_여_총인구수,"919,906","111,837","137,234","141,456","57,806","72,238","22,918","14,277","13,108","32,810","20,655","31,590","19,258","17,820","34,713","26,053","43,618","15,893","26,545","21,658","24,724","15,528","18,167"
2021년02월_여_연령구간인구수,"919,906","111,837","137,234","141,456","57,806","72,238","22,918","14,277","13,108","32,810","20,655","31,590","19,258","17,820","34,713","26,053","43,618","15,893","26,545","21,658","24,724","15,528","18,167"
2021년02월_여_0~9세,"64,119","8,635","10,191","11,372","4,970","6,486","1,180",522,570,"1,316",809,"1,688",968,864,"1,947","1,734","3,875",643,"1,842","1,353","1,522",866,766
2021년02월_여_10~19세,"80,034","11,830","12,615","14,387","4,621","7,646","1,433",894,860,"1,759","1,262","2,734","1,303","1,214","2,531","2,065","4,615",942,"1,986","1,549","1,736","1,073",979
2021년02월_여_20~29세,"87,844","12,422","14,547","17,015","5,825","8,317","1,950","1,039",885,"1,699","1,266","3,086","1,315","1,244","2,397","2,120","4,130",994,"2,168","1,717","1,554","1,072","1,082"
2021년02월_여_30~39세,"87,360","12,194","14,247","16,123","6,967","8,495","1,787",801,770,"1,651","1,137","2,316","1,273","1,165","2,353","2,151","5,169",966,"2,327","1,693","1,782","1,009",984
2021년02월_여_40~49세,"120,858","18,020","19,775","22,009","7,446","11,511","2,204","1,335","1,304","2,671","1,782","3,957","1,840","1,677","3,522","3,031","6,584","1,413","2,852","2,377","2,590","1,524","1,434"
2021년02월_여_50~59세,"145,359","18,043","23,051","24,362","7,870","13,211","3,700","2,192","2,027","4,486","2,947","5,106","2,859","2,593","5,155","4,059","5,862","2,279","3,811","3,209","3,553","2,235","2,749"
2021년02월_여_60~69세,"136,487","15,253","20,781","17,409","8,064","8,144","4,049","2,417","2,409","6,461","3,796","4,550","3,328","3,135","6,258","3,961","5,492","2,857","4,232","3,472","4,338","2,638","3,443"
2021년02월_여_70~79세,"108,033","9,834","13,400","10,509","6,511","4,564","3,488","2,427","2,261","6,524","3,791","4,331","3,139","2,971","5,639","3,654","4,344","2,968","4,063","3,299","4,129","2,696","3,491"
2021년02월_여_80~89세,"75,893","4,779","7,173","6,907","4,674","3,211","2,629","2,209","1,699","5,218","3,255","3,281","2,697","2,489","4,178","2,806","2,985","2,425","2,789","2,560","3,032","2,087","2,810"
2021년02월_여_90~99세,"13,146",761,"1,364","1,295",802,633,465,429,302,981,576,507,515,441,688,444,533,380,443,395,465,310,417
2021년02월_여_100세 이상,773,66,90,68,56,20,33,12,21,44,34,34,21,27,45,28,29,26,32,34,23,18,12
