,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년11월_남_총인구수,"204,579","5,631","3,344","7,949","2,389","16,873","13,981","5,807","8,276","3,856","13,757","22,193","9,848","15,559","38,648","11,912","1,093",984,"2,274","1,176","1,020","18,009"
2020년11월_남_연령구간인구수,"204,579","5,631","3,344","7,949","2,389","16,873","13,981","5,807","8,276","3,856","13,757","22,193","9,848","15,559","38,648","11,912","1,093",984,"2,274","1,176","1,020","18,009"
2020년11월_남_0~9세,"20,607",354,180,778,175,"2,075","1,115",383,603,344,"1,020","1,987","1,102","1,523","5,336","1,559",24,22,68,23,15,"1,921"
2020년11월_남_10~19세,"27,098",617,207,902,226,"1,867","1,098",620,"1,071",410,"1,787","2,969","1,508","2,094","6,826","1,648",67,46,74,63,47,"2,951"
2020년11월_남_20~29세,"31,218",969,520,"1,198",343,"2,222","2,208","1,057","1,332",507,"2,748","4,270","1,478","2,470","4,925","1,533",96,105,267,110,81,"2,779"
2020년11월_남_30~39세,"27,919",636,515,"1,143",299,"2,865","2,357",699,920,491,"1,750","3,097","1,169","2,033","4,960","1,782",67,88,288,102,71,"2,587"
2020년11월_남_40~49세,"38,291",991,467,"1,410",379,"3,288","2,119",864,"1,450",749,"2,034","3,814","2,034","2,845","8,751","2,503",111,114,352,127,149,"3,740"
2020년11월_남_50~59세,"33,109",964,567,"1,243",406,"2,282","2,492","1,126","1,576",761,"2,684","3,940","1,615","2,766","5,145","1,611",235,191,425,256,188,"2,636"
2020년11월_남_60~69세,"16,550",615,426,690,293,"1,488","1,717",715,862,359,"1,219","1,457",573,"1,143","1,843",929,253,198,424,242,209,895
2020년11월_남_70~79세,"7,312",366,349,444,207,601,669,256,353,177,359,470,291,496,700,270,154,168,272,171,153,386
2020년11월_남_80~89세,"2,256",110,104,125,54,172,191,79,100,53,146,174,71,169,148,67,81,48,89,75,96,104
2020년11월_남_90~99세,214,9,9,16,7,12,15,8,9,5,10,14,6,20,14,10,5,3,15,6,11,10
2020년11월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2020년11월_여_총인구수,"201,547","5,552","3,315","7,848","2,354","16,146","13,523","5,648","8,048","3,452","13,971","21,804","9,465","16,188","39,517","11,441","1,052",940,"1,839","1,108","1,038","17,298"
2020년11월_여_연령구간인구수,"201,547","5,552","3,315","7,848","2,354","16,146","13,523","5,648","8,048","3,452","13,971","21,804","9,465","16,188","39,517","11,441","1,052",940,"1,839","1,108","1,038","17,298"
2020년11월_여_0~9세,"19,577",357,152,702,160,"1,941","1,074",368,563,340,998,"1,876","1,020","1,487","5,009","1,504",34,19,70,29,19,"1,855"
2020년11월_여_10~19세,"25,599",562,202,789,204,"1,807","1,012",558,998,360,"1,761","2,787","1,447","1,932","6,796","1,504",57,37,79,54,41,"2,612"
2020년11월_여_20~29세,"27,539",783,463,"1,030",286,"1,835","1,973",892,"1,167",388,"2,473","3,713","1,241","2,325","4,582","1,395",72,69,174,63,72,"2,543"
2020년11월_여_30~39세,"27,018",571,381,"1,076",253,"2,698","1,926",603,875,437,"1,655","2,850","1,256","2,053","5,701","1,810",47,50,164,56,58,"2,498"
2020년11월_여_40~49세,"38,569",924,395,"1,342",355,"2,802","1,949",863,"1,486",630,"2,456","4,329","2,029","3,065","9,318","2,262",69,72,155,84,77,"3,907"
2020년11월_여_50~59세,"30,569",875,543,"1,201",380,"2,273","2,407","1,162","1,477",582,"2,813","3,698","1,284","2,771","4,546","1,561",156,128,236,150,139,"2,187"
2020년11월_여_60~69세,"16,486",707,516,798,340,"1,514","1,539",676,850,319,"1,031","1,343",616,"1,273","2,043",854,208,210,374,215,159,901
2020년11월_여_70~79세,"9,754",522,428,591,243,778,913,308,407,223,461,705,378,830,"1,001",326,193,197,315,205,231,499
2020년11월_여_80~89세,"5,422",212,199,267,101,415,609,185,195,154,257,429,166,397,431,196,176,134,218,214,212,255
2020년11월_여_90~99세,956,37,30,47,27,79,118,33,28,19,65,69,26,51,88,25,40,22,50,36,28,38
2020년11월_여_100세 이상,58,2,6,5,5,4,3,0,2,0,1,5,2,4,2,4,0,2,4,2,2,3
