,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년06월_남_40~49세,"30,030","2,287",885,"3,326","2,238","1,880","2,255","2,537","1,519","2,035","2,002","1,073","1,138","3,259","1,989","1,607"
2020년06월_남_50~59세,"28,255","2,295","1,127","2,974","1,997","1,852","2,153","2,497","1,417","2,023","1,760","1,015","1,023","2,950","1,864","1,308"
2020년06월_남_60~69세,"22,240","1,926",915,"2,403","1,522","1,373","1,683","1,852","1,361","1,760","1,608",853,816,"1,837","1,359",972
2020년06월_남_70~79세,"13,273","1,101",562,"1,380",869,940,983,"1,066",840,"1,114",947,566,448,"1,052",741,664
2020년06월_남_80~89세,"4,554",421,214,477,327,293,325,426,235,357,291,155,141,396,258,238
2020년06월_남_90~99세,457,42,18,58,38,25,35,49,11,33,20,15,13,46,28,26
2020년06월_남_100세 이상,91,10,6,9,7,5,4,17,1,14,6,0,1,6,1,4
2020년06월_여_총인구수,"203,954","16,234","6,141","23,525","14,775","13,226","15,057","16,767","12,238","14,313","13,033","7,634","7,490","20,629","12,312","10,580"
2020년06월_여_연령구간인구수,"203,954","16,234","6,141","23,525","14,775","13,226","15,057","16,767","12,238","14,313","13,033","7,634","7,490","20,629","12,312","10,580"
2020년06월_여_0~9세,"12,601",999,175,"1,540","1,147",640,900,"1,185",428,882,"1,083",382,533,"1,187",781,739
2020년06월_여_10~19세,"14,010",982,293,"1,659",960,866,917,"1,096",460,776,770,378,473,"2,204","1,316",860
2020년06월_여_20~29세,"34,590","2,721","1,025","4,897","2,317","2,298","2,386","2,454","3,001","1,973","1,815","1,361","1,139","3,488","1,752","1,963"
2020년06월_여_30~39세,"31,266","2,526",768,"3,238","2,512","2,040","2,388","2,393","2,255","2,306","2,193","1,280","1,264","2,832","1,560","1,711"
2020년06월_여_40~49세,"29,924","2,108",705,"3,331","2,209","1,931","2,215","2,436","1,451","2,087","1,899","1,034","1,150","3,537","2,174","1,657"
2020년06월_여_50~59세,"30,631","2,445","1,117","3,411","2,169","2,039","2,349","2,733","1,731","2,261","1,945","1,134","1,164","2,918","1,839","1,376"
2020년06월_여_60~69세,"26,156","2,228","1,045","2,748","1,771","1,731","1,974","2,125","1,669","2,099","1,812","1,105",935,"2,239","1,535","1,140"
2020년06월_여_70~79세,"16,267","1,379",664,"1,708","1,070","1,132","1,254","1,449",921,"1,307","1,071",650,540,"1,447",878,797
2020년06월_여_80~89세,"7,002",698,282,810,515,461,591,714,263,506,354,252,230,647,397,282
2020년06월_여_90~99세,"1,290",128,59,157,86,79,76,144,53,95,76,52,51,112,75,47
2020년06월_여_100세 이상,217,20,8,26,19,9,7,38,6,21,15,6,11,18,5,8
