,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년10월_남_90~99세,222,13,16,9,12,9,8,11,7,7,7,8,7,11,11,1,7,9,13,6,11,10,19,10
2020년10월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2020년10월_여_총인구수,"41,217","2,005","1,286",591,"1,038",930,"1,224",850,824,744,470,773,946,"1,158",979,"1,079","1,388","1,870","1,805","3,201","3,517","2,127","3,574","8,838"
2020년10월_여_연령구간인구수,"41,217","2,005","1,286",591,"1,038",930,"1,224",850,824,744,470,773,946,"1,158",979,"1,079","1,388","1,870","1,805","3,201","3,517","2,127","3,574","8,838"
2020년10월_여_0~9세,"2,389",75,40,25,36,30,47,18,27,23,5,33,29,44,38,42,59,91,88,274,293,106,202,764
2020년10월_여_10~19세,"3,580",98,93,23,55,43,57,37,43,26,17,39,41,71,56,92,83,184,134,330,393,136,316,"1,213"
2020년10월_여_20~29세,"3,356",133,87,32,64,43,49,38,40,48,25,48,47,86,54,61,65,166,166,314,265,189,355,981
2020년10월_여_30~39세,"3,167",96,69,29,50,33,48,30,40,41,25,28,46,61,43,42,80,143,128,349,361,177,285,963
2020년10월_여_40~49세,"5,279",159,131,37,71,63,86,48,53,44,22,45,66,101,66,140,137,250,235,505,541,267,484,"1,728"
2020년10월_여_50~59세,"6,466",326,216,86,168,123,164,104,133,98,66,97,136,186,137,216,254,311,273,478,509,366,598,"1,421"
2020년10월_여_60~69세,"6,416",367,254,106,175,178,242,170,161,130,104,137,177,179,194,161,295,303,330,409,503,367,564,910
2020년10월_여_70~79세,"5,697",377,214,106,197,214,279,182,147,164,106,159,188,201,206,168,246,263,281,340,417,311,423,508
2020년10월_여_80~89세,"4,107",307,150,123,184,172,215,186,147,151,87,159,186,192,155,137,138,142,143,176,200,171,299,287
2020년10월_여_90~99세,729,65,28,24,36,30,36,36,33,19,13,27,28,35,28,19,29,17,26,25,34,35,45,61
2020년10월_여_100세 이상,31,2,4,0,2,1,1,1,0,0,0,1,2,2,2,1,2,0,1,1,1,2,3,2
