카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 유천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년12월_여_총인구수,"276,428","11,983","7,377","4,256","13,692","6,863","8,712","15,429","14,324","11,509","8,141","15,389","10,633","19,091","8,322","26,342","16,164","18,521","9,995","5,817","18,346","9,812","9,434","6,276"
2021년12월_여_연령구간인구수,"276,428","11,983","7,377","4,256","13,692","6,863","8,712","15,429","14,324","11,509","8,141","15,389","10,633","19,091","8,322","26,342","16,164","18,521","9,995","5,817","18,346","9,812","9,434","6,276"
2021년12월_여_0~9세,"17,977",772,254,158,"1,013",286,589,899,792,565,402,620,"1,039","1,871",230,"1,986","2,627","1,277",492,138,996,374,329,268
2021년12월_여_10~19세,"25,420","1,033",341,250,"1,051",430,771,"1,540","1,283","1,147",628,"1,057","1,109","3,535",527,"2,258","2,397","1,940",638,263,"1,637",591,579,415
2021년12월_여_20~29세,"35,240","1,348","1,213",610,"1,978","1,073","1,108","2,219","2,047","1,801","1,089","3,225","1,096","1,734",747,"3,208","1,218","2,153","1,573",462,"2,176","1,339","1,127",696
2021년12월_여_30~39세,"29,742","1,210",884,429,"1,741",742,992,"1,500","1,461","1,157",897,"1,455","1,346","1,918",529,"3,130","2,750","1,788","1,212",423,"1,769",973,847,589
2021년12월_여_40~49세,"43,859","1,717",778,520,"2,000",900,"1,367","2,604","2,279","1,854","1,139","2,029","1,930","4,907","1,020","4,154","3,889","3,198","1,272",549,"2,570","1,235","1,116",832
2021년12월_여_50~59세,"52,563","2,027","1,231",753,"2,639","1,423","1,756","3,440","3,362","2,653","1,834","3,111","1,854","2,615","1,467","5,039","1,682","3,616","2,025","1,141","3,972","1,902","1,770","1,251"
2021년12월_여_60~69세,"40,361","2,075","1,336",746,"2,001","1,179","1,240","1,933","1,828","1,345","1,377","2,064","1,399","1,429","1,755","3,793","1,007","2,659","1,648","1,494","3,142","1,839","1,895","1,177"
2021년12월_여_70~79세,"19,438","1,161",861,511,848,539,575,825,801,608,512,"1,080",549,680,"1,266","1,721",424,"1,140",693,765,"1,223",972,"1,070",614
2021년12월_여_80~89세,"10,293",559,421,247,368,262,274,412,422,337,232,653,263,334,691,913,145,640,373,500,750,515,612,370
2021년12월_여_90~99세,"1,499",73,56,32,52,29,39,56,48,40,29,95,48,66,87,138,23,110,66,81,109,70,88,64
2021년12월_여_100세 이상,36,8,2,0,1,0,1,1,1,2,2,0,0,2,3,2,2,0,3,1,2,2,1,0
