,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년06월_남_20~29세,"15,570","1,292",776,848,"1,094",276,953,444,410,807,757,794,"1,615",478,929,"1,423",864,"1,810"
2021년06월_남_30~39세,"13,129","1,271",654,679,966,247,901,350,368,667,695,734,"1,079",480,823,"1,107",693,"1,415"
2021년06월_남_40~49세,"18,238","1,392","1,519","1,024","1,140",345,"1,095",323,461,705,708,"1,136","2,022",539,"1,002","1,824",900,"2,103"
2021년06월_남_50~59세,"19,702","1,447","1,086","1,114","1,020",479,"1,398",454,621,764,846,"1,121","2,171",592,"1,066","1,746","1,143","2,634"
2021년06월_남_60~69세,"16,488","1,143",547,974,881,454,"1,493",445,596,557,684,757,"1,609",593,"1,066","1,257",988,"2,444"
2021년06월_남_70~79세,"9,223",507,285,524,458,276,848,257,344,350,424,442,"1,031",284,688,737,499,"1,269"
2021년06월_남_80~89세,"3,627",177,121,198,183,116,281,138,154,152,202,159,405,105,256,338,246,396
2021년06월_남_90~99세,310,18,10,26,26,4,22,11,13,10,23,8,38,5,24,25,16,31
2021년06월_남_100세 이상,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021년06월_여_총인구수,"118,058","7,633","7,587","6,658","7,012","2,223","7,867","2,813","3,278","4,936","5,637","6,954","13,512","3,134","7,008","11,716","6,566","13,524"
2021년06월_여_연령구간인구수,"118,058","7,633","7,587","6,658","7,012","2,223","7,867","2,813","3,278","4,936","5,637","6,954","13,512","3,134","7,008","11,716","6,566","13,524"
2021년06월_여_0~9세,"7,072",446,706,330,396,74,330,72,122,258,328,527,932,155,449,903,313,731
2021년06월_여_10~19세,"10,392",493,"1,249",548,518,128,554,105,196,395,401,826,"1,484",134,446,"1,349",491,"1,075"
2021년06월_여_20~29세,"14,959","1,475",797,709,"1,291",218,829,589,381,939,781,717,"1,428",394,880,"1,457",672,"1,402"
2021년06월_여_30~39세,"12,352","1,050",818,618,933,191,689,270,269,608,674,775,"1,219",390,759,"1,265",577,"1,247"
2021년06월_여_40~49세,"17,750","1,074","1,727",984,"1,005",240,934,266,397,661,762,"1,269","2,303",392,908,"2,072",913,"1,843"
2021년06월_여_50~59세,"19,241","1,101",968,"1,184",949,342,"1,389",430,589,688,928,"1,097","2,284",532,"1,147","1,814","1,234","2,565"
2021년06월_여_60~69세,"18,059","1,041",693,"1,137",962,449,"1,604",503,645,617,785,832,"1,949",597,"1,219","1,375","1,130","2,521"
2021년06월_여_70~79세,"11,338",601,406,703,606,353,"1,008",352,397,466,549,586,"1,188",348,753,928,731,"1,363"
2021년06월_여_80~89세,"5,863",291,190,385,285,194,452,195,223,256,359,284,612,168,385,477,438,669
2021년06월_여_90~99세,991,59,29,58,65,33,71,29,58,46,70,41,106,23,61,75,63,104
2021년06월_여_100세 이상,41,2,4,2,2,1,7,2,1,2,0,0,7,1,1,1,4,4
