,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년04월_남_100세 이상,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
2021년04월_여_총인구수,"40,865","2,000","1,289",574,"1,029",927,"1,211",843,824,718,460,746,938,"1,145",953,"1,066","1,383","1,815","1,770","3,211","3,478","2,133","3,509","8,843"
2021년04월_여_연령구간인구수,"40,865","2,000","1,289",574,"1,029",927,"1,211",843,824,718,460,746,938,"1,145",953,"1,066","1,383","1,815","1,770","3,211","3,478","2,133","3,509","8,843"
2021년04월_여_0~9세,"2,272",77,40,21,33,28,40,18,31,22,6,25,31,41,35,40,55,81,81,264,269,98,187,749
2021년04월_여_10~19세,"3,472",97,90,26,56,45,59,37,36,23,14,32,39,65,57,83,79,171,127,333,389,136,294,"1,184"
2021년04월_여_20~29세,"3,299",125,95,26,63,43,47,34,35,37,25,43,50,88,38,65,60,157,162,313,263,202,335,993
2021년04월_여_30~39세,"3,071",93,70,30,46,35,50,31,39,37,22,26,42,50,43,38,82,137,133,343,329,170,285,940
2021년04월_여_40~49세,"5,137",163,120,35,65,60,82,47,61,43,20,40,61,100,61,132,132,237,231,492,547,256,461,"1,691"
2021년04월_여_50~59세,"6,340",318,215,80,163,128,155,96,119,89,59,95,131,177,129,216,243,301,249,487,503,359,592,"1,436"
2021년04월_여_60~69세,"6,660",377,269,110,188,179,251,176,171,133,109,138,178,195,200,166,306,306,330,424,523,391,577,963
2021년04월_여_70~79세,"5,611",374,202,100,188,202,267,171,152,155,103,158,189,195,202,166,252,257,283,341,406,304,422,522
2021년04월_여_80~89세,"4,221",314,155,123,188,176,220,196,146,158,90,163,185,189,159,142,142,149,144,187,212,179,303,301
2021년04월_여_90~99세,757,62,29,23,38,31,39,36,34,21,12,26,30,43,27,18,30,19,29,26,37,34,51,62
2021년04월_여_100세 이상,25,0,4,0,1,0,1,1,0,0,0,0,2,2,2,0,2,0,1,1,0,4,2,2
