,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년03월_계_100세 이상,46,4,4,3,3,1,7,2,1,3,0,0,7,0,2,2,3,4
2021년03월_남_총인구수,"115,273","8,264","6,975","6,419","6,917","2,483","7,951","2,698","3,375","4,582","4,897","6,551","12,591","3,506","6,809","10,914","6,226","14,115"
2021년03월_남_연령구간인구수,"115,273","8,264","6,975","6,419","6,917","2,483","7,951","2,698","3,375","4,582","4,897","6,551","12,591","3,506","6,809","10,914","6,226","14,115"
2021년03월_남_0~9세,"7,550",417,747,343,488,99,362,96,170,247,301,622,983,177,449,986,305,758
2021년03월_남_10~19세,"11,201",513,"1,198",648,611,163,573,143,229,328,382,799,"1,594",210,516,"1,479",583,"1,232"
2021년03월_남_20~29세,"15,663","1,344",797,847,"1,118",271,977,455,401,822,732,769,"1,618",490,906,"1,415",864,"1,837"
2021년03월_남_30~39세,"13,211","1,265",667,707,983,254,906,352,372,664,641,741,"1,107",490,842,"1,105",685,"1,430"
2021년03월_남_40~49세,"18,460","1,403","1,515","1,043","1,142",356,"1,115",333,474,701,689,"1,159","2,064",558,"1,010","1,853",929,"2,116"
2021년03월_남_50~59세,"19,802","1,489","1,107","1,131","1,035",488,"1,396",473,633,765,825,"1,107","2,165",596,"1,071","1,735","1,145","2,641"
2021년03월_남_60~69세,"16,255","1,119",529,966,876,453,"1,464",427,588,551,687,749,"1,592",589,"1,041","1,241",956,"2,427"
2021년03월_남_70~79세,"9,292",520,287,522,462,278,861,269,342,351,420,440,"1,040",287,699,745,515,"1,254"
2021년03월_남_80~89세,"3,526",175,118,188,175,117,275,139,154,142,199,157,388,103,250,330,230,386
2021년03월_남_90~99세,305,17,9,23,26,4,22,11,12,10,21,8,40,6,24,24,14,34
2021년03월_남_100세 이상,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021년03월_여_총인구수,"118,328","7,691","7,618","6,750","7,047","2,231","7,899","2,828","3,286","4,951","5,512","6,943","13,579","3,155","6,976","11,748","6,563","13,551"
2021년03월_여_연령구간인구수,"118,328","7,691","7,618","6,750","7,047","2,231","7,899","2,828","3,286","4,951","5,512","6,943","13,579","3,155","6,976","11,748","6,563","13,551"
2021년03월_여_0~9세,"7,172",453,732,347,407,75,335,67,125,255,315,526,936,158,454,914,319,754
2021년03월_여_10~19세,"10,494",505,"1,238",561,511,134,556,112,212,400,400,830,"1,503",145,445,"1,367",504,"1,071"
2021년03월_여_20~29세,"14,989","1,473",799,719,"1,313",210,836,599,376,959,730,707,"1,435",394,880,"1,451",666,"1,442"
2021년03월_여_30~39세,"12,493","1,080",832,635,957,202,699,265,269,586,648,783,"1,247",400,766,"1,284",578,"1,262"
2021년03월_여_40~49세,"17,849","1,066","1,741","1,016",998,242,952,273,399,667,764,"1,268","2,319",403,889,"2,098",920,"1,834"
2021년03월_여_50~59세,"19,387","1,126",972,"1,213",959,343,"1,412",434,588,706,908,"1,104","2,291",541,"1,153","1,793","1,249","2,595"
2021년03월_여_60~69세,"17,836","1,040",675,"1,124",946,447,"1,570",501,649,616,776,820,"1,933",596,"1,198","1,362","1,110","2,473"
2021년03월_여_70~79세,"11,305",593,401,691,601,357,"1,019",352,398,464,547,582,"1,186",332,770,934,719,"1,359"
2021년03월_여_80~89세,"5,786",295,195,386,287,190,445,192,216,251,355,283,615,162,360,469,433,652
2021년03월_여_90~99세,979,58,30,56,66,30,68,31,53,45,69,40,107,24,60,75,62,105
2021년03월_여_100세 이상,38,2,3,2,2,1,7,2,1,2,0,0,7,0,1,1,3,4
