,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년04월_남_연령구간인구수,"186,652","10,839","15,209","15,743","10,103","17,392","9,050","16,090","8,697","11,021","8,787","8,240","6,117","5,293","9,371","10,007","7,310","6,009","11,374"
2021년04월_남_0~9세,"13,014",690,584,"1,415",569,"1,415",494,"1,713",677,819,282,596,424,400,589,"1,109",459,217,562
2021년04월_남_10~19세,"12,514",650,462,"1,452",481,"1,123",491,"1,529",512,795,437,597,447,372,713,916,466,293,778
2021년04월_남_20~29세,"27,594","1,523","3,024","1,719","1,630","2,930","1,295","1,778","1,198","1,693","1,683","1,072",818,675,"1,512","1,357","1,073",968,"1,646"
2021년04월_남_30~39세,"35,546","1,680","3,983","2,327","2,188","3,913","1,695","2,945","2,306","2,700","1,720","1,283",959,826,"1,568","1,713","1,051",926,"1,763"
2021년04월_남_40~49세,"28,831","1,614","2,090","2,515","1,480","2,586","1,433","3,001","1,506","1,647","1,318","1,252",984,822,"1,386","1,679","1,109",856,"1,553"
2021년04월_남_50~59세,"28,681","1,866","2,231","2,498","1,527","2,278","1,560","2,092","1,067","1,591","1,308","1,428","1,006",905,"1,467","1,494","1,248","1,046","2,069"
2021년04월_남_60~69세,"23,040","1,657","1,785","1,959","1,287","1,826","1,164","1,666",780,"1,083","1,102","1,169",888,766,"1,235","1,051","1,012",850,"1,760"
2021년04월_남_70~79세,"12,376",848,779,"1,163",646,934,639,977,466,491,643,638,423,407,654,502,658,603,905
2021년04월_남_80~89세,"4,638",276,243,621,274,349,255,349,167,182,275,189,158,114,235,170,222,239,320
2021년04월_남_90~99세,403,35,28,73,20,35,23,37,18,20,19,15,8,6,12,16,9,11,18
2021년04월_남_100세 이상,15,0,0,1,1,3,1,3,0,0,0,1,2,0,0,0,3,0,0
2021년04월_여_총인구수,"191,044","10,360","13,337","17,716","10,434","19,869","8,904","16,796","8,994","11,216","8,460","8,480","6,171","5,596","9,781","10,003","7,445","6,184","11,298"
2021년04월_여_연령구간인구수,"191,044","10,360","13,337","17,716","10,434","19,869","8,904","16,796","8,994","11,216","8,460","8,480","6,171","5,596","9,781","10,003","7,445","6,184","11,298"
2021년04월_여_0~9세,"12,482",690,621,"1,421",519,"1,358",456,"1,620",592,793,285,550,428,408,585,970,412,208,566
2021년04월_여_10~19세,"11,522",578,412,"1,445",485,"1,146",440,"1,392",505,734,418,549,378,373,526,789,393,293,666
2021년04월_여_20~29세,"31,658","1,328","4,088","2,076","1,927","4,346","1,440","1,998","1,594","2,048","1,741","1,102",742,659,"1,705","1,353","1,089",932,"1,490"
2021년04월_여_30~39세,"33,834","1,556","3,161","2,775","2,047","4,257","1,521","3,202","2,180","2,508","1,263","1,223",896,753,"1,545","1,734",950,741,"1,522"
2021년04월_여_40~49세,"27,136","1,468","1,468","2,835","1,350","2,659","1,255","2,958","1,306","1,624","1,085","1,183",927,793,"1,307","1,617",981,772,"1,548"
2021년04월_여_50~59세,"27,700","1,706","1,331","2,619","1,500","2,496","1,386","2,094",994,"1,460","1,199","1,431",995,959,"1,555","1,528","1,276","1,102","2,069"
2021년04월_여_60~69세,"24,288","1,595","1,180","2,194","1,385","1,932","1,178","1,907",924,"1,109","1,175","1,282",960,916,"1,416","1,113","1,164","1,020","1,838"
2021년04월_여_70~79세,"14,491",963,702,"1,407",775,"1,047",777,"1,041",573,600,850,761,548,476,736,576,800,783,"1,076"
2021년04월_여_80~89세,"6,808",408,314,822,388,531,390,497,280,290,386,341,255,219,346,281,318,286,456
2021년04월_여_90~99세,"1,074",61,59,116,55,94,58,82,43,48,54,54,41,38,59,40,61,45,66
2021년04월_여_100세 이상,51,7,1,6,3,3,3,5,3,2,4,4,1,2,1,2,1,2,1
