카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년12월_남_0~9세,"7,763",428,768,363,499,101,370,101,172,255,309,643,"1,003",184,458,"1,018",312,779
2020년12월_남_10~19세,"11,332",513,"1,205",668,607,168,587,145,242,330,381,814,"1,614",205,526,"1,504",584,"1,239"
2020년12월_남_20~29세,"15,848","1,333",819,871,"1,128",275,997,448,396,829,760,776,"1,626",495,905,"1,431",884,"1,875"
2020년12월_남_30~39세,"13,430","1,298",683,709,985,271,924,345,374,658,640,753,"1,142",492,853,"1,153",692,"1,458"
2020년12월_남_40~49세,"18,729","1,420","1,535","1,077","1,168",351,"1,119",340,492,723,701,"1,176","2,083",552,"1,006","1,878",944,"2,164"
2020년12월_남_50~59세,"20,046","1,514","1,106","1,165","1,051",497,"1,413",479,639,773,837,"1,115","2,169",627,"1,086","1,743","1,151","2,681"
2020년12월_남_60~69세,"16,011","1,119",521,939,873,435,"1,441",414,569,553,660,726,"1,572",591,"1,032","1,232",954,"2,380"
2020년12월_남_70~79세,"9,269",530,283,515,463,285,855,276,351,354,419,440,"1,020",284,696,741,522,"1,235"
2020년12월_남_80~89세,"3,475",169,119,190,178,109,269,136,154,140,193,147,381,101,246,330,225,388
2020년12월_남_90~99세,309,21,8,22,25,8,18,10,16,10,19,8,37,6,27,25,14,35
2020년12월_남_100세 이상,21,4,1,1,2,1,1,3,2,3,0,0,0,0,2,1,0,0
2020년12월_여_총인구수,"119,317","7,812","7,689","6,865","7,153","2,265","7,916","2,773","3,373","5,051","5,512","7,009","13,650","3,136","7,061","11,795","6,624","13,633"
2020년12월_여_연령구간인구수,"119,317","7,812","7,689","6,865","7,153","2,265","7,916","2,773","3,373","5,051","5,512","7,009","13,650","3,136","7,061","11,795","6,624","13,633"
2020년12월_여_0~9세,"7,411",465,762,366,440,75,345,64,133,265,327,552,968,154,454,939,332,770
2020년12월_여_10~19세,"10,655",499,"1,241",573,516,134,566,115,223,411,399,822,"1,539",153,466,"1,385",513,"1,100"
2020년12월_여_20~29세,"15,092","1,475",811,753,"1,335",222,844,549,369,991,739,747,"1,422",368,897,"1,433",682,"1,455"
2020년12월_여_30~39세,"12,661","1,100",874,631,979,202,702,249,283,581,650,804,"1,269",394,762,"1,314",587,"1,280"
2020년12월_여_40~49세,"18,176","1,086","1,738","1,074","1,007",248,969,272,417,697,773,"1,306","2,347",404,928,"2,120",932,"1,858"
2020년12월_여_50~59세,"19,648","1,175",973,"1,216",980,349,"1,434",437,625,721,897,"1,091","2,311",558,"1,145","1,803","1,280","2,653"
2020년12월_여_60~69세,"17,592","1,043",657,"1,133",931,437,"1,538",500,639,612,756,796,"1,899",591,"1,215","1,334","1,087","2,424"
2020년12월_여_70~79세,"11,319",597,409,682,603,367,"1,015",357,412,473,551,577,"1,176",330,768,943,721,"1,338"
2020년12월_여_80~89세,"5,739",311,188,378,291,199,430,194,218,254,351,278,607,155,359,447,430,649
2020년12월_여_90~99세,960,58,32,54,65,29,66,33,51,43,68,36,105,27,62,74,57,100
2020년12월_여_100세 이상,64,3,4,5,6,3,7,3,3,3,1,0,7,2,5,3,3,6
