,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년04월_계_90~99세,"1,298",76,38,81,92,34,94,42,66,59,92,46,148,31,84,97,76,142
2021년04월_계_100세 이상,48,4,5,3,3,1,7,2,1,3,0,0,7,0,2,2,4,4
2021년04월_남_총인구수,"114,991","8,213","6,959","6,383","6,887","2,481","7,920","2,686","3,377","4,584","4,909","6,544","12,551","3,462","6,816","10,906","6,225","14,088"
2021년04월_남_연령구간인구수,"114,991","8,213","6,959","6,383","6,887","2,481","7,920","2,686","3,377","4,584","4,909","6,544","12,551","3,462","6,816","10,906","6,225","14,088"
2021년04월_남_0~9세,"7,498",419,741,331,481,101,360,94,171,245,301,619,975,169,452,980,310,749
2021년04월_남_10~19세,"11,133",511,"1,200",636,602,168,571,147,226,334,382,794,"1,581",202,510,"1,474",574,"1,221"
2021년04월_남_20~29세,"15,604","1,324",794,848,"1,113",273,959,451,400,807,736,781,"1,616",479,917,"1,411",869,"1,826"
2021년04월_남_30~39세,"13,178","1,262",665,691,972,255,904,350,373,665,653,731,"1,104",491,846,"1,111",683,"1,422"
2021년04월_남_40~49세,"18,377","1,393","1,514","1,037","1,144",350,"1,101",329,477,706,688,"1,152","2,047",544,"1,006","1,852",920,"2,117"
2021년04월_남_50~59세,"19,756","1,476","1,098","1,126","1,033",487,"1,395",466,629,762,822,"1,118","2,158",596,"1,063","1,730","1,148","2,649"
2021년04월_남_60~69세,"16,321","1,125",536,974,879,451,"1,474",435,592,558,685,743,"1,600",589,"1,047","1,245",962,"2,426"
2021년04월_남_70~79세,"9,253",509,285,521,457,277,856,266,344,348,420,441,"1,040",282,699,741,510,"1,257"
2021년04월_남_80~89세,"3,556",175,116,194,178,115,276,137,154,147,201,157,390,104,252,337,235,388
2021년04월_남_90~99세,307,17,9,24,27,4,24,11,11,11,21,8,40,6,23,24,14,33
2021년04월_남_100세 이상,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021년04월_여_총인구수,"118,222","7,669","7,611","6,741","7,049","2,246","7,881","2,829","3,286","4,942","5,526","6,934","13,551","3,139","6,989","11,737","6,547","13,545"
2021년04월_여_연령구간인구수,"118,222","7,669","7,611","6,741","7,049","2,246","7,881","2,829","3,286","4,942","5,526","6,934","13,551","3,139","6,989","11,737","6,547","13,545"
2021년04월_여_0~9세,"7,150",455,720,346,401,76,330,68,124,258,320,520,936,158,458,909,314,757
2021년04월_여_10~19세,"10,445",498,"1,239",551,514,135,556,108,203,400,394,832,"1,495",139,443,"1,363",502,"1,073"
2021년04월_여_20~29세,"14,986","1,473",809,720,"1,313",216,832,599,384,945,745,701,"1,436",391,874,"1,461",661,"1,426"
2021년04월_여_30~39세,"12,430","1,071",825,639,944,202,694,266,267,590,644,780,"1,236",400,766,"1,270",578,"1,258"
2021년04월_여_40~49세,"17,796","1,064","1,738","1,000","1,003",246,946,271,397,672,762,"1,267","2,310",391,891,"2,086",915,"1,837"
2021년04월_여_50~59세,"19,353","1,115",971,"1,216",963,338,"1,400",431,588,700,912,"1,110","2,284",539,"1,155","1,804","1,240","2,587"
2021년04월_여_60~69세,"17,900","1,040",680,"1,130",954,451,"1,576",507,649,614,771,819,"1,942",598,"1,205","1,365","1,113","2,486"
2021년04월_여_70~79세,"11,319",598,401,698,604,356,"1,021",353,400,462,547,579,"1,185",336,762,938,726,"1,353"
2021년04월_여_80~89세,"5,812",294,195,382,286,195,449,193,218,251,360,288,612,162,373,467,432,655
2021년04월_여_90~99세,991,59,29,57,65,30,70,31,55,48,71,38,108,25,61,73,62,109
2021년04월_여_100세 이상,40,2,4,2,2,1,7,2,1,2,0,0,7,0,1,1,4,4
