,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년10월_남_60~69세,"28,208","1,680","1,885","1,884","1,689","1,165",940,"1,925","1,098","1,383",902,"2,390","1,162",852,"1,234","1,414","2,418","2,052","2,135"
2021년10월_남_70~79세,"13,853",991,972,887,835,499,434,800,503,573,438,"1,082",669,465,533,841,"1,349","1,035",947
2021년10월_남_80~89세,"4,873",339,351,348,336,158,229,388,275,275,153,327,206,165,107,324,415,252,225
2021년10월_남_90~99세,403,25,25,34,23,20,34,35,31,22,11,31,13,8,7,17,33,18,16
2021년10월_남_100세 이상,20,1,1,1,4,2,1,1,0,1,0,1,1,0,1,2,1,1,1
2021년10월_여_총인구수,"206,362","11,811","16,080","15,201","14,328","8,321","9,678","17,334","8,603","12,214","5,138","17,575","6,552","4,396","8,180","6,957","11,994","19,300","12,700"
2021년10월_여_연령구간인구수,"206,362","11,811","16,080","15,201","14,328","8,321","9,678","17,334","8,603","12,214","5,138","17,575","6,552","4,396","8,180","6,957","11,994","19,300","12,700"
2021년10월_여_0~9세,"13,248",617,"1,356","1,406","1,023",643,587,971,521,802,223,"1,224",248,99,577,177,392,"1,798",584
2021년10월_여_10~19세,"17,951",762,"1,478","1,571","1,218",553,930,"1,381",848,"1,447",214,"1,934",277,218,754,346,652,"2,428",940
2021년10월_여_20~29세,"22,646","1,508","1,651","1,316","1,662",801,"1,444","2,684",874,"1,361",516,"1,863",602,420,923,688,"1,025","1,941","1,367"
2021년10월_여_30~39세,"23,165","1,409","2,000","1,909","1,856","1,155","1,103","2,325",840,"1,299",578,"1,834",666,315,947,443,815,"2,343","1,328"
2021년10월_여_40~49세,"33,680","1,741","2,815","2,713","2,518","1,389","1,792","2,714","1,383","2,205",621,"3,212",767,489,"1,286",735,"1,380","4,085","1,835"
2021년10월_여_50~59세,"36,417","2,034","2,823","2,595","2,513","1,481","1,654","3,179","1,595","2,269",921,"3,148","1,215",827,"1,559","1,233","2,061","2,802","2,508"
2021년10월_여_60~69세,"31,758","2,017","2,153","2,107","1,891","1,355","1,030","2,139","1,250","1,458","1,104","2,456","1,405","1,030","1,337","1,457","2,741","2,335","2,493"
2021년10월_여_70~79세,"17,260","1,142","1,114","1,001","1,037",621,658,"1,161",734,805,576,"1,199",896,628,523,"1,223","1,848","1,068","1,026"
2021년10월_여_80~89세,"8,778",485,570,490,522,258,431,675,476,487,330,597,433,333,237,572,921,422,539
2021년10월_여_90~99세,"1,406",93,115,91,75,60,48,103,81,80,53,106,41,37,36,79,155,76,77
2021년10월_여_100세 이상,53,3,5,2,13,5,1,2,1,1,2,2,2,0,1,4,4,2,3
