,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년09월_여_0~9세,"9,847",208,434,371,598,365,739,280,"1,632",541,817,"1,172",373,440,897,980
2020년09월_여_10~19세,"12,936",416,524,373,703,497,923,270,"2,716",728,917,"1,316",454,598,"1,199","1,302"
2020년09월_여_20~29세,"33,156","5,414","2,302","1,478","2,178","1,341","2,246","1,397","2,096","2,311","1,974","2,020","1,392","2,601","1,907","2,499"
2020년09월_여_30~39세,"28,592","2,061","1,802","1,440","2,015","1,298","2,246","1,449","2,252","1,905","2,044","2,327","1,216","2,162","1,967","2,408"
2020년09월_여_40~49세,"26,822",977,"1,249","1,073","1,523","1,170","2,115",800,"4,150","1,706","2,073","2,445","1,190","1,596","2,286","2,469"
2020년09월_여_50~59세,"28,103",983,"1,442","1,309","1,893","1,508","2,803",796,"2,668","1,894","2,280","2,431","1,498","1,665","2,378","2,555"
2020년09월_여_60~69세,"22,047",892,"1,225","1,076","1,501","1,235","2,301",667,"1,524","1,482","1,847","1,776","1,554","1,323","1,849","1,795"
2020년09월_여_70~79세,"12,096",570,739,633,787,704,"1,224",401,827,883,890,854,890,780,"1,040",874
2020년09월_여_80~89세,"5,291",236,316,215,294,288,445,170,480,349,384,509,372,349,448,436
2020년09월_여_90~99세,912,44,52,46,62,41,79,27,101,59,69,79,57,44,70,82
2020년09월_여_100세 이상,167,19,9,6,7,12,20,5,7,10,11,11,11,12,20,7
