,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년04월_남_연령구간인구수,"188,032","15,914","6,565","21,495","13,984","11,831","13,962","15,484","10,891","12,931","12,032","6,820","7,082","18,257","11,276","9,508"
2021년04월_남_0~9세,"12,264",974,172,"1,382","1,277",610,836,"1,184",408,895,"1,053",390,531,"1,093",761,698
2021년04월_남_10~19세,"14,086","1,018",277,"1,624","1,011",824,"1,013","1,120",460,908,886,388,513,"2,012","1,168",864
2021년04월_남_20~29세,"31,684","2,846","1,247","4,848","2,053","1,933","2,193","2,594","2,231","1,711","1,601","1,138","1,074","3,004","1,643","1,568"
2021년04월_남_30~39세,"31,227","2,966","1,170","3,058","2,382","2,131","2,484","2,209","2,453","2,152","1,908","1,260","1,311","2,631","1,527","1,585"
2021년04월_남_40~49세,"29,291","2,245",877,"3,217","2,342","1,791","2,176","2,482","1,517","1,963","1,960","1,040","1,146","3,111","1,862","1,562"
2021년04월_남_50~59세,"27,904","2,268","1,063","2,961","2,065","1,826","2,085","2,460","1,396","1,968","1,721",946,"1,048","2,947","1,860","1,290"
2021년04월_남_60~69세,"22,943","1,992",968,"2,490","1,597","1,446","1,807","1,878","1,335","1,781","1,604",902,829,"1,911","1,391","1,012"
2021년04월_남_70~79세,"13,251","1,105",541,"1,353",869,922,987,"1,091",819,"1,112",963,551,458,"1,070",761,649
2021년04월_남_80~89세,"4,876",448,227,502,349,325,340,422,261,389,312,189,158,420,275,259
2021년04월_남_90~99세,455,48,19,54,36,21,37,42,10,38,21,16,13,52,27,21
2021년04월_남_100세 이상,51,4,4,6,3,2,4,2,1,14,3,0,1,6,1,0
2021년04월_여_총인구수,"200,640","15,941","6,174","23,005","15,098","12,916","14,787","16,279","12,004","13,988","12,756","7,434","7,525","20,128","12,191","10,414"
2021년04월_여_연령구간인구수,"200,640","15,941","6,174","23,005","15,098","12,916","14,787","16,279","12,004","13,988","12,756","7,434","7,525","20,128","12,191","10,414"
2021년04월_여_0~9세,"11,789",938,160,"1,374","1,207",582,780,"1,153",384,861,"1,037",333,495,"1,066",733,686
2021년04월_여_10~19세,"13,350",945,254,"1,562",990,794,858,"1,039",420,706,749,361,493,"2,115","1,257",807
2021년04월_여_20~29세,"33,943","2,563","1,169","4,765","2,279","2,236","2,391","2,375","2,957","1,884","1,763","1,352","1,136","3,370","1,781","1,922"
2021년04월_여_30~39세,"30,534","2,492",821,"3,099","2,577","2,007","2,317","2,240","2,221","2,218","2,123","1,202","1,267","2,723","1,541","1,686"
2021년04월_여_40~49세,"29,023","2,058",684,"3,304","2,280","1,803","2,112","2,337","1,430","2,018","1,858",972,"1,157","3,361","2,069","1,580"
2021년04월_여_50~59세,"30,078","2,395","1,027","3,337","2,209","2,015","2,305","2,696","1,615","2,167","1,888","1,110","1,159","2,916","1,846","1,393"
2021년04월_여_60~69세,"26,800","2,291","1,047","2,871","1,839","1,773","2,066","2,149","1,684","2,152","1,809","1,109",961,"2,314","1,566","1,169"
2021년04월_여_70~79세,"16,455","1,399",650,"1,703","1,075","1,146","1,281","1,416",953,"1,342","1,092",678,548,"1,459",904,809
2021년04월_여_80~89세,"7,229",722,294,814,527,481,592,735,284,522,371,259,252,661,410,305
2021년04월_여_90~99세,"1,313",119,61,156,105,75,81,133,54,100,64,52,54,127,77,55
2021년04월_여_100세 이상,126,19,7,20,10,4,4,6,2,18,2,6,3,16,7,2
