,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년06월_남_연령구간인구수,"39,277","1,844","1,337",554,"1,003",890,"1,094",772,842,766,495,748,913,"1,132",917,"1,037","1,330","1,631","1,574","2,981","3,208","2,048","3,582","8,579"
2021년06월_남_0~9세,"2,543",90,52,22,25,35,26,25,36,31,20,28,33,53,53,39,60,92,91,300,274,110,207,841
2021년06월_남_10~19세,"3,690",104,74,31,53,52,58,37,51,39,21,33,44,83,56,96,112,168,116,292,371,189,307,"1,303"
2021년06월_남_20~29세,"4,202",136,136,37,85,68,76,44,55,65,32,54,76,89,52,76,109,216,194,370,353,279,423,"1,177"
2021년06월_남_30~39세,"3,173",115,80,25,63,45,61,36,54,34,28,30,47,76,51,52,64,138,142,335,287,225,303,882
2021년06월_남_40~49세,"5,339",179,150,77,91,98,135,84,89,62,47,89,98,113,102,119,153,210,215,459,553,241,508,"1,467"
2021년06월_남_50~59세,"7,226",366,271,94,210,175,196,136,158,170,99,131,191,229,182,281,275,289,275,503,526,324,702,"1,443"
2021년06월_남_60~69세,"6,680",433,291,122,250,195,253,181,204,145,121,140,186,250,195,197,296,249,252,413,458,353,588,908
2021년06월_남_70~79세,"4,135",253,184,91,131,131,183,134,120,130,80,140,152,137,148,121,170,172,202,212,270,224,360,390
2021년06월_남_80~89세,"2,058",156,84,47,83,82,98,82,66,83,40,92,80,89,70,55,84,88,76,90,106,87,162,158
2021년06월_남_90~99세,225,12,15,8,11,9,8,12,9,7,7,10,6,13,7,1,7,9,10,7,10,15,22,10
2021년06월_남_100세 이상,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2021년06월_여_총인구수,"40,755","1,996","1,286",566,"1,028",913,"1,205",840,816,718,458,735,927,"1,153",950,"1,065","1,394","1,792","1,761","3,194","3,424","2,151","3,492","8,891"
2021년06월_여_연령구간인구수,"40,755","1,996","1,286",566,"1,028",913,"1,205",840,816,718,458,735,927,"1,153",950,"1,065","1,394","1,792","1,761","3,194","3,424","2,151","3,492","8,891"
2021년06월_여_0~9세,"2,256",76,42,22,34,23,39,18,32,21,7,24,29,42,35,40,52,81,87,264,261,99,189,739
2021년06월_여_10~19세,"3,454",98,87,25,54,45,60,35,36,24,14,31,35,65,56,84,81,166,119,319,392,140,291,"1,197"
2021년06월_여_20~29세,"3,291",125,95,25,63,42,45,33,37,34,24,40,49,91,39,66,59,152,163,315,259,206,335,994
2021년06월_여_30~39세,"3,051",95,72,30,44,34,46,29,35,39,25,25,40,51,41,36,82,136,134,345,325,171,279,937
2021년06월_여_40~49세,"5,080",160,115,33,65,61,84,46,59,44,19,39,61,101,61,124,131,225,228,489,528,258,465,"1,684"
2021년06월_여_50~59세,"6,300",316,215,79,162,128,152,94,116,83,62,90,133,178,129,223,240,298,249,480,487,358,569,"1,459"
2021년06월_여_60~69세,"6,706",382,270,110,188,177,253,181,170,134,105,139,175,198,199,165,316,309,321,422,527,395,587,983
2021년06월_여_70~79세,"5,595",371,201,96,185,198,263,168,150,159,104,157,187,198,202,165,253,254,284,345,399,307,423,526
2021년06월_여_80~89세,"4,233",310,156,123,194,174,224,197,147,159,87,164,187,186,159,144,146,150,143,187,210,180,300,306
2021년06월_여_90~99세,763,63,29,23,38,31,38,38,34,21,11,26,29,42,27,18,31,21,32,27,36,33,52,63
2021년06월_여_100세 이상,26,0,4,0,1,0,1,1,0,0,0,0,2,1,2,0,3,0,1,1,0,4,2,3
