,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년08월_계_100세 이상,173,8,4,30,21,17,2,23,6,8,7,9,12,6,8,11,1
2020년08월_남_총인구수,"200,251","17,785","10,527","12,463","12,195","9,996","14,353","5,087","11,677","13,716","16,630","15,605","10,356","11,072","18,973","11,858","7,958"
2020년08월_남_연령구간인구수,"200,251","17,785","10,527","12,463","12,195","9,996","14,353","5,087","11,677","13,716","16,630","15,605","10,356","11,072","18,973","11,858","7,958"
2020년08월_남_0~9세,"14,851","1,815","1,028",488,750,439,976,132,725,938,"1,058","1,197",650,633,"1,794",773,"1,455"
2020년08월_남_10~19세,"15,803","1,838","1,050",775,743,570,839,176,"1,051","1,197","1,262","1,190",801,647,"1,988","1,125",551
2020년08월_남_20~29세,"27,249","2,138","1,360","1,689","2,003","1,382","2,215",762,"1,740","1,897","2,291","1,936","1,354","1,766","2,296","1,600",820
2020년08월_남_30~39세,"32,523","3,017","2,002","1,622","2,742","1,578","2,735",733,"1,536","1,722","2,467","2,388","1,524","2,263","2,555","1,718","1,921"
2020년08월_남_40~49세,"32,717","3,204","1,841","1,912","2,223","1,555","2,151",689,"1,813","2,215","2,554","2,508","1,676","1,660","3,433","1,927","1,356"
2020년08월_남_50~59세,"31,336","2,559","1,434","2,463","1,601","1,770","2,323","1,156","1,946","2,400","2,823","2,313","1,642","1,518","2,704","1,873",811
2020년08월_남_60~69세,"26,008","1,914","1,176","1,903","1,147","1,405","1,804",876,"1,690","1,893","2,388","2,303","1,564","1,421","2,228","1,658",638
2020년08월_남_70~79세,"14,929","1,013",485,"1,189",738,947,986,410,925,"1,075","1,351","1,357",856,880,"1,462",938,317
2020년08월_남_80~89세,"4,434",266,131,391,223,319,299,132,230,353,408,375,263,268,472,225,79
2020년08월_남_90~99세,362,20,19,25,23,26,25,16,20,24,26,35,22,15,38,18,10
2020년08월_남_100세 이상,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020년08월_여_총인구수,"205,244","18,610","10,901","12,287","11,746","10,578","15,270","4,266","11,702","13,957","16,607","16,341","10,819","11,537","20,302","12,137","8,184"
2020년08월_여_연령구간인구수,"205,244","18,610","10,901","12,287","11,746","10,578","15,270","4,266","11,702","13,957","16,607","16,341","10,819","11,537","20,302","12,137","8,184"
2020년08월_여_0~9세,"14,221","1,844",942,466,668,428,943,113,658,938,"1,071","1,112",645,633,"1,709",742,"1,309"
2020년08월_여_10~19세,"14,795","1,720",940,686,697,578,805,144,986,"1,116","1,207","1,191",714,608,"1,920",919,564
2020년08월_여_20~29세,"28,368","2,250","1,505","1,585","2,155","1,508","2,886",681,"1,583","1,793","2,160","1,924","1,295","2,203","2,407","1,502",931
2020년08월_여_30~39세,"31,226","3,331","1,962","1,323","2,330","1,441","2,778",519,"1,391","1,659","2,265","2,370","1,428","2,106","2,654","1,621","2,048"
2020년08월_여_40~49세,"31,018","3,317","1,816","1,690","1,805","1,496","2,048",536,"1,790","2,170","2,360","2,361","1,622","1,515","3,379","1,934","1,179"
2020년08월_여_50~59세,"32,130","2,613","1,623","2,283","1,445","1,755","2,282",784,"2,021","2,442","2,882","2,637","1,873","1,545","2,955","2,058",932
2020년08월_여_60~69세,"29,040","2,078","1,355","2,079","1,397","1,675","1,911",734,"1,804","2,022","2,548","2,673","1,849","1,523","2,743","1,868",781
2020년08월_여_70~79세,"16,501",955,491,"1,471",830,"1,154","1,107",463,994,"1,235","1,446","1,469",922,931,"1,743","1,022",268
2020년08월_여_80~89세,"6,701",427,220,580,357,463,447,235,395,506,557,511,405,395,669,396,138
2020년08월_여_90~99세,"1,110",68,44,100,43,68,61,39,75,70,106,87,58,73,118,67,33
2020년08월_여_100세 이상,134,7,3,24,19,12,2,18,5,6,5,6,8,5,5,8,1
