,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년07월_여_연령구간인구수,"229,616","16,113","15,403","11,536","13,105","20,845","10,059","10,638","7,277","9,276","7,479","7,008","10,281","10,501","9,984","25,457","16,791","12,724","15,139"
2021년07월_여_0~9세,"14,837","1,414",804,608,703,"1,513",451,672,362,711,461,705,472,859,643,"1,807",725,984,943
2021년07월_여_10~19세,"23,879","2,533","1,157",689,"1,510","3,331",633,893,537,751,582,622,643,"1,424","1,413","2,730","1,102","1,729","1,600"
2021년07월_여_20~29세,"28,777","1,666","2,486","1,799","1,925","2,079","1,269","1,261",942,"1,032","1,054",783,"1,222","1,173","1,177","2,984","2,762","1,505","1,658"
2021년07월_여_30~39세,"28,610","1,816","2,571","2,007","1,364","2,110","1,212","1,426",891,"1,193",962,"1,278","1,204","1,121",926,"3,127","2,296","1,494","1,612"
2021년07월_여_40~49세,"40,466","3,716","2,380","1,652","2,447","4,933","1,427","1,603",969,"1,497","1,129","1,076","1,409","2,129","2,003","4,353","2,549","2,568","2,626"
2021년07월_여_50~59세,"38,280","2,362","2,534","1,932","2,479","3,239","1,771","1,663","1,290","1,462","1,297","1,043","1,808","1,699","1,712","4,358","2,780","2,224","2,627"
2021년07월_여_60~69세,"31,107","1,552","2,068","1,659","1,431","2,228","1,858","1,813","1,188","1,496","1,165",924,"1,860","1,179","1,151","3,405","2,592","1,387","2,151"
2021년07월_여_70~79세,"15,257",675,895,728,812,829,978,901,743,734,552,401,"1,033",557,610,"1,753","1,404",489,"1,163"
2021년07월_여_80~89세,"7,074",316,438,398,367,467,375,337,311,352,232,147,553,283,290,789,500,273,646
2021년07월_여_90~99세,"1,275",61,67,60,61,112,81,67,42,45,45,25,77,75,55,145,77,70,110
2021년07월_여_100세 이상,54,2,3,4,6,4,4,2,2,3,0,4,0,2,4,6,4,1,3
