카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년03월_여_10~19세,"11,096",551,"1,257",627,514,136,601,124,232,441,408,865,"1,581",152,489,"1,432",537,"1,149"
2020년03월_여_20~29세,"15,279","1,535",812,786,"1,306",223,852,522,392,972,757,749,"1,487",387,876,"1,415",722,"1,486"
2020년03월_여_30~39세,"13,335","1,175",936,711,999,202,708,260,309,616,666,888,"1,363",402,777,"1,383",615,"1,325"
2020년03월_여_40~49세,"18,723","1,191","1,747","1,102",990,261,996,293,441,733,808,"1,317","2,412",416,954,"2,146",987,"1,929"
2020년03월_여_50~59세,"20,029","1,269",961,"1,246","1,031",370,"1,496",484,645,740,892,"1,086","2,300",595,"1,194","1,769","1,276","2,675"
2020년03월_여_60~69세,"17,179","1,076",658,"1,113",932,427,"1,458",457,608,612,765,786,"1,858",553,"1,188","1,306","1,024","2,358"
2020년03월_여_70~79세,"11,110",622,404,675,594,369,973,374,420,492,538,543,"1,133",340,740,917,710,"1,266"
2020년03월_여_80~89세,"5,541",310,175,361,282,195,421,182,209,257,339,250,610,144,347,430,407,622
2020년03월_여_90~99세,960,63,31,59,63,32,70,28,49,42,67,40,93,25,67,74,51,106
2020년03월_여_100세 이상,59,3,4,4,4,2,6,3,2,4,1,0,8,2,5,3,3,5
