,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년04월_여_10~19세,"14,637",4,98,289,470,622,552,830,665,235,"2,057",576,"1,562",516,901,682,"2,092","2,454",32
2021년04월_여_20~29세,"18,007",19,176,612,895,820,617,"1,167",690,528,"2,082",776,"1,530",866,"1,246",824,"1,777","3,299",83
2021년04월_여_30~39세,"19,944",21,166,518,839,851,613,"1,182",736,446,"2,095","1,155","1,479","1,192","1,426",981,"2,076","4,078",90
2021년04월_여_40~49세,"25,720",17,218,661,976,"1,153",931,"1,460","1,076",529,"3,330","1,145","2,513","1,217","1,755","1,212","3,167","4,275",85
2021년04월_여_50~59세,"24,742",44,295,986,"1,242","1,283",893,"1,673",915,736,"2,855","1,057","2,201","1,146","1,716","1,055","2,468","4,007",170
2021년04월_여_60~69세,"20,108",36,340,"1,000","1,311","1,244",780,"1,509",622,574,"2,030",850,"1,606","1,010","1,440",675,"1,941","2,909",231
2021년04월_여_70~79세,"9,769",10,210,548,710,638,390,703,278,287,835,409,697,508,944,321,864,"1,297",120
2021년04월_여_80~89세,"5,014",2,93,241,293,313,179,326,138,153,448,161,373,379,593,173,436,625,88
2021년04월_여_90~99세,861,3,5,35,48,46,23,55,21,29,84,20,79,61,104,29,84,116,19
2021년04월_여_100세 이상,42,0,2,1,10,0,2,1,1,1,3,1,6,2,3,1,3,4,1
