카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년04월_남_30~39세,"14,074","1,350",730,774,"1,008",277,969,348,364,684,654,803,"1,247",506,867,"1,231",718,"1,544"
2020년04월_남_40~49세,"19,258","1,534","1,556","1,092","1,160",362,"1,159",366,520,771,724,"1,212","2,157",570,"1,007","1,899",976,"2,193"
2020년04월_남_50~59세,"20,249","1,576","1,096","1,203","1,043",489,"1,461",478,666,789,828,"1,107","2,172",639,"1,092","1,732","1,176","2,702"
2020년04월_남_60~69세,"15,583","1,155",520,884,864,419,"1,357",405,547,564,644,716,"1,545",557,"1,023","1,177",907,"2,299"
2020년04월_남_70~79세,"9,154",547,282,497,468,276,852,278,347,372,416,422,989,290,665,757,500,"1,196"
2020년04월_남_80~89세,"3,402",182,119,182,174,104,245,129,141,146,209,146,381,100,248,306,208,382
2020년04월_남_90~99세,296,26,7,20,21,8,16,11,13,12,15,6,37,7,22,26,13,36
2020년04월_남_100세 이상,18,2,1,0,1,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년04월_여_총인구수,"121,149","8,229","7,765","7,095","7,191","2,295","7,972","2,802","3,454","5,209","5,579","7,130","13,871","3,179","7,072","11,868","6,692","13,746"
2020년04월_여_연령구간인구수,"121,149","8,229","7,765","7,095","7,191","2,295","7,972","2,802","3,454","5,209","5,579","7,130","13,871","3,179","7,072","11,868","6,692","13,746"
2020년04월_여_0~9세,"7,898",498,798,410,466,84,375,79,148,294,334,604,"1,022",166,452,994,338,836
2020년04월_여_10~19세,"11,041",548,"1,251",621,518,135,600,120,228,440,403,861,"1,575",151,485,"1,422",537,"1,146"
2020년04월_여_20~29세,"15,308","1,527",814,793,"1,321",220,857,527,393,978,766,744,"1,486",380,871,"1,422",721,"1,488"
2020년04월_여_30~39세,"13,214","1,158",920,709,992,199,709,257,303,612,662,881,"1,353",405,768,"1,375",605,"1,306"
2020년04월_여_40~49세,"18,670","1,174","1,742","1,100",991,256,993,292,434,734,810,"1,312","2,404",412,950,"2,151",990,"1,925"
2020년04월_여_50~59세,"20,039","1,261",965,"1,249","1,018",373,"1,481",481,649,736,889,"1,094","2,314",593,"1,198","1,767","1,287","2,684"
2020년04월_여_60~69세,"17,240","1,070",664,"1,110",938,427,"1,475",461,619,621,763,792,"1,861",560,"1,183","1,309","1,031","2,356"
2020년04월_여_70~79세,"11,141",612,397,675,602,368,984,369,414,488,542,547,"1,148",339,741,926,715,"1,274"
2020년04월_여_80~89세,"5,583",315,177,368,279,198,422,185,217,261,340,255,605,146,352,426,414,623
2020년04월_여_90~99세,956,63,33,56,62,34,70,27,47,42,69,40,95,24,67,73,51,103
2020년04월_여_100세 이상,59,3,4,4,4,1,6,4,2,3,1,0,8,3,5,3,3,5
