,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년05월_남_70~79세,"9,179",542,280,495,463,279,850,276,346,380,417,428,997,288,673,753,503,"1,209"
2020년05월_남_80~89세,"3,408",187,118,186,176,103,250,130,140,148,205,146,378,101,247,306,210,377
2020년05월_남_90~99세,298,26,7,20,23,9,17,11,14,12,15,6,36,7,22,23,13,37
2020년05월_남_100세 이상,18,2,1,0,1,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년05월_여_총인구수,"120,963","8,157","7,723","7,091","7,197","2,289","7,967","2,798","3,460","5,199","5,581","7,121","13,837","3,190","7,077","11,889","6,682","13,705"
2020년05월_여_연령구간인구수,"120,963","8,157","7,723","7,091","7,197","2,289","7,967","2,798","3,460","5,199","5,581","7,121","13,837","3,190","7,077","11,889","6,682","13,705"
2020년05월_여_0~9세,"7,846",490,783,411,456,86,372,78,146,298,335,595,"1,011",167,453,992,343,830
2020년05월_여_10~19세,"10,993",545,"1,247",616,515,130,602,120,226,430,399,861,"1,570",154,484,"1,426",533,"1,135"
2020년05월_여_20~29세,"15,266","1,520",803,796,"1,326",225,854,534,391,987,765,749,"1,469",381,870,"1,414",711,"1,471"
2020년05월_여_30~39세,"13,194","1,161",920,691,995,200,705,256,309,602,669,866,"1,349",408,775,"1,369",610,"1,309"
2020년05월_여_40~49세,"18,556","1,142","1,734","1,097",997,255,989,292,425,722,810,"1,308","2,395",411,946,"2,155",977,"1,901"
2020년05월_여_50~59세,"20,029","1,248",961,"1,251","1,018",364,"1,478",470,658,746,881,"1,097","2,321",594,"1,187","1,788","1,279","2,688"
2020년05월_여_60~69세,"17,285","1,063",662,"1,119",939,429,"1,473",470,620,620,764,797,"1,868",559,"1,186","1,316","1,043","2,357"
2020년05월_여_70~79세,"11,163",609,397,679,602,368,992,361,417,489,545,552,"1,145",343,741,927,711,"1,285"
2020년05월_여_80~89세,"5,615",315,177,374,281,197,425,185,218,260,344,257,604,147,362,426,421,622
2020년05월_여_90~99세,958,61,35,53,64,34,71,28,48,42,68,39,97,24,68,73,51,102
2020년05월_여_100세 이상,58,3,4,4,4,1,6,4,2,3,1,0,8,2,5,3,3,5
