,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년10월_여_연령구간인구수,"197,206","13,593","20,328","11,373","11,519","7,427","6,264","11,941","12,986","13,679","9,795","11,057","10,082","8,293","10,310","22,092","16,467"
2020년10월_여_0~9세,"12,463","1,454","1,087",698,"1,181",316,458,830,928,427,551,534,594,335,525,"1,297","1,248"
2020년10월_여_10~19세,"14,124",868,"1,206",761,"1,022",433,577,877,868,636,503,678,819,378,741,"1,672","2,085"
2020년10월_여_20~29세,"33,978","1,756","3,671","1,575","1,211","1,833",931,"1,743","2,429","3,547","1,990","1,884","1,561","1,734","1,689","4,070","2,354"
2020년10월_여_30~39세,"34,137","2,760","3,357","1,902","2,028","1,157",972,"1,961","2,228","2,864","1,979","2,056","1,571","1,622","1,765","3,702","2,213"
2020년10월_여_40~49세,"31,435","2,096","2,857","1,671","2,272","1,050","1,058","2,080","2,087","1,908","1,376","1,681","1,674","1,186","1,768","3,434","3,237"
2020년10월_여_50~59세,"27,644","1,999","3,316","1,826","1,484",975,888,"1,773","1,907","1,607","1,253","1,503","1,417","1,066","1,499","2,967","2,164"
2020년10월_여_60~69세,"21,099","1,425","2,305","1,406","1,119",772,607,"1,277","1,248","1,272","1,049","1,323","1,222",940,"1,192","2,320","1,622"
2020년10월_여_70~79세,"14,093",719,"1,539",870,739,535,499,918,810,881,686,926,835,649,765,"1,746",976
2020년10월_여_80~89세,"6,774",395,836,531,393,272,230,395,396,423,333,406,329,316,317,729,473
2020년10월_여_90~99세,"1,202",83,124,111,62,63,34,73,70,97,59,59,48,54,40,145,80
2020년10월_여_100세 이상,257,38,30,22,8,21,10,14,15,17,16,7,12,13,9,10,15
