,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년09월_남_0~9세,"19,519",346,166,727,158,"1,962","1,207",349,518,348,"1,017","1,857","1,037","1,388","4,896","1,597",20,24,67,19,17,"1,799"
2021년09월_남_10~19세,"26,425",558,184,831,206,"1,873","1,101",576,998,413,"1,700","2,851","1,424","1,991","6,794","1,780",60,42,78,64,53,"2,848"
2021년09월_남_20~29세,"31,324",967,543,"1,173",327,"2,221","2,298","1,005","1,284",501,"2,656","4,212","1,414","2,383","5,053","1,838",91,90,255,105,80,"2,828"
2021년09월_남_30~39세,"27,175",617,496,"1,072",300,"2,710","2,501",672,900,469,"1,764","3,020","1,118","1,933","4,543","1,947",71,93,284,91,62,"2,512"
2021년09월_남_40~49세,"37,417",927,448,"1,358",358,"3,303","2,226",775,"1,336",759,"1,928","3,694","1,897","2,747","8,530","2,720",115,106,349,117,134,"3,590"
2021년09월_남_50~59세,"34,079",981,563,"1,258",404,"2,336","2,595","1,071","1,558",797,"2,633","3,960","1,603","2,784","5,560","1,928",230,176,418,232,188,"2,804"
2021년09월_남_60~69세,"17,873",646,425,758,302,"1,570","1,897",741,900,399,"1,373","1,605",579,"1,266","1,944","1,081",265,211,449,263,226,973
2021년09월_남_70~79세,"7,475",369,342,437,214,615,706,275,358,182,367,485,268,511,727,309,156,167,268,174,138,407
2021년09월_남_80~89세,"2,417",118,109,139,60,196,208,76,112,62,147,182,65,188,155,71,88,48,100,72,103,118
2021년09월_남_90~99세,218,12,12,13,6,13,12,8,6,7,11,17,8,20,17,8,5,5,12,6,11,9
2021년09월_남_100세 이상,6,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
2021년09월_여_총인구수,"200,798","5,393","3,304","7,613","2,263","16,082","14,275","5,401","7,822","3,501","13,814","21,542","9,087","15,855","39,311","12,508","1,025",920,"1,805","1,056","1,018","17,203"
2021년09월_여_연령구간인구수,"200,798","5,393","3,304","7,613","2,263","16,082","14,275","5,401","7,822","3,501","13,814","21,542","9,087","15,855","39,311","12,508","1,025",920,"1,805","1,056","1,018","17,203"
2021년09월_여_0~9세,"18,533",306,149,653,140,"1,834","1,124",322,510,333,947,"1,817",965,"1,344","4,671","1,521",33,19,63,28,14,"1,740"
2021년09월_여_10~19세,"25,050",538,178,751,187,"1,822","1,046",508,922,366,"1,697","2,637","1,370","1,819","6,832","1,623",53,26,61,53,41,"2,520"
2021년09월_여_20~29세,"27,521",747,488,962,256,"1,798","2,057",852,"1,156",369,"2,371","3,703","1,215","2,278","4,629","1,582",65,75,161,58,67,"2,632"
2021년09월_여_30~39세,"26,163",558,383,"1,005",237,"2,605","2,107",562,828,426,"1,649","2,741","1,176","1,952","5,307","1,886",44,47,178,51,62,"2,359"
2021년09월_여_40~49세,"37,880",871,372,"1,283",333,"2,810","2,007",796,"1,359",648,"2,320","4,140","1,924","2,943","9,310","2,524",64,64,139,84,79,"3,810"
2021년09월_여_50~59세,"31,666",871,545,"1,208",384,"2,300","2,511","1,111","1,494",609,"2,891","3,832","1,302","2,814","4,857","1,811",154,131,230,132,126,"2,353"
2021년09월_여_60~69세,"17,570",718,508,840,338,"1,612","1,753",734,899,344,"1,138","1,461",607,"1,361","2,182",970,205,202,372,208,165,953
2021년09월_여_70~79세,"9,749",528,441,584,245,771,902,300,419,221,467,693,346,863,"1,014",351,180,191,303,186,216,528
2021년09월_여_80~89세,"5,645",220,203,280,117,450,644,183,204,164,266,449,155,431,424,197,174,141,245,221,209,268
2021년09월_여_90~99세,975,34,31,45,23,76,124,33,30,21,67,66,26,46,83,41,52,22,50,33,37,35
2021년09월_여_100세 이상,46,2,6,2,3,4,0,0,1,0,1,3,1,4,2,2,1,2,3,2,2,5
