,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년09월_남_20~29세,"31,081",975,508,"1,187",341,"2,210","2,204","1,056","1,335",522,"2,757","4,251","1,514","2,467","4,856","1,491",105,104,256,108,83,"2,751"
2020년09월_남_30~39세,"28,180",661,525,"1,158",305,"2,890","2,343",716,923,490,"1,747","3,078","1,234","2,068","5,009","1,807",68,87,286,100,75,"2,610"
2020년09월_남_40~49세,"38,532",998,479,"1,427",386,"3,292","2,130",874,"1,473",771,"2,038","3,838","2,119","2,863","8,776","2,510",108,111,349,127,147,"3,716"
2020년09월_남_50~59세,"32,969",975,559,"1,234",408,"2,268","2,471","1,122","1,556",752,"2,685","3,913","1,656","2,763","5,105","1,594",234,195,424,259,194,"2,602"
2020년09월_남_60~69세,"16,335",606,427,686,294,"1,455","1,691",707,845,363,"1,194","1,410",629,"1,101","1,800",917,249,197,424,247,208,885
2020년09월_남_70~79세,"7,289",361,351,440,208,620,649,258,344,168,355,473,313,483,686,267,162,170,269,164,159,389
2020년09월_남_80~89세,"2,253",109,104,122,54,169,187,81,104,53,142,169,72,170,154,69,78,44,89,76,99,108
2020년09월_남_90~99세,209,9,9,14,6,12,14,7,10,5,12,18,6,18,15,7,5,3,14,5,11,9
2020년09월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2020년09월_여_총인구수,"202,033","5,582","3,328","7,874","2,353","16,211","13,482","5,675","8,055","3,475","13,942","21,786","9,809","16,222","39,511","11,423","1,064",942,"1,825","1,112","1,045","17,317"
2020년09월_여_연령구간인구수,"202,033","5,582","3,328","7,874","2,353","16,211","13,482","5,675","8,055","3,475","13,942","21,786","9,809","16,222","39,511","11,423","1,064",942,"1,825","1,112","1,045","17,317"
2020년09월_여_0~9세,"19,862",367,157,717,162,"1,955","1,055",377,573,346,996,"1,887","1,041","1,541","5,090","1,529",38,22,70,32,21,"1,886"
2020년09월_여_10~19세,"25,724",580,206,798,206,"1,813","1,048",562,999,367,"1,780","2,806","1,473","1,942","6,763","1,504",57,36,71,52,40,"2,621"
2020년09월_여_20~29세,"27,488",785,449,"1,025",279,"1,848","1,978",908,"1,158",397,"2,467","3,698","1,274","2,339","4,560","1,365",75,70,173,63,73,"2,504"
2020년09월_여_30~39세,"27,338",568,391,"1,099",261,"2,725","1,909",611,891,439,"1,633","2,867","1,295","2,108","5,768","1,850",51,53,161,56,56,"2,546"
2020년09월_여_40~49세,"38,771",944,399,"1,354",353,"2,809","1,954",879,"1,506",633,"2,495","4,357","2,082","3,063","9,332","2,242",70,70,160,85,79,"3,905"
2020년09월_여_50~59세,"30,415",864,547,"1,199",381,"2,282","2,400","1,154","1,477",581,"2,792","3,651","1,335","2,748","4,480","1,554",156,128,239,150,143,"2,154"
2020년09월_여_60~69세,"16,313",704,521,780,341,"1,501","1,508",669,829,320,"1,006","1,313",687,"1,239","2,006",832,207,207,369,216,155,903
2020년09월_여_70~79세,"9,710",517,426,586,240,783,906,303,396,223,457,704,411,806,994,324,191,197,314,202,235,495
2020년09월_여_80~89세,"5,407",209,196,263,99,408,598,182,197,151,257,429,182,381,435,194,180,138,215,216,215,262
2020년09월_여_90~99세,946,42,30,48,27,83,123,30,26,18,59,69,27,50,80,25,38,19,49,38,26,39
2020년09월_여_100세 이상,59,2,6,5,4,4,3,0,3,0,0,5,2,5,3,4,1,2,4,2,2,2
