,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년03월_남_40~49세,"29,287","2,261",863,"3,211","2,274","1,805","2,179","2,479","1,503","1,969","1,968","1,045","1,149","3,137","1,874","1,570"
2021년03월_남_50~59세,"27,915","2,263","1,075","2,965","2,029","1,835","2,091","2,468","1,399","1,980","1,722",958,"1,040","2,956","1,852","1,282"
2021년03월_남_60~69세,"22,819","1,990",959,"2,485","1,573","1,433","1,800","1,857","1,330","1,775","1,603",891,829,"1,906","1,382","1,006"
2021년03월_남_70~79세,"13,297","1,101",550,"1,361",871,925,994,"1,096",828,"1,112",962,558,456,"1,069",760,654
2021년03월_남_80~89세,"4,840",450,224,503,340,322,333,425,257,387,306,183,156,425,271,258
2021년03월_남_90~99세,447,48,19,54,36,19,36,44,10,38,20,16,12,49,25,21
2021년03월_남_100세 이상,51,4,4,6,3,2,4,2,1,14,3,0,1,6,1,0
2021년03월_여_총인구수,"200,685","15,957","6,166","23,074","14,825","12,935","14,820","16,307","12,029","14,033","12,777","7,448","7,540","20,160","12,193","10,421"
2021년03월_여_연령구간인구수,"200,685","15,957","6,166","23,074","14,825","12,935","14,820","16,307","12,029","14,033","12,777","7,448","7,540","20,160","12,193","10,421"
2021년03월_여_0~9세,"11,783",937,159,"1,385","1,173",594,790,"1,152",385,857,"1,033",333,495,"1,065",741,684
2021년03월_여_10~19세,"13,409",947,261,"1,578",965,803,858,"1,039",428,716,745,363,496,"2,136","1,263",811
2021년03월_여_20~29세,"34,035","2,586","1,160","4,776","2,252","2,233","2,417","2,389","2,961","1,894","1,786","1,353","1,144","3,378","1,773","1,933"
2021년03월_여_30~39세,"30,529","2,486",814,"3,105","2,521","2,012","2,312","2,259","2,219","2,238","2,136","1,207","1,269","2,729","1,546","1,676"
2021년03월_여_40~49세,"29,049","2,071",680,"3,301","2,236","1,811","2,121","2,342","1,429","2,021","1,858",983,"1,161","3,367","2,078","1,590"
2021년03월_여_50~59세,"30,123","2,410","1,040","3,358","2,164","2,015","2,306","2,696","1,641","2,177","1,900","1,107","1,160","2,914","1,840","1,395"
2021년03월_여_60~69세,"26,680","2,270","1,039","2,872","1,817","1,772","2,058","2,138","1,680","2,146","1,790","1,113",961,"2,299","1,566","1,159"
2021년03월_여_70~79세,"16,450","1,401",655,"1,709","1,065","1,133","1,284","1,426",950,"1,346","1,091",672,548,"1,462",899,809
2021년03월_여_80~89세,"7,184",711,288,815,521,483,589,731,279,518,369,259,248,664,405,304
2021년03월_여_90~99세,"1,316",120,63,155,101,76,81,129,55,102,67,52,54,130,75,56
2021년03월_여_100세 이상,127,18,7,20,10,3,4,6,2,18,2,6,4,16,7,4
