,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년02월_남_60~69세,"6,509",426,281,120,240,191,248,184,197,143,116,127,177,242,198,191,289,238,246,394,462,335,589,875
2021년02월_남_70~79세,"4,152",246,188,92,133,130,182,130,121,129,81,146,155,135,147,123,167,179,205,227,271,224,357,384
2021년02월_남_80~89세,"1,997",156,77,45,87,83,98,83,61,84,40,93,75,88,66,52,83,86,74,83,102,83,153,145
2021년02월_남_90~99세,219,12,15,8,10,7,9,12,8,6,8,9,7,12,8,1,6,9,11,7,10,13,21,10
2021년02월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2021년02월_여_총인구수,"40,966","1,989","1,293",584,"1,036",932,"1,215",838,824,726,471,755,944,"1,146",961,"1,066","1,382","1,823","1,770","3,212","3,489","2,137","3,538","8,835"
2021년02월_여_연령구간인구수,"40,966","1,989","1,293",584,"1,036",932,"1,215",838,824,726,471,755,944,"1,146",961,"1,066","1,382","1,823","1,770","3,212","3,489","2,137","3,538","8,835"
2021년02월_여_0~9세,"2,314",75,41,25,32,28,40,18,30,23,5,26,31,42,37,38,58,81,84,264,287,101,194,754
2021년02월_여_10~19세,"3,493",91,91,25,57,44,58,34,37,25,14,33,39,67,58,88,77,174,123,334,392,139,304,"1,189"
2021년02월_여_20~29세,"3,328",127,98,27,65,43,51,36,37,40,26,45,52,89,45,58,59,156,159,310,257,201,343,"1,004"
2021년02월_여_30~39세,"3,095",93,71,30,48,35,51,29,39,36,24,29,45,52,41,41,81,137,135,344,332,172,285,945
2021년02월_여_40~49세,"5,217",163,125,36,65,63,83,48,58,45,25,43,64,101,64,136,138,242,230,503,550,259,468,"1,708"
2021년02월_여_50~59세,"6,353",322,211,81,163,127,156,95,122,90,61,93,135,177,134,213,244,306,258,488,504,360,599,"1,414"
2021년02월_여_60~69세,"6,562",366,267,110,186,178,247,176,172,135,109,138,170,189,195,165,310,296,328,413,514,382,572,944
2021년02월_여_70~79세,"5,646",373,202,102,192,208,275,175,150,159,105,158,191,196,204,168,244,266,281,345,409,307,421,515
2021년02월_여_80~89세,"4,195",313,156,125,189,177,215,192,145,154,90,163,187,193,154,137,141,147,144,185,209,180,302,297
2021년02월_여_90~99세,733,64,27,23,38,28,37,35,34,19,12,25,28,38,27,21,28,18,27,25,34,34,47,64
2021년02월_여_100세 이상,30,2,4,0,1,1,2,0,0,0,0,2,2,2,2,1,2,0,1,1,1,2,3,1
