,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년09월_남_70~79세,"74,492","19,429","10,552","8,877","10,175","10,815","5,773","4,108","4,938","4,213","1,744","1,427","1,355","1,894","1,703","3,584","3,334"
2020년09월_남_80~89세,"30,351","6,958","3,704","3,254","3,398","4,032","2,648","1,954","2,253","1,760",804,796,697,992,886,"1,670","1,503"
2020년09월_남_90~99세,"2,974",627,354,273,312,447,252,224,264,168,91,66,63,95,96,141,128
2020년09월_남_100세 이상,176,31,16,15,37,23,21,11,14,10,9,4,4,7,1,1,3
2020년09월_여_총인구수,"908,393","333,337","174,340","158,997","132,604","142,090","54,966","41,240","41,868","44,657","12,599","12,092","11,122","13,469","14,333","27,667","26,349"
2020년09월_여_연령구간인구수,"908,393","333,337","174,340","158,997","132,604","142,090","54,966","41,240","41,868","44,657","12,599","12,092","11,122","13,469","14,333","27,667","26,349"
2020년09월_여_0~9세,"63,768","26,664","12,232","14,432","10,477","9,597","3,197","2,407","2,137","3,528",670,568,569,648,757,"1,299","1,250"
2020년09월_여_10~19세,"84,878","34,846","17,497","17,349","13,051","13,755","4,563","3,563","3,034","3,990",776,897,829,809,"1,075","1,918","1,772"
2020년09월_여_20~29세,"97,237","43,987","23,756","20,231","13,376","16,522","4,787","3,365","3,249","3,976",852,791,715,874,951,"1,887","1,905"
2020년09월_여_30~39세,"92,505","40,691","19,838","20,853","14,888","13,722","4,228","3,192","3,160","4,638",869,785,756,900,"1,045","1,817","1,814"
2020년09월_여_40~49세,"130,811","54,882","28,192","26,690","20,766","20,691","7,114","5,287","4,434","6,048","1,169","1,289","1,135","1,139","1,446","2,683","2,728"
2020년09월_여_50~59세,"145,160","53,897","29,572","24,325","20,934","24,243","8,605","6,470","6,340","6,810","1,981","1,904","1,609","2,048","2,065","4,168","4,086"
2020년09월_여_60~69세,"127,623","39,504","21,999","17,505","18,751","20,091","8,390","6,400","7,202","6,590","2,258","2,099","2,075","2,307","2,351","4,851","4,754"
2020년09월_여_70~79세,"94,813","24,246","13,142","11,104","12,467","13,514","7,597","5,694","6,424","4,939","2,078","1,981","1,776","2,412","2,497","4,802","4,386"
2020년09월_여_80~89세,"60,415","12,368","6,814","5,554","6,586","8,386","5,485","4,110","4,907","3,491","1,651","1,499","1,416","1,982","1,843","3,556","3,135"
2020년09월_여_90~99세,"10,497","2,119","1,231",888,"1,224","1,486",910,721,920,613,277,261,224,334,273,650,485
2020년09월_여_100세 이상,686,133,67,66,84,83,90,31,61,34,18,18,18,16,30,36,34
