,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년05월_남_연령구간인구수,"114,905","8,201","6,955","6,366","6,871","2,467","7,918","2,666","3,371","4,590","4,995","6,545","12,539","3,454","6,793","10,896","6,233","14,045"
2021년05월_남_0~9세,"7,464",413,738,324,485,100,362,92,171,243,308,614,969,168,448,980,312,737
2021년05월_남_10~19세,"11,096",504,"1,206",629,602,167,567,148,227,332,385,785,"1,576",197,514,"1,462",570,"1,225"
2021년05월_남_20~29세,"15,583","1,307",786,858,"1,101",272,961,446,407,808,751,788,"1,619",478,910,"1,410",872,"1,809"
2021년05월_남_30~39세,"13,166","1,272",661,680,971,250,902,351,370,677,674,742,"1,093",489,828,"1,120",681,"1,405"
2021년05월_남_40~49세,"18,278","1,393","1,516","1,031","1,140",346,"1,095",321,471,702,704,"1,143","2,039",542,998,"1,829",905,"2,103"
2021년05월_남_50~59세,"19,777","1,470","1,095","1,126","1,027",485,"1,392",461,626,764,841,"1,116","2,168",597,"1,069","1,741","1,150","2,649"
2021년05월_남_60~69세,"16,411","1,138",541,973,881,455,"1,486",436,593,555,689,749,"1,606",594,"1,051","1,254",982,"2,428"
2021년05월_남_70~79세,"9,222",508,283,526,454,272,850,264,341,348,421,441,"1,028",281,695,738,506,"1,266"
2021년05월_남_80~89세,"3,594",176,118,194,182,116,280,136,154,150,200,159,403,102,256,337,240,391
2021년05월_남_90~99세,306,18,10,24,27,4,23,11,11,10,22,8,38,6,23,24,15,32
2021년05월_남_100세 이상,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021년05월_여_총인구수,"118,162","7,653","7,597","6,714","7,032","2,239","7,870","2,821","3,278","4,941","5,600","6,947","13,539","3,133","6,989","11,734","6,552","13,523"
2021년05월_여_연령구간인구수,"118,162","7,653","7,597","6,714","7,032","2,239","7,870","2,821","3,278","4,941","5,600","6,947","13,539","3,133","6,989","11,734","6,552","13,523"
2021년05월_여_0~9세,"7,107",456,712,339,398,74,327,70,123,256,324,525,937,158,451,901,312,744
2021년05월_여_10~19세,"10,410",496,"1,244",549,519,132,555,106,197,400,399,822,"1,493",134,444,"1,357",496,"1,067"
2021년05월_여_20~29세,"14,960","1,465",803,723,"1,301",219,824,592,383,936,764,712,"1,435",387,875,"1,461",665,"1,415"
2021년05월_여_30~39세,"12,389","1,065",817,624,937,195,689,274,265,601,664,781,"1,225",394,766,"1,281",572,"1,239"
2021년05월_여_40~49세,"17,785","1,069","1,734",995,"1,006",244,950,265,394,671,764,"1,268","2,308",397,894,"2,074",906,"1,846"
2021년05월_여_50~59세,"19,320","1,110",968,"1,201",959,339,"1,395",432,594,694,925,"1,102","2,293",536,"1,148","1,812","1,243","2,569"
2021년05월_여_60~69세,"17,974","1,042",691,"1,138",948,453,"1,589",503,642,620,785,829,"1,935",598,"1,212","1,366","1,121","2,502"
2021년05월_여_70~79세,"11,333",596,403,700,610,354,"1,011",352,399,461,546,581,"1,188",344,757,929,733,"1,369"
2021년05월_여_80~89세,"5,842",294,192,384,286,195,452,194,223,252,358,288,611,161,378,479,437,658
2021년05월_여_90~99세,"1,002",58,29,59,66,33,71,31,57,48,71,39,107,24,63,73,63,110
2021년05월_여_100세 이상,40,2,4,2,2,1,7,2,1,2,0,0,7,0,1,1,4,4
