카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년03월_남_40~49세,"5,726",197,184,78,109,114,155,94,96,79,43,110,115,128,109,137,178,232,250,451,573,269,533,"1,492"
2020년03월_남_50~59세,"7,336",373,269,98,225,173,197,143,174,175,91,157,203,244,184,276,284,319,279,511,517,323,746,"1,375"
2020년03월_남_60~69세,"6,253",417,258,117,211,192,241,174,182,142,111,120,174,225,202,180,283,234,261,354,443,327,564,841
2020년03월_남_70~79세,"4,040",250,174,87,135,125,171,125,115,130,78,146,154,130,142,109,168,181,193,222,261,215,361,368
2020년03월_남_80~89세,"1,933",158,72,52,84,83,99,84,58,81,41,91,76,91,60,49,73,77,73,78,98,77,144,134
2020년03월_남_90~99세,211,10,16,9,9,8,7,11,8,11,6,7,6,11,13,2,5,10,12,6,9,8,16,11
2020년03월_남_100세 이상,10,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0
2020년03월_여_총인구수,"41,443","2,016","1,283",602,"1,078",950,"1,226",871,832,769,485,786,966,"1,168",991,"1,084","1,408","1,890","1,818","3,146","3,538","2,169","3,648","8,719"
2020년03월_여_연령구간인구수,"41,443","2,016","1,283",602,"1,078",950,"1,226",871,832,769,485,786,966,"1,168",991,"1,084","1,408","1,890","1,818","3,146","3,538","2,169","3,648","8,719"
2020년03월_여_0~9세,"2,464",76,41,25,39,28,53,20,31,25,7,36,32,42,43,45,60,90,86,279,308,105,213,780
2020년03월_여_10~19세,"3,653",111,95,24,59,47,57,41,46,25,19,38,43,79,58,92,89,187,147,329,411,139,327,"1,190"
2020년03월_여_20~29세,"3,403",132,79,40,64,48,53,35,47,55,27,51,54,87,50,70,64,173,167,300,271,214,366,956
2020년03월_여_30~39세,"3,309",104,74,34,59,32,55,28,32,40,26,28,53,61,43,43,85,155,136,348,383,205,305,980
2020년03월_여_40~49세,"5,329",162,140,39,75,68,87,51,56,48,24,51,66,107,73,144,145,251,238,478,544,265,507,"1,710"
2020년03월_여_50~59세,"6,560",338,213,82,169,130,165,113,135,102,74,99,140,188,149,214,260,320,281,489,516,372,616,"1,395"
2020년03월_여_60~69세,"6,270",365,248,111,182,176,238,165,155,141,101,132,172,172,185,162,290,302,324,390,471,362,557,869
2020년03월_여_70~79세,"5,651",373,213,100,201,219,273,181,150,174,104,164,190,207,209,166,245,259,276,332,405,300,406,504
2020년03월_여_80~89세,"4,075",286,152,124,194,172,209,198,146,139,91,161,188,186,156,132,140,138,138,175,194,169,304,283
2020년03월_여_90~99세,697,66,23,23,34,29,34,38,34,18,12,25,27,36,23,16,29,15,24,25,34,38,45,49
2020년03월_여_100세 이상,32,3,5,0,2,1,2,1,0,2,0,1,1,3,2,0,1,0,1,1,1,0,2,3
