카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년01월_여_10~19세,"1,468",372,43,18,44,180,205,105,340,161
2020년01월_여_20~29세,"1,465",333,43,20,33,166,191,102,338,239
2020년01월_여_30~39세,"1,545",348,28,25,43,163,237,102,328,271
2020년01월_여_40~49세,"2,468",542,70,33,63,286,366,172,539,397
2020년01월_여_50~59세,"3,908",765,172,87,172,473,551,321,840,527
2020년01월_여_60~69세,"4,000",739,179,94,185,565,535,316,838,549
2020년01월_여_70~79세,"2,721",489,148,77,121,393,295,201,618,379
2020년01월_여_80~89세,"1,621",360,71,39,68,263,183,144,328,165
2020년01월_여_90~99세,261,56,21,8,14,43,22,18,60,19
2020년01월_여_100세 이상,28,4,0,0,1,3,0,0,15,5
2020년02월_계_총인구수,"41,903","8,618","1,680",850,"1,629","5,381","5,716","3,112","8,953","5,964"
2020년02월_계_연령구간인구수,"41,903","8,618","1,680",850,"1,629","5,381","5,716","3,112","8,953","5,964"
2020년02월_계_0~9세,"2,000",453,38,31,49,246,290,126,462,305
2020년02월_계_10~19세,"3,053",758,95,38,82,361,443,211,691,374
2020년02월_계_20~29세,"3,435",773,97,49,84,411,440,232,761,588
2020년02월_계_30~39세,"3,339",741,77,44,89,356,517,184,684,647
2020년02월_계_40~49세,"5,503","1,137",195,74,151,668,796,399,"1,177",906
2020년02월_계_50~59세,"8,269","1,624",373,182,370,998,"1,160",694,"1,743","1,125"
2020년02월_계_60~69세,"8,364","1,587",408,216,445,"1,162","1,142",654,"1,716","1,034"
2020년02월_계_70~79세,"5,035",918,262,136,234,714,612,359,"1,137",663
2020년02월_계_80~89세,"2,518",549,111,70,108,400,286,226,485,283
2020년02월_계_90~99세,348,72,24,10,16,60,30,26,78,32
2020년02월_계_100세 이상,39,6,0,0,1,5,0,1,19,7
2020년02월_남_총인구수,"21,472","4,388",890,436,861,"2,730","2,996","1,573","4,486","3,112"
2020년02월_남_연령구간인구수,"21,472","4,388",890,436,861,"2,730","2,996","1,573","4,486","3,112"
2020년02월_남_0~9세,"1,017",233,17,21,22,124,140,62,244,154
2020년02월_남_10~19세,"1,608",389,53,20,39,182,244,109,355,217
2020년02월_남_20~29세,"1,975",444,57,31,52,240,254,130,422,345
2020년02월_남_30~39세,"1,817",391,50,18,47,196,285,90,357,383
2020년02월_남_40~49세,"3,029",602,124,40,87,382,429,224,634,507
2020년02월_남_50~59세,"4,401",865,203,94,202,532,615,376,906,608
2020년02월_남_60~69세,"4,322",832,229,121,256,593,603,335,871,482
2020년02월_남_70~79세,"2,327",430,118,58,115,325,315,159,519,288
2020년02월_남_80~89세,882,186,36,32,39,137,103,79,156,114
2020년02월_남_90~99세,83,14,3,1,2,18,8,8,17,12
2020년02월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년02월_여_총인구수,"20,431","4,230",790,414,768,"2,651","2,720","1,539","4,467","2,852"
2020년02월_여_연령구간인구수,"20,431","4,230",790,414,768,"2,651","2,720","1,539","4,467","2,852"
2020년02월_여_0~9세,983,220,21,10,27,122,150,64,218,151
2020년02월_여_10~19세,"1,445",369,42,18,43,179,199,102,336,157
2020년02월_여_20~29세,"1,460",329,40,18,32,171,186,102,339,243
2020년02월_여_30~39세,"1,522",350,27,26,42,160,232,94,327,264
2020년02월_여_40~49세,"2,474",535,71,34,64,286,367,175,543,399
2020년02월_여_50~59세,"3,868",759,170,88,168,466,545,318,837,517
2020년02월_여_60~69세,"4,042",755,179,95,189,569,539,319,845,552
2020년02월_여_70~79세,"2,708",488,144,78,119,389,297,200,618,375
2020년02월_여_80~89세,"1,636",363,75,38,69,263,183,147,329,169
2020년02월_여_90~99세,265,58,21,9,14,42,22,18,61,20
2020년02월_여_100세 이상,28,4,0,0,1,4,0,0,14,5
2020년03월_계_총인구수,"41,817","8,633","1,664",850,"1,627","5,377","5,697","3,103","8,914","5,952"
2020년03월_계_연령구간인구수,"41,817","8,633","1,664",850,"1,627","5,377","5,697","3,103","8,914","5,952"
2020년03월_계_0~9세,"1,987",451,40,31,49,241,283,121,458,313
2020년03월_계_10~19세,"3,023",749,89,40,80,358,442,216,686,363
2020년03월_계_20~29세,"3,417",775,97,47,83,415,438,220,756,586
2020년03월_계_30~39세,"3,298",739,77,43,90,356,503,180,667,643
2020년03월_계_40~49세,"5,479","1,136",193,75,149,666,790,397,"1,175",898
2020년03월_계_50~59세,"8,213","1,616",364,182,364,999,"1,158",673,"1,733","1,124"
2020년03월_계_60~69세,"8,441","1,620",404,217,451,"1,170","1,146",674,"1,720","1,039"
2020년03월_계_70~79세,"5,029",914,264,136,232,711,620,364,"1,129",659
2020년03월_계_80~89세,"2,543",556,111,70,112,394,289,231,491,289
2020년03월_계_90~99세,346,69,25,9,16,62,28,26,80,31
2020년03월_계_100세 이상,41,8,0,0,1,5,0,1,19,7
2020년03월_남_총인구수,"21,424","4,396",881,436,859,"2,721","2,987","1,570","4,470","3,104"
2020년03월_남_연령구간인구수,"21,424","4,396",881,436,859,"2,721","2,987","1,570","4,470","3,104"
2020년03월_남_0~9세,"1,003",231,18,21,22,121,133,60,242,155
2020년03월_남_10~19세,"1,592",385,50,21,37,178,245,112,352,212
2020년03월_남_20~29세,"1,964",444,57,30,51,242,253,123,422,342
2020년03월_남_30~39세,"1,792",387,49,17,48,192,279,92,349,379
2020년03월_남_40~49세,"3,024",606,124,40,85,382,428,221,636,502
2020년03월_남_50~59세,"4,378",865,199,94,200,528,618,363,897,614
2020년03월_남_60~69세,"4,359",843,228,121,258,599,599,350,876,485
2020년03월_남_70~79세,"2,326",430,118,59,115,325,321,160,512,286
2020년03월_남_80~89세,894,189,35,32,41,135,104,80,162,116
2020년03월_남_90~99세,81,14,3,1,2,18,7,8,17,11
2020년03월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년03월_여_총인구수,"20,393","4,237",783,414,768,"2,656","2,710","1,533","4,444","2,848"
2020년03월_여_연령구간인구수,"20,393","4,237",783,414,768,"2,656","2,710","1,533","4,444","2,848"
2020년03월_여_0~9세,984,220,22,10,27,120,150,61,216,158
2020년03월_여_10~19세,"1,431",364,39,19,43,180,197,104,334,151
2020년03월_여_20~29세,"1,453",331,40,17,32,173,185,97,334,244
2020년03월_여_30~39세,"1,506",352,28,26,42,164,224,88,318,264
2020년03월_여_40~49세,"2,455",530,69,35,64,284,362,176,539,396
2020년03월_여_50~59세,"3,835",751,165,88,164,471,540,310,836,510
2020년03월_여_60~69세,"4,082",777,176,96,193,571,547,324,844,554
2020년03월_여_70~79세,"2,703",484,146,77,117,386,299,204,617,373
2020년03월_여_80~89세,"1,649",367,76,38,71,259,185,151,329,173
2020년03월_여_90~99세,265,55,22,8,14,44,21,18,63,20
2020년03월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
2020년04월_계_총인구수,"41,758","8,617","1,670",845,"1,627","5,365","5,676","3,101","8,906","5,951"
2020년04월_계_연령구간인구수,"41,758","8,617","1,670",845,"1,627","5,365","5,676","3,101","8,906","5,951"
2020년04월_계_0~9세,"1,986",450,41,29,49,242,283,122,457,313
2020년04월_계_10~19세,"2,993",737,87,41,76,352,441,214,685,360
2020년04월_계_20~29세,"3,394",775,100,44,89,409,428,217,753,579
2020년04월_계_30~39세,"3,293",734,76,43,88,361,505,181,663,642
2020년04월_계_40~49세,"5,443","1,131",193,73,147,656,780,396,"1,166",901
2020년04월_계_50~59세,"8,186","1,607",361,179,364,"1,003","1,149",671,"1,727","1,125"
2020년04월_계_60~69세,"8,485","1,635",409,219,452,"1,169","1,155",674,"1,729","1,043"
2020년04월_계_70~79세,"5,032",911,264,137,234,713,614,367,"1,133",659
2020년04월_계_80~89세,"2,557",556,113,71,112,393,294,232,495,291
2020년04월_계_90~99세,349,73,26,9,15,62,27,26,80,31
2020년04월_계_100세 이상,40,8,0,0,1,5,0,1,18,7
2020년04월_남_총인구수,"21,394","4,385",885,434,855,"2,718","2,974","1,568","4,476","3,099"
2020년04월_남_연령구간인구수,"21,394","4,385",885,434,855,"2,718","2,974","1,568","4,476","3,099"
2020년04월_남_0~9세,997,231,18,19,22,121,131,61,240,154
2020년04월_남_10~19세,"1,580",377,48,22,34,176,247,112,354,210
2020년04월_남_20~29세,"1,955",445,60,29,55,241,245,122,422,336
2020년04월_남_30~39세,"1,793",386,48,17,48,195,281,91,347,380
2020년04월_남_40~49세,"2,999",604,124,38,81,377,419,222,632,502
2020년04월_남_50~59세,"4,361",860,198,92,197,529,614,359,900,612
2020년04월_남_60~69세,"4,386",845,232,125,259,599,606,349,879,492
2020년04월_남_70~79세,"2,326",433,120,59,116,324,315,162,513,284
2020년04월_남_80~89세,904,187,34,32,41,137,109,81,167,116
2020년04월_남_90~99세,82,15,3,1,2,18,7,8,17,11
2020년04월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년04월_여_총인구수,"20,364","4,232",785,411,772,"2,647","2,702","1,533","4,430","2,852"
2020년04월_여_연령구간인구수,"20,364","4,232",785,411,772,"2,647","2,702","1,533","4,430","2,852"
2020년04월_여_0~9세,989,219,23,10,27,121,152,61,217,159
2020년04월_여_10~19세,"1,413",360,39,19,42,176,194,102,331,150
2020년04월_여_20~29세,"1,439",330,40,15,34,168,183,95,331,243
2020년04월_여_30~39세,"1,500",348,28,26,40,166,224,90,316,262
2020년04월_여_40~49세,"2,444",527,69,35,66,279,361,174,534,399
2020년04월_여_50~59세,"3,825",747,163,87,167,474,535,312,827,513
2020년04월_여_60~69세,"4,099",790,177,94,193,570,549,325,850,551
2020년04월_여_70~79세,"2,706",478,144,78,118,389,299,205,620,375
2020년04월_여_80~89세,"1,653",369,79,39,71,256,185,151,328,175
2020년04월_여_90~99세,267,58,23,8,13,44,20,18,63,20
2020년04월_여_100세 이상,29,6,0,0,1,4,0,0,13,5
2020년05월_계_총인구수,"41,779","8,594","1,665",856,"1,631","5,349","5,692","3,115","8,890","5,987"
2020년05월_계_연령구간인구수,"41,779","8,594","1,665",856,"1,631","5,349","5,692","3,115","8,890","5,987"
2020년05월_계_0~9세,"1,968",442,41,29,49,240,282,127,450,308
2020년05월_계_10~19세,"2,992",735,82,45,74,351,443,216,683,363
2020년05월_계_20~29세,"3,408",779,104,44,92,406,425,219,753,586
2020년05월_계_30~39세,"3,269",724,74,43,87,354,506,183,657,641
2020년05월_계_40~49세,"5,427","1,115",189,73,148,657,780,392,"1,160",913
2020년05월_계_50~59세,"8,192","1,611",363,180,364,"1,000","1,158",673,"1,712","1,131"
2020년05월_계_60~69세,"8,520","1,637",410,225,452,"1,170","1,157",677,"1,745","1,047"
2020년05월_계_70~79세,"5,036",917,262,136,235,705,615,366,"1,132",668
2020년05월_계_80~89세,"2,582",554,114,72,113,403,299,235,500,292
2020년05월_계_90~99세,344,72,26,9,16,58,27,26,79,31
2020년05월_계_100세 이상,41,8,0,0,1,5,0,1,19,7
2020년05월_남_총인구수,"21,376","4,372",879,441,856,"2,704","2,979","1,568","4,468","3,109"
2020년05월_남_연령구간인구수,"21,376","4,372",879,441,856,"2,704","2,979","1,568","4,468","3,109"
2020년05월_남_0~9세,979,226,18,19,22,119,127,61,238,149
2020년05월_남_10~19세,"1,589",377,46,25,33,177,252,117,351,211
2020년05월_남_20~29세,"1,960",446,61,29,57,238,245,122,422,340
2020년05월_남_30~39세,"1,772",382,47,18,47,189,277,91,344,377
2020년05월_남_40~49세,"2,981",592,120,38,81,378,421,216,625,510
2020년05월_남_50~59세,"4,361",860,199,92,196,525,614,361,900,614
2020년05월_남_60~69세,"4,401",848,233,128,259,599,609,347,883,495
2020년05월_남_70~79세,"2,326",437,118,58,118,317,315,163,513,287
2020년05월_남_80~89세,917,188,34,33,41,145,112,81,170,113
2020년05월_남_90~99세,79,14,3,1,2,16,7,8,17,11
2020년05월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년05월_여_총인구수,"20,403","4,222",786,415,775,"2,645","2,713","1,547","4,422","2,878"
2020년05월_여_연령구간인구수,"20,403","4,222",786,415,775,"2,645","2,713","1,547","4,422","2,878"
2020년05월_여_0~9세,989,216,23,10,27,121,155,66,212,159
2020년05월_여_10~19세,"1,403",358,36,20,41,174,191,99,332,152
2020년05월_여_20~29세,"1,448",333,43,15,35,168,180,97,331,246
2020년05월_여_30~39세,"1,497",342,27,25,40,165,229,92,313,264
2020년05월_여_40~49세,"2,446",523,69,35,67,279,359,176,535,403
2020년05월_여_50~59세,"3,831",751,164,88,168,475,544,312,812,517
2020년05월_여_60~69세,"4,119",789,177,97,193,571,548,330,862,552
2020년05월_여_70~79세,"2,710",480,144,78,117,388,300,203,619,381
2020년05월_여_80~89세,"1,665",366,80,39,72,258,187,154,330,179
2020년05월_여_90~99세,265,58,23,8,14,42,20,18,62,20
2020년05월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
2020년06월_계_총인구수,"41,739","8,588","1,664",870,"1,629","5,338","5,696","3,132","8,839","5,983"
2020년06월_계_연령구간인구수,"41,739","8,588","1,664",870,"1,629","5,338","5,696","3,132","8,839","5,983"
2020년06월_계_0~9세,"1,950",435,42,27,49,234,285,134,439,305
2020년06월_계_10~19세,"2,988",733,79,46,72,346,441,220,684,367
2020년06월_계_20~29세,"3,396",782,105,48,93,409,424,212,747,576
2020년06월_계_30~39세,"3,243",715,73,40,87,349,502,186,651,640
2020년06월_계_40~49세,"5,409","1,109",190,75,147,659,775,397,"1,154",903
2020년06월_계_50~59세,"8,151","1,608",361,180,369,986,"1,163",672,"1,682","1,130"
2020년06월_계_60~69세,"8,588","1,651",412,235,447,"1,184","1,164",683,"1,754","1,058"
2020년06월_계_70~79세,"5,040",921,261,138,234,707,618,366,"1,126",669
2020년06월_계_80~89세,"2,590",555,115,72,113,402,297,235,504,297
2020년06월_계_90~99세,343,71,26,9,17,57,27,26,79,31
2020년06월_계_100세 이상,41,8,0,0,1,5,0,1,19,7
2020년06월_남_총인구수,"21,339","4,363",878,451,858,"2,700","2,982","1,570","4,435","3,102"
2020년06월_남_연령구간인구수,"21,339","4,363",878,451,858,"2,700","2,982","1,570","4,435","3,102"
2020년06월_남_0~9세,966,219,19,19,22,116,128,63,232,148
2020년06월_남_10~19세,"1,586",372,43,25,33,177,251,119,355,211
2020년06월_남_20~29세,"1,958",448,63,32,57,238,246,116,419,339
2020년06월_남_30~39세,"1,755",376,46,17,47,188,271,91,344,375
2020년06월_남_40~49세,"2,956",587,119,39,80,375,421,218,614,503
2020년06월_남_50~59세,"4,336",864,197,93,199,517,615,360,882,609
2020년06월_남_60~69세,"4,445",854,234,133,258,609,616,351,887,503
2020년06월_남_70~79세,"2,330",439,119,59,119,318,316,163,511,286
2020년06월_남_80~89세,919,189,35,33,41,145,111,80,170,115
2020년06월_남_90~99세,77,13,3,1,2,16,7,8,16,11
2020년06월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년06월_여_총인구수,"20,400","4,225",786,419,771,"2,638","2,714","1,562","4,404","2,881"
2020년06월_여_연령구간인구수,"20,400","4,225",786,419,771,"2,638","2,714","1,562","4,404","2,881"
2020년06월_여_0~9세,984,216,23,8,27,118,157,71,207,157
2020년06월_여_10~19세,"1,402",361,36,21,39,169,190,101,329,156
2020년06월_여_20~29세,"1,438",334,42,16,36,171,178,96,328,237
2020년06월_여_30~39세,"1,488",339,27,23,40,161,231,95,307,265
2020년06월_여_40~49세,"2,453",522,71,36,67,284,354,179,540,400
2020년06월_여_50~59세,"3,815",744,164,87,170,469,548,312,800,521
2020년06월_여_60~69세,"4,143",797,178,102,189,575,548,332,867,555
2020년06월_여_70~79세,"2,710",482,142,79,115,389,302,203,615,383
2020년06월_여_80~89세,"1,671",366,80,39,72,257,186,155,334,182
2020년06월_여_90~99세,266,58,23,8,15,41,20,18,63,20
2020년06월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
2020년07월_계_총인구수,"41,709","8,583","1,662",872,"1,631","5,331","5,700","3,129","8,803","5,998"
2020년07월_계_연령구간인구수,"41,709","8,583","1,662",872,"1,631","5,331","5,700","3,129","8,803","5,998"
2020년07월_계_0~9세,"1,945",437,42,26,48,233,287,131,437,304
2020년07월_계_10~19세,"2,956",720,79,44,69,341,441,217,678,367
2020년07월_계_20~29세,"3,385",777,106,50,92,404,418,210,743,585
2020년07월_계_30~39세,"3,217",711,70,40,88,345,497,178,647,641
2020년07월_계_40~49세,"5,396","1,108",191,76,147,652,775,399,"1,141",907
2020년07월_계_50~59세,"8,150","1,602",360,182,366,990,"1,166",675,"1,681","1,128"
2020년07월_계_60~69세,"8,622","1,666",412,234,454,"1,190","1,172",683,"1,751","1,060"
2020년07월_계_70~79세,"5,046",923,260,138,236,707,619,370,"1,122",671
2020년07월_계_80~89세,"2,601",556,116,72,112,407,298,238,506,296
2020년07월_계_90~99세,349,75,26,9,18,57,27,27,78,32
2020년07월_계_100세 이상,42,8,0,1,1,5,0,1,19,7
2020년07월_남_총인구수,"21,331","4,349",879,454,860,"2,696","2,991","1,564","4,420","3,118"
2020년07월_남_연령구간인구수,"21,331","4,349",879,454,860,"2,696","2,991","1,564","4,420","3,118"
2020년07월_남_0~9세,963,220,19,18,22,112,131,62,231,148
2020년07월_남_10~19세,"1,564",365,44,25,30,176,249,115,351,209
2020년07월_남_20~29세,"1,957",438,64,34,56,233,245,117,420,350
2020년07월_남_30~39세,"1,744",376,43,17,49,186,268,88,340,377
2020년07월_남_40~49세,"2,952",585,120,39,81,372,425,216,606,508
2020년07월_남_50~59세,"4,343",859,196,95,200,519,616,361,886,611
2020년07월_남_60~69세,"4,463",862,236,132,260,616,622,349,884,502
2020년07월_남_70~79세,"2,335",441,118,59,120,320,318,163,512,284
2020년07월_남_80~89세,923,188,36,34,40,145,111,84,169,116
2020년07월_남_90~99세,75,13,3,0,2,16,6,8,16,11
2020년07월_남_100세 이상,12,2,0,1,0,1,0,1,5,2
2020년07월_여_총인구수,"20,378","4,234",783,418,771,"2,635","2,709","1,565","4,383","2,880"
2020년07월_여_연령구간인구수,"20,378","4,234",783,418,771,"2,635","2,709","1,565","4,383","2,880"
2020년07월_여_0~9세,982,217,23,8,26,121,156,69,206,156
2020년07월_여_10~19세,"1,392",355,35,19,39,165,192,102,327,158
2020년07월_여_20~29세,"1,428",339,42,16,36,171,173,93,323,235
2020년07월_여_30~39세,"1,473",335,27,23,39,159,229,90,307,264
2020년07월_여_40~49세,"2,444",523,71,37,66,280,350,183,535,399
2020년07월_여_50~59세,"3,807",743,164,87,166,471,550,314,795,517
2020년07월_여_60~69세,"4,159",804,176,102,194,574,550,334,867,558
2020년07월_여_70~79세,"2,711",482,142,79,116,387,301,207,610,387
2020년07월_여_80~89세,"1,678",368,80,38,72,262,187,154,337,180
2020년07월_여_90~99세,274,62,23,9,16,41,21,19,62,21
2020년07월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
2020년08월_계_총인구수,"41,742","8,609","1,662",871,"1,641","5,332","5,700","3,129","8,798","6,000"
2020년08월_계_연령구간인구수,"41,742","8,609","1,662",871,"1,641","5,332","5,700","3,129","8,798","6,000"
2020년08월_계_0~9세,"1,930",438,42,25,48,228,284,129,432,304
2020년08월_계_10~19세,"2,970",728,78,45,70,343,446,218,675,367
2020년08월_계_20~29세,"3,377",780,103,50,92,403,417,204,751,577
2020년08월_계_30~39세,"3,189",707,68,40,89,341,484,178,637,645
2020년08월_계_40~49세,"5,392","1,108",194,75,149,648,772,400,"1,144",902
2020년08월_계_50~59세,"8,156","1,612",358,180,364,996,"1,163",678,"1,666","1,139"
2020년08월_계_60~69세,"8,673","1,672",417,236,459,"1,195","1,187",682,"1,763","1,062"
2020년08월_계_70~79세,"5,038",921,258,139,238,703,618,369,"1,125",667
2020년08월_계_80~89세,"2,626",560,118,72,112,413,302,240,510,299
2020년08월_계_90~99세,350,76,26,8,19,57,26,30,77,31
2020년08월_계_100세 이상,41,7,0,1,1,5,1,1,18,7
2020년08월_남_총인구수,"21,350","4,355",877,455,863,"2,701","2,989","1,562","4,424","3,124"
2020년08월_남_연령구간인구수,"21,350","4,355",877,455,863,"2,701","2,989","1,562","4,424","3,124"
2020년08월_남_0~9세,959,221,19,17,22,110,130,60,232,148
2020년08월_남_10~19세,"1,567",367,43,26,30,177,251,115,347,211
2020년08월_남_20~29세,"1,956",440,62,34,56,231,245,116,427,345
2020년08월_남_30~39세,"1,724",368,41,17,51,187,264,86,336,374
2020년08월_남_40~49세,"2,944",586,120,39,81,368,421,218,606,505
2020년08월_남_50~59세,"4,355",865,196,94,198,521,615,362,883,621
2020년08월_남_60~69세,"4,493",864,239,134,259,623,631,347,890,506
2020년08월_남_70~79세,"2,324",438,116,59,123,316,313,164,513,282
2020년08월_남_80~89세,943,192,38,34,41,152,113,85,168,120
2020년08월_남_90~99세,74,13,3,0,2,15,6,8,17,10
2020년08월_남_100세 이상,11,1,0,1,0,1,0,1,5,2
2020년08월_여_총인구수,"20,392","4,254",785,416,778,"2,631","2,711","1,567","4,374","2,876"
2020년08월_여_연령구간인구수,"20,392","4,254",785,416,778,"2,631","2,711","1,567","4,374","2,876"
2020년08월_여_0~9세,971,217,23,8,26,118,154,69,200,156
2020년08월_여_10~19세,"1,403",361,35,19,40,166,195,103,328,156
2020년08월_여_20~29세,"1,421",340,41,16,36,172,172,88,324,232
2020년08월_여_30~39세,"1,465",339,27,23,38,154,220,92,301,271
2020년08월_여_40~49세,"2,448",522,74,36,68,280,351,182,538,397
2020년08월_여_50~59세,"3,801",747,162,86,166,475,548,316,783,518
2020년08월_여_60~69세,"4,180",808,178,102,200,572,556,335,873,556
2020년08월_여_70~79세,"2,714",483,142,80,115,387,305,205,612,385
2020년08월_여_80~89세,"1,683",368,80,38,71,261,189,155,342,179
2020년08월_여_90~99세,276,63,23,8,17,42,20,22,60,21
2020년08월_여_100세 이상,30,6,0,0,1,4,1,0,13,5
2020년09월_계_총인구수,"41,706","8,587","1,658",873,"1,653","5,329","5,706","3,125","8,809","5,966"
2020년09월_계_연령구간인구수,"41,706","8,587","1,658",873,"1,653","5,329","5,706","3,125","8,809","5,966"
2020년09월_계_0~9세,"1,918",433,39,25,51,225,284,130,429,302
2020년09월_계_10~19세,"2,948",723,79,44,70,334,444,216,674,364
2020년09월_계_20~29세,"3,375",772,106,51,93,407,421,206,749,570
2020년09월_계_30~39세,"3,152",695,66,40,89,336,484,170,634,638
2020년09월_계_40~49세,"5,381","1,110",194,76,149,640,771,400,"1,145",896
2020년09월_계_50~59세,"8,142","1,606",353,180,365,"1,006","1,159",674,"1,667","1,132"
2020년09월_계_60~69세,"8,723","1,681",421,234,462,"1,204","1,195",690,"1,770","1,066"
2020년09월_계_70~79세,"5,020",920,254,141,241,699,615,367,"1,126",657
2020년09월_계_80~89세,"2,645",558,120,72,112,416,304,243,518,302
2020년09월_계_90~99세,360,82,26,9,20,56,28,28,79,32
2020년09월_계_100세 이상,42,7,0,1,1,6,1,1,18,7
2020년09월_남_총인구수,"21,321","4,344",874,455,868,"2,690","2,997","1,562","4,424","3,107"
2020년09월_남_연령구간인구수,"21,321","4,344",874,455,868,"2,690","2,997","1,562","4,424","3,107"
2020년09월_남_0~9세,955,216,17,17,25,108,134,60,229,149
2020년09월_남_10~19세,"1,559",365,43,25,31,171,251,115,348,210
2020년09월_남_20~29세,"1,946",435,65,35,56,231,248,115,420,341
2020년09월_남_30~39세,"1,708",366,41,18,51,182,265,84,334,367
2020년09월_남_40~49세,"2,940",587,119,40,81,365,418,220,604,506
2020년09월_남_50~59세,"4,338",860,194,92,197,524,615,357,886,613
2020년09월_남_60~69세,"4,521",869,239,133,259,629,633,355,895,509
2020년09월_남_70~79세,"2,316",439,114,59,124,313,312,160,517,278
2020년09월_남_80~89세,952,192,39,35,42,152,115,87,169,121
2020년09월_남_90~99세,75,14,3,0,2,14,6,8,17,11
2020년09월_남_100세 이상,11,1,0,1,0,1,0,1,5,2
2020년09월_여_총인구수,"20,385","4,243",784,418,785,"2,639","2,709","1,563","4,385","2,859"
2020년09월_여_연령구간인구수,"20,385","4,243",784,418,785,"2,639","2,709","1,563","4,385","2,859"
2020년09월_여_0~9세,963,217,22,8,26,117,150,70,200,153
2020년09월_여_10~19세,"1,389",358,36,19,39,163,193,101,326,154
2020년09월_여_20~29세,"1,429",337,41,16,37,176,173,91,329,229
2020년09월_여_30~39세,"1,444",329,25,22,38,154,219,86,300,271
2020년09월_여_40~49세,"2,441",523,75,36,68,275,353,180,541,390
2020년09월_여_50~59세,"3,804",746,159,88,168,482,544,317,781,519
2020년09월_여_60~69세,"4,202",812,182,101,203,575,562,335,875,557
2020년09월_여_70~79세,"2,704",481,140,82,117,386,303,207,609,379
2020년09월_여_80~89세,"1,693",366,81,37,70,264,189,156,349,181
2020년09월_여_90~99세,285,68,23,9,18,42,22,20,62,21
2020년09월_여_100세 이상,31,6,0,0,1,5,1,0,13,5
2020년10월_계_총인구수,"41,708","8,592","1,662",866,"1,662","5,340","5,694","3,106","8,810","5,976"
