카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년04월_여_90~99세,414,77,19,22,37,42,23,38,56,48,27,25
2020년04월_여_100세 이상,14,3,0,0,2,2,0,1,3,2,0,1
2020년05월_계_총인구수,"35,152","6,908","1,441","1,061","2,054","2,932","1,863","4,193","5,631","5,786","1,201","2,082"
2020년05월_계_연령구간인구수,"35,152","6,908","1,441","1,061","2,054","2,932","1,863","4,193","5,631","5,786","1,201","2,082"
2020년05월_계_0~9세,"1,464",433,48,38,54,94,42,145,177,343,44,46
2020년05월_계_10~19세,"2,152",519,46,49,98,163,88,294,220,522,41,112
2020년05월_계_20~29세,"2,528",641,83,41,101,173,109,323,373,531,59,94
2020년05월_계_30~39세,"2,276",661,61,47,98,197,75,232,323,448,59,75
2020년05월_계_40~49세,"3,604",835,112,90,137,283,161,480,536,682,102,186
2020년05월_계_50~59세,"6,658","1,201",237,171,333,559,417,891,"1,176","1,116",181,376
2020년05월_계_60~69세,"6,981","1,120",332,199,423,551,409,863,"1,289","1,044",299,452
2020년05월_계_70~79세,"5,323",855,260,210,450,511,348,581,899,580,234,395
2020년05월_계_80~89세,"3,618",540,230,190,313,341,186,334,566,460,147,311
2020년05월_계_90~99세,531,99,32,26,44,58,28,48,69,58,35,34
2020년05월_계_100세 이상,17,4,0,0,3,2,0,2,3,2,0,1
2020년05월_남_총인구수,"17,246","3,334",704,510,985,"1,446",925,"2,082","2,818","2,849",574,"1,019"
2020년05월_남_연령구간인구수,"17,246","3,334",704,510,985,"1,446",925,"2,082","2,818","2,849",574,"1,019"
2020년05월_남_0~9세,776,223,27,20,38,49,26,72,109,171,22,19
2020년05월_남_10~19세,"1,142",266,28,31,55,89,52,159,116,266,19,61
2020년05월_남_20~29세,"1,444",369,47,16,64,92,65,171,216,306,39,59
2020년05월_남_30~39세,"1,235",336,38,27,59,116,50,118,180,239,31,41
2020년05월_남_40~49세,"2,009",432,64,58,94,162,84,253,321,356,65,120
2020년05월_남_50~59세,"3,579",631,144,105,182,304,223,485,617,560,111,217
2020년05월_남_60~69세,"3,602",545,170,104,217,294,212,427,675,565,154,239
2020년05월_남_70~79세,"2,285",366,113,83,175,214,148,265,421,240,89,171
2020년05월_남_80~89세,"1,063",145,61,63,93,111,60,120,154,136,37,83
2020년05월_남_90~99세,109,21,12,3,7,15,5,11,9,10,7,9
2020년05월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년05월_여_총인구수,"17,906","3,574",737,551,"1,069","1,486",938,"2,111","2,813","2,937",627,"1,063"
2020년05월_여_연령구간인구수,"17,906","3,574",737,551,"1,069","1,486",938,"2,111","2,813","2,937",627,"1,063"
2020년05월_여_0~9세,688,210,21,18,16,45,16,73,68,172,22,27
2020년05월_여_10~19세,"1,010",253,18,18,43,74,36,135,104,256,22,51
2020년05월_여_20~29세,"1,084",272,36,25,37,81,44,152,157,225,20,35
2020년05월_여_30~39세,"1,041",325,23,20,39,81,25,114,143,209,28,34
2020년05월_여_40~49세,"1,595",403,48,32,43,121,77,227,215,326,37,66
2020년05월_여_50~59세,"3,079",570,93,66,151,255,194,406,559,556,70,159
2020년05월_여_60~69세,"3,379",575,162,95,206,257,197,436,614,479,145,213
2020년05월_여_70~79세,"3,038",489,147,127,275,297,200,316,478,340,145,224
2020년05월_여_80~89세,"2,555",395,169,127,220,230,126,214,412,324,110,228
2020년05월_여_90~99세,422,78,20,23,37,43,23,37,60,48,28,25
2020년05월_여_100세 이상,15,4,0,0,2,2,0,1,3,2,0,1
2020년06월_계_총인구수,"35,140","6,895","1,442","1,072","2,054","2,943","1,857","4,181","5,638","5,776","1,202","2,080"
2020년06월_계_연령구간인구수,"35,140","6,895","1,442","1,072","2,054","2,943","1,857","4,181","5,638","5,776","1,202","2,080"
2020년06월_계_0~9세,"1,442",424,48,40,53,95,42,142,174,340,41,43
2020년06월_계_10~19세,"2,157",527,46,51,97,165,89,293,217,518,43,111
2020년06월_계_20~29세,"2,514",644,79,40,100,180,107,319,368,526,58,93
2020년06월_계_30~39세,"2,260",653,59,46,97,197,77,229,323,444,59,76
2020년06월_계_40~49세,"3,580",836,110,93,139,280,160,476,528,678,98,182
2020년06월_계_50~59세,"6,666","1,194",239,172,331,562,415,895,"1,190","1,111",184,373
2020년06월_계_60~69세,"7,024","1,121",339,202,427,557,409,864,"1,291","1,055",300,459
2020년06월_계_70~79세,"5,336",858,262,208,448,514,342,581,908,582,236,397
2020년06월_계_80~89세,"3,613",537,230,194,313,334,188,332,566,462,147,310
2020년06월_계_90~99세,530,97,30,26,46,57,28,48,69,58,36,35
2020년06월_계_100세 이상,18,4,0,0,3,2,0,2,4,2,0,1
2020년06월_남_총인구수,"17,236","3,330",706,517,985,"1,448",920,"2,070","2,816","2,851",575,"1,018"
2020년06월_남_연령구간인구수,"17,236","3,330",706,517,985,"1,448",920,"2,070","2,816","2,851",575,"1,018"
2020년06월_남_0~9세,761,219,26,20,37,49,26,70,107,170,20,17
2020년06월_남_10~19세,"1,153",269,28,32,54,92,53,160,118,266,20,61
2020년06월_남_20~29세,"1,441",375,46,17,63,94,65,168,212,307,38,56
2020년06월_남_30~39세,"1,222",329,37,25,58,117,50,115,180,237,32,42
2020년06월_남_40~49세,"1,994",433,64,60,96,159,85,250,316,351,63,117
2020년06월_남_50~59세,"3,576",626,144,105,183,304,218,486,619,563,112,216
2020년06월_남_60~69세,"3,622",548,175,108,219,293,213,426,673,568,156,243
2020년06월_남_70~79세,"2,298",366,115,81,174,217,145,264,428,243,90,175
2020년06월_남_80~89세,"1,061",146,60,66,93,108,60,119,154,136,37,82
2020년06월_남_90~99세,106,19,11,3,7,15,5,11,9,10,7,9
2020년06월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년06월_여_총인구수,"17,904","3,565",736,555,"1,069","1,495",937,"2,111","2,822","2,925",627,"1,062"
2020년06월_여_연령구간인구수,"17,904","3,565",736,555,"1,069","1,495",937,"2,111","2,822","2,925",627,"1,062"
2020년06월_여_0~9세,681,205,22,20,16,46,16,72,67,170,21,26
2020년06월_여_10~19세,"1,004",258,18,19,43,73,36,133,99,252,23,50
2020년06월_여_20~29세,"1,073",269,33,23,37,86,42,151,156,219,20,37
2020년06월_여_30~39세,"1,038",324,22,21,39,80,27,114,143,207,27,34
2020년06월_여_40~49세,"1,586",403,46,33,43,121,75,226,212,327,35,65
2020년06월_여_50~59세,"3,090",568,95,67,148,258,197,409,571,548,72,157
2020년06월_여_60~69세,"3,402",573,164,94,208,264,196,438,618,487,144,216
2020년06월_여_70~79세,"3,038",492,147,127,274,297,197,317,480,339,146,222
2020년06월_여_80~89세,"2,552",391,170,128,220,226,128,213,412,326,110,228
2020년06월_여_90~99세,424,78,19,23,39,42,23,37,60,48,29,26
2020년06월_여_100세 이상,16,4,0,0,2,2,0,1,4,2,0,1
2020년07월_계_총인구수,"35,097","6,882","1,442","1,070","2,054","2,935","1,847","4,178","5,636","5,777","1,200","2,076"
2020년07월_계_연령구간인구수,"35,097","6,882","1,442","1,070","2,054","2,935","1,847","4,178","5,636","5,777","1,200","2,076"
2020년07월_계_0~9세,"1,418",420,48,39,54,91,39,140,174,335,39,39
2020년07월_계_10~19세,"2,142",532,45,52,97,163,84,287,210,517,46,109
2020년07월_계_20~29세,"2,492",635,79,38,98,176,107,320,368,522,55,94
2020년07월_계_30~39세,"2,255",655,59,46,96,196,77,224,323,444,60,75
2020년07월_계_40~49세,"3,561",832,112,96,138,282,156,478,518,672,99,178
2020년07월_계_50~59세,"6,671","1,184",238,172,331,562,418,896,"1,200","1,114",180,376
2020년07월_계_60~69세,"7,062","1,129",339,200,433,560,411,871,"1,298","1,058",303,460
2020년07월_계_70~79세,"5,333",857,262,209,445,513,338,576,909,588,237,399
2020년07월_계_80~89세,"3,620",542,230,192,313,332,189,336,562,466,148,310
2020년07월_계_90~99세,524,92,30,26,46,58,27,48,70,59,33,35
2020년07월_계_100세 이상,19,4,0,0,3,2,1,2,4,2,0,1
2020년07월_남_총인구수,"17,216","3,334",706,512,985,"1,441",913,"2,067","2,813","2,849",574,"1,022"
2020년07월_남_연령구간인구수,"17,216","3,334",706,512,985,"1,441",913,"2,067","2,813","2,849",574,"1,022"
2020년07월_남_0~9세,746,218,26,19,37,47,24,68,106,166,18,17
2020년07월_남_10~19세,"1,157",273,28,33,54,91,50,160,117,267,23,61
2020년07월_남_20~29세,"1,422",370,45,15,60,95,63,169,208,304,36,57
2020년07월_남_30~39세,"1,224",334,38,25,57,113,49,114,181,238,33,42
2020년07월_남_40~49세,"1,978",431,64,60,95,162,84,250,310,347,61,114
2020년07월_남_50~59세,"3,576",620,144,104,185,301,217,484,624,564,112,221
2020년07월_남_60~69세,"3,639",555,175,107,223,294,214,428,676,568,156,243
2020년07월_남_70~79세,"2,307",366,115,82,173,218,146,261,431,248,91,176
2020년07월_남_80~89세,"1,056",148,60,64,93,105,60,120,151,136,37,82
2020년07월_남_90~99세,109,19,11,3,7,15,6,12,9,11,7,9
2020년07월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년07월_여_총인구수,"17,881","3,548",736,558,"1,069","1,494",934,"2,111","2,823","2,928",626,"1,054"
2020년07월_여_연령구간인구수,"17,881","3,548",736,558,"1,069","1,494",934,"2,111","2,823","2,928",626,"1,054"
2020년07월_여_0~9세,672,202,22,20,17,44,15,72,68,169,21,22
2020년07월_여_10~19세,985,259,17,19,43,72,34,127,93,250,23,48
2020년07월_여_20~29세,"1,070",265,34,23,38,81,44,151,160,218,19,37
2020년07월_여_30~39세,"1,031",321,21,21,39,83,28,110,142,206,27,33
2020년07월_여_40~49세,"1,583",401,48,36,43,120,72,228,208,325,38,64
2020년07월_여_50~59세,"3,095",564,94,68,146,261,201,412,576,550,68,155
2020년07월_여_60~69세,"3,423",574,164,93,210,266,197,443,622,490,147,217
2020년07월_여_70~79세,"3,026",491,147,127,272,295,192,315,478,340,146,223
2020년07월_여_80~89세,"2,564",394,170,128,220,227,129,216,411,330,111,228
2020년07월_여_90~99세,415,73,19,23,39,43,21,36,61,48,26,26
2020년07월_여_100세 이상,17,4,0,0,2,2,1,1,4,2,0,1
2020년08월_계_총인구수,"35,071","6,882","1,431","1,060","2,060","2,926","1,846","4,175","5,627","5,776","1,201","2,087"
2020년08월_계_연령구간인구수,"35,071","6,882","1,431","1,060","2,060","2,926","1,846","4,175","5,627","5,776","1,201","2,087"
2020년08월_계_0~9세,"1,408",415,47,37,54,91,38,140,172,337,39,38
2020년08월_계_10~19세,"2,130",530,44,49,97,163,82,283,211,520,44,107
2020년08월_계_20~29세,"2,492",637,74,38,99,172,110,318,364,525,58,97
2020년08월_계_30~39세,"2,219",653,59,43,95,196,75,222,310,430,61,75
2020년08월_계_40~49세,"3,573",839,113,92,141,280,153,483,523,674,95,180
2020년08월_계_50~59세,"6,647","1,179",233,173,329,552,415,892,"1,198","1,117",183,376
2020년08월_계_60~69세,"7,106","1,132",339,201,440,563,415,874,"1,308","1,058",306,470
2020년08월_계_70~79세,"5,317",854,261,209,444,513,338,575,900,592,233,398
2020년08월_계_80~89세,"3,626",544,228,192,314,336,193,337,565,460,150,307
2020년08월_계_90~99세,533,95,33,26,44,58,26,49,72,61,32,37
2020년08월_계_100세 이상,20,4,0,0,3,2,1,2,4,2,0,2
2020년08월_남_총인구수,"17,203","3,335",699,509,991,"1,442",912,"2,065","2,804","2,844",573,"1,029"
2020년08월_남_연령구간인구수,"17,203","3,335",699,509,991,"1,442",912,"2,065","2,804","2,844",573,"1,029"
2020년08월_남_0~9세,744,215,25,19,37,48,23,69,106,168,18,16
2020년08월_남_10~19세,"1,149",274,28,30,57,92,49,157,118,263,21,60
2020년08월_남_20~29세,"1,419",371,43,16,59,95,64,167,204,305,37,58
2020년08월_남_30~39세,"1,200",333,37,23,56,113,48,114,175,227,33,41
2020년08월_남_40~49세,"1,992",434,66,59,97,164,83,254,309,352,59,115
2020년08월_남_50~59세,"3,567",619,140,105,185,297,217,482,620,565,114,223
2020년08월_남_60~69세,"3,653",554,176,108,224,292,215,428,684,566,158,248
2020년08월_남_70~79세,"2,306",367,114,82,174,220,145,261,426,252,89,176
2020년08월_남_80~89세,"1,059",148,59,64,94,106,62,119,153,135,37,82
2020년08월_남_90~99세,112,20,11,3,7,15,6,13,9,11,7,10
2020년08월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년08월_여_총인구수,"17,868","3,547",732,551,"1,069","1,484",934,"2,110","2,823","2,932",628,"1,058"
2020년08월_여_연령구간인구수,"17,868","3,547",732,551,"1,069","1,484",934,"2,110","2,823","2,932",628,"1,058"
2020년08월_여_0~9세,664,200,22,18,17,43,15,71,66,169,21,22
2020년08월_여_10~19세,981,256,16,19,40,71,33,126,93,257,23,47
2020년08월_여_20~29세,"1,073",266,31,22,40,77,46,151,160,220,21,39
2020년08월_여_30~39세,"1,019",320,22,20,39,83,27,108,135,203,28,34
2020년08월_여_40~49세,"1,581",405,47,33,44,116,70,229,214,322,36,65
2020년08월_여_50~59세,"3,080",560,93,68,144,255,198,410,578,552,69,153
2020년08월_여_60~69세,"3,453",578,163,93,216,271,200,446,624,492,148,222
2020년08월_여_70~79세,"3,011",487,147,127,270,293,193,314,474,340,144,222
2020년08월_여_80~89세,"2,567",396,169,128,220,230,131,218,412,325,113,225
2020년08월_여_90~99세,421,75,22,23,37,43,20,36,63,50,25,27
2020년08월_여_100세 이상,18,4,0,0,2,2,1,1,4,2,0,2
2020년09월_계_총인구수,"34,978","6,858","1,425","1,054","2,049","2,917","1,840","4,159","5,628","5,763","1,198","2,087"
2020년09월_계_연령구간인구수,"34,978","6,858","1,425","1,054","2,049","2,917","1,840","4,159","5,628","5,763","1,198","2,087"
2020년09월_계_0~9세,"1,388",404,48,40,55,90,37,139,169,329,39,38
2020년09월_계_10~19세,"2,114",534,42,46,96,162,81,283,208,514,43,105
2020년09월_계_20~29세,"2,464",631,74,37,98,166,110,313,360,525,56,94
2020년09월_계_30~39세,"2,192",643,54,45,95,197,75,217,311,420,60,75
2020년09월_계_40~49세,"3,561",835,116,86,135,282,152,479,527,675,95,179
2020년09월_계_50~59세,"6,602","1,177",236,173,328,544,408,876,"1,184","1,116",183,377
2020년09월_계_60~69세,"7,154","1,138",337,204,436,566,417,886,"1,324","1,070",307,469
2020년09월_계_70~79세,"5,312",853,262,206,444,511,340,575,899,592,233,397
2020년09월_계_80~89세,"3,629",542,225,191,315,338,192,339,565,459,150,313
2020년09월_계_90~99세,543,97,31,26,44,59,27,50,78,61,32,38
2020년09월_계_100세 이상,19,4,0,0,3,2,1,2,3,2,0,2
2020년09월_남_총인구수,"17,179","3,324",696,505,987,"1,439",910,"2,062","2,814","2,840",574,"1,028"
2020년09월_남_연령구간인구수,"17,179","3,324",696,505,987,"1,439",910,"2,062","2,814","2,840",574,"1,028"
2020년09월_남_0~9세,736,209,25,20,37,49,22,69,105,166,18,16
2020년09월_남_10~19세,"1,138",278,27,28,56,89,48,157,115,260,21,59
2020년09월_남_20~29세,"1,406",368,42,15,60,94,64,165,204,304,35,55
2020년09월_남_30~39세,"1,188",327,34,24,57,111,49,113,176,224,32,41
2020년09월_남_40~49세,"1,987",431,67,54,94,165,82,256,310,352,61,115
2020년09월_남_50~59세,"3,554",613,142,107,184,296,218,473,621,562,113,225
2020년09월_남_60~69세,"3,682",564,177,108,221,294,215,433,690,574,160,246
2020년09월_남_70~79세,"2,311",367,114,82,174,219,145,263,428,252,90,177
2020년09월_남_80~89세,"1,063",147,59,64,96,107,61,118,155,135,37,84
2020년09월_남_90~99세,112,20,9,3,7,15,6,14,10,11,7,10
2020년09월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년09월_여_총인구수,"17,799","3,534",729,549,"1,062","1,478",930,"2,097","2,814","2,923",624,"1,059"
2020년09월_여_연령구간인구수,"17,799","3,534",729,549,"1,062","1,478",930,"2,097","2,814","2,923",624,"1,059"
2020년09월_여_0~9세,652,195,23,20,18,41,15,70,64,163,21,22
2020년09월_여_10~19세,976,256,15,18,40,73,33,126,93,254,22,46
2020년09월_여_20~29세,"1,058",263,32,22,38,72,46,148,156,221,21,39
2020년09월_여_30~39세,"1,004",316,20,21,38,86,26,104,135,196,28,34
2020년09월_여_40~49세,"1,574",404,49,32,41,117,70,223,217,323,34,64
2020년09월_여_50~59세,"3,048",564,94,66,144,248,190,403,563,554,70,152
2020년09월_여_60~69세,"3,472",574,160,96,215,272,202,453,634,496,147,223
2020년09월_여_70~79세,"3,001",486,148,124,270,292,195,312,471,340,143,220
2020년09월_여_80~89세,"2,566",395,166,127,219,231,131,221,410,324,113,229
2020년09월_여_90~99세,431,77,22,23,37,44,21,36,68,50,25,28
2020년09월_여_100세 이상,17,4,0,0,2,2,1,1,3,2,0,2
2020년10월_계_총인구수,"34,921","6,846","1,421","1,058","2,047","2,901","1,834","4,162","5,619","5,744","1,198","2,091"
2020년10월_계_연령구간인구수,"34,921","6,846","1,421","1,058","2,047","2,901","1,834","4,162","5,619","5,744","1,198","2,091"
2020년10월_계_0~9세,"1,364",388,48,41,55,88,35,138,165,329,39,38
2020년10월_계_10~19세,"2,096",541,42,47,98,155,79,281,206,504,42,101
2020년10월_계_20~29세,"2,458",627,74,37,100,164,108,311,361,521,56,99
2020년10월_계_30~39세,"2,179",632,54,43,95,200,75,221,308,417,60,74
2020년10월_계_40~49세,"3,549",834,114,89,135,279,153,470,529,671,94,181
2020년10월_계_50~59세,"6,578","1,179",235,170,322,535,401,874,"1,182","1,121",180,379
2020년10월_계_60~69세,"7,193","1,152",336,207,435,572,420,895,"1,323","1,071",311,471
2020년10월_계_70~79세,"5,305",846,265,207,444,508,339,576,900,595,231,394
2020년10월_계_80~89세,"3,640",544,222,190,318,339,197,344,565,455,153,313
2020년10월_계_90~99세,540,99,31,26,42,59,26,50,77,59,32,39
2020년10월_계_100세 이상,19,4,0,1,3,2,1,2,3,1,0,2
2020년10월_남_총인구수,"17,159","3,314",695,504,986,"1,435",905,"2,060","2,815","2,834",576,"1,035"
2020년10월_남_연령구간인구수,"17,159","3,314",695,504,986,"1,435",905,"2,060","2,815","2,834",576,"1,035"
2020년10월_남_0~9세,724,198,26,20,37,47,22,69,102,169,18,16
2020년10월_남_10~19세,"1,126",280,27,29,59,84,47,154,114,253,20,59
2020년10월_남_20~29세,"1,405",366,41,15,62,93,63,166,204,304,35,56
2020년10월_남_30~39세,"1,179",320,33,22,57,115,49,114,175,220,34,40
2020년10월_남_40~49세,"1,984",433,66,56,92,166,82,250,312,350,60,117
2020년10월_남_50~59세,"3,542",616,142,104,181,292,212,469,623,563,111,229
2020년10월_남_60~69세,"3,708",570,178,110,221,298,217,438,690,577,163,246
2020년10월_남_70~79세,"2,306",360,115,81,174,218,144,264,428,252,91,179
2020년10월_남_80~89세,"1,070",152,58,63,96,106,64,121,156,135,37,82
2020년10월_남_90~99세,113,19,9,4,6,16,5,14,11,11,7,11
2020년10월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년10월_여_총인구수,"17,762","3,532",726,554,"1,061","1,466",929,"2,102","2,804","2,910",622,"1,056"
2020년10월_여_연령구간인구수,"17,762","3,532",726,554,"1,061","1,466",929,"2,102","2,804","2,910",622,"1,056"
2020년10월_여_0~9세,640,190,22,21,18,41,13,69,63,160,21,22
2020년10월_여_10~19세,970,261,15,18,39,71,32,127,92,251,22,42
2020년10월_여_20~29세,"1,053",261,33,22,38,71,45,145,157,217,21,43
2020년10월_여_30~39세,"1,000",312,21,21,38,85,26,107,133,197,26,34
2020년10월_여_40~49세,"1,565",401,48,33,43,113,71,220,217,321,34,64
2020년10월_여_50~59세,"3,036",563,93,66,141,243,189,405,559,558,69,150
2020년10월_여_60~69세,"3,485",582,158,97,214,274,203,457,633,494,148,225
2020년10월_여_70~79세,"2,999",486,150,126,270,290,195,312,472,343,140,215
2020년10월_여_80~89세,"2,570",392,164,127,222,233,133,223,409,320,116,231
2020년10월_여_90~99세,427,80,22,22,36,43,21,36,66,48,25,28
2020년10월_여_100세 이상,17,4,0,1,2,2,1,1,3,1,0,2
2020년11월_계_총인구수,"34,895","6,857","1,415","1,064","2,046","2,887","1,831","4,148","5,619","5,741","1,186","2,101"
2020년11월_계_연령구간인구수,"34,895","6,857","1,415","1,064","2,046","2,887","1,831","4,148","5,619","5,741","1,186","2,101"
2020년11월_계_0~9세,"1,348",386,48,42,55,84,33,134,161,331,38,36
2020년11월_계_10~19세,"2,076",536,41,47,97,152,77,280,203,496,42,105
2020년11월_계_20~29세,"2,464",638,74,38,100,167,109,305,364,517,52,100
