카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년02월_남_연령구간인구수,"50,219","8,825","10,932","1,535","1,607","7,065","8,565","3,930","2,526","5,234"
2020년02월_남_0~9세,"3,377",501,784,31,38,889,610,164,103,257
2020년02월_남_10~19세,"4,192",745,"1,177",68,85,498,854,251,112,402
2020년02월_남_20~29세,"5,714","1,017","1,395",115,107,767,"1,066",397,246,604
2020년02월_남_30~39세,"5,765",910,"1,210",106,105,"1,307","1,038",396,201,492
2020년02월_남_40~49세,"8,050","1,299","1,901",159,159,"1,260","1,591",599,326,756
2020년02월_남_50~59세,"9,939","1,780","2,179",307,315,994,"1,839",902,553,"1,070"
2020년02월_남_60~69세,"7,590","1,458","1,354",360,415,812,976,725,551,939
2020년02월_남_70~79세,"3,865",791,636,240,264,374,412,340,292,516
2020년02월_남_80~89세,"1,538",285,270,141,103,135,160,141,125,178
2020년02월_남_90~99세,164,36,23,8,15,15,19,13,15,20
2020년02월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년02월_여_총인구수,"44,690","8,470","9,669","1,437","1,499","6,132","7,153","3,195","2,104","5,031"
2020년02월_여_연령구간인구수,"44,690","8,470","9,669","1,437","1,499","6,132","7,153","3,195","2,104","5,031"
2020년02월_여_0~9세,"3,125",489,708,25,39,793,593,115,87,276
2020년02월_여_10~19세,"3,818",729,967,53,53,475,782,211,124,424
2020년02월_여_20~29세,"4,181",794,954,70,93,696,732,261,127,454
2020년02월_여_30~39세,"4,579",727,"1,002",66,73,"1,145",753,242,137,434
2020년02월_여_40~49세,"6,214","1,133","1,582",87,83,951,"1,281",330,186,581
2020년02월_여_50~59세,"8,033","1,546","1,747",255,258,831,"1,312",696,407,981
2020년02월_여_60~69세,"6,819","1,444","1,307",317,342,601,854,622,447,885
2020년02월_여_70~79세,"4,380",939,806,295,289,370,475,383,293,530
2020년02월_여_80~89세,"3,002",581,502,229,225,215,316,290,252,392
2020년02월_여_90~99세,510,85,82,38,43,53,55,43,42,69
2020년02월_여_100세 이상,29,3,12,2,1,2,0,2,2,5
2020년03월_계_총인구수,"94,709","17,230","20,573","2,973","3,100","13,154","15,715","7,139","4,625","10,200"
2020년03월_계_연령구간인구수,"94,709","17,230","20,573","2,973","3,100","13,154","15,715","7,139","4,625","10,200"
2020년03월_계_0~9세,"6,461",981,"1,483",54,77,"1,665","1,199",278,188,536
2020년03월_계_10~19세,"7,973","1,464","2,141",124,132,980,"1,627",457,232,816
2020년03월_계_20~29세,"9,831","1,785","2,324",181,198,"1,469","1,786",663,372,"1,053"
2020년03월_계_30~39세,"10,259","1,610","2,206",176,177,"2,430","1,779",635,334,912
2020년03월_계_40~49세,"14,208","2,421","3,446",249,236,"2,213","2,875",930,505,"1,333"
2020년03월_계_50~59세,"17,924","3,307","3,942",558,571,"1,817","3,147","1,597",963,"2,022"
2020년03월_계_60~69세,"14,506","2,926","2,697",679,766,"1,409","1,851","1,351","1,002","1,825"
2020년03월_계_70~79세,"8,258","1,734","1,440",534,554,734,894,731,593,"1,044"
2020년03월_계_80~89세,"4,558",869,774,371,333,355,481,431,376,568
2020년03월_계_90~99세,679,127,105,45,54,66,76,62,56,88
2020년03월_계_100세 이상,52,6,15,2,2,16,0,4,4,3
2020년03월_남_총인구수,"50,139","8,793","10,929","1,535","1,613","7,045","8,560","3,945","2,522","5,197"
2020년03월_남_연령구간인구수,"50,139","8,793","10,929","1,535","1,613","7,045","8,560","3,945","2,522","5,197"
2020년03월_남_0~9세,"3,357",497,777,30,38,877,614,164,100,260
2020년03월_남_10~19세,"4,166",741,"1,175",69,81,500,850,247,111,392
2020년03월_남_20~29세,"5,693","1,006","1,386",112,112,770,"1,060",403,245,599
2020년03월_남_30~39세,"5,721",894,"1,207",109,106,"1,294","1,028",393,201,489
2020년03월_남_40~49세,"8,007","1,294","1,883",164,155,"1,257","1,586",600,319,749
2020년03월_남_50~59세,"9,937","1,771","2,191",303,314,"1,000","1,832",909,557,"1,060"
2020년03월_남_60~69세,"7,653","1,470","1,376",361,421,810,994,730,551,940
2020년03월_남_70~79세,"3,865",795,636,238,265,367,415,340,296,513
2020년03월_남_80~89세,"1,547",283,272,141,105,141,161,143,125,176
2020년03월_남_90~99세,168,39,23,8,15,15,20,14,15,19
2020년03월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년03월_여_총인구수,"44,570","8,437","9,644","1,438","1,487","6,109","7,155","3,194","2,103","5,003"
2020년03월_여_연령구간인구수,"44,570","8,437","9,644","1,438","1,487","6,109","7,155","3,194","2,103","5,003"
2020년03월_여_0~9세,"3,104",484,706,24,39,788,585,114,88,276
2020년03월_여_10~19세,"3,807",723,966,55,51,480,777,210,121,424
2020년03월_여_20~29세,"4,138",779,938,69,86,699,726,260,127,454
2020년03월_여_30~39세,"4,538",716,999,67,71,"1,136",751,242,133,423
2020년03월_여_40~49세,"6,201","1,127","1,563",85,81,956,"1,289",330,186,584
2020년03월_여_50~59세,"7,987","1,536","1,751",255,257,817,"1,315",688,406,962
2020년03월_여_60~69세,"6,853","1,456","1,321",318,345,599,857,621,451,885
2020년03월_여_70~79세,"4,393",939,804,296,289,367,479,391,297,531
2020년03월_여_80~89세,"3,011",586,502,230,228,214,320,288,251,392
2020년03월_여_90~99세,511,88,82,37,39,51,56,48,41,69
2020년03월_여_100세 이상,27,3,12,2,1,2,0,2,2,3
2020년04월_계_총인구수,"94,461","17,189","20,523","2,952","3,078","13,140","15,713","7,115","4,600","10,151"
2020년04월_계_연령구간인구수,"94,461","17,189","20,523","2,952","3,078","13,140","15,713","7,115","4,600","10,151"
2020년04월_계_0~9세,"6,410",974,"1,472",54,71,"1,652","1,194",276,185,532
2020년04월_계_10~19세,"7,937","1,462","2,126",121,129,987,"1,624",459,230,799
2020년04월_계_20~29세,"9,768","1,764","2,323",178,192,"1,458","1,790",656,366,"1,041"
2020년04월_계_30~39세,"10,219","1,610","2,187",173,177,"2,429","1,764",630,334,915
2020년04월_계_40~49세,"14,119","2,415","3,422",241,236,"2,202","2,879",916,499,"1,309"
2020년04월_계_50~59세,"17,873","3,296","3,934",548,567,"1,820","3,142","1,599",950,"2,017"
2020년04월_계_60~69세,"14,571","2,928","2,713",684,766,"1,423","1,867","1,352","1,002","1,836"
2020년04월_계_70~79세,"8,256","1,735","1,440",535,551,729,894,731,599,"1,042"
2020년04월_계_80~89세,"4,570",866,784,370,333,358,486,428,376,569
2020년04월_계_90~99세,684,132,107,46,54,66,72,64,55,88
2020년04월_계_100세 이상,54,7,15,2,2,16,1,4,4,3
2020년04월_남_총인구수,"50,020","8,775","10,910","1,523","1,601","7,035","8,562","3,930","2,513","5,171"
2020년04월_남_연령구간인구수,"50,020","8,775","10,910","1,523","1,601","7,035","8,562","3,930","2,513","5,171"
2020년04월_남_0~9세,"3,329",496,770,29,35,870,612,162,98,257
2020년04월_남_10~19세,"4,146",741,"1,170",67,80,499,848,249,109,383
2020년04월_남_20~29세,"5,680",998,"1,393",109,108,768,"1,068",401,243,592
2020년04월_남_30~39세,"5,698",887,"1,199",108,106,"1,294","1,023",388,202,491
2020년04월_남_40~49세,"7,952","1,300","1,865",158,155,"1,249","1,582",589,320,734
2020년04월_남_50~59세,"9,896","1,760","2,184",298,311,994,"1,829",911,548,"1,061"
2020년04월_남_60~69세,"7,698","1,470","1,392",364,422,823,"1,003",734,547,943
2020년04월_남_70~79세,"3,879",796,636,240,263,370,415,340,303,516
2020년04월_남_80~89세,"1,553",285,275,142,106,139,164,140,127,175
2020년04월_남_90~99세,164,39,23,8,14,15,18,14,14,19
2020년04월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년04월_여_총인구수,"44,441","8,414","9,613","1,429","1,477","6,105","7,151","3,185","2,087","4,980"
2020년04월_여_연령구간인구수,"44,441","8,414","9,613","1,429","1,477","6,105","7,151","3,185","2,087","4,980"
2020년04월_여_0~9세,"3,081",478,702,25,36,782,582,114,87,275
2020년04월_여_10~19세,"3,791",721,956,54,49,488,776,210,121,416
2020년04월_여_20~29세,"4,088",766,930,69,84,690,722,255,123,449
2020년04월_여_30~39세,"4,521",723,988,65,71,"1,135",741,242,132,424
2020년04월_여_40~49세,"6,167","1,115","1,557",83,81,953,"1,297",327,179,575
2020년04월_여_50~59세,"7,977","1,536","1,750",250,256,826,"1,313",688,402,956
2020년04월_여_60~69세,"6,873","1,458","1,321",320,344,600,864,618,455,893
2020년04월_여_70~79세,"4,377",939,804,295,288,359,479,391,296,526
2020년04월_여_80~89세,"3,017",581,509,228,227,219,322,288,249,394
2020년04월_여_90~99세,520,93,84,38,40,51,54,50,41,69
2020년04월_여_100세 이상,29,4,12,2,1,2,1,2,2,3
2020년05월_계_총인구수,"94,336","17,133","20,468","2,943","3,062","13,164","15,725","7,082","4,599","10,160"
2020년05월_계_연령구간인구수,"94,336","17,133","20,468","2,943","3,062","13,164","15,725","7,082","4,599","10,160"
2020년05월_계_0~9세,"6,368",961,"1,463",54,66,"1,637","1,196",274,187,530
2020년05월_계_10~19세,"7,906","1,450","2,104",121,128,997,"1,614",461,233,798
2020년05월_계_20~29세,"9,682","1,741","2,294",171,185,"1,455","1,790",642,365,"1,039"
2020년05월_계_30~39세,"10,197","1,593","2,187",177,173,"2,439","1,759",625,331,913
2020년05월_계_40~49세,"14,068","2,393","3,412",236,233,"2,202","2,865",908,502,"1,317"
2020년05월_계_50~59세,"17,883","3,291","3,927",541,560,"1,822","3,177","1,596",948,"2,021"
2020년05월_계_60~69세,"14,626","2,944","2,724",689,775,"1,441","1,872","1,350",996,"1,835"
2020년05월_계_70~79세,"8,258","1,746","1,443",534,548,723,889,728,602,"1,045"
2020년05월_계_80~89세,"4,603",875,790,372,335,365,490,430,376,570
2020년05월_계_90~99세,691,132,109,46,57,67,72,64,55,89
2020년05월_계_100세 이상,54,7,15,2,2,16,1,4,4,3
2020년05월_남_총인구수,"49,965","8,754","10,889","1,512","1,593","7,048","8,558","3,920","2,512","5,179"
2020년05월_남_연령구간인구수,"49,965","8,754","10,889","1,512","1,593","7,048","8,558","3,920","2,512","5,179"
2020년05월_남_0~9세,"3,305",488,763,29,33,858,615,162,99,258
2020년05월_남_10~19세,"4,135",738,"1,161",66,79,507,841,251,111,381
2020년05월_남_20~29세,"5,645",990,"1,376",103,105,772,"1,069",395,242,593
2020년05월_남_30~39세,"5,694",883,"1,198",108,103,"1,307","1,019",385,200,491
2020년05월_남_40~49세,"7,904","1,284","1,860",154,155,"1,244","1,568",582,321,736
2020년05월_남_50~59세,"9,909","1,756","2,189",296,307,991,"1,846",912,544,"1,068"
2020년05월_남_60~69세,"7,742","1,485","1,402",366,426,831,"1,007",738,548,939
2020년05월_남_70~79세,"3,871",800,633,241,262,366,410,340,303,516
2020년05월_남_80~89세,"1,570",287,280,141,107,144,165,139,129,178
2020년05월_남_90~99세,165,40,24,8,15,14,18,14,13,19
2020년05월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년05월_여_총인구수,"44,371","8,379","9,579","1,431","1,469","6,116","7,167","3,162","2,087","4,981"
2020년05월_여_연령구간인구수,"44,371","8,379","9,579","1,431","1,469","6,116","7,167","3,162","2,087","4,981"
2020년05월_여_0~9세,"3,063",473,700,25,33,779,581,112,88,272
2020년05월_여_10~19세,"3,771",712,943,55,49,490,773,210,122,417
2020년05월_여_20~29세,"4,037",751,918,68,80,683,721,247,123,446
2020년05월_여_30~39세,"4,503",710,989,69,70,"1,132",740,240,131,422
2020년05월_여_40~49세,"6,164","1,109","1,552",82,78,958,"1,297",326,181,581
2020년05월_여_50~59세,"7,974","1,535","1,738",245,253,831,"1,331",684,404,953
2020년05월_여_60~69세,"6,884","1,459","1,322",323,349,610,865,612,448,896
2020년05월_여_70~79세,"4,387",946,810,293,286,357,479,388,299,529
2020년05월_여_80~89세,"3,033",588,510,231,228,221,325,291,247,392
2020년05월_여_90~99세,526,92,85,38,42,53,54,50,42,70
2020년05월_여_100세 이상,29,4,12,2,1,2,1,2,2,3
2020년06월_계_총인구수,"94,288","17,149","20,361","2,934","3,062","13,244","15,726","7,057","4,602","10,153"
2020년06월_계_연령구간인구수,"94,288","17,149","20,361","2,934","3,062","13,244","15,726","7,057","4,602","10,153"
2020년06월_계_0~9세,"6,329",952,"1,441",53,66,"1,651","1,180",278,186,522
2020년06월_계_10~19세,"7,915","1,451","2,084",123,149,"1,012","1,610",452,234,800
2020년06월_계_20~29세,"9,643","1,746","2,260",171,182,"1,463","1,789",635,362,"1,035"
2020년06월_계_30~39세,"10,165","1,585","2,172",178,170,"2,458","1,759",609,329,905
2020년06월_계_40~49세,"14,049","2,389","3,408",232,231,"2,212","2,869",900,495,"1,313"
2020년06월_계_50~59세,"17,843","3,302","3,899",540,547,"1,825","3,170","1,594",946,"2,020"
2020년06월_계_60~69세,"14,732","2,960","2,743",688,776,"1,450","1,894","1,356","1,009","1,856"
2020년06월_계_70~79세,"8,254","1,744","1,443",531,548,722,895,729,599,"1,043"
2020년06월_계_80~89세,"4,614",882,788,369,333,370,488,436,382,566
2020년06월_계_90~99세,690,131,108,47,58,65,71,64,56,90
2020년06월_계_100세 이상,54,7,15,2,2,16,1,4,4,3
2020년06월_남_총인구수,"49,951","8,758","10,859","1,506","1,599","7,080","8,573","3,902","2,508","5,166"
2020년06월_남_연령구간인구수,"49,951","8,758","10,859","1,506","1,599","7,080","8,573","3,902","2,508","5,166"
2020년06월_남_0~9세,"3,291",492,755,26,32,868,608,162,96,252
2020년06월_남_10~19세,"4,130",732,"1,151",68,97,508,839,246,114,375
2020년06월_남_20~29세,"5,627",991,"1,352",102,105,779,"1,073",392,241,592
2020년06월_남_30~39세,"5,682",873,"1,200",108,100,"1,312","1,026",373,198,492
2020년06월_남_40~49세,"7,900","1,287","1,869",153,155,"1,250","1,565",574,319,728
2020년06월_남_50~59세,"9,895","1,763","2,178",295,301,989,"1,842",915,539,"1,073"
2020년06월_남_60~69세,"7,787","1,487","1,409",367,424,834,"1,025",742,554,945
2020년06월_남_70~79세,"3,882",803,638,238,264,365,413,343,303,515
2020년06월_남_80~89세,"1,564",287,278,140,105,147,165,139,129,174
2020년06월_남_90~99세,168,40,26,9,15,14,17,14,13,20
2020년06월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년06월_여_총인구수,"44,337","8,391","9,502","1,428","1,463","6,164","7,153","3,155","2,094","4,987"
2020년06월_여_연령구간인구수,"44,337","8,391","9,502","1,428","1,463","6,164","7,153","3,155","2,094","4,987"
2020년06월_여_0~9세,"3,038",460,686,27,34,783,572,116,90,270
2020년06월_여_10~19세,"3,785",719,933,55,52,504,771,206,120,425
2020년06월_여_20~29세,"4,016",755,908,69,77,684,716,243,121,443
2020년06월_여_30~39세,"4,483",712,972,70,70,"1,146",733,236,131,413
2020년06월_여_40~49세,"6,149","1,102","1,539",79,76,962,"1,304",326,176,585
2020년06월_여_50~59세,"7,948","1,539","1,721",245,246,836,"1,328",679,407,947
2020년06월_여_60~69세,"6,945","1,473","1,334",321,352,616,869,614,455,911
2020년06월_여_70~79세,"4,372",941,805,293,284,357,482,386,296,528
2020년06월_여_80~89세,"3,050",595,510,229,228,223,323,297,253,392
2020년06월_여_90~99세,522,91,82,38,43,51,54,50,43,70
2020년06월_여_100세 이상,29,4,12,2,1,2,1,2,2,3
2020년07월_계_총인구수,"94,315","17,152","20,346","2,930","3,068","13,297","15,764","7,047","4,573","10,138"
2020년07월_계_연령구간인구수,"94,315","17,152","20,346","2,930","3,068","13,297","15,764","7,047","4,573","10,138"
2020년07월_계_0~9세,"6,281",943,"1,432",52,66,"1,646","1,172",272,181,517
2020년07월_계_10~19세,"7,891","1,449","2,078",120,154,"1,007","1,599",451,235,798
2020년07월_계_20~29세,"9,645","1,747","2,258",167,181,"1,476","1,792",638,350,"1,036"
2020년07월_계_30~39세,"10,157","1,576","2,171",180,173,"2,483","1,758",601,322,893
2020년07월_계_40~49세,"14,064","2,378","3,410",229,229,"2,220","2,892",898,491,"1,317"
2020년07월_계_50~59세,"17,856","3,302","3,902",543,548,"1,831","3,186","1,588",944,"2,012"
2020년07월_계_60~69세,"14,768","2,980","2,747",682,778,"1,454","1,903","1,356","1,009","1,859"
2020년07월_계_70~79세,"8,295","1,751","1,447",539,547,730,905,731,596,"1,049"
2020년07월_계_80~89세,"4,612",885,778,370,333,369,486,444,384,563
2020년07월_계_90~99세,693,134,109,46,56,65,71,64,57,91
2020년07월_계_100세 이상,53,7,14,2,3,16,0,4,4,3
2020년07월_남_총인구수,"49,995","8,762","10,862","1,501","1,608","7,107","8,603","3,901","2,490","5,161"
2020년07월_남_연령구간인구수,"49,995","8,762","10,862","1,501","1,608","7,107","8,603","3,901","2,490","5,161"
2020년07월_남_0~9세,"3,274",486,751,26,32,866,606,160,93,254
2020년07월_남_10~19세,"4,115",734,"1,143",65,102,503,833,246,116,373
2020년07월_남_20~29세,"5,634",997,"1,348",99,106,788,"1,075",394,235,592
2020년07월_남_30~39세,"5,682",871,"1,204",109,101,"1,328","1,022",369,193,485
2020년07월_남_40~49세,"7,896","1,272","1,874",152,154,"1,244","1,586",571,312,731
2020년07월_남_50~59세,"9,916","1,763","2,187",296,302,999,"1,849",911,543,"1,066"
2020년07월_남_60~69세,"7,823","1,504","1,413",364,428,837,"1,031",747,551,948
2020년07월_남_70~79세,"3,903",807,639,242,263,368,419,347,301,517
2020년07월_남_80~89세,"1,559",285,275,139,105,146,165,140,130,174
2020년07월_남_90~99세,168,40,25,9,14,14,17,14,14,21
2020년07월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년07월_여_총인구수,"44,320","8,390","9,484","1,429","1,460","6,190","7,161","3,146","2,083","4,977"
2020년07월_여_연령구간인구수,"44,320","8,390","9,484","1,429","1,460","6,190","7,161","3,146","2,083","4,977"
2020년07월_여_0~9세,"3,007",457,681,26,34,780,566,112,88,263
2020년07월_여_10~19세,"3,776",715,935,55,52,504,766,205,119,425
2020년07월_여_20~29세,"4,011",750,910,68,75,688,717,244,115,444
2020년07월_여_30~39세,"4,475",705,967,71,72,"1,155",736,232,129,408
2020년07월_여_40~49세,"6,168","1,106","1,536",77,75,976,"1,306",327,179,586
2020년07월_여_50~59세,"7,940","1,539","1,715",247,246,832,"1,337",677,401,946
2020년07월_여_60~69세,"6,945","1,476","1,334",318,350,617,872,609,458,911
2020년07월_여_70~79세,"4,392",944,808,297,284,362,486,384,295,532
2020년07월_여_80~89세,"3,053",600,503,231,228,223,321,304,254,389
2020년07월_여_90~99세,525,94,84,37,42,51,54,50,43,70
2020년07월_여_100세 이상,28,4,11,2,2,2,0,2,2,3
2020년08월_계_총인구수,"94,179","17,125","20,280","2,928","3,071","13,270","15,798","7,033","4,560","10,114"
2020년08월_계_연령구간인구수,"94,179","17,125","20,280","2,928","3,071","13,270","15,798","7,033","4,560","10,114"
2020년08월_계_0~9세,"6,234",942,"1,412",53,67,"1,636","1,169",265,174,516
2020년08월_계_10~19세,"7,865","1,437","2,072",119,155,"1,009","1,598",450,236,789
2020년08월_계_20~29세,"9,587","1,740","2,241",163,178,"1,464","1,787",628,345,"1,041"
2020년08월_계_30~39세,"10,079","1,574","2,133",184,175,"2,459","1,756",598,313,887
2020년08월_계_40~49세,"14,074","2,367","3,400",226,231,"2,238","2,906",905,491,"1,310"
2020년08월_계_50~59세,"17,830","3,298","3,922",538,546,"1,814","3,192","1,573",952,"1,995"
2020년08월_계_60~69세,"14,870","2,996","2,751",688,782,"1,469","1,925","1,369","1,013","1,877"
2020년08월_계_70~79세,"8,283","1,744","1,443",541,546,729,906,736,594,"1,044"
2020년08월_계_80~89세,"4,611",888,781,368,333,369,488,443,379,562
2020년08월_계_90~99세,691,132,111,46,54,67,71,62,58,90
2020년08월_계_100세 이상,55,7,14,2,4,16,0,4,5,3
2020년08월_남_총인구수,"49,950","8,759","10,820","1,500","1,615","7,100","8,632","3,897","2,490","5,137"
2020년08월_남_연령구간인구수,"49,950","8,759","10,820","1,500","1,615","7,100","8,632","3,897","2,490","5,137"
2020년08월_남_0~9세,"3,259",486,738,27,33,866,607,158,89,255
2020년08월_남_10~19세,"4,091",729,"1,135",64,101,505,832,244,118,363
2020년08월_남_20~29세,"5,592",990,"1,338",95,106,779,"1,073",386,234,591
2020년08월_남_30~39세,"5,643",878,"1,179",111,104,"1,313","1,019",368,191,480
2020년08월_남_40~49세,"7,913","1,265","1,873",150,156,"1,259","1,599",576,312,723
2020년08월_남_50~59세,"9,915","1,758","2,204",296,298,995,"1,852",903,547,"1,062"
2020년08월_남_60~69세,"7,880","1,516","1,418",366,433,842,"1,048",753,551,953
2020년08월_남_70~79세,"3,901",807,633,243,262,369,419,354,300,514
2020년08월_남_80~89세,"1,562",287,274,138,107,144,166,140,132,174
2020년08월_남_90~99세,169,40,25,10,14,14,17,13,14,22
2020년08월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년08월_여_총인구수,"44,229","8,366","9,460","1,428","1,456","6,170","7,166","3,136","2,070","4,977"
2020년08월_여_연령구간인구수,"44,229","8,366","9,460","1,428","1,456","6,170","7,166","3,136","2,070","4,977"
2020년08월_여_0~9세,"2,975",456,674,26,34,770,562,107,85,261
2020년08월_여_10~19세,"3,774",708,937,55,54,504,766,206,118,426
2020년08월_여_20~29세,"3,995",750,903,68,72,685,714,242,111,450
2020년08월_여_30~39세,"4,436",696,954,73,71,"1,146",737,230,122,407
2020년08월_여_40~49세,"6,161","1,102","1,527",76,75,979,"1,307",329,179,587
2020년08월_여_50~59세,"7,915","1,540","1,718",242,248,819,"1,340",670,405,933
2020년08월_여_60~69세,"6,990","1,480","1,333",322,349,627,877,616,462,924
2020년08월_여_70~79세,"4,382",937,810,298,284,360,487,382,294,530
2020년08월_여_80~89세,"3,049",601,507,230,226,225,322,303,247,388
2020년08월_여_90~99세,522,92,86,36,40,53,54,49,44,68
2020년08월_여_100세 이상,30,4,11,2,3,2,0,2,3,3
2020년09월_계_총인구수,"93,813","17,070","20,149","2,927","3,054","13,192","15,758","7,011","4,545","10,107"
2020년09월_계_연령구간인구수,"93,813","17,070","20,149","2,927","3,054","13,192","15,758","7,011","4,545","10,107"
2020년09월_계_0~9세,"6,125",928,"1,371",52,67,"1,622","1,147",255,172,511
2020년09월_계_10~19세,"7,792","1,422","2,044",119,155,"1,014","1,585",450,231,772
2020년09월_계_20~29세,"9,547","1,751","2,249",163,174,"1,441","1,776",614,345,"1,034"
2020년09월_계_30~39세,"9,928","1,558","2,072",181,171,"2,417","1,732",597,312,888
2020년09월_계_40~49세,"13,974","2,346","3,367",222,232,"2,223","2,893",904,487,"1,300"
