카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년05월_여_40~49세,724,427,61,46,64,61,65
2020년05월_여_50~59세,"1,376",604,185,113,150,144,180
2020년05월_여_60~69세,"1,682",645,259,208,178,180,212
2020년05월_여_70~79세,"1,540",527,237,186,178,176,236
2020년05월_여_80~89세,"1,149",351,177,170,172,124,155
2020년05월_여_90~99세,175,74,28,17,17,23,16
2020년05월_여_100세 이상,20,6,0,3,2,4,5
2020년06월_계_총인구수,"16,748","7,321","2,161","1,725","1,780","1,685","2,076"
2020년06월_계_연령구간인구수,"16,748","7,321","2,161","1,725","1,780","1,685","2,076"
2020년06월_계_0~9세,767,453,83,61,49,53,68
2020년06월_계_10~19세,961,570,82,53,84,92,80
2020년06월_계_20~29세,"1,163",665,105,76,109,92,116
2020년06월_계_30~39세,"1,053",640,112,64,67,68,102
2020년06월_계_40~49세,"1,778",973,189,132,144,166,174
2020년06월_계_50~59세,"3,001","1,245",386,291,345,327,407
2020년06월_계_60~69세,"3,347","1,248",499,404,375,361,460
2020년06월_계_70~79세,"2,708",911,409,378,316,292,402
2020년06월_계_80~89세,"1,710",517,257,238,264,194,240
2020년06월_계_90~99세,234,91,37,24,25,35,22
2020년06월_계_100세 이상,26,8,2,4,2,5,5
2020년06월_남_총인구수,"8,277","3,596","1,041",873,880,844,"1,043"
2020년06월_남_연령구간인구수,"8,277","3,596","1,041",873,880,844,"1,043"
2020년06월_남_0~9세,399,246,39,32,22,31,29
2020년06월_남_10~19세,500,288,49,29,44,47,43
2020년06월_남_20~29세,671,371,63,44,63,57,73
2020년06월_남_30~39세,565,329,59,41,41,40,55
2020년06월_남_40~49세,"1,060",551,126,88,80,104,111
2020년06월_남_50~59세,"1,630",641,206,178,195,181,229
2020년06월_남_60~69세,"1,661",603,237,195,197,182,247
2020년06월_남_70~79세,"1,173",383,175,189,139,120,167
2020년06월_남_80~89세,553,165,76,69,91,68,84
2020년06월_남_90~99세,59,17,9,7,8,13,5
2020년06월_남_100세 이상,6,2,2,1,0,1,0
2020년06월_여_총인구수,"8,471","3,725","1,120",852,900,841,"1,033"
2020년06월_여_연령구간인구수,"8,471","3,725","1,120",852,900,841,"1,033"
2020년06월_여_0~9세,368,207,44,29,27,22,39
2020년06월_여_10~19세,461,282,33,24,40,45,37
2020년06월_여_20~29세,492,294,42,32,46,35,43
2020년06월_여_30~39세,488,311,53,23,26,28,47
2020년06월_여_40~49세,718,422,63,44,64,62,63
2020년06월_여_50~59세,"1,371",604,180,113,150,146,178
2020년06월_여_60~69세,"1,686",645,262,209,178,179,213
2020년06월_여_70~79세,"1,535",528,234,189,177,172,235
2020년06월_여_80~89세,"1,157",352,181,169,173,126,156
2020년06월_여_90~99세,175,74,28,17,17,22,17
2020년06월_여_100세 이상,20,6,0,3,2,4,5
2020년07월_계_총인구수,"16,738","7,298","2,168","1,724","1,784","1,687","2,077"
2020년07월_계_연령구간인구수,"16,738","7,298","2,168","1,724","1,784","1,687","2,077"
2020년07월_계_0~9세,760,451,82,59,49,51,68
2020년07월_계_10~19세,960,568,85,53,83,93,78
2020년07월_계_20~29세,"1,148",652,105,74,110,90,117
2020년07월_계_30~39세,"1,055",636,115,66,70,67,101
2020년07월_계_40~49세,"1,769",970,186,131,143,168,171
2020년07월_계_50~59세,"2,998","1,239",388,289,350,326,406
2020년07월_계_60~69세,"3,362","1,257",501,405,372,367,460
2020년07월_계_70~79세,"2,712",911,409,380,314,290,408
2020년07월_계_80~89세,"1,710",513,260,238,266,195,238
2020년07월_계_90~99세,238,93,35,25,25,35,25
2020년07월_계_100세 이상,26,8,2,4,2,5,5
2020년07월_남_총인구수,"8,271","3,584","1,045",871,883,846,"1,042"
2020년07월_남_연령구간인구수,"8,271","3,584","1,045",871,883,846,"1,042"
2020년07월_남_0~9세,399,247,41,31,22,29,29
2020년07월_남_10~19세,499,286,50,28,44,49,42
2020년07월_남_20~29세,659,365,61,42,64,55,72
2020년07월_남_30~39세,571,328,61,43,44,39,56
2020년07월_남_40~49세,"1,047",545,123,87,80,105,107
2020년07월_남_50~59세,"1,626",636,208,179,196,179,228
2020년07월_남_60~69세,"1,674",612,239,193,194,188,248
2020년07월_남_70~79세,"1,176",382,174,191,139,119,171
2020년07월_남_80~89세,555,164,77,69,92,69,84
2020년07월_남_90~99세,59,17,9,7,8,13,5
2020년07월_남_100세 이상,6,2,2,1,0,1,0
2020년07월_여_총인구수,"8,467","3,714","1,123",853,901,841,"1,035"
2020년07월_여_연령구간인구수,"8,467","3,714","1,123",853,901,841,"1,035"
2020년07월_여_0~9세,361,204,41,28,27,22,39
2020년07월_여_10~19세,461,282,35,25,39,44,36
2020년07월_여_20~29세,489,287,44,32,46,35,45
2020년07월_여_30~39세,484,308,54,23,26,28,45
2020년07월_여_40~49세,722,425,63,44,63,63,64
2020년07월_여_50~59세,"1,372",603,180,110,154,147,178
2020년07월_여_60~69세,"1,688",645,262,212,178,179,212
2020년07월_여_70~79세,"1,536",529,235,189,175,171,237
2020년07월_여_80~89세,"1,155",349,183,169,174,126,154
2020년07월_여_90~99세,179,76,26,18,17,22,20
2020년07월_여_100세 이상,20,6,0,3,2,4,5
2020년08월_계_총인구수,"16,680","7,285","2,153","1,719","1,777","1,683","2,063"
2020년08월_계_연령구간인구수,"16,680","7,285","2,153","1,719","1,777","1,683","2,063"
2020년08월_계_0~9세,744,445,81,58,44,50,66
2020년08월_계_10~19세,948,560,82,53,82,93,78
2020년08월_계_20~29세,"1,147",661,103,72,109,89,113
2020년08월_계_30~39세,"1,050",635,110,67,72,67,99
2020년08월_계_40~49세,"1,744",956,184,129,137,168,170
2020년08월_계_50~59세,"2,990","1,238",386,288,352,323,403
2020년08월_계_60~69세,"3,373","1,264",497,407,374,370,461
2020년08월_계_70~79세,"2,712",909,415,378,316,288,406
2020년08월_계_80~89세,"1,705",518,258,234,264,195,236
2020년08월_계_90~99세,241,91,35,29,25,35,26
2020년08월_계_100세 이상,26,8,2,4,2,5,5
2020년08월_남_총인구수,"8,244","3,574","1,039",874,877,844,"1,036"
2020년08월_남_연령구간인구수,"8,244","3,574","1,039",874,877,844,"1,036"
2020년08월_남_0~9세,392,243,40,31,21,29,28
2020년08월_남_10~19세,487,279,48,28,41,48,43
2020년08월_남_20~29세,664,372,60,42,65,55,70
2020년08월_남_30~39세,565,326,58,44,45,39,53
2020년08월_남_40~49세,"1,034",537,122,86,78,105,106
2020년08월_남_50~59세,"1,622",637,207,179,194,177,228
2020년08월_남_60~69세,"1,683",614,241,195,195,189,249
2020년08월_남_70~79세,"1,172",380,174,192,138,118,170
2020년08월_남_80~89세,558,167,78,68,92,70,83
2020년08월_남_90~99세,61,17,9,8,8,13,6
2020년08월_남_100세 이상,6,2,2,1,0,1,0
2020년08월_여_총인구수,"8,436","3,711","1,114",845,900,839,"1,027"
2020년08월_여_연령구간인구수,"8,436","3,711","1,114",845,900,839,"1,027"
2020년08월_여_0~9세,352,202,41,27,23,21,38
2020년08월_여_10~19세,461,281,34,25,41,45,35
2020년08월_여_20~29세,483,289,43,30,44,34,43
2020년08월_여_30~39세,485,309,52,23,27,28,46
2020년08월_여_40~49세,710,419,62,43,59,63,64
2020년08월_여_50~59세,"1,368",601,179,109,158,146,175
2020년08월_여_60~69세,"1,690",650,256,212,179,181,212
2020년08월_여_70~79세,"1,540",529,241,186,178,170,236
2020년08월_여_80~89세,"1,147",351,180,166,172,125,153
2020년08월_여_90~99세,180,74,26,21,17,22,20
2020년08월_여_100세 이상,20,6,0,3,2,4,5
2020년09월_계_총인구수,"16,669","7,289","2,141","1,729","1,777","1,681","2,052"
2020년09월_계_연령구간인구수,"16,669","7,289","2,141","1,729","1,777","1,681","2,052"
2020년09월_계_0~9세,743,450,78,57,44,50,64
2020년09월_계_10~19세,945,556,82,56,83,92,76
2020년09월_계_20~29세,"1,136",653,101,72,109,90,111
2020년09월_계_30~39세,"1,045",637,108,66,73,66,95
2020년09월_계_40~49세,"1,746",967,180,130,137,164,168
2020년09월_계_50~59세,"2,986","1,237",383,291,352,322,401
2020년09월_계_60~69세,"3,392","1,264",504,412,375,372,465
2020년09월_계_70~79세,"2,698",902,411,377,313,291,404
2020년09월_계_80~89세,"1,706",523,257,234,262,193,237
2020년09월_계_90~99세,246,92,35,30,27,36,26
2020년09월_계_100세 이상,26,8,2,4,2,5,5
2020년09월_남_총인구수,"8,239","3,580","1,030",879,878,843,"1,029"
2020년09월_남_연령구간인구수,"8,239","3,580","1,030",879,878,843,"1,029"
2020년09월_남_0~9세,392,246,37,31,22,29,27
2020년09월_남_10~19세,487,278,48,29,42,47,43
2020년09월_남_20~29세,658,368,59,42,64,56,69
2020년09월_남_30~39세,560,327,57,43,45,38,50
2020년09월_남_40~49세,"1,031",543,118,85,78,104,103
2020년09월_남_50~59세,"1,625",637,205,182,196,177,228
2020년09월_남_60~69세,"1,690",617,244,196,193,189,251
2020년09월_남_70~79세,"1,168",377,173,192,137,119,170
2020년09월_남_80~89세,562,169,79,70,92,70,82
2020년09월_남_90~99세,60,16,8,8,9,13,6
2020년09월_남_100세 이상,6,2,2,1,0,1,0
2020년09월_여_총인구수,"8,430","3,709","1,111",850,899,838,"1,023"
2020년09월_여_연령구간인구수,"8,430","3,709","1,111",850,899,838,"1,023"
2020년09월_여_0~9세,351,204,41,26,22,21,37
2020년09월_여_10~19세,458,278,34,27,41,45,33
2020년09월_여_20~29세,478,285,42,30,45,34,42
2020년09월_여_30~39세,485,310,51,23,28,28,45
2020년09월_여_40~49세,715,424,62,45,59,60,65
2020년09월_여_50~59세,"1,361",600,178,109,156,145,173
2020년09월_여_60~69세,"1,702",647,260,216,182,183,214
2020년09월_여_70~79세,"1,530",525,238,185,176,172,234
2020년09월_여_80~89세,"1,144",354,178,164,170,123,155
2020년09월_여_90~99세,186,76,27,22,18,23,20
2020년09월_여_100세 이상,20,6,0,3,2,4,5
2020년10월_계_총인구수,"16,670","7,291","2,139","1,733","1,773","1,690","2,044"
2020년10월_계_연령구간인구수,"16,670","7,291","2,139","1,733","1,773","1,690","2,044"
2020년10월_계_0~9세,742,449,78,57,42,53,63
2020년10월_계_10~19세,951,559,79,57,83,96,77
2020년10월_계_20~29세,"1,127",649,97,74,106,90,111
2020년10월_계_30~39세,"1,037",634,112,61,71,66,93
2020년10월_계_40~49세,"1,734",960,177,127,139,166,165
2020년10월_계_50~59세,"2,994","1,247",383,296,350,319,399
2020년10월_계_60~69세,"3,406","1,271",499,417,382,372,465
2020년10월_계_70~79세,"2,701",901,418,375,311,295,401
2020년10월_계_80~89세,"1,703",516,259,234,260,195,239
2020년10월_계_90~99세,249,97,35,31,27,33,26
2020년10월_계_100세 이상,26,8,2,4,2,5,5
2020년10월_남_총인구수,"8,236","3,580","1,032",878,873,848,"1,025"
2020년10월_남_연령구간인구수,"8,236","3,580","1,032",878,873,848,"1,025"
2020년10월_남_0~9세,395,248,38,32,19,32,26
2020년10월_남_10~19세,489,279,46,29,43,48,44
2020년10월_남_20~29세,654,367,56,42,62,57,70
2020년10월_남_30~39세,553,327,60,39,42,37,48
2020년10월_남_40~49세,"1,023",536,118,85,78,104,102
2020년10월_남_50~59세,"1,632",643,207,183,197,176,226
2020년10월_남_60~69세,"1,694",620,239,198,196,190,251
2020년10월_남_70~79세,"1,174",378,176,192,137,121,170
2020년10월_남_80~89세,555,162,82,69,90,70,82
2020년10월_남_90~99세,61,18,8,8,9,12,6
2020년10월_남_100세 이상,6,2,2,1,0,1,0
2020년10월_여_총인구수,"8,434","3,711","1,107",855,900,842,"1,019"
2020년10월_여_연령구간인구수,"8,434","3,711","1,107",855,900,842,"1,019"
2020년10월_여_0~9세,347,201,40,25,23,21,37
2020년10월_여_10~19세,462,280,33,28,40,48,33
2020년10월_여_20~29세,473,282,41,32,44,33,41
2020년10월_여_30~39세,484,307,52,22,29,29,45
2020년10월_여_40~49세,711,424,59,42,61,62,63
2020년10월_여_50~59세,"1,362",604,176,113,153,143,173
2020년10월_여_60~69세,"1,712",651,260,219,186,182,214
2020년10월_여_70~79세,"1,527",523,242,183,174,174,231
2020년10월_여_80~89세,"1,148",354,177,165,170,125,157
2020년10월_여_90~99세,188,79,27,23,18,21,20
2020년10월_여_100세 이상,20,6,0,3,2,4,5
2020년11월_계_총인구수,"16,677","7,299","2,142","1,732","1,765","1,691","2,048"
2020년11월_계_연령구간인구수,"16,677","7,299","2,142","1,732","1,765","1,691","2,048"
2020년11월_계_0~9세,734,445,76,56,41,53,63
2020년11월_계_10~19세,943,558,80,56,82,91,76
2020년11월_계_20~29세,"1,132",648,98,74,107,91,114
2020년11월_계_30~39세,"1,039",640,113,63,67,66,90
2020년11월_계_40~49세,"1,722",952,172,124,140,166,168
2020년11월_계_50~59세,"3,001","1,248",389,295,346,323,400
2020년11월_계_60~69세,"3,433","1,285",502,422,384,374,466
2020년11월_계_70~79세,"2,692",896,416,376,310,295,399
2020년11월_계_80~89세,"1,703",520,258,232,259,194,240
2020년11월_계_90~99세,251,99,36,30,27,32,27
2020년11월_계_100세 이상,27,8,2,4,2,6,5
2020년11월_남_총인구수,"8,246","3,588","1,037",877,872,848,"1,024"
2020년11월_남_연령구간인구수,"8,246","3,588","1,037",877,872,848,"1,024"
2020년11월_남_0~9세,391,245,37,31,19,33,26
2020년11월_남_10~19세,486,280,47,29,42,45,43
2020년11월_남_20~29세,660,369,57,41,63,58,72
2020년11월_남_30~39세,560,335,61,41,40,37,46
2020년11월_남_40~49세,"1,016",527,117,84,80,104,104
2020년11월_남_50~59세,"1,639",649,210,181,194,179,226
2020년11월_남_60~69세,"1,706",624,240,202,199,191,250
2020년11월_남_70~79세,"1,169",376,176,192,136,120,169
2020년11월_남_80~89세,553,163,82,68,90,68,82
2020년11월_남_90~99세,60,18,8,7,9,12,6
2020년11월_남_100세 이상,6,2,2,1,0,1,0
2020년11월_여_총인구수,"8,431","3,711","1,105",855,893,843,"1,024"
2020년11월_여_연령구간인구수,"8,431","3,711","1,105",855,893,843,"1,024"
2020년11월_여_0~9세,343,200,39,25,22,20,37
2020년11월_여_10~19세,457,278,33,27,40,46,33
2020년11월_여_20~29세,472,279,41,33,44,33,42
2020년11월_여_30~39세,479,305,52,22,27,29,44
2020년11월_여_40~49세,706,425,55,40,60,62,64
2020년11월_여_50~59세,"1,362",599,179,114,152,144,174
2020년11월_여_60~69세,"1,727",661,262,220,185,183,216
2020년11월_여_70~79세,"1,523",520,240,184,174,175,230
2020년11월_여_80~89세,"1,150",357,176,164,169,126,158
2020년11월_여_90~99세,191,81,28,23,18,20,21
2020년11월_여_100세 이상,21,6,0,3,2,5,5
2020년12월_계_총인구수,"16,692","7,305","2,141","1,739","1,772","1,693","2,042"
2020년12월_계_연령구간인구수,"16,692","7,305","2,141","1,739","1,772","1,693","2,042"
2020년12월_계_0~9세,726,444,71,56,40,53,62
2020년12월_계_10~19세,938,552,81,55,82,92,76
2020년12월_계_20~29세,"1,145",652,99,77,110,92,115
2020년12월_계_30~39세,"1,032",644,110,57,68,66,87
2020년12월_계_40~49세,"1,729",954,175,125,140,168,167
2020년12월_계_50~59세,"2,987","1,247",386,300,342,317,395
2020년12월_계_60~69세,"3,456","1,287",503,426,388,381,471
2020년12월_계_70~79세,"2,684",900,418,370,310,291,395
2020년12월_계_80~89세,"1,715",518,259,240,262,196,240
2020년12월_계_90~99세,252,99,36,29,28,31,29
2020년12월_계_100세 이상,28,8,3,4,2,6,5
2020년12월_남_총인구수,"8,263","3,594","1,037",884,872,852,"1,024"
2020년12월_남_연령구간인구수,"8,263","3,594","1,037",884,872,852,"1,024"
2020년12월_남_0~9세,385,244,34,30,19,33,25
2020년12월_남_10~19세,479,272,47,28,42,46,44
2020년12월_남_20~29세,675,377,59,43,65,58,73
2020년12월_남_30~39세,557,338,60,35,41,37,46
2020년12월_남_40~49세,"1,020",526,119,87,79,105,104
2020년12월_남_50~59세,"1,636",652,209,185,191,177,222
2020년12월_남_60~69세,"1,721",625,242,206,200,196,252
2020년12월_남_70~79세,"1,163",378,174,188,135,119,169
2020년12월_남_80~89세,559,161,83,74,91,68,82
2020년12월_남_90~99세,61,19,7,7,9,12,7
2020년12월_남_100세 이상,7,2,3,1,0,1,0
2020년12월_여_총인구수,"8,429","3,711","1,104",855,900,841,"1,018"
2020년12월_여_연령구간인구수,"8,429","3,711","1,104",855,900,841,"1,018"
2020년12월_여_0~9세,341,200,37,26,21,20,37
2020년12월_여_10~19세,459,280,34,27,40,46,32
2020년12월_여_20~29세,470,275,40,34,45,34,42
2020년12월_여_30~39세,475,306,50,22,27,29,41
2020년12월_여_40~49세,709,428,56,38,61,63,63
2020년12월_여_50~59세,"1,351",595,177,115,151,140,173
2020년12월_여_60~69세,"1,735",662,261,220,188,185,219
2020년12월_여_70~79세,"1,521",522,244,182,175,172,226
2020년12월_여_80~89세,"1,156",357,176,166,171,128,158
2020년12월_여_90~99세,191,80,29,22,19,19,22
2020년12월_여_100세 이상,21,6,0,3,2,5,5
2021년01월_계_총인구수,"16,638","7,266","2,137","1,736","1,762","1,697","2,040"
2021년01월_계_연령구간인구수,"16,638","7,266","2,137","1,736","1,762","1,697","2,040"
2021년01월_계_0~9세,728,443,72,57,41,53,62
2021년01월_계_10~19세,924,544,79,55,77,93,76
2021년01월_계_20~29세,"1,158",656,101,81,112,93,115
2021년01월_계_30~39세,"1,021",632,111,58,67,68,85
2021년01월_계_40~49세,"1,708",937,174,125,135,166,171
2021년01월_계_50~59세,"2,961","1,244",380,293,341,315,388
2021년01월_계_60~69세,"3,461","1,286",503,423,386,386,477
2021년01월_계_70~79세,"2,677",899,416,374,311,288,389
2021년01월_계_80~89세,"1,716",516,262,236,260,199,243
2021년01월_계_90~99세,255,101,36,30,30,30,28
2021년01월_계_100세 이상,29,8,3,4,2,6,6
2021년01월_남_총인구수,"8,237","3,577","1,034",878,869,854,"1,025"
2021년01월_남_연령구간인구수,"8,237","3,577","1,034",878,869,854,"1,025"
2021년01월_남_0~9세,386,245,34,30,20,32,25
2021년01월_남_10~19세,472,268,47,28,39,46,44
2021년01월_남_20~29세,678,377,59,44,68,59,71
2021년01월_남_30~39세,551,332,60,36,40,38,45
2021년01월_남_40~49세,"1,006",519,117,86,74,104,106
2021년01월_남_50~59세,"1,625",647,209,182,191,176,220
2021년01월_남_60~69세,"1,732",634,240,205,201,198,254
2021년01월_남_70~79세,"1,161",373,175,188,136,119,170
2021년01월_남_80~89세,558,161,83,71,91,69,83
2021년01월_남_90~99세,60,19,7,7,9,12,6
2021년01월_남_100세 이상,8,2,3,1,0,1,1
2021년01월_여_총인구수,"8,401","3,689","1,103",858,893,843,"1,015"
2021년01월_여_연령구간인구수,"8,401","3,689","1,103",858,893,843,"1,015"
2021년01월_여_0~9세,342,198,38,27,21,21,37
2021년01월_여_10~19세,452,276,32,27,38,47,32
2021년01월_여_20~29세,480,279,42,37,44,34,44
2021년01월_여_30~39세,470,300,51,22,27,30,40
2021년01월_여_40~49세,702,418,57,39,61,62,65
2021년01월_여_50~59세,"1,336",597,171,111,150,139,168
2021년01월_여_60~69세,"1,729",652,263,218,185,188,223
2021년01월_여_70~79세,"1,516",526,241,186,175,169,219
2021년01월_여_80~89세,"1,158",355,179,165,169,130,160
2021년01월_여_90~99세,195,82,29,23,21,18,22
2021년01월_여_100세 이상,21,6,0,3,2,5,5
2021년02월_계_총인구수,"16,623","7,251","2,139","1,734","1,757","1,708","2,034"
2021년02월_계_연령구간인구수,"16,623","7,251","2,139","1,734","1,757","1,708","2,034"
2021년02월_계_0~9세,739,450,73,55,41,59,61
2021년02월_계_10~19세,916,535,78,54,76,99,74
2021년02월_계_20~29세,"1,137",647,98,80,110,89,113
2021년02월_계_30~39세,"1,019",625,113,60,68,69,84
2021년02월_계_40~49세,"1,699",929,174,126,131,168,171
2021년02월_계_50~59세,"2,955","1,247",376,290,340,317,385
2021년02월_계_60~69세,"3,478","1,290",511,422,390,381,484
2021년02월_계_70~79세,"2,667",900,411,375,304,291,386
2021년02월_계_80~89세,"1,726",519,264,236,264,200,243
2021년02월_계_90~99세,260,102,38,32,31,29,28
2021년02월_계_100세 이상,27,7,3,4,2,6,5
2021년02월_남_총인구수,"8,231","3,573","1,033",880,868,854,"1,023"
2021년02월_남_연령구간인구수,"8,231","3,573","1,033",880,868,854,"1,023"
2021년02월_남_0~9세,390,247,34,29,20,35,25
2021년02월_남_10~19세,468,267,46,26,39,47,43
2021년02월_남_20~29세,667,374,56,45,66,56,70
2021년02월_남_30~39세,551,329,61,38,40,37,46
2021년02월_남_40~49세,"1,000",515,118,87,70,105,105
2021년02월_남_50~59세,"1,618",646,204,180,194,176,218
2021년02월_남_60~69세,"1,752",641,247,205,203,195,261
2021년02월_남_70~79세,"1,148",371,169,187,134,120,167
