카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년02월_계_10~19세,"6,306",673,"1,509","1,238","1,295",659,932
2020년02월_계_20~29세,"7,971","1,036","1,201","1,705","1,698","1,325","1,006"
2020년02월_계_30~39세,"7,881",762,"1,372","1,172","1,762","1,776","1,037"
2020년02월_계_40~49세,"9,164",875,"2,120","1,518","1,788","1,497","1,366"
2020년02월_계_50~59세,"10,213","1,292","1,695","2,139","2,162","1,574","1,351"
2020년02월_계_60~69세,"6,538",892,944,"1,233","1,211","1,345",913
2020년02월_계_70~79세,"3,467",450,557,618,564,703,575
2020년02월_계_80~89세,"1,747",274,239,401,355,250,228
2020년02월_계_90~99세,366,74,45,85,65,50,47
2020년02월_계_100세 이상,51,15,4,11,4,3,14
2020년02월_남_총인구수,"28,616","3,256","5,313","5,110","5,846","5,116","3,975"
2020년02월_남_연령구간인구수,"28,616","3,256","5,313","5,110","5,846","5,116","3,975"
2020년02월_남_0~9세,"2,394",231,627,318,530,336,352
2020년02월_남_10~19세,"3,271",339,769,653,673,353,484
2020년02월_남_20~29세,"4,217",547,624,873,890,736,547
2020년02월_남_30~39세,"4,002",392,604,566,909,999,532
2020년02월_남_40~49세,"4,348",380,"1,023",662,827,801,655
2020년02월_남_50~59세,"4,982",599,866,"1,035","1,029",776,677
2020년02월_남_60~69세,"3,191",450,470,586,619,660,406
2020년02월_남_70~79세,"1,497",198,230,251,237,347,234
2020년02월_남_80~89세,614,101,87,139,119,93,75
2020년02월_남_90~99세,92,17,13,24,13,15,10
2020년02월_남_100세 이상,8,2,0,3,0,0,3
2020년02월_여_총인구수,"29,637","3,502","5,616","5,653","5,996","4,740","4,130"
2020년02월_여_연령구간인구수,"29,637","3,502","5,616","5,653","5,996","4,740","4,130"
2020년02월_여_0~9세,"2,155",184,616,325,408,338,284
2020년02월_여_10~19세,"3,035",334,740,585,622,306,448
2020년02월_여_20~29세,"3,754",489,577,832,808,589,459
2020년02월_여_30~39세,"3,879",370,768,606,853,777,505
2020년02월_여_40~49세,"4,816",495,"1,097",856,961,696,711
2020년02월_여_50~59세,"5,231",693,829,"1,104","1,133",798,674
2020년02월_여_60~69세,"3,347",442,474,647,592,685,507
2020년02월_여_70~79세,"1,970",252,327,367,327,356,341
2020년02월_여_80~89세,"1,133",173,152,262,236,157,153
2020년02월_여_90~99세,274,57,32,61,52,35,37
2020년02월_여_100세 이상,43,13,4,8,4,3,11
2020년03월_계_총인구수,"58,280","6,752","10,964","10,714","11,872","9,888","8,090"
2020년03월_계_연령구간인구수,"58,280","6,752","10,964","10,714","11,872","9,888","8,090"
2020년03월_계_0~9세,"4,572",413,"1,242",644,952,675,646
2020년03월_계_10~19세,"6,264",666,"1,513","1,220","1,280",666,919
2020년03월_계_20~29세,"7,998","1,037","1,211","1,705","1,719","1,324","1,002"
2020년03월_계_30~39세,"7,873",765,"1,374","1,172","1,761","1,758","1,043"
2020년03월_계_40~49세,"9,102",870,"2,117","1,485","1,784","1,504","1,342"
2020년03월_계_50~59세,"10,230","1,278","1,709","2,135","2,168","1,586","1,354"
2020년03월_계_60~69세,"6,587",905,947,"1,242","1,212","1,364",917
2020년03월_계_70~79세,"3,477",450,559,617,569,704,578
2020년03월_계_80~89세,"1,773",281,241,400,361,259,231
2020년03월_계_90~99세,354,72,47,83,62,45,45
2020년03월_계_100세 이상,50,15,4,11,4,3,13
2020년03월_남_총인구수,"28,633","3,259","5,321","5,082","5,855","5,151","3,965"
2020년03월_남_연령구간인구수,"28,633","3,259","5,321","5,082","5,855","5,151","3,965"
2020년03월_남_0~9세,"2,392",228,621,319,534,336,354
2020년03월_남_10~19세,"3,259",338,771,647,672,359,472
2020년03월_남_20~29세,"4,231",547,632,867,899,740,546
2020년03월_남_30~39세,"3,995",392,598,563,908,998,536
2020년03월_남_40~49세,"4,318",381,"1,022",646,822,804,643
2020년03월_남_50~59세,"5,002",594,873,"1,036","1,032",789,678
2020년03월_남_60~69세,"3,214",456,472,590,615,671,410
2020년03월_남_70~79세,"1,503",201,227,250,243,344,238
2020년03월_남_80~89세,623,103,92,139,117,97,75
2020년03월_남_90~99세,88,17,13,22,13,13,10
2020년03월_남_100세 이상,8,2,0,3,0,0,3
2020년03월_여_총인구수,"29,647","3,493","5,643","5,632","6,017","4,737","4,125"
2020년03월_여_연령구간인구수,"29,647","3,493","5,643","5,632","6,017","4,737","4,125"
2020년03월_여_0~9세,"2,180",185,621,325,418,339,292
2020년03월_여_10~19세,"3,005",328,742,573,608,307,447
2020년03월_여_20~29세,"3,767",490,579,838,820,584,456
2020년03월_여_30~39세,"3,878",373,776,609,853,760,507
2020년03월_여_40~49세,"4,784",489,"1,095",839,962,700,699
2020년03월_여_50~59세,"5,228",684,836,"1,099","1,136",797,676
2020년03월_여_60~69세,"3,373",449,475,652,597,693,507
2020년03월_여_70~79세,"1,974",249,332,367,326,360,340
2020년03월_여_80~89세,"1,150",178,149,261,244,162,156
2020년03월_여_90~99세,266,55,34,61,49,32,35
2020년03월_여_100세 이상,42,13,4,8,4,3,10
2020년04월_계_총인구수,"59,687","8,469","10,883","10,597","11,786","9,883","8,069"
2020년04월_계_연령구간인구수,"59,687","8,469","10,883","10,597","11,786","9,883","8,069"
2020년04월_계_0~9세,"4,760",617,"1,219",643,951,684,646
2020년04월_계_10~19세,"6,349",829,"1,499","1,191","1,259",654,917
2020년04월_계_20~29세,"8,188","1,272","1,207","1,674","1,715","1,325",995
2020년04월_계_30~39세,"8,145","1,037","1,353","1,189","1,758","1,762","1,046"
2020년04월_계_40~49세,"9,287","1,121","2,086","1,468","1,774","1,496","1,342"
2020년04월_계_50~59세,"10,468","1,592","1,712","2,092","2,138","1,593","1,341"
2020년04월_계_60~69세,"6,753","1,081",957,"1,249","1,198","1,356",912
2020년04월_계_70~79세,"3,536",516,554,604,573,706,583
2020년04월_계_80~89세,"1,793",313,247,392,354,260,227
2020년04월_계_90~99세,358,76,45,84,62,44,47
2020년04월_계_100세 이상,50,15,4,11,4,3,13
2020년04월_남_총인구수,"29,341","4,112","5,277","5,030","5,820","5,150","3,952"
2020년04월_남_연령구간인구수,"29,341","4,112","5,277","5,030","5,820","5,150","3,952"
2020년04월_남_0~9세,"2,494",338,609,324,531,339,353
2020년04월_남_10~19세,"3,307",423,765,632,664,352,471
2020년04월_남_20~29세,"4,323",675,628,844,900,739,537
2020년04월_남_30~39세,"4,110",515,587,573,901,997,537
2020년04월_남_40~49세,"4,429",507,"1,004",647,821,804,646
2020년04월_남_50~59세,"5,122",742,876,"1,015","1,020",794,675
2020년04월_남_60~69세,"3,291",549,475,586,608,669,404
2020년04월_남_70~79세,"1,531",228,223,248,246,345,241
2020년04월_남_80~89세,638,116,97,137,115,98,75
2020년04월_남_90~99세,88,17,13,21,14,13,10
2020년04월_남_100세 이상,8,2,0,3,0,0,3
2020년04월_여_총인구수,"30,346","4,357","5,606","5,567","5,966","4,733","4,117"
2020년04월_여_연령구간인구수,"30,346","4,357","5,606","5,567","5,966","4,733","4,117"
2020년04월_여_0~9세,"2,266",279,610,319,420,345,293
2020년04월_여_10~19세,"3,042",406,734,559,595,302,446
2020년04월_여_20~29세,"3,865",597,579,830,815,586,458
2020년04월_여_30~39세,"4,035",522,766,616,857,765,509
2020년04월_여_40~49세,"4,858",614,"1,082",821,953,692,696
2020년04월_여_50~59세,"5,346",850,836,"1,077","1,118",799,666
2020년04월_여_60~69세,"3,462",532,482,663,590,687,508
2020년04월_여_70~79세,"2,005",288,331,356,327,361,342
2020년04월_여_80~89세,"1,155",197,150,255,239,162,152
2020년04월_여_90~99세,270,59,32,63,48,31,37
2020년04월_여_100세 이상,42,13,4,8,4,3,10
2020년05월_계_총인구수,"60,790","9,794","10,899","10,468","11,741","9,842","8,046"
2020년05월_계_연령구간인구수,"60,790","9,794","10,899","10,468","11,741","9,842","8,046"
2020년05월_계_0~9세,"4,891",731,"1,236",635,957,690,642
2020년05월_계_10~19세,"6,362",922,"1,483","1,158","1,239",647,913
2020년05월_계_20~29세,"8,369","1,450","1,210","1,677","1,707","1,318","1,007"
2020년05월_계_30~39세,"8,324","1,263","1,356","1,172","1,755","1,747","1,031"
2020년05월_계_40~49세,"9,371","1,278","2,098","1,437","1,743","1,484","1,331"
2020년05월_계_50~59세,"10,715","1,847","1,707","2,074","2,142","1,596","1,349"
2020년05월_계_60~69세,"6,930","1,275",965,"1,222","1,204","1,357",907
2020년05월_계_70~79세,"3,597",586,551,615,571,698,576
2020년05월_계_80~89세,"1,812",346,246,381,353,258,228
2020년05월_계_90~99세,368,81,43,86,65,44,49
2020년05월_계_100세 이상,51,15,4,11,5,3,13
2020년05월_남_총인구수,"29,872","4,741","5,301","4,960","5,793","5,133","3,944"
2020년05월_남_연령구간인구수,"29,872","4,741","5,301","4,960","5,793","5,133","3,944"
2020년05월_남_0~9세,"2,557",387,623,318,531,344,354
2020년05월_남_10~19세,"3,300",461,753,616,655,349,466
2020년05월_남_20~29세,"4,412",763,641,839,891,730,548
2020년05월_남_30~39세,"4,196",621,587,565,898,994,531
2020년05월_남_40~49세,"4,483",585,"1,017",631,810,799,641
2020년05월_남_50~59세,"5,230",855,869,"1,005","1,029",794,678
2020년05월_남_60~69세,"3,380",655,480,575,600,670,400
2020년05월_남_70~79세,"1,571",265,225,254,249,341,237
2020년05월_남_80~89세,647,130,95,132,115,99,76
2020년05월_남_90~99세,87,17,11,22,14,13,10
2020년05월_남_100세 이상,9,2,0,3,1,0,3
2020년05월_여_총인구수,"30,918","5,053","5,598","5,508","5,948","4,709","4,102"
2020년05월_여_연령구간인구수,"30,918","5,053","5,598","5,508","5,948","4,709","4,102"
2020년05월_여_0~9세,"2,334",344,613,317,426,346,288
2020년05월_여_10~19세,"3,062",461,730,542,584,298,447
2020년05월_여_20~29세,"3,957",687,569,838,816,588,459
2020년05월_여_30~39세,"4,128",642,769,607,857,753,500
2020년05월_여_40~49세,"4,888",693,"1,081",806,933,685,690
2020년05월_여_50~59세,"5,485",992,838,"1,069","1,113",802,671
2020년05월_여_60~69세,"3,550",620,485,647,604,687,507
2020년05월_여_70~79세,"2,026",321,326,361,322,357,339
2020년05월_여_80~89세,"1,165",216,151,249,238,159,152
2020년05월_여_90~99세,281,64,32,64,51,31,39
2020년05월_여_100세 이상,42,13,4,8,4,3,10
2020년06월_계_총인구수,"61,309","10,384","11,002","10,413","11,673","9,826","8,011"
2020년06월_계_연령구간인구수,"61,309","10,384","11,002","10,413","11,673","9,826","8,011"
2020년06월_계_0~9세,"4,958",788,"1,264",646,941,682,637
2020년06월_계_10~19세,"6,330",933,"1,490","1,133","1,219",648,907
2020년06월_계_20~29세,"8,450","1,522","1,222","1,664","1,714","1,319","1,009"
2020년06월_계_30~39세,"8,420","1,369","1,373","1,181","1,750","1,731","1,016"
2020년06월_계_40~49세,"9,449","1,369","2,126","1,433","1,718","1,489","1,314"
2020년06월_계_50~59세,"10,778","1,943","1,710","2,048","2,124","1,594","1,359"
2020년06월_계_60~69세,"7,075","1,405",980,"1,217","1,211","1,354",908
2020년06월_계_70~79세,"3,620",603,550,615,574,705,573
2020년06월_계_80~89세,"1,813",356,244,378,351,258,226
2020년06월_계_90~99세,364,81,39,87,66,43,48
2020년06월_계_100세 이상,52,15,4,11,5,3,14
2020년06월_남_총인구수,"30,125","5,032","5,366","4,945","5,741","5,123","3,918"
2020년06월_남_연령구간인구수,"30,125","5,032","5,366","4,945","5,741","5,123","3,918"
2020년06월_남_0~9세,"2,586",414,640,328,519,337,348
2020년06월_남_10~19세,"3,285",467,756,601,644,350,467
2020년06월_남_20~29세,"4,444",792,652,835,885,733,547
2020년06월_남_30~39세,"4,242",674,595,566,899,986,522
2020년06월_남_40~49세,"4,529",632,"1,037",633,796,801,630
2020년06월_남_50~59세,"5,253",900,869,996,"1,012",791,685
2020년06월_남_60~69세,"3,458",727,488,575,606,668,394
2020년06월_남_70~79세,"1,588",276,222,255,251,344,240
2020년06월_남_80~89세,645,131,96,132,114,99,73
2020년06월_남_90~99세,86,17,11,21,14,14,9
2020년06월_남_100세 이상,9,2,0,3,1,0,3
2020년06월_여_총인구수,"31,184","5,352","5,636","5,468","5,932","4,703","4,093"
2020년06월_여_연령구간인구수,"31,184","5,352","5,636","5,468","5,932","4,703","4,093"
2020년06월_여_0~9세,"2,372",374,624,318,422,345,289
2020년06월_여_10~19세,"3,045",466,734,532,575,298,440
2020년06월_여_20~29세,"4,006",730,570,829,829,586,462
2020년06월_여_30~39세,"4,178",695,778,615,851,745,494
2020년06월_여_40~49세,"4,920",737,"1,089",800,922,688,684
2020년06월_여_50~59세,"5,525","1,043",841,"1,052","1,112",803,674
2020년06월_여_60~69세,"3,617",678,492,642,605,686,514
2020년06월_여_70~79세,"2,032",327,328,360,323,361,333
2020년06월_여_80~89세,"1,168",225,148,246,237,159,153
2020년06월_여_90~99세,278,64,28,66,52,29,39
2020년06월_여_100세 이상,43,13,4,8,4,3,11
2020년07월_계_총인구수,"61,717","10,767","11,041","10,395","11,699","9,814","8,001"
2020년07월_계_연령구간인구수,"61,717","10,767","11,041","10,395","11,699","9,814","8,001"
2020년07월_계_0~9세,"5,005",821,"1,281",634,949,684,636
2020년07월_계_10~19세,"6,308",963,"1,482","1,118","1,207",642,896
2020년07월_계_20~29세,"8,546","1,586","1,226","1,678","1,710","1,328","1,018"
2020년07월_계_30~39세,"8,495","1,433","1,365","1,198","1,769","1,727","1,003"
2020년07월_계_40~49세,"9,489","1,423","2,141","1,412","1,717","1,475","1,321"
2020년07월_계_50~59세,"10,860","2,026","1,717","2,041","2,124","1,591","1,361"
2020년07월_계_60~69세,"7,112","1,433",985,"1,214","1,218","1,360",902
2020년07월_계_70~79세,"3,655",622,555,621,583,701,573
2020년07월_계_80~89세,"1,825",363,243,379,351,259,230
2020년07월_계_90~99세,371,83,42,89,66,44,47
2020년07월_계_100세 이상,51,14,4,11,5,3,14
2020년07월_남_총인구수,"30,296","5,228","5,377","4,932","5,731","5,114","3,914"
2020년07월_남_연령구간인구수,"30,296","5,228","5,377","4,932","5,731","5,114","3,914"
2020년07월_남_0~9세,"2,604",439,647,323,514,333,348
2020년07월_남_10~19세,"3,269",476,752,594,638,345,464
2020년07월_남_20~29세,"4,489",833,651,838,877,742,548
2020년07월_남_30~39세,"4,285",705,596,576,906,987,515
2020년07월_남_40~49세,"4,540",656,"1,040",618,795,794,637
2020년07월_남_50~59세,"5,297",941,870,"1,000","1,010",792,684
2020년07월_남_60~69세,"3,463",742,490,568,606,665,392
2020년07월_남_70~79세,"1,602",281,225,256,257,342,241
2020년07월_남_80~89세,651,134,95,134,115,100,73
2020년07월_남_90~99세,87,19,11,22,12,14,9
2020년07월_남_100세 이상,9,2,0,3,1,0,3
2020년07월_여_총인구수,"31,421","5,539","5,664","5,463","5,968","4,700","4,087"
2020년07월_여_연령구간인구수,"31,421","5,539","5,664","5,463","5,968","4,700","4,087"
2020년07월_여_0~9세,"2,401",382,634,311,435,351,288
2020년07월_여_10~19세,"3,039",487,730,524,569,297,432
2020년07월_여_20~29세,"4,057",753,575,840,833,586,470
2020년07월_여_30~39세,"4,210",728,769,622,863,740,488
2020년07월_여_40~49세,"4,949",767,"1,101",794,922,681,684
2020년07월_여_50~59세,"5,563","1,085",847,"1,041","1,114",799,677
2020년07월_여_60~69세,"3,649",691,495,646,612,695,510
2020년07월_여_70~79세,"2,053",341,330,365,326,359,332
2020년07월_여_80~89세,"1,174",229,148,245,236,159,157
2020년07월_여_90~99세,284,64,31,67,54,30,38
2020년07월_여_100세 이상,42,12,4,8,4,3,11
2020년08월_계_총인구수,"61,902","10,956","11,095","10,391","11,659","9,815","7,986"
2020년08월_계_연령구간인구수,"61,902","10,956","11,095","10,391","11,659","9,815","7,986"
2020년08월_계_0~9세,"5,006",835,"1,284",628,954,679,626
2020년08월_계_10~19세,"6,307",987,"1,491","1,112","1,185",644,888
2020년08월_계_20~29세,"8,562","1,611","1,221","1,677","1,696","1,328","1,029"
2020년08월_계_30~39세,"8,540","1,464","1,388","1,199","1,777","1,716",996
2020년08월_계_40~49세,"9,484","1,448","2,144","1,404","1,697","1,475","1,316"
2020년08월_계_50~59세,"10,881","2,059","1,727","2,047","2,111","1,583","1,354"
2020년08월_계_60~69세,"7,194","1,457",987,"1,221","1,236","1,380",913
2020년08월_계_70~79세,"3,666",634,558,620,584,698,572
2020년08월_계_80~89세,"1,833",363,245,382,347,265,231
2020년08월_계_90~99세,378,84,46,90,67,44,47
2020년08월_계_100세 이상,51,14,4,11,5,3,14
2020년08월_남_총인구수,"30,374","5,309","5,407","4,935","5,712","5,117","3,894"
2020년08월_남_연령구간인구수,"30,374","5,309","5,407","4,935","5,712","5,117","3,894"
2020년08월_남_0~9세,"2,607",441,649,323,519,334,341
2020년08월_남_10~19세,"3,267",487,760,585,632,346,457
2020년08월_남_20~29세,"4,495",846,651,841,866,743,548
2020년08월_남_30~39세,"4,311",720,608,580,911,977,515
2020년08월_남_40~49세,"4,537",670,"1,039",617,784,794,633
2020년08월_남_50~59세,"5,299",952,873,"1,001","1,002",791,680
2020년08월_남_60~69세,"3,496",753,491,570,612,673,397
2020년08월_남_70~79세,"1,609",287,227,256,259,341,239
2020년08월_남_80~89세,657,133,97,137,113,104,73
2020년08월_남_90~99세,87,18,12,22,13,14,8
2020년08월_남_100세 이상,9,2,0,3,1,0,3
2020년08월_여_총인구수,"31,528","5,647","5,688","5,456","5,947","4,698","4,092"
2020년08월_여_연령구간인구수,"31,528","5,647","5,688","5,456","5,947","4,698","4,092"
2020년08월_여_0~9세,"2,399",394,635,305,435,345,285
2020년08월_여_10~19세,"3,040",500,731,527,553,298,431
2020년08월_여_20~29세,"4,067",765,570,836,830,585,481
2020년08월_여_30~39세,"4,229",744,780,619,866,739,481
2020년08월_여_40~49세,"4,947",778,"1,105",787,913,681,683
2020년08월_여_50~59세,"5,582","1,107",854,"1,046","1,109",792,674
2020년08월_여_60~69세,"3,698",704,496,651,624,707,516
2020년08월_여_70~79세,"2,057",347,331,364,325,357,333
2020년08월_여_80~89세,"1,176",230,148,245,234,161,158
2020년08월_여_90~99세,291,66,34,68,54,30,39
2020년08월_여_100세 이상,42,12,4,8,4,3,11
2020년09월_계_총인구수,"61,982","11,031","11,085","10,406","11,658","9,827","7,975"
2020년09월_계_연령구간인구수,"61,982","11,031","11,085","10,406","11,658","9,827","7,975"
2020년09월_계_0~9세,"5,010",829,"1,287",627,969,673,625
2020년09월_계_10~19세,"6,307","1,003","1,488","1,118","1,175",643,880
2020년09월_계_20~29세,"8,578","1,625","1,215","1,678","1,685","1,343","1,032"
2020년09월_계_30~39세,"8,552","1,463","1,382","1,201","1,790","1,717",999
2020년09월_계_40~49세,"9,486","1,468","2,131","1,408","1,705","1,468","1,306"
2020년09월_계_50~59세,"10,888","2,077","1,726","2,042","2,092","1,599","1,352"
2020년09월_계_60~69세,"7,230","1,466",997,"1,238","1,240","1,375",914
2020년09월_계_70~79세,"3,652",637,559,605,584,695,572
2020년09월_계_80~89세,"1,850",367,249,388,345,268,233
2020년09월_계_90~99세,378,82,47,90,68,43,48
2020년09월_계_100세 이상,51,14,4,11,5,3,14
2020년09월_남_총인구수,"30,431","5,348","5,398","4,950","5,715","5,127","3,893"
2020년09월_남_연령구간인구수,"30,431","5,348","5,398","4,950","5,715","5,127","3,893"
2020년09월_남_0~9세,"2,611",443,650,320,526,333,339
2020년09월_남_10~19세,"3,261",498,756,584,625,346,452
2020년09월_남_20~29세,"4,505",853,645,845,863,742,557
2020년09월_남_30~39세,"4,331",722,605,586,918,981,519
2020년09월_남_40~49세,"4,557",679,"1,032",622,794,801,629
2020년09월_남_50~59세,"5,300",959,876,993,998,799,675
2020년09월_남_60~69세,"3,504",753,493,586,610,666,396
2020년09월_남_70~79세,"1,606",287,230,252,256,340,241
2020년09월_남_80~89세,661,135,97,137,112,106,74
2020년09월_남_90~99세,86,17,14,22,12,13,8
2020년09월_남_100세 이상,9,2,0,3,1,0,3
2020년09월_여_총인구수,"31,551","5,683","5,687","5,456","5,943","4,700","4,082"
2020년09월_여_연령구간인구수,"31,551","5,683","5,687","5,456","5,943","4,700","4,082"
2020년09월_여_0~9세,"2,399",386,637,307,443,340,286
2020년09월_여_10~19세,"3,046",505,732,534,550,297,428
2020년09월_여_20~29세,"4,073",772,570,833,822,601,475
2020년09월_여_30~39세,"4,221",741,777,615,872,736,480
2020년09월_여_40~49세,"4,929",789,"1,099",786,911,667,677
2020년09월_여_50~59세,"5,588","1,118",850,"1,049","1,094",800,677
2020년09월_여_60~69세,"3,726",713,504,652,630,709,518
2020년09월_여_70~79세,"2,046",350,329,353,328,355,331
2020년09월_여_80~89세,"1,189",232,152,251,233,162,159
2020년09월_여_90~99세,292,65,33,68,56,30,40
2020년09월_여_100세 이상,42,12,4,8,4,3,11
2020년10월_계_총인구수,"62,011","11,094","11,082","10,410","11,601","9,827","7,997"
2020년10월_계_연령구간인구수,"62,011","11,094","11,082","10,410","11,601","9,827","7,997"
2020년10월_계_0~9세,"4,994",834,"1,273",621,965,671,630
2020년10월_계_10~19세,"6,288",998,"1,483","1,111","1,161",642,893
2020년10월_계_20~29세,"8,586","1,636","1,213","1,695","1,680","1,338","1,024"
2020년10월_계_30~39세,"8,576","1,489","1,388","1,193","1,789","1,711","1,006"
2020년10월_계_40~49세,"9,433","1,464","2,120","1,394","1,684","1,464","1,307"
2020년10월_계_50~59세,"10,904","2,088","1,741","2,056","2,076","1,594","1,349"
2020년10월_계_60~69세,"7,265","1,480",997,"1,232","1,241","1,396",919
2020년10월_계_70~79세,"3,669",642,566,605,587,694,575
2020년10월_계_80~89세,"1,867",368,250,400,345,273,231
2020년10월_계_90~99세,378,81,47,92,68,41,49
2020년10월_계_100세 이상,51,14,4,11,5,3,14
2020년10월_남_총인구수,"30,459","5,389","5,397","4,959","5,690","5,121","3,903"
2020년10월_남_연령구간인구수,"30,459","5,389","5,397","4,959","5,690","5,121","3,903"
2020년10월_남_0~9세,"2,601",445,647,317,526,330,336
2020년10월_남_10~19세,"3,255",498,747,585,618,347,460
2020년10월_남_20~29세,"4,506",861,643,851,859,735,557
2020년10월_남_30~39세,"4,343",736,613,585,918,972,519
2020년10월_남_40~49세,"4,543",677,"1,022",622,790,801,631
2020년10월_남_50~59세,"5,307",969,888,992,985,799,674
2020년10월_남_60~69세,"3,523",759,493,584,608,679,400
2020년10월_남_70~79세,"1,615",291,231,254,261,338,240
2020년10월_남_80~89세,672,134,99,144,112,108,75
2020년10월_남_90~99세,85,17,14,22,12,12,8
2020년10월_남_100세 이상,9,2,0,3,1,0,3
2020년10월_여_총인구수,"31,552","5,705","5,685","5,451","5,911","4,706","4,094"
2020년10월_여_연령구간인구수,"31,552","5,705","5,685","5,451","5,911","4,706","4,094"
2020년10월_여_0~9세,"2,393",389,626,304,439,341,294
2020년10월_여_10~19세,"3,033",500,736,526,543,295,433
2020년10월_여_20~29세,"4,080",775,570,844,821,603,467
2020년10월_여_30~39세,"4,233",753,775,608,871,739,487
2020년10월_여_40~49세,"4,890",787,"1,098",772,894,663,676
2020년10월_여_50~59세,"5,597","1,119",853,"1,064","1,091",795,675
2020년10월_여_60~69세,"3,742",721,504,648,633,717,519
2020년10월_여_70~79세,"2,054",351,335,351,326,356,335
2020년10월_여_80~89세,"1,195",234,151,256,233,165,156
2020년10월_여_90~99세,293,64,33,70,56,29,41
2020년10월_여_100세 이상,42,12,4,8,4,3,11
2020년11월_계_총인구수,"62,026","11,119","11,086","10,401","11,614","9,792","8,014"
2020년11월_계_연령구간인구수,"62,026","11,119","11,086","10,401","11,614","9,792","8,014"
2020년11월_계_0~9세,"5,005",831,"1,277",624,962,676,635
2020년11월_계_10~19세,"6,251",994,"1,478","1,102","1,164",622,891
2020년11월_계_20~29세,"8,594","1,636","1,212","1,698","1,684","1,332","1,032"
2020년11월_계_30~39세,"8,587","1,492","1,392","1,194","1,796","1,708","1,005"
2020년11월_계_40~49세,"9,393","1,464","2,113","1,381","1,670","1,456","1,309"
2020년11월_계_50~59세,"10,898","2,084","1,738","2,064","2,071","1,588","1,353"
2020년11월_계_60~69세,"7,310","1,503","1,006","1,223","1,264","1,398",916
2020년11월_계_70~79세,"3,676",646,558,607,590,695,580
2020년11월_계_80~89세,"1,892",376,262,407,340,275,232
2020년11월_계_90~99세,367,79,46,88,68,39,47
2020년11월_계_100세 이상,53,14,4,13,5,3,14
2020년11월_남_총인구수,"30,466","5,394","5,398","4,963","5,695","5,100","3,916"
2020년11월_남_연령구간인구수,"30,466","5,394","5,398","4,963","5,695","5,100","3,916"
