카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년02월_계_0~9세,"1,280",681,282,60,58,93,51,21,34
2020년02월_계_10~19세,"2,086",999,421,109,142,179,86,38,112
2020년02월_계_20~29세,"2,406","1,195",511,127,108,156,103,83,123
2020년02월_계_30~39세,"2,156","1,078",448,114,92,170,90,77,87
2020년02월_계_40~49세,"3,496","1,544",743,201,201,359,165,132,151
2020년02월_계_50~59세,"5,821","2,036","1,003",543,417,701,432,315,374
2020년02월_계_60~69세,"6,061","1,722",973,628,537,799,525,438,439
2020년02월_계_70~79세,"3,928",989,757,446,356,547,319,259,255
2020년02월_계_80~89세,"2,081",489,355,236,173,301,183,173,171
2020년02월_계_90~99세,254,68,36,40,19,34,17,22,18
2020년02월_계_100세 이상,23,2,1,6,3,3,1,0,7
2020년02월_남_총인구수,"14,987","5,434","2,861","1,238","1,127","1,609","1,066",787,865
2020년02월_남_연령구간인구수,"14,987","5,434","2,861","1,238","1,127","1,609","1,066",787,865
2020년02월_남_0~9세,665,352,152,31,34,46,23,11,16
2020년02월_남_10~19세,"1,096",502,223,54,100,94,57,13,53
2020년02월_남_20~29세,"1,404",682,307,63,61,98,70,44,79
2020년02월_남_30~39세,"1,154",556,249,55,56,96,56,47,39
2020년02월_남_40~49세,"1,940",821,434,116,114,183,103,85,84
2020년02월_남_50~59세,"3,065","1,068",538,295,222,354,225,167,196
2020년02월_남_60~69세,"3,124",846,487,335,278,380,313,251,234
2020년02월_남_70~79세,"1,740",422,324,191,190,253,145,111,104
2020년02월_남_80~89세,728,171,137,85,66,98,65,53,53
2020년02월_남_90~99세,63,12,9,11,6,6,8,5,6
2020년02월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년02월_여_총인구수,"14,605","5,369","2,669","1,272",979,"1,733",906,771,906
2020년02월_여_연령구간인구수,"14,605","5,369","2,669","1,272",979,"1,733",906,771,906
2020년02월_여_0~9세,615,329,130,29,24,47,28,10,18
2020년02월_여_10~19세,990,497,198,55,42,85,29,25,59
2020년02월_여_20~29세,"1,002",513,204,64,47,58,33,39,44
2020년02월_여_30~39세,"1,002",522,199,59,36,74,34,30,48
2020년02월_여_40~49세,"1,556",723,309,85,87,176,62,47,67
2020년02월_여_50~59세,"2,756",968,465,248,195,347,207,148,178
2020년02월_여_60~69세,"2,937",876,486,293,259,419,212,187,205
2020년02월_여_70~79세,"2,188",567,433,255,166,294,174,148,151
2020년02월_여_80~89세,"1,353",318,218,151,107,203,118,120,118
2020년02월_여_90~99세,191,56,27,29,13,28,9,17,12
2020년02월_여_100세 이상,15,0,0,4,3,2,0,0,6
2020년03월_계_총인구수,"29,546","10,792","5,529","2,505","2,101","3,347","1,962","1,553","1,757"
2020년03월_계_연령구간인구수,"29,546","10,792","5,529","2,505","2,101","3,347","1,962","1,553","1,757"
2020년03월_계_0~9세,"1,273",678,281,60,56,91,51,21,35
2020년03월_계_10~19세,"2,073",991,423,106,141,178,88,39,107
2020년03월_계_20~29세,"2,388","1,182",511,126,109,159,101,83,117
2020년03월_계_30~39세,"2,141","1,074",444,114,92,168,87,76,86
2020년03월_계_40~49세,"3,475","1,539",737,199,195,360,163,132,150
2020년03월_계_50~59세,"5,792","2,032","1,005",543,417,693,426,310,366
2020년03월_계_60~69세,"6,095","1,745",977,632,538,802,525,434,442
2020년03월_계_70~79세,"3,921",982,754,443,358,551,319,258,256
2020년03월_계_80~89세,"2,101",495,358,237,174,305,183,176,173
2020년03월_계_90~99세,264,72,38,39,18,37,18,24,18
2020년03월_계_100세 이상,23,2,1,6,3,3,1,0,7
2020년03월_남_총인구수,"14,958","5,422","2,862","1,239","1,127","1,608","1,060",785,855
2020년03월_남_연령구간인구수,"14,958","5,422","2,862","1,239","1,127","1,608","1,060",785,855
2020년03월_남_0~9세,659,345,153,31,34,45,23,11,17
2020년03월_남_10~19세,"1,095",503,222,55,99,96,57,14,49
2020년03월_남_20~29세,"1,395",673,309,62,63,97,71,44,76
2020년03월_남_30~39세,"1,148",556,249,55,56,94,52,47,39
2020년03월_남_40~49세,"1,926",818,431,116,110,182,102,84,83
2020년03월_남_50~59세,"3,052","1,066",538,296,222,351,223,166,190
2020년03월_남_60~69세,"3,140",855,488,334,280,384,312,249,238
2020년03월_남_70~79세,"1,739",419,323,191,193,253,145,111,104
2020년03월_남_80~89세,730,171,139,86,65,99,66,52,52
2020년03월_남_90~99세,66,14,9,11,5,6,8,7,6
2020년03월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년03월_여_총인구수,"14,588","5,370","2,667","1,266",974,"1,739",902,768,902
2020년03월_여_연령구간인구수,"14,588","5,370","2,667","1,266",974,"1,739",902,768,902
2020년03월_여_0~9세,614,333,128,29,22,46,28,10,18
2020년03월_여_10~19세,978,488,201,51,42,82,31,25,58
2020년03월_여_20~29세,993,509,202,64,46,62,30,39,41
2020년03월_여_30~39세,993,518,195,59,36,74,35,29,47
2020년03월_여_40~49세,"1,549",721,306,83,85,178,61,48,67
2020년03월_여_50~59세,"2,740",966,467,247,195,342,203,144,176
2020년03월_여_60~69세,"2,955",890,489,298,258,418,213,185,204
2020년03월_여_70~79세,"2,182",563,431,252,165,298,174,147,152
2020년03월_여_80~89세,"1,371",324,219,151,109,206,117,124,121
2020년03월_여_90~99세,198,58,29,28,13,31,10,17,12
2020년03월_여_100세 이상,15,0,0,4,3,2,0,0,6
2020년04월_계_총인구수,"29,451","10,754","5,513","2,496","2,099","3,346","1,947","1,546","1,750"
2020년04월_계_연령구간인구수,"29,451","10,754","5,513","2,496","2,099","3,346","1,947","1,546","1,750"
2020년04월_계_0~9세,"1,268",675,280,61,56,91,48,22,35
2020년04월_계_10~19세,"2,052",982,423,102,142,179,84,35,105
2020년04월_계_20~29세,"2,368","1,168",507,124,110,160,98,86,115
2020년04월_계_30~39세,"2,118","1,072",440,109,90,164,84,75,84
2020년04월_계_40~49세,"3,440","1,523",733,198,193,355,159,131,148
2020년04월_계_50~59세,"5,780","2,033","1,003",544,415,694,422,305,364
2020년04월_계_60~69세,"6,109","1,752",978,631,538,801,530,437,442
2020년04월_계_70~79세,"3,918",982,753,442,357,552,316,257,259
2020년04월_계_80~89세,"2,109",495,354,239,177,310,187,173,174
2020년04월_계_90~99세,266,70,41,40,18,37,18,25,17
2020년04월_계_100세 이상,23,2,1,6,3,3,1,0,7
2020년04월_남_총인구수,"14,920","5,406","2,851","1,239","1,124","1,609","1,056",783,852
2020년04월_남_연령구간인구수,"14,920","5,406","2,851","1,239","1,124","1,609","1,056",783,852
2020년04월_남_0~9세,661,346,152,32,33,45,24,12,17
2020년04월_남_10~19세,"1,088",498,222,54,100,97,55,14,48
2020년04월_남_20~29세,"1,379",660,309,61,61,98,70,45,75
2020년04월_남_30~39세,"1,132",555,244,54,55,90,49,47,38
2020년04월_남_40~49세,"1,909",811,429,114,110,181,100,83,81
2020년04월_남_50~59세,"3,061","1,071",536,299,222,353,225,166,189
2020년04월_남_60~69세,"3,142",859,489,333,277,384,314,247,239
2020년04월_남_70~79세,"1,737",421,320,193,193,250,144,110,106
2020년04월_남_80~89세,738,170,139,87,68,104,66,52,52
2020년04월_남_90~99세,65,13,10,10,5,6,8,7,6
2020년04월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년04월_여_총인구수,"14,531","5,348","2,662","1,257",975,"1,737",891,763,898
2020년04월_여_연령구간인구수,"14,531","5,348","2,662","1,257",975,"1,737",891,763,898
2020년04월_여_0~9세,607,329,128,29,23,46,24,10,18
2020년04월_여_10~19세,964,484,201,48,42,82,29,21,57
2020년04월_여_20~29세,989,508,198,63,49,62,28,41,40
2020년04월_여_30~39세,986,517,196,55,35,74,35,28,46
2020년04월_여_40~49세,"1,531",712,304,84,83,174,59,48,67
2020년04월_여_50~59세,"2,719",962,467,245,193,341,197,139,175
2020년04월_여_60~69세,"2,967",893,489,298,261,417,216,190,203
2020년04월_여_70~79세,"2,181",561,433,249,164,302,172,147,153
2020년04월_여_80~89세,"1,371",325,215,152,109,206,121,121,122
2020년04월_여_90~99세,201,57,31,30,13,31,10,18,11
2020년04월_여_100세 이상,15,0,0,4,3,2,0,0,6
2020년05월_계_총인구수,"29,392","10,717","5,498","2,486","2,101","3,346","1,938","1,552","1,754"
2020년05월_계_연령구간인구수,"29,392","10,717","5,498","2,486","2,101","3,346","1,938","1,552","1,754"
2020년05월_계_0~9세,"1,247",661,274,60,60,90,48,21,33
2020년05월_계_10~19세,"2,049",983,422,101,142,178,81,36,106
2020년05월_계_20~29세,"2,339","1,162",501,122,108,159,96,81,110
2020년05월_계_30~39세,"2,096","1,063",437,106,89,159,82,77,83
2020년05월_계_40~49세,"3,425","1,514",729,196,192,353,162,130,149
2020년05월_계_50~59세,"5,768","2,024","1,001",539,410,696,418,309,371
2020년05월_계_60~69세,"6,147","1,767",987,631,539,809,530,438,446
2020년05월_계_70~79세,"3,916",974,748,443,363,552,316,262,258
2020년05월_계_80~89세,"2,116",498,359,240,177,310,186,173,173
2020년05월_계_90~99세,267,69,39,42,18,38,18,25,18
2020년05월_계_100세 이상,22,2,1,6,3,2,1,0,7
2020년05월_남_총인구수,"14,894","5,389","2,840","1,232","1,125","1,610","1,050",792,856
2020년05월_남_연령구간인구수,"14,894","5,389","2,840","1,232","1,125","1,610","1,050",792,856
2020년05월_남_0~9세,649,339,147,31,37,44,24,11,16
2020년05월_남_10~19세,"1,085",498,221,55,99,97,52,15,48
2020년05월_남_20~29세,"1,361",656,308,59,61,96,68,42,71
2020년05월_남_30~39세,"1,122",553,241,54,53,87,47,48,39
2020년05월_남_40~49세,"1,896",802,426,111,110,180,103,83,81
2020년05월_남_50~59세,"3,063","1,073",536,294,217,356,221,172,194
2020년05월_남_60~69세,"3,164",865,492,336,279,388,314,248,242
2020년05월_남_70~79세,"1,738",417,319,191,196,249,146,114,106
2020년05월_남_80~89세,742,171,139,88,68,106,66,52,52
2020년05월_남_90~99세,66,13,10,11,5,6,8,7,6
2020년05월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년05월_여_총인구수,"14,498","5,328","2,658","1,254",976,"1,736",888,760,898
2020년05월_여_연령구간인구수,"14,498","5,328","2,658","1,254",976,"1,736",888,760,898
2020년05월_여_0~9세,598,322,127,29,23,46,24,10,17
2020년05월_여_10~19세,964,485,201,46,43,81,29,21,58
2020년05월_여_20~29세,978,506,193,63,47,63,28,39,39
2020년05월_여_30~39세,974,510,196,52,36,72,35,29,44
2020년05월_여_40~49세,"1,529",712,303,85,82,173,59,47,68
2020년05월_여_50~59세,"2,705",951,465,245,193,340,197,137,177
2020년05월_여_60~69세,"2,983",902,495,295,260,421,216,190,204
2020년05월_여_70~79세,"2,178",557,429,252,167,303,170,148,152
2020년05월_여_80~89세,"1,374",327,220,152,109,204,120,121,121
2020년05월_여_90~99세,201,56,29,31,13,32,10,18,12
2020년05월_여_100세 이상,14,0,0,4,3,1,0,0,6
2020년06월_계_총인구수,"29,387","10,717","5,478","2,504","2,109","3,337","1,942","1,545","1,755"
2020년06월_계_연령구간인구수,"29,387","10,717","5,478","2,504","2,109","3,337","1,942","1,545","1,755"
2020년06월_계_0~9세,"1,246",663,272,63,59,87,48,21,33
2020년06월_계_10~19세,"2,042",974,421,101,146,176,80,36,108
2020년06월_계_20~29세,"2,322","1,153",498,122,109,157,96,79,108
2020년06월_계_30~39세,"2,089","1,068",431,108,88,155,81,75,83
2020년06월_계_40~49세,"3,406","1,513",721,200,192,350,157,127,146
2020년06월_계_50~59세,"5,768","2,025",998,541,409,701,415,310,369
2020년06월_계_60~69세,"6,186","1,778",993,634,539,816,538,436,452
2020년06월_계_70~79세,"3,922",974,747,439,371,549,318,264,260
2020년06월_계_80~89세,"2,117",496,357,247,175,308,190,172,172
2020년06월_계_90~99세,268,71,39,43,18,37,18,25,17
2020년06월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년06월_남_총인구수,"14,894","5,386","2,830","1,240","1,132","1,610","1,051",787,858
2020년06월_남_연령구간인구수,"14,894","5,386","2,830","1,240","1,132","1,610","1,051",787,858
2020년06월_남_0~9세,647,338,146,32,38,42,24,11,16
2020년06월_남_10~19세,"1,085",497,220,55,101,97,52,15,48
2020년06월_남_20~29세,"1,346",646,306,59,61,94,68,42,70
2020년06월_남_30~39세,"1,116",556,237,53,53,86,46,46,39
2020년06월_남_40~49세,"1,885",804,420,114,111,177,99,80,80
2020년06월_남_50~59세,"3,071","1,073",537,296,219,361,219,172,194
2020년06월_남_60~69세,"3,181",870,495,337,278,392,318,246,245
2020년06월_남_70~79세,"1,744",415,321,189,199,247,149,116,108
2020년06월_남_80~89세,744,172,137,92,67,106,67,52,51
2020년06월_남_90~99세,67,13,10,11,5,7,8,7,6
2020년06월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년06월_여_총인구수,"14,493","5,331","2,648","1,264",977,"1,727",891,758,897
2020년06월_여_연령구간인구수,"14,493","5,331","2,648","1,264",977,"1,727",891,758,897
2020년06월_여_0~9세,599,325,126,31,21,45,24,10,17
2020년06월_여_10~19세,957,477,201,46,45,79,28,21,60
2020년06월_여_20~29세,976,507,192,63,48,63,28,37,38
2020년06월_여_30~39세,973,512,194,55,35,69,35,29,44
2020년06월_여_40~49세,"1,521",709,301,86,81,173,58,47,66
2020년06월_여_50~59세,"2,697",952,461,245,190,340,196,138,175
2020년06월_여_60~69세,"3,005",908,498,297,261,424,220,190,207
2020년06월_여_70~79세,"2,178",559,426,250,172,302,169,148,152
2020년06월_여_80~89세,"1,373",324,220,155,108,202,123,120,121
2020년06월_여_90~99세,201,58,29,32,13,30,10,18,11
2020년06월_여_100세 이상,13,0,0,4,3,0,0,0,6
2020년07월_계_총인구수,"29,337","10,703","5,452","2,495","2,112","3,336","1,940","1,541","1,758"
2020년07월_계_연령구간인구수,"29,337","10,703","5,452","2,495","2,112","3,336","1,940","1,541","1,758"
2020년07월_계_0~9세,"1,229",657,266,62,59,85,48,20,32
2020년07월_계_10~19세,"2,041",973,424,100,143,179,79,35,108
2020년07월_계_20~29세,"2,302","1,148",496,121,105,153,96,79,104
2020년07월_계_30~39세,"2,073","1,060",421,107,92,154,81,72,86
2020년07월_계_40~49세,"3,388","1,516",715,195,193,343,154,126,146
2020년07월_계_50~59세,"5,768","2,022",997,538,410,708,414,314,365
2020년07월_계_60~69세,"6,191","1,773",995,633,543,815,542,431,459
2020년07월_계_70~79세,"3,936",983,744,443,371,550,316,267,262
2020년07월_계_80~89세,"2,117",499,354,247,174,309,190,172,172
2020년07월_계_90~99세,271,70,39,43,19,39,19,25,17
2020년07월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년07월_남_총인구수,"14,857","5,371","2,818","1,236","1,138","1,608","1,048",777,861
2020년07월_남_연령구간인구수,"14,857","5,371","2,818","1,236","1,138","1,608","1,048",777,861
2020년07월_남_0~9세,638,337,142,31,38,40,24,10,16
2020년07월_남_10~19세,"1,087",496,224,55,99,100,52,14,47
2020년07월_남_20~29세,"1,332",636,307,59,61,93,67,43,66
2020년07월_남_30~39세,"1,107",556,230,54,54,85,45,42,41
2020년07월_남_40~49세,"1,868",802,417,111,112,172,96,78,80
2020년07월_남_50~59세,"3,077","1,072",539,295,222,365,219,173,192
2020년07월_남_60~69세,"3,182",868,494,334,280,390,321,242,253
2020년07월_남_70~79세,"1,752",419,319,191,199,249,149,118,108
2020년07월_남_80~89세,739,171,135,93,68,106,65,50,51
2020년07월_남_90~99세,67,12,10,11,5,7,9,7,6
2020년07월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년07월_여_총인구수,"14,480","5,332","2,634","1,259",974,"1,728",892,764,897
2020년07월_여_연령구간인구수,"14,480","5,332","2,634","1,259",974,"1,728",892,764,897
2020년07월_여_0~9세,591,320,124,31,21,45,24,10,16
2020년07월_여_10~19세,954,477,200,45,44,79,27,21,61
2020년07월_여_20~29세,970,512,189,62,44,60,29,36,38
2020년07월_여_30~39세,966,504,191,53,38,69,36,30,45
2020년07월_여_40~49세,"1,520",714,298,84,81,171,58,48,66
2020년07월_여_50~59세,"2,691",950,458,243,188,343,195,141,173
2020년07월_여_60~69세,"3,009",905,501,299,263,425,221,189,206
2020년07월_여_70~79세,"2,184",564,425,252,172,301,167,149,154
2020년07월_여_80~89세,"1,378",328,219,154,106,203,125,122,121
2020년07월_여_90~99세,204,58,29,32,14,32,10,18,11
2020년07월_여_100세 이상,13,0,0,4,3,0,0,0,6
2020년08월_계_총인구수,"29,268","10,658","5,443","2,490","2,110","3,327","1,943","1,544","1,753"
2020년08월_계_연령구간인구수,"29,268","10,658","5,443","2,490","2,110","3,327","1,943","1,544","1,753"
2020년08월_계_0~9세,"1,215",645,263,60,64,84,48,19,32
2020년08월_계_10~19세,"2,034",967,421,102,143,179,79,36,107
2020년08월_계_20~29세,"2,286","1,143",493,118,102,154,95,78,103
2020년08월_계_30~39세,"2,046","1,043",423,105,88,153,78,72,84
2020년08월_계_40~49세,"3,367","1,507",706,193,193,341,155,126,146
2020년08월_계_50~59세,"5,768","2,024","1,002",536,412,703,416,310,365
2020년08월_계_60~69세,"6,217","1,777",997,642,543,814,547,438,459
2020년08월_계_70~79세,"3,923",980,744,442,367,548,314,266,262
2020년08월_계_80~89세,"2,116",500,355,242,175,310,189,174,171
2020년08월_계_90~99세,275,70,38,44,20,40,21,25,17
2020년08월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년08월_남_총인구수,"14,832","5,345","2,818","1,236","1,138","1,604","1,051",779,861
2020년08월_남_연령구간인구수,"14,832","5,345","2,818","1,236","1,138","1,604","1,051",779,861
2020년08월_남_0~9세,633,332,141,30,41,39,24,10,16
2020년08월_남_10~19세,"1,083",491,225,56,98,101,51,14,47
2020년08월_남_20~29세,"1,331",637,305,60,61,94,67,43,64
2020년08월_남_30~39세,"1,093",546,232,52,51,85,44,42,41
2020년08월_남_40~49세,"1,858",796,409,110,113,171,96,80,83
2020년08월_남_50~59세,"3,085","1,076",542,295,222,366,221,171,192
2020년08월_남_60~69세,"3,192",866,497,340,281,387,324,244,253
2020년08월_남_70~79세,"1,749",418,322,190,197,248,149,117,108
2020년08월_남_80~89세,732,169,134,89,69,105,65,51,50
2020년08월_남_90~99세,68,12,10,12,5,7,9,7,6
2020년08월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년08월_여_총인구수,"14,436","5,313","2,625","1,254",972,"1,723",892,765,892
2020년08월_여_연령구간인구수,"14,436","5,313","2,625","1,254",972,"1,723",892,765,892
2020년08월_여_0~9세,582,313,122,30,23,45,24,9,16
2020년08월_여_10~19세,951,476,196,46,45,78,28,22,60
2020년08월_여_20~29세,955,506,188,58,41,60,28,35,39
2020년08월_여_30~39세,953,497,191,53,37,68,34,30,43
2020년08월_여_40~49세,"1,509",711,297,83,80,170,59,46,63
2020년08월_여_50~59세,"2,683",948,460,241,190,337,195,139,173
2020년08월_여_60~69세,"3,025",911,500,302,262,427,223,194,206
2020년08월_여_70~79세,"2,174",562,422,252,170,300,165,149,154
2020년08월_여_80~89세,"1,384",331,221,153,106,205,124,123,121
2020년08월_여_90~99세,207,58,28,32,15,33,12,18,11
2020년08월_여_100세 이상,13,0,0,4,3,0,0,0,6
2020년09월_계_총인구수,"29,270","10,662","5,460","2,481","2,111","3,320","1,935","1,543","1,758"
2020년09월_계_연령구간인구수,"29,270","10,662","5,460","2,481","2,111","3,320","1,935","1,543","1,758"
2020년09월_계_0~9세,"1,213",640,265,60,64,85,48,19,32
2020년09월_계_10~19세,"2,047",968,418,103,148,179,78,37,116
2020년09월_계_20~29세,"2,265","1,139",485,117,98,151,93,76,106
2020년09월_계_30~39세,"2,041","1,045",426,101,88,152,77,69,83
2020년09월_계_40~49세,"3,358","1,507",704,188,196,334,157,127,145
2020년09월_계_50~59세,"5,757","2,014","1,016",534,408,704,410,310,361
2020년09월_계_60~69세,"6,255","1,794","1,001",645,545,819,550,440,461
2020년09월_계_70~79세,"3,907",976,746,438,365,545,313,267,257
2020년09월_계_80~89세,"2,122",506,358,244,176,307,187,173,171
2020년09월_계_90~99세,284,71,40,45,20,43,21,25,19
2020년09월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년09월_남_총인구수,"14,827","5,340","2,824","1,235","1,139","1,603","1,046",778,862
2020년09월_남_연령구간인구수,"14,827","5,340","2,824","1,235","1,139","1,603","1,046",778,862
2020년09월_남_0~9세,629,326,141,30,41,40,24,10,17
2020년09월_남_10~19세,"1,093",495,224,58,98,101,51,14,52
2020년09월_남_20~29세,"1,312",630,300,58,59,95,66,41,63
2020년09월_남_30~39세,"1,082",545,230,50,50,85,43,39,40
2020년09월_남_40~49세,"1,845",793,405,107,116,167,94,81,82
2020년09월_남_50~59세,"3,100","1,075",555,298,221,368,219,172,192
2020년09월_남_60~69세,"3,209",873,499,342,283,387,326,246,253
2020년09월_남_70~79세,"1,746",419,322,189,196,248,148,118,106
2020년09월_남_80~89세,733,170,137,88,70,104,65,50,49
2020년09월_남_90~99세,70,12,10,13,5,7,9,7,7
2020년09월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년09월_여_총인구수,"14,443","5,322","2,636","1,246",972,"1,717",889,765,896
2020년09월_여_연령구간인구수,"14,443","5,322","2,636","1,246",972,"1,717",889,765,896
2020년09월_여_0~9세,584,314,124,30,23,45,24,9,15
2020년09월_여_10~19세,954,473,194,45,50,78,27,23,64
2020년09월_여_20~29세,953,509,185,59,39,56,27,35,43
2020년09월_여_30~39세,959,500,196,51,38,67,34,30,43
2020년09월_여_40~49세,"1,513",714,299,81,80,167,63,46,63
2020년09월_여_50~59세,"2,657",939,461,236,187,336,191,138,169
2020년09월_여_60~69세,"3,046",921,502,303,262,432,224,194,208
2020년09월_여_70~79세,"2,161",557,424,249,169,297,165,149,151
2020년09월_여_80~89세,"1,389",336,221,156,106,203,122,123,122
2020년09월_여_90~99세,214,59,30,32,15,36,12,18,12
2020년09월_여_100세 이상,13,0,0,4,3,0,0,0,6
2020년10월_계_총인구수,"29,265","10,653","5,456","2,483","2,108","3,322","1,935","1,551","1,757"
2020년10월_계_연령구간인구수,"29,265","10,653","5,456","2,483","2,108","3,322","1,935","1,551","1,757"
2020년10월_계_0~9세,"1,198",632,261,60,62,81,47,21,34
2020년10월_계_10~19세,"2,028",962,413,103,145,179,78,37,111
2020년10월_계_20~29세,"2,271","1,138",486,115,102,151,95,77,107
2020년10월_계_30~39세,"2,035","1,042",425,101,85,146,79,74,83
2020년10월_계_40~49세,"3,343","1,510",699,189,196,335,151,124,139
2020년10월_계_50~59세,"5,752","2,011","1,019",532,403,704,407,314,362
2020년10월_계_60~69세,"6,291","1,795","1,008",648,553,825,556,440,466
2020년10월_계_70~79세,"3,914",984,744,437,363,549,313,265,259
2020년10월_계_80~89세,"2,131",509,361,248,177,307,186,174,169
2020년10월_계_90~99세,281,68,39,44,19,44,22,25,20
2020년10월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년10월_남_총인구수,"14,833","5,338","2,822","1,235","1,142","1,601","1,046",783,866
2020년10월_남_연령구간인구수,"14,833","5,338","2,822","1,235","1,142","1,601","1,046",783,866
2020년10월_남_0~9세,622,323,138,29,40,38,24,11,19
2020년10월_남_10~19세,"1,083",489,223,58,97,102,50,14,50
2020년10월_남_20~29세,"1,317",628,297,56,65,94,68,44,65
2020년10월_남_30~39세,"1,081",543,234,51,47,79,45,40,42
2020년10월_남_40~49세,"1,841",797,402,106,116,170,90,80,80
2020년10월_남_50~59세,"3,097","1,077",557,298,217,366,217,173,192
2020년10월_남_60~69세,"3,228",873,502,342,289,391,328,248,255
2020년10월_남_70~79세,"1,749",423,321,192,195,248,147,116,107
2020년10월_남_80~89세,736,171,137,89,70,105,67,50,47
2020년10월_남_90~99세,71,12,10,12,6,7,9,7,8
2020년10월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년10월_여_총인구수,"14,432","5,315","2,634","1,248",966,"1,721",889,768,891
2020년10월_여_연령구간인구수,"14,432","5,315","2,634","1,248",966,"1,721",889,768,891
2020년10월_여_0~9세,576,309,123,31,22,43,23,10,15
2020년10월_여_10~19세,945,473,190,45,48,77,28,23,61
2020년10월_여_20~29세,954,510,189,59,37,57,27,33,42
2020년10월_여_30~39세,954,499,191,50,38,67,34,34,41
2020년10월_여_40~49세,"1,502",713,297,83,80,165,61,44,59
