카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020년04월_여_총인구수,"66,605","2,967","2,587","6,634","2,030","1,693","2,846","1,438","2,324","6,853","21,170","14,237","1,826",
2020년04월_여_연령구간인구수,"66,605","2,967","2,587","6,634","2,030","1,693","2,846","1,438","2,324","6,853","21,170","14,237","1,826",
2020년04월_여_0~9세,"5,912",122,100,463,83,56,114,32,104,463,"3,454",869,52,
2020년04월_여_10~19세,"6,024",206,178,553,134,115,143,84,178,579,"2,222","1,572",60,
2020년04월_여_20~29세,"9,523",265,251,778,193,172,295,132,245,910,"2,067","4,115",100,
2020년04월_여_30~39세,"9,755",265,234,791,187,141,280,112,199,901,"4,678","1,853",114,
2020년04월_여_40~49세,"10,972",365,385,991,266,224,320,185,280,"1,030","4,189","2,566",171,
2020년04월_여_50~59세,"9,009",577,416,"1,070",356,292,480,232,417,"1,170","2,100","1,504",395,
2020년04월_여_60~69세,"7,736",603,434,963,375,315,541,291,427,991,"1,480",830,486,
2020년04월_여_70~79세,"4,895",340,344,663,289,235,389,239,304,482,674,652,284,
2020년04월_여_80~89세,"2,283",181,198,295,122,110,224,108,139,259,267,249,131,
2020년04월_여_90~99세,445,40,44,64,22,28,51,16,26,60,38,27,29,
2020년04월_여_100세 이상,51,3,3,3,3,5,9,7,5,8,1,0,4,
2020년05월_계_총인구수,"138,535","6,460","5,216","13,442","4,129","3,464","6,016","2,957","4,621","15,531","42,702","29,832","4,165",
2020년05월_계_연령구간인구수,"138,535","6,460","5,216","13,442","4,129","3,464","6,016","2,957","4,621","15,531","42,702","29,832","4,165",
2020년05월_계_0~9세,"12,184",262,236,913,148,129,202,95,213,968,"7,151","1,773",94,
2020년05월_계_10~19세,"12,543",384,362,"1,148",309,217,304,162,346,"1,235","4,568","3,383",125,
2020년05월_계_20~29세,"19,306",656,553,"1,641",431,384,647,305,529,"2,158","4,026","7,693",283,
2020년05월_계_30~39세,"21,283",645,500,"1,682",426,326,696,263,470,"2,236","9,131","4,604",304,
2020년05월_계_40~49세,"24,393",900,836,"2,092",596,501,795,407,628,"2,561","9,027","5,533",517,
2020년05월_계_50~59세,"20,029","1,356",913,"2,293",749,651,"1,139",542,861,"2,722","4,302","3,547",954,
2020년05월_계_60~69세,"15,393","1,259",816,"1,940",719,620,"1,095",559,783,"2,182","2,712","1,674","1,034",
2020년05월_계_70~79세,"9,156",649,620,"1,183",522,437,723,418,540,973,"1,315","1,166",610,
2020년05월_계_80~89세,"3,571",287,313,464,191,161,335,170,205,407,418,419,201,
2020년05월_계_90~99세,598,58,60,81,35,33,68,27,34,76,50,38,38,
2020년05월_계_100세 이상,79,4,7,5,3,5,12,9,12,13,2,2,5,
2020년05월_남_총인구수,"71,667","3,493","2,628","6,801","2,104","1,783","3,182","1,526","2,286","8,623","21,398","15,499","2,344",
2020년05월_남_연령구간인구수,"71,667","3,493","2,628","6,801","2,104","1,783","3,182","1,526","2,286","8,623","21,398","15,499","2,344",
2020년05월_남_0~9세,"6,265",141,135,457,64,74,90,63,109,500,"3,681",910,41,
2020년05월_남_10~19세,"6,511",183,187,591,177,105,160,79,170,655,"2,326","1,813",65,
2020년05월_남_20~29세,"9,747",389,299,866,238,212,357,175,285,"1,243","1,940","3,558",185,
2020년05월_남_30~39세,"11,489",379,270,888,241,188,413,154,265,"1,333","4,441","2,726",191,
2020년05월_남_40~49세,"13,372",538,453,"1,100",332,275,480,223,348,"1,517","4,803","2,960",343,
2020년05월_남_50~59세,"10,956",783,490,"1,216",396,364,663,309,442,"1,536","2,188","2,005",564,
2020년05월_남_60~69세,"7,631",649,385,974,338,307,554,270,357,"1,184","1,221",840,552,
2020년05월_남_70~79세,"4,238",309,276,520,235,200,335,178,232,489,637,504,323,
2020년05월_남_80~89세,"1,282",105,114,170,70,53,110,61,62,145,150,170,72,
2020년05월_남_90~99세,150,16,16,17,13,5,17,12,9,16,10,11,8,
2020년05월_남_100세 이상,26,1,3,2,0,0,3,2,7,5,1,2,0,
2020년05월_여_총인구수,"66,868","2,967","2,588","6,641","2,025","1,681","2,834","1,431","2,335","6,908","21,304","14,333","1,821",
2020년05월_여_연령구간인구수,"66,868","2,967","2,588","6,641","2,025","1,681","2,834","1,431","2,335","6,908","21,304","14,333","1,821",
2020년05월_여_0~9세,"5,919",121,101,456,84,55,112,32,104,468,"3,470",863,53,
2020년05월_여_10~19세,"6,032",201,175,557,132,112,144,83,176,580,"2,242","1,570",60,
2020년05월_여_20~29세,"9,559",267,254,775,193,172,290,130,244,915,"2,086","4,135",98,
2020년05월_여_30~39세,"9,794",266,230,794,185,138,283,109,205,903,"4,690","1,878",113,
2020년05월_여_40~49세,"11,021",362,383,992,264,226,315,184,280,"1,044","4,224","2,573",174,
2020년05월_여_50~59세,"9,073",573,423,"1,077",353,287,476,233,419,"1,186","2,114","1,542",390,
2020년05월_여_60~69세,"7,762",610,431,966,381,313,541,289,426,998,"1,491",834,482,
2020년05월_여_70~79세,"4,918",340,344,663,287,237,388,240,308,484,678,662,287,
2020년05월_여_80~89세,"2,289",182,199,294,121,108,225,109,143,262,268,249,129,
2020년05월_여_90~99세,448,42,44,64,22,28,51,15,25,60,40,27,30,
2020년05월_여_100세 이상,53,3,4,3,3,5,9,7,5,8,1,0,5,
2020년06월_계_총인구수,"138,783","6,426","5,235","13,462","4,109","3,439","6,024","2,949","4,618","15,531","42,900","29,944","4,146",
2020년06월_계_연령구간인구수,"138,783","6,426","5,235","13,462","4,109","3,439","6,024","2,949","4,618","15,531","42,900","29,944","4,146",
2020년06월_계_0~9세,"12,184",261,240,910,149,123,204,96,216,962,"7,169","1,761",93,
2020년06월_계_10~19세,"12,552",376,358,"1,150",307,220,302,159,342,"1,227","4,600","3,384",127,
2020년06월_계_20~29세,"19,308",650,557,"1,635",428,378,648,308,532,"2,146","4,038","7,714",274,
2020년06월_계_30~39세,"21,320",643,504,"1,688",418,320,691,258,476,"2,250","9,135","4,641",296,
2020년06월_계_40~49세,"24,410",881,836,"2,091",595,501,794,406,622,"2,551","9,078","5,538",517,
2020년06월_계_50~59세,"20,077","1,354",910,"2,304",740,636,"1,142",543,856,"2,721","4,356","3,570",945,
2020년06월_계_60~69세,"15,482","1,264",820,"1,946",723,630,"1,095",556,784,"2,199","2,725","1,700","1,040",
2020년06월_계_70~79세,"9,191",651,632,"1,184",521,430,732,414,539,981,"1,327","1,172",608,
2020년06월_계_80~89세,"3,572",284,311,469,190,163,335,171,204,405,416,422,202,
2020년06월_계_90~99세,607,58,61,79,35,33,68,29,35,76,54,40,39,
2020년06월_계_100세 이상,80,4,6,6,3,5,13,9,12,13,2,2,5,
2020년06월_남_총인구수,"71,833","3,480","2,638","6,813","2,087","1,770","3,185","1,527","2,285","8,630","21,520","15,563","2,335",
2020년06월_남_연령구간인구수,"71,833","3,480","2,638","6,813","2,087","1,770","3,185","1,527","2,285","8,630","21,520","15,563","2,335",
2020년06월_남_0~9세,"6,259",140,134,450,63,74,91,63,112,499,"3,686",903,44,
2020년06월_남_10~19세,"6,519",180,184,597,174,107,158,78,170,651,"2,338","1,817",65,
2020년06월_남_20~29세,"9,756",390,303,865,236,206,363,175,286,"1,233","1,957","3,565",177,
2020년06월_남_30~39세,"11,522",380,270,895,234,186,409,153,265,"1,341","4,451","2,752",186,
2020년06월_남_40~49세,"13,389",528,458,"1,102",331,272,478,222,346,"1,514","4,830","2,964",344,
2020년06월_남_50~59세,"10,991",784,488,"1,220",391,358,662,310,440,"1,545","2,216","2,017",560,
2020년06월_남_60~69세,"7,678",648,385,973,341,313,552,273,356,"1,187","1,237",853,560,
2020년06월_남_70~79세,"4,259",309,283,521,235,194,341,177,233,496,646,506,318,
2020년06월_남_80~89세,"1,286",104,115,172,71,55,110,61,61,144,148,172,73,
2020년06월_남_90~99세,147,16,16,15,11,5,17,13,9,15,10,12,8,
2020년06월_남_100세 이상,27,1,2,3,0,0,4,2,7,5,1,2,0,
2020년06월_여_총인구수,"66,950","2,946","2,597","6,649","2,022","1,669","2,839","1,422","2,333","6,901","21,380","14,381","1,811",
2020년06월_여_연령구간인구수,"66,950","2,946","2,597","6,649","2,022","1,669","2,839","1,422","2,333","6,901","21,380","14,381","1,811",
2020년06월_여_0~9세,"5,925",121,106,460,86,49,113,33,104,463,"3,483",858,49,
2020년06월_여_10~19세,"6,033",196,174,553,133,113,144,81,172,576,"2,262","1,567",62,
2020년06월_여_20~29세,"9,552",260,254,770,192,172,285,133,246,913,"2,081","4,149",97,
2020년06월_여_30~39세,"9,798",263,234,793,184,134,282,105,211,909,"4,684","1,889",110,
2020년06월_여_40~49세,"11,021",353,378,989,264,229,316,184,276,"1,037","4,248","2,574",173,
2020년06월_여_50~59세,"9,086",570,422,"1,084",349,278,480,233,416,"1,176","2,140","1,553",385,
2020년06월_여_60~69세,"7,804",616,435,973,382,317,543,283,428,"1,012","1,488",847,480,
2020년06월_여_70~79세,"4,932",342,349,663,286,236,391,237,306,485,681,666,290,
2020년06월_여_80~89세,"2,286",180,196,297,119,108,225,110,143,261,268,250,129,
2020년06월_여_90~99세,460,42,45,64,24,28,51,16,26,61,44,28,31,
2020년06월_여_100세 이상,53,3,4,3,3,5,9,7,5,8,1,0,5,
2020년07월_계_총인구수,"139,042","6,390","5,245","13,463","4,106","3,424","6,012","2,934","4,598","15,551","43,117","30,065","4,137",
2020년07월_계_연령구간인구수,"139,042","6,390","5,245","13,463","4,106","3,424","6,012","2,934","4,598","15,551","43,117","30,065","4,137",
2020년07월_계_0~9세,"12,190",263,244,902,149,120,204,93,211,968,"7,189","1,753",94,
2020년07월_계_10~19세,"12,546",374,362,"1,144",303,214,295,158,339,"1,218","4,627","3,392",120,
2020년07월_계_20~29세,"19,315",642,559,"1,647",432,372,652,305,533,"2,140","4,054","7,700",279,
2020년07월_계_30~39세,"21,331",636,509,"1,674",413,316,673,254,471,"2,248","9,169","4,678",290,
2020년07월_계_40~49세,"24,419",885,826,"2,080",585,498,800,405,616,"2,543","9,121","5,541",519,
2020년07월_계_50~59세,"20,192","1,343",905,"2,307",745,643,"1,140",542,857,"2,749","4,395","3,629",937,
2020년07월_계_60~69세,"15,544","1,261",826,"1,953",728,629,"1,105",554,781,"2,195","2,744","1,727","1,041",
2020년07월_계_70~79세,"9,205",642,631,"1,190",523,432,728,417,536,995,"1,327","1,177",607,
2020년07월_계_80~89세,"3,609",281,318,481,190,163,335,168,206,404,430,428,205,
2020년07월_계_90~99세,611,59,59,79,35,32,67,29,36,78,59,38,40,
2020년07월_계_100세 이상,80,4,6,6,3,5,13,9,12,13,2,2,5,
2020년07월_남_총인구수,"71,985","3,457","2,644","6,814","2,088","1,763","3,175","1,521","2,266","8,623","21,664","15,637","2,333",
2020년07월_남_연령구간인구수,"71,985","3,457","2,644","6,814","2,088","1,763","3,175","1,521","2,266","8,623","21,664","15,637","2,333",
2020년07월_남_0~9세,"6,271",138,137,450,64,72,92,62,106,500,"3,703",902,45,
2020년07월_남_10~19세,"6,509",184,184,589,172,103,156,79,168,642,"2,359","1,814",59,
2020년07월_남_20~29세,"9,753",382,306,870,238,205,364,172,284,"1,227","1,967","3,556",182,
2020년07월_남_30~39세,"11,520",374,275,882,231,182,392,150,262,"1,348","4,456","2,785",183,
2020년07월_남_40~49세,"13,399",532,448,"1,101",324,273,484,222,342,"1,500","4,867","2,959",347,
2020년07월_남_50~59세,"11,057",774,486,"1,222",396,360,661,309,440,"1,558","2,239","2,056",556,
2020년07월_남_60~69세,"7,733",648,392,979,344,312,558,273,354,"1,182","1,258",873,560,
2020년07월_남_70~79세,"4,267",304,281,526,236,199,339,178,230,502,650,504,318,
2020년07월_남_80~89세,"1,301",103,117,178,71,53,108,61,64,142,153,176,75,
2020년07월_남_90~99세,149,17,17,14,12,4,17,13,9,17,11,10,8,
2020년07월_남_100세 이상,26,1,1,3,0,0,4,2,7,5,1,2,0,
2020년07월_여_총인구수,"67,057","2,933","2,601","6,649","2,018","1,661","2,837","1,413","2,332","6,928","21,453","14,428","1,804",
2020년07월_여_연령구간인구수,"67,057","2,933","2,601","6,649","2,018","1,661","2,837","1,413","2,332","6,928","21,453","14,428","1,804",
2020년07월_여_0~9세,"5,919",125,107,452,85,48,112,31,105,468,"3,486",851,49,
2020년07월_여_10~19세,"6,037",190,178,555,131,111,139,79,171,576,"2,268","1,578",61,
2020년07월_여_20~29세,"9,562",260,253,777,194,167,288,133,249,913,"2,087","4,144",97,
2020년07월_여_30~39세,"9,811",262,234,792,182,134,281,104,209,900,"4,713","1,893",107,
2020년07월_여_40~49세,"11,020",353,378,979,261,225,316,183,274,"1,043","4,254","2,582",172,
2020년07월_여_50~59세,"9,135",569,419,"1,085",349,283,479,233,417,"1,191","2,156","1,573",381,
2020년07월_여_60~69세,"7,811",613,434,974,384,317,547,281,427,"1,013","1,486",854,481,
2020년07월_여_70~79세,"4,938",338,350,664,287,233,389,239,306,493,677,673,289,
2020년07월_여_80~89세,"2,308",178,201,303,119,110,227,107,142,262,277,252,130,
2020년07월_여_90~99세,462,42,42,65,23,28,50,16,27,61,48,28,32,
2020년07월_여_100세 이상,54,3,5,3,3,5,9,7,5,8,1,0,5,
2020년08월_계_총인구수,"139,154","6,362","5,277","13,387","4,113","3,402","5,999","2,921","4,570","15,619","43,158","30,194","4,152",
2020년08월_계_연령구간인구수,"139,154","6,362","5,277","13,387","4,113","3,402","5,999","2,921","4,570","15,619","43,158","30,194","4,152",
2020년08월_계_0~9세,"12,114",255,247,880,147,118,209,90,210,959,"7,160","1,744",95,
2020년08월_계_10~19세,"12,535",376,365,"1,131",298,210,294,152,334,"1,224","4,636","3,392",123,
2020년08월_계_20~29세,"19,291",629,556,"1,630",446,374,639,303,521,"2,145","4,070","7,696",282,
2020년08월_계_30~39세,"21,331",630,516,"1,650",406,311,667,250,467,"2,244","9,157","4,743",290,
2020년08월_계_40~49세,"24,430",880,825,"2,070",583,495,799,407,615,"2,549","9,144","5,539",524,
2020년08월_계_50~59세,"20,242","1,333",906,"2,295",747,640,"1,140",529,850,"2,786","4,410","3,674",932,
2020년08월_계_60~69세,"15,640","1,271",832,"1,967",734,620,"1,104",561,781,"2,213","2,761","1,750","1,046",
2020년08월_계_70~79세,"9,232",642,641,"1,199",524,436,730,423,530,993,"1,322","1,183",609,
2020년08월_계_80~89세,"3,649",282,323,482,188,162,338,168,215,415,439,432,205,
2020년08월_계_90~99세,612,60,60,77,37,32,66,29,35,78,57,40,41,
2020년08월_계_100세 이상,78,4,6,6,3,4,13,9,12,13,2,1,5,
2020년08월_남_총인구수,"72,058","3,438","2,651","6,793","2,087","1,752","3,160","1,516","2,255","8,669","21,692","15,714","2,331",
2020년08월_남_연령구간인구수,"72,058","3,438","2,651","6,793","2,087","1,752","3,160","1,516","2,255","8,669","21,692","15,714","2,331",
2020년08월_남_0~9세,"6,223",134,138,437,62,70,93,61,106,497,"3,686",897,42,
2020년08월_남_10~19세,"6,502",182,188,585,169,99,156,76,165,646,"2,369","1,806",61,
2020년08월_남_20~29세,"9,761",376,299,864,245,205,354,174,280,"1,233","1,979","3,570",182,
2020년08월_남_30~39세,"11,530",371,280,878,228,180,385,151,262,"1,344","4,453","2,814",184,
2020년08월_남_40~49세,"13,379",529,446,"1,096",323,273,481,220,340,"1,507","4,866","2,950",348,
2020년08월_남_50~59세,"11,096",765,486,"1,222",393,360,661,300,438,"1,578","2,252","2,091",550,
2020년08월_남_60~69세,"7,793",655,393,984,347,308,560,278,354,"1,196","1,270",888,560,
2020년08월_남_70~79세,"4,292",307,285,530,238,201,341,180,227,503,650,509,321,
2020년08월_남_80~89세,"1,306",101,118,180,69,52,108,61,67,143,154,178,75,
2020년08월_남_90~99세,151,17,17,14,13,4,17,13,9,17,12,10,8,
2020년08월_남_100세 이상,25,1,1,3,0,0,4,2,7,5,1,1,0,
2020년08월_여_총인구수,"67,096","2,924","2,626","6,594","2,026","1,650","2,839","1,405","2,315","6,950","21,466","14,480","1,821",
2020년08월_여_연령구간인구수,"67,096","2,924","2,626","6,594","2,026","1,650","2,839","1,405","2,315","6,950","21,466","14,480","1,821",
2020년08월_여_0~9세,"5,891",121,109,443,85,48,116,29,104,462,"3,474",847,53,
2020년08월_여_10~19세,"6,033",194,177,546,129,111,138,76,169,578,"2,267","1,586",62,
2020년08월_여_20~29세,"9,530",253,257,766,201,169,285,129,241,912,"2,091","4,126",100,
2020년08월_여_30~39세,"9,801",259,236,772,178,131,282,99,205,900,"4,704","1,929",106,
2020년08월_여_40~49세,"11,051",351,379,974,260,222,318,187,275,"1,042","4,278","2,589",176,
2020년08월_여_50~59세,"9,146",568,420,"1,073",354,280,479,229,412,"1,208","2,158","1,583",382,
2020년08월_여_60~69세,"7,847",616,439,983,387,312,544,283,427,"1,017","1,491",862,486,
2020년08월_여_70~79세,"4,940",335,356,669,286,235,389,243,303,490,672,674,288,
2020년08월_여_80~89세,"2,343",181,205,302,119,110,230,107,148,272,285,254,130,
2020년08월_여_90~99세,461,43,43,63,24,28,49,16,26,61,45,30,33,
2020년08월_여_100세 이상,53,3,5,3,3,4,9,7,5,8,1,0,5,
2020년09월_계_총인구수,"139,299","6,332","5,240","13,395","4,102","3,394","5,979","2,914","4,553","15,658","43,268","30,330","4,134",
2020년09월_계_연령구간인구수,"139,299","6,332","5,240","13,395","4,102","3,394","5,979","2,914","4,553","15,658","43,268","30,330","4,134",
2020년09월_계_0~9세,"12,062",251,246,872,146,115,204,91,204,956,"7,133","1,749",95,
2020년09월_계_10~19세,"12,566",369,360,"1,138",290,212,296,149,334,"1,233","4,674","3,391",120,
2020년09월_계_20~29세,"19,240",641,547,"1,634",449,369,632,301,515,"2,133","4,063","7,672",284,
2020년09월_계_30~39세,"21,313",622,504,"1,643",401,312,664,243,473,"2,234","9,129","4,799",289,
2020년09월_계_40~49세,"24,483",871,819,"2,073",576,491,798,410,607,"2,557","9,195","5,564",522,
2020년09월_계_50~59세,"20,291","1,322",901,"2,295",749,641,"1,136",530,847,"2,787","4,443","3,720",920,
2020년09월_계_60~69세,"15,703","1,262",827,"1,984",732,620,"1,101",563,784,"2,242","2,778","1,768","1,042",
2020년09월_계_70~79세,"9,274",643,646,"1,192",530,436,732,419,528,"1,006","1,350","1,184",608,
2020년09월_계_80~89세,"3,673",288,323,479,188,162,338,171,214,418,441,441,210,
2020년09월_계_90~99세,617,59,61,79,38,33,65,28,35,79,60,41,39,
2020년09월_계_100세 이상,77,4,6,6,3,3,13,9,12,13,2,1,5,
2020년09월_남_총인구수,"72,174","3,419","2,643","6,791","2,082","1,750","3,140","1,514","2,255","8,688","21,757","15,812","2,323",
2020년09월_남_연령구간인구수,"72,174","3,419","2,643","6,791","2,082","1,750","3,140","1,514","2,255","8,688","21,757","15,812","2,323",
2020년09월_남_0~9세,"6,210",134,140,433,66,69,90,62,102,497,"3,672",903,42,
2020년09월_남_10~19세,"6,504",178,185,589,163,100,157,74,163,653,"2,386","1,797",59,
2020년09월_남_20~29세,"9,765",380,298,865,246,202,347,175,283,"1,226","1,978","3,580",185,
2020년09월_남_30~39세,"11,524",364,275,871,223,182,383,145,266,"1,339","4,441","2,850",185,
2020년09월_남_40~49세,"13,410",527,442,"1,100",319,271,474,223,339,"1,510","4,892","2,965",348,
2020년09월_남_50~59세,"11,117",752,482,"1,224",396,364,659,298,435,"1,572","2,277","2,117",541,
2020년09월_남_60~69세,"7,830",653,397,985,345,304,562,282,358,"1,214","1,274",896,560,
2020년09월_남_70~79세,"4,318",309,289,527,241,200,343,176,226,509,667,512,319,
2020년09월_남_80~89세,"1,318",104,116,179,69,54,105,64,67,146,156,181,77,
2020년09월_남_90~99세,153,17,18,15,14,4,16,13,9,17,13,10,7,
2020년09월_남_100세 이상,25,1,1,3,0,0,4,2,7,5,1,1,0,
2020년09월_여_총인구수,"67,125","2,913","2,597","6,604","2,020","1,644","2,839","1,400","2,298","6,970","21,511","14,518","1,811",
2020년09월_여_연령구간인구수,"67,125","2,913","2,597","6,604","2,020","1,644","2,839","1,400","2,298","6,970","21,511","14,518","1,811",
2020년09월_여_0~9세,"5,852",117,106,439,80,46,114,29,102,459,"3,461",846,53,
2020년09월_여_10~19세,"6,062",191,175,549,127,112,139,75,171,580,"2,288","1,594",61,
2020년09월_여_20~29세,"9,475",261,249,769,203,167,285,126,232,907,"2,085","4,092",99,
2020년09월_여_30~39세,"9,789",258,229,772,178,130,281,98,207,895,"4,688","1,949",104,
