카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년05월_남_90~99세,136,37,18,8,11,18,12,15,5,12
2020년05월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년05월_여_총인구수,"25,184","14,531","1,568",713,970,"1,167","1,568","2,098","1,110","1,459"
2020년05월_여_연령구간인구수,"25,184","14,531","1,568",713,970,"1,167","1,568","2,098","1,110","1,459"
2020년05월_여_0~9세,"1,285","1,042",41,19,18,17,34,55,28,31
2020년05월_여_10~19세,"1,884","1,470",63,31,36,23,62,105,43,51
2020년05월_여_20~29세,"1,906","1,391",80,24,41,26,63,110,80,91
2020년05월_여_30~39세,"1,943","1,452",77,27,23,44,66,112,60,82
2020년05월_여_40~49세,"2,915","2,213",126,34,63,46,95,147,61,130
2020년05월_여_50~59세,"4,249","2,414",288,132,139,212,228,361,197,278
2020년05월_여_60~69세,"4,667","2,162",373,158,244,270,388,472,253,347
2020년05월_여_70~79세,"3,394","1,451",259,129,191,233,323,362,197,249
2020년05월_여_80~89세,"2,498",792,220,135,173,261,273,316,166,162
2020년05월_여_90~99세,421,138,40,23,38,32,33,57,25,35
2020년05월_여_100세 이상,22,6,1,1,4,3,3,1,0,3
2020년06월_계_총인구수,"50,802","29,133","3,238","1,429","1,949","2,337","3,056","4,271","2,336","3,053"
2020년06월_계_연령구간인구수,"50,802","29,133","3,238","1,429","1,949","2,337","3,056","4,271","2,336","3,053"
2020년06월_계_0~9세,"2,704","2,199",97,34,32,31,63,115,64,69
2020년06월_계_10~19세,"3,945","3,072",130,71,74,54,136,207,85,116
2020년06월_계_20~29세,"4,475","3,165",232,68,101,86,147,274,185,217
2020년06월_계_30~39세,"4,012","2,888",179,68,69,83,133,276,133,183
2020년06월_계_40~49세,"6,348","4,533",297,102,171,135,229,403,180,298
2020년06월_계_50~59세,"9,101","4,999",632,274,334,456,533,790,445,638
2020년06월_계_60~69세,"9,633","4,243",794,352,510,622,794,981,573,764
2020년06월_계_70~79세,"6,230","2,600",488,240,342,446,593,694,378,449
2020년06월_계_80~89세,"3,766","1,252",329,188,261,370,379,455,263,269
2020년06월_계_90~99세,559,175,59,31,48,51,45,73,30,47
2020년06월_계_100세 이상,29,7,1,1,7,3,4,3,0,3
2020년06월_남_총인구수,"25,585","14,586","1,664",712,983,"1,168","1,491","2,173","1,211","1,597"
2020년06월_남_연령구간인구수,"25,585","14,586","1,664",712,983,"1,168","1,491","2,173","1,211","1,597"
2020년06월_남_0~9세,"1,416","1,157",55,17,14,15,30,57,33,38
2020년06월_남_10~19세,"2,063","1,604",66,38,37,33,74,103,42,66
2020년06월_남_20~29세,"2,547","1,764",149,43,61,57,83,161,100,129
2020년06월_남_30~39세,"2,082","1,442",102,41,46,42,67,166,74,102
2020년06월_남_40~49세,"3,437","2,326",172,67,108,87,136,255,115,171
2020년06월_남_50~59세,"4,853","2,582",344,142,195,246,307,430,251,356
2020년06월_남_60~69세,"4,930","2,069",419,190,266,346,404,509,314,413
2020년06월_남_70~79세,"2,845","1,144",230,111,156,214,270,336,181,203
2020년06월_남_80~89세,"1,269",459,109,56,86,110,107,139,96,107
2020년06월_남_90~99세,136,38,18,7,11,18,12,15,5,12
2020년06월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년06월_여_총인구수,"25,217","14,547","1,574",717,966,"1,169","1,565","2,098","1,125","1,456"
2020년06월_여_연령구간인구수,"25,217","14,547","1,574",717,966,"1,169","1,565","2,098","1,125","1,456"
2020년06월_여_0~9세,"1,288","1,042",42,17,18,16,33,58,31,31
2020년06월_여_10~19세,"1,882","1,468",64,33,37,21,62,104,43,50
2020년06월_여_20~29세,"1,928","1,401",83,25,40,29,64,113,85,88
2020년06월_여_30~39세,"1,930","1,446",77,27,23,41,66,110,59,81
2020년06월_여_40~49세,"2,911","2,207",125,35,63,48,93,148,65,127
2020년06월_여_50~59세,"4,248","2,417",288,132,139,210,226,360,194,282
2020년06월_여_60~69세,"4,703","2,174",375,162,244,276,390,472,259,351
2020년06월_여_70~79세,"3,385","1,456",258,129,186,232,323,358,197,246
2020년06월_여_80~89세,"2,497",793,220,132,175,260,272,316,167,162
2020년06월_여_90~99세,423,137,41,24,37,33,33,58,25,35
2020년06월_여_100세 이상,22,6,1,1,4,3,3,1,0,3
2020년07월_계_총인구수,"50,768","29,114","3,225","1,432","1,955","2,337","3,041","4,277","2,318","3,069"
2020년07월_계_연령구간인구수,"50,768","29,114","3,225","1,432","1,955","2,337","3,041","4,277","2,318","3,069"
2020년07월_계_0~9세,"2,692","2,187",97,36,32,31,62,115,61,71
2020년07월_계_10~19세,"3,944","3,071",126,70,77,54,135,208,86,117
2020년07월_계_20~29세,"4,455","3,156",229,67,101,88,147,272,180,215
2020년07월_계_30~39세,"3,987","2,857",176,72,72,82,130,279,131,188
2020년07월_계_40~49세,"6,336","4,523",297,102,169,136,228,402,176,303
2020년07월_계_50~59세,"9,118","5,019",629,274,335,457,533,792,443,636
2020년07월_계_60~69세,"9,641","4,248",794,356,514,626,790,978,566,769
2020년07월_계_70~79세,"6,254","2,614",489,240,341,438,593,702,383,454
2020년07월_계_80~89세,"3,752","1,255",329,181,262,369,375,452,262,267
2020년07월_계_90~99세,561,178,58,33,45,53,44,74,30,46
2020년07월_계_100세 이상,28,6,1,1,7,3,4,3,0,3
2020년07월_남_총인구수,"25,574","14,568","1,661",718,987,"1,164","1,481","2,184","1,203","1,608"
2020년07월_남_연령구간인구수,"25,574","14,568","1,661",718,987,"1,164","1,481","2,184","1,203","1,608"
2020년07월_남_0~9세,"1,405","1,147",55,19,14,15,30,57,31,37
2020년07월_남_10~19세,"2,077","1,614",64,38,39,33,72,106,43,68
2020년07월_남_20~29세,"2,528","1,748",147,41,59,57,85,164,98,129
2020년07월_남_30~39세,"2,072","1,429",101,44,47,42,64,165,74,106
2020년07월_남_40~49세,"3,413","2,306",173,67,106,87,135,255,112,172
2020년07월_남_50~59세,"4,872","2,597",342,143,200,245,306,432,252,355
2020년07월_남_60~69세,"4,924","2,070",421,192,267,348,400,504,309,413
2020년07월_남_70~79세,"2,873","1,160",232,112,155,207,272,343,183,209
2020년07월_남_80~89세,"1,261",455,108,55,86,110,104,140,96,107
2020년07월_남_90~99세,142,41,18,7,11,20,12,16,5,12
2020년07월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년07월_여_총인구수,"25,194","14,546","1,564",714,968,"1,173","1,560","2,093","1,115","1,461"
2020년07월_여_연령구간인구수,"25,194","14,546","1,564",714,968,"1,173","1,560","2,093","1,115","1,461"
2020년07월_여_0~9세,"1,287","1,040",42,17,18,16,32,58,30,34
2020년07월_여_10~19세,"1,867","1,457",62,32,38,21,63,102,43,49
2020년07월_여_20~29세,"1,927","1,408",82,26,42,31,62,108,82,86
2020년07월_여_30~39세,"1,915","1,428",75,28,25,40,66,114,57,82
2020년07월_여_40~49세,"2,923","2,217",124,35,63,49,93,147,64,131
2020년07월_여_50~59세,"4,246","2,422",287,131,135,212,227,360,191,281
2020년07월_여_60~69세,"4,717","2,178",373,164,247,278,390,474,257,356
2020년07월_여_70~79세,"3,381","1,454",257,128,186,231,321,359,200,245
2020년07월_여_80~89세,"2,491",800,221,126,176,259,271,312,166,160
2020년07월_여_90~99세,419,137,40,26,34,33,32,58,25,34
2020년07월_여_100세 이상,21,5,1,1,4,3,3,1,0,3
2020년08월_계_총인구수,"50,792","29,152","3,232","1,428","1,948","2,349","3,035","4,291","2,304","3,053"
2020년08월_계_연령구간인구수,"50,792","29,152","3,232","1,428","1,948","2,349","3,035","4,291","2,304","3,053"
2020년08월_계_0~9세,"2,684","2,186",95,36,33,30,60,115,62,67
2020년08월_계_10~19세,"3,935","3,068",125,69,72,57,138,208,80,118
2020년08월_계_20~29세,"4,445","3,160",226,66,100,87,142,277,178,209
2020년08월_계_30~39세,"3,980","2,846",181,72,72,82,125,282,134,186
2020년08월_계_40~49세,"6,336","4,527",294,99,169,136,231,402,173,305
2020년08월_계_50~59세,"9,103","5,033",625,274,333,455,528,792,431,632
2020년08월_계_60~69세,"9,679","4,259",805,355,511,638,792,980,571,768
2020년08월_계_70~79세,"6,297","2,632",491,243,346,437,596,711,384,457
2020년08월_계_80~89세,"3,730","1,252",330,181,260,369,374,443,260,261
2020년08월_계_90~99세,574,183,59,33,44,55,44,78,31,47
2020년08월_계_100세 이상,29,6,1,0,8,3,5,3,0,3
2020년08월_남_총인구수,"25,583","14,575","1,663",717,984,"1,172","1,471","2,199","1,205","1,597"
2020년08월_남_연령구간인구수,"25,583","14,575","1,663",717,984,"1,172","1,471","2,199","1,205","1,597"
2020년08월_남_0~9세,"1,399","1,143",54,19,14,15,28,57,33,36
2020년08월_남_10~19세,"2,077","1,618",63,38,37,34,73,107,39,68
2020년08월_남_20~29세,"2,512","1,744",143,41,58,56,81,166,99,124
2020년08월_남_30~39세,"2,076","1,430",104,44,48,41,60,168,77,104
2020년08월_남_40~49세,"3,401","2,294",174,66,104,88,136,256,110,173
2020년08월_남_50~59세,"4,863","2,606",338,141,201,245,302,431,247,352
2020년08월_남_60~69세,"4,956","2,084",428,191,263,355,401,507,314,413
2020년08월_남_70~79세,"2,892","1,161",234,115,159,207,272,348,184,212
2020년08월_남_80~89세,"1,253",453,106,55,86,111,104,140,95,103
2020년08월_남_90~99세,147,41,19,7,11,20,13,17,7,12
2020년08월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년08월_여_총인구수,"25,209","14,577","1,569",711,964,"1,177","1,564","2,092","1,099","1,456"
2020년08월_여_연령구간인구수,"25,209","14,577","1,569",711,964,"1,177","1,564","2,092","1,099","1,456"
2020년08월_여_0~9세,"1,285","1,043",41,17,19,15,32,58,29,31
2020년08월_여_10~19세,"1,858","1,450",62,31,35,23,65,101,41,50
2020년08월_여_20~29세,"1,933","1,416",83,25,42,31,61,111,79,85
2020년08월_여_30~39세,"1,904","1,416",77,28,24,41,65,114,57,82
2020년08월_여_40~49세,"2,935","2,233",120,33,65,48,95,146,63,132
2020년08월_여_50~59세,"4,240","2,427",287,133,132,210,226,361,184,280
2020년08월_여_60~69세,"4,723","2,175",377,164,248,283,391,473,257,355
2020년08월_여_70~79세,"3,405","1,471",257,128,187,230,324,363,200,245
2020년08월_여_80~89세,"2,477",799,224,126,174,258,270,303,165,158
2020년08월_여_90~99세,427,142,40,26,33,35,31,61,24,35
2020년08월_여_100세 이상,22,5,1,0,5,3,4,1,0,3
2020년09월_계_총인구수,"50,745","29,144","3,225","1,418","1,946","2,341","3,037","4,275","2,302","3,057"
2020년09월_계_연령구간인구수,"50,745","29,144","3,225","1,418","1,946","2,341","3,037","4,275","2,302","3,057"
2020년09월_계_0~9세,"2,676","2,168",98,37,37,29,58,113,64,72
2020년09월_계_10~19세,"3,921","3,062",125,68,72,57,138,202,77,120
2020년09월_계_20~29세,"4,417","3,158",221,63,96,88,135,278,175,203
2020년09월_계_30~39세,"3,979","2,841",181,73,76,82,128,275,134,189
2020년09월_계_40~49세,"6,315","4,522",290,100,168,131,229,397,174,304
2020년09월_계_50~59세,"9,063","5,031",629,272,322,456,522,783,431,617
2020년09월_계_60~69세,"9,730","4,277",809,351,515,641,802,985,569,781
2020년09월_계_70~79세,"6,301","2,635",483,246,344,432,594,719,388,460
2020년09월_계_80~89세,"3,732","1,255",330,175,264,368,379,441,258,262
2020년09월_계_90~99세,582,189,58,33,44,54,47,79,32,46
2020년09월_계_100세 이상,29,6,1,0,8,3,5,3,0,3
2020년09월_남_총인구수,"25,548","14,562","1,665",712,984,"1,169","1,467","2,190","1,202","1,597"
2020년09월_남_연령구간인구수,"25,548","14,562","1,665",712,984,"1,169","1,467","2,190","1,202","1,597"
2020년09월_남_0~9세,"1,392","1,130",57,20,17,15,25,56,34,38
2020년09월_남_10~19세,"2,073","1,618",63,38,37,34,73,106,36,68
2020년09월_남_20~29세,"2,498","1,745",140,37,56,56,80,166,97,121
2020년09월_남_30~39세,"2,069","1,420",104,45,49,43,61,163,78,106
2020년09월_남_40~49세,"3,395","2,294",173,67,105,85,137,254,110,170
2020년09월_남_50~59세,"4,845","2,605",342,140,193,248,294,427,248,348
2020년09월_남_60~69세,"4,979","2,091",429,191,266,354,407,509,312,420
2020년09월_남_70~79세,"2,889","1,157",234,114,160,204,269,352,186,213
2020년09월_남_80~89세,"1,253",458,104,53,87,112,107,137,93,102
2020년09월_남_90~99세,148,43,19,7,11,18,13,18,8,11
2020년09월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년09월_여_총인구수,"25,197","14,582","1,560",706,962,"1,172","1,570","2,085","1,100","1,460"
2020년09월_여_연령구간인구수,"25,197","14,582","1,560",706,962,"1,172","1,570","2,085","1,100","1,460"
2020년09월_여_0~9세,"1,284","1,038",41,17,20,14,33,57,30,34
2020년09월_여_10~19세,"1,848","1,444",62,30,35,23,65,96,41,52
2020년09월_여_20~29세,"1,919","1,413",81,26,40,32,55,112,78,82
2020년09월_여_30~39세,"1,910","1,421",77,28,27,39,67,112,56,83
2020년09월_여_40~49세,"2,920","2,228",117,33,63,46,92,143,64,134
2020년09월_여_50~59세,"4,218","2,426",287,132,129,208,228,356,183,269
2020년09월_여_60~69세,"4,751","2,186",380,160,249,287,395,476,257,361
2020년09월_여_70~79세,"3,412","1,478",249,132,184,228,325,367,202,247
2020년09월_여_80~89세,"2,479",797,226,122,177,256,272,304,165,160
2020년09월_여_90~99세,434,146,39,26,33,36,34,61,24,35
2020년09월_여_100세 이상,22,5,1,0,5,3,4,1,0,3
2020년10월_계_총인구수,"50,696","29,115","3,211","1,423","1,947","2,345","3,035","4,271","2,297","3,052"
2020년10월_계_연령구간인구수,"50,696","29,115","3,211","1,423","1,947","2,345","3,035","4,271","2,297","3,052"
2020년10월_계_0~9세,"2,651","2,158",94,40,37,28,57,109,59,69
2020년10월_계_10~19세,"3,922","3,066",124,67,72,57,140,206,76,114
2020년10월_계_20~29세,"4,411","3,146",222,64,94,90,136,276,176,207
2020년10월_계_30~39세,"3,928","2,802",181,76,76,84,127,268,129,185
2020년10월_계_40~49세,"6,298","4,518",282,101,167,128,222,401,176,303
2020년10월_계_50~59세,"9,045","5,028",622,273,322,457,520,783,432,608
2020년10월_계_60~69세,"9,749","4,289",814,349,511,642,809,985,563,787
2020년10월_계_70~79세,"6,341","2,657",482,246,353,435,594,721,394,459
2020년10월_계_80~89세,"3,742","1,258",331,173,263,368,379,441,259,270
2020년10월_계_90~99세,581,187,58,34,44,53,47,78,33,47
2020년10월_계_100세 이상,28,6,1,0,8,3,4,3,0,3
2020년10월_남_총인구수,"25,519","14,544","1,654",712,989,"1,174","1,467","2,189","1,196","1,594"
2020년10월_남_연령구간인구수,"25,519","14,544","1,654",712,989,"1,174","1,467","2,189","1,196","1,594"
2020년10월_남_0~9세,"1,383","1,129",54,21,17,15,25,54,32,36
2020년10월_남_10~19세,"2,076","1,617",62,37,38,33,73,112,37,67
2020년10월_남_20~29세,"2,492","1,736",141,38,56,58,81,163,97,122
2020년10월_남_30~39세,"2,046","1,403",103,46,48,44,61,161,75,105
2020년10월_남_40~49세,"3,382","2,292",165,67,105,85,133,256,111,168
2020년10월_남_50~59세,"4,837","2,597",339,142,194,254,293,427,248,343
2020년10월_남_60~69세,"4,976","2,098",432,187,265,350,410,507,305,422
2020년10월_남_70~79세,"2,917","1,170",233,115,165,206,269,353,191,215
2020년10월_남_80~89세,"1,255",461,105,51,87,110,108,136,92,105
2020년10월_남_90~99세,148,40,20,8,11,19,13,18,8,11
2020년10월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년10월_여_총인구수,"25,177","14,571","1,557",711,958,"1,171","1,568","2,082","1,101","1,458"
2020년10월_여_연령구간인구수,"25,177","14,571","1,557",711,958,"1,171","1,568","2,082","1,101","1,458"
2020년10월_여_0~9세,"1,268","1,029",40,19,20,13,32,55,27,33
2020년10월_여_10~19세,"1,846","1,449",62,30,34,24,67,94,39,47
2020년10월_여_20~29세,"1,919","1,410",81,26,38,32,55,113,79,85
2020년10월_여_30~39세,"1,882","1,399",78,30,28,40,66,107,54,80
2020년10월_여_40~49세,"2,916","2,226",117,34,62,43,89,145,65,135
2020년10월_여_50~59세,"4,208","2,431",283,131,128,203,227,356,184,265
2020년10월_여_60~69세,"4,773","2,191",382,162,246,292,399,478,258,365
2020년10월_여_70~79세,"3,424","1,487",249,131,188,229,325,368,203,244
2020년10월_여_80~89세,"2,487",797,226,122,176,258,271,305,167,165
2020년10월_여_90~99세,433,147,38,26,33,34,34,60,25,36
2020년10월_여_100세 이상,21,5,1,0,5,3,3,1,0,3
2020년11월_계_총인구수,"50,619","29,053","3,215","1,422","1,951","2,352","3,043","4,257","2,282","3,044"
2020년11월_계_연령구간인구수,"50,619","29,053","3,215","1,422","1,951","2,352","3,043","4,257","2,282","3,044"
2020년11월_계_0~9세,"2,618","2,134",87,40,38,29,57,107,57,69
2020년11월_계_10~19세,"3,910","3,053",128,66,71,57,140,202,76,117
2020년11월_계_20~29세,"4,402","3,144",221,64,96,88,139,278,168,204
2020년11월_계_30~39세,"3,886","2,773",178,74,78,88,123,264,128,180
2020년11월_계_40~49세,"6,281","4,514",282,100,163,126,223,397,174,302
2020년11월_계_50~59세,"9,006","5,008",619,275,322,457,521,781,424,599
2020년11월_계_60~69세,"9,807","4,313",827,352,515,645,813,983,569,790
2020년11월_계_70~79세,"6,360","2,664",480,245,352,440,596,727,393,463
2020년11월_계_80~89세,"3,742","1,256",333,172,264,366,382,439,260,270
2020년11월_계_90~99세,581,189,59,34,44,53,45,77,33,47
2020년11월_계_100세 이상,26,5,1,0,8,3,4,2,0,3
2020년11월_남_총인구수,"25,494","14,520","1,656",713,993,"1,181","1,472","2,181","1,186","1,592"
2020년11월_남_연령구간인구수,"25,494","14,520","1,656",713,993,"1,181","1,472","2,181","1,186","1,592"
2020년11월_남_0~9세,"1,367","1,116",49,21,18,16,25,52,32,38
2020년11월_남_10~19세,"2,071","1,611",64,37,38,33,73,112,36,67
2020년11월_남_20~29세,"2,497","1,736",144,40,58,58,82,163,95,121
2020년11월_남_30~39세,"2,024","1,389",99,45,50,46,61,157,73,104
2020년11월_남_40~49세,"3,374","2,294",164,66,103,86,131,255,109,166
2020년11월_남_50~59세,"4,819","2,584",339,143,192,255,296,427,244,339
2020년11월_남_60~69세,"5,001","2,116",440,188,267,348,409,504,307,422
2020년11월_남_70~79세,"2,926","1,171",230,114,165,210,272,357,188,219
2020년11월_남_80~89세,"1,262",462,108,51,88,110,109,135,94,105
2020년11월_남_90~99세,147,40,19,8,11,19,13,18,8,11
2020년11월_남_100세 이상,6,1,0,0,3,0,1,1,0,0
2020년11월_여_총인구수,"25,125","14,533","1,559",709,958,"1,171","1,571","2,076","1,096","1,452"
2020년11월_여_연령구간인구수,"25,125","14,533","1,559",709,958,"1,171","1,571","2,076","1,096","1,452"
2020년11월_여_0~9세,"1,251","1,018",38,19,20,13,32,55,25,31
2020년11월_여_10~19세,"1,839","1,442",64,29,33,24,67,90,40,50
2020년11월_여_20~29세,"1,905","1,408",77,24,38,30,57,115,73,83
2020년11월_여_30~39세,"1,862","1,384",79,29,28,42,62,107,55,76
