카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년09월_남_70~79세,"41,155","8,550","9,219","11,825","6,172","5,389"
2020년09월_남_80~89세,"14,307","2,954","3,453","4,000","2,066","1,834"
2020년09월_남_90~99세,"1,335",273,302,381,240,139
2020년09월_남_100세 이상,89,29,22,18,12,8
2020년09월_여_총인구수,"735,743","110,779","120,220","244,175","174,601","85,968"
2020년09월_여_연령구간인구수,"735,743","110,779","120,220","244,175","174,601","85,968"
2020년09월_여_0~9세,"56,865","7,392","7,632","18,926","17,317","5,598"
2020년09월_여_10~19세,"71,430","9,735","10,820","24,277","18,528","8,070"
2020년09월_여_20~29세,"101,203","14,218","15,164","36,495","24,528","10,798"
2020년09월_여_30~39세,"94,024","11,983","12,964","32,789","27,331","8,957"
2020년09월_여_40~49세,"120,036","16,230","18,414","41,007","30,902","13,483"
2020년09월_여_50~59세,"121,602","17,997","19,803","40,215","27,147","16,440"
2020년09월_여_60~69세,"90,479","16,537","17,403","27,910","16,537","12,092"
2020년09월_여_70~79세,"49,582","10,508","11,330","13,967","7,182","6,595"
2020년09월_여_80~89세,"25,763","5,264","5,664","7,218","4,249","3,368"
2020년09월_여_90~99세,"4,484",848,963,"1,298",836,539
2020년09월_여_100세 이상,275,67,63,73,44,28
2020년10월_계_총인구수,"1,467,556","222,850","236,825","479,806","352,231","175,844"
2020년10월_계_연령구간인구수,"1,467,556","222,850","236,825","479,806","352,231","175,844"
2020년10월_계_0~9세,"116,012","15,094","15,483","38,686","35,421","11,328"
2020년10월_계_10~19세,"147,489","20,039","22,176","50,071","38,338","16,865"
2020년10월_계_20~29세,"212,830","30,203","31,106","74,236","52,880","24,405"
2020년10월_계_30~39세,"195,531","25,850","26,476","66,610","56,632","19,963"
2020년10월_계_40~49세,"238,518","34,106","37,232","79,031","60,763","27,386"
2020년10월_계_50~59세,"242,641","36,807","39,925","78,067","54,175","33,667"
2020년10월_계_60~69세,"177,135","32,182","33,355","54,210","33,144","24,244"
2020년10월_계_70~79세,"90,995","19,083","20,581","25,887","13,414","12,030"
2020년10월_계_80~89세,"40,209","8,272","9,128","11,240","6,333","5,236"
2020년10월_계_90~99세,"5,834","1,118","1,279","1,679","1,075",683
2020년10월_계_100세 이상,362,96,84,89,56,37
2020년10월_남_총인구수,"732,552","112,333","116,865","236,113","177,833","89,408"
2020년10월_남_연령구간인구수,"732,552","112,333","116,865","236,113","177,833","89,408"
2020년10월_남_0~9세,"59,554","7,771","7,908","19,955","18,222","5,698"
