카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년03월_남_80~89세,"1,114",362,123,82,148,90,70,110,76,53
2020년03월_남_90~99세,114,48,12,7,10,7,8,10,9,3
2020년03월_남_100세 이상,12,3,0,1,0,2,1,3,1,1
2020년03월_여_총인구수,"22,617","10,385","2,138","1,461","2,793","1,151","1,184","1,691",990,824
2020년03월_여_연령구간인구수,"22,617","10,385","2,138","1,461","2,793","1,151","1,184","1,691",990,824
2020년03월_여_0~9세,"1,065",728,60,30,121,19,20,42,28,17
2020년03월_여_10~19세,"1,694","1,001",108,211,174,47,26,62,36,29
2020년03월_여_20~29세,"1,728","1,069",134,58,179,63,59,88,53,25
2020년03월_여_30~39세,"1,683","1,057",115,67,186,55,39,79,53,32
2020년03월_여_40~49세,"2,334","1,397",185,85,293,76,71,103,63,61
2020년03월_여_50~59세,"4,199","1,741",420,279,568,229,255,348,190,169
2020년03월_여_60~69세,"4,606","1,548",503,340,629,312,320,431,270,253
2020년03월_여_70~79세,"2,917","1,039",329,208,363,193,198,273,153,161
2020년03월_여_80~89세,"1,991",664,239,147,234,130,162,221,122,72
2020년03월_여_90~99세,381,135,40,33,44,25,33,44,22,5
2020년03월_여_100세 이상,19,6,5,3,2,2,1,0,0,0
2020년04월_계_총인구수,"46,232","20,851","4,463","2,966","5,829","2,369","2,417","3,507","2,102","1,728"
2020년04월_계_연령구간인구수,"46,232","20,851","4,463","2,966","5,829","2,369","2,417","3,507","2,102","1,728"
2020년04월_계_0~9세,"2,233","1,514",131,67,255,42,35,83,68,38
2020년04월_계_10~19세,"3,514","2,060",221,428,377,90,69,128,70,71
2020년04월_계_20~29세,"3,909","2,309",367,138,408,125,136,219,123,84
2020년04월_계_30~39세,"3,590","2,141",254,133,442,124,87,197,134,78
2020년04월_계_40~49세,"5,173","2,998",428,187,648,177,172,272,152,139
2020년04월_계_50~59세,"8,866","3,638",912,574,"1,229",463,534,749,411,356
2020년04월_계_60~69세,"9,683","3,134","1,066",743,"1,308",689,712,919,610,502
2020년04월_계_70~79세,"5,628","1,833",661,424,726,399,402,553,305,325
2020년04월_계_80~89세,"3,107","1,026",365,229,381,224,232,330,195,125
2020년04월_계_90~99세,499,189,53,39,53,32,36,54,33,10
2020년04월_계_100세 이상,30,9,5,4,2,4,2,3,1,0
2020년04월_남_총인구수,"23,669","10,485","2,325","1,523","3,046","1,216","1,229","1,822","1,119",904
2020년04월_남_연령구간인구수,"23,669","10,485","2,325","1,523","3,046","1,216","1,229","1,822","1,119",904
2020년04월_남_0~9세,"1,168",790,70,35,133,23,15,41,40,21
2020년04월_남_10~19세,"1,830","1,060",115,222,208,40,43,66,33,43
2020년04월_남_20~29세,"2,207","1,249",232,83,234,65,78,133,74,59
2020년04월_남_30~39세,"1,917","1,094",136,66,259,69,47,119,82,45
2020년04월_남_40~49세,"2,861","1,612",246,103,355,103,101,172,89,80
2020년04월_남_50~59세,"4,687","1,894",490,304,664,234,279,404,226,192
2020년04월_남_60~69세,"5,031","1,577",564,400,675,372,383,482,334,244
2020년04월_남_70~79세,"2,720",794,334,217,361,208,206,282,155,163
2020년04월_남_80~89세,"1,118",360,126,85,148,93,68,110,75,53
2020년04월_남_90~99세,119,52,12,7,9,7,8,10,10,4
2020년04월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년04월_여_총인구수,"22,563","10,366","2,138","1,443","2,783","1,153","1,188","1,685",983,824
2020년04월_여_연령구간인구수,"22,563","10,366","2,138","1,443","2,783","1,153","1,188","1,685",983,824
2020년04월_여_0~9세,"1,065",724,61,32,122,19,20,42,28,17
2020년04월_여_10~19세,"1,684","1,000",106,206,169,50,26,62,37,28
2020년04월_여_20~29세,"1,702","1,060",135,55,174,60,58,86,49,25
2020년04월_여_30~39세,"1,673","1,047",118,67,183,55,40,78,52,33
2020년04월_여_40~49세,"2,312","1,386",182,84,293,74,71,100,63,59
2020년04월_여_50~59세,"4,179","1,744",422,270,565,229,255,345,185,164
2020년04월_여_60~69세,"4,652","1,557",502,343,633,317,329,437,276,258
2020년04월_여_70~79세,"2,908","1,039",327,207,365,191,196,271,150,162
2020년04월_여_80~89세,"1,989",666,239,144,233,131,164,220,120,72
2020년04월_여_90~99세,380,137,41,32,44,25,28,44,23,6
2020년04월_여_100세 이상,19,6,5,3,2,2,1,0,0,0
2020년05월_계_총인구수,"46,276","20,852","4,483","2,960","5,843","2,368","2,432","3,500","2,112","1,726"
2020년05월_계_연령구간인구수,"46,276","20,852","4,483","2,960","5,843","2,368","2,432","3,500","2,112","1,726"
2020년05월_계_0~9세,"2,239","1,513",131,66,261,42,39,82,68,37
2020년05월_계_10~19세,"3,504","2,057",218,428,381,85,68,124,72,71
2020년05월_계_20~29세,"3,900","2,303",372,135,404,123,139,217,122,85
2020년05월_계_30~39세,"3,554","2,115",254,128,445,123,88,193,132,76
2020년05월_계_40~49세,"5,175","2,999",430,185,651,176,173,272,154,135
2020년05월_계_50~59세,"8,855","3,651",910,571,"1,225",461,532,742,411,352
2020년05월_계_60~69세,"9,764","3,154","1,080",750,"1,314",694,722,925,616,509
2020년05월_계_70~79세,"5,621","1,831",662,423,723,396,402,554,306,324
2020년05월_계_80~89세,"3,131","1,031",367,231,384,231,231,333,196,127
2020년05월_계_90~99세,503,189,54,39,53,33,36,55,34,10
2020년05월_계_100세 이상,30,9,5,4,2,4,2,3,1,0
2020년05월_남_총인구수,"23,699","10,480","2,343","1,522","3,056","1,218","1,237","1,815","1,123",905
2020년05월_남_연령구간인구수,"23,699","10,480","2,343","1,522","3,056","1,218","1,237","1,815","1,123",905
2020년05월_남_0~9세,"1,173",788,69,35,139,23,17,40,41,21
2020년05월_남_10~19세,"1,829","1,060",117,222,209,37,43,64,34,43
2020년05월_남_20~29세,"2,209","1,248",237,84,232,64,78,133,72,61
2020년05월_남_30~39세,"1,876","1,071",134,61,256,68,47,115,81,43
2020년05월_남_40~49세,"2,875","1,616",247,104,362,104,101,172,91,78
2020년05월_남_50~59세,"4,681","1,906",488,303,658,234,280,397,226,189
2020년05월_남_60~69세,"5,080","1,589",574,403,682,375,389,484,334,250
2020년05월_남_70~79세,"2,712",783,335,217,360,208,205,284,158,162
2020년05월_남_80~89세,"1,135",365,130,85,149,96,68,113,75,54
2020년05월_남_90~99세,118,51,12,7,9,7,8,10,10,4
2020년05월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년05월_여_총인구수,"22,577","10,372","2,140","1,438","2,787","1,150","1,195","1,685",989,821
2020년05월_여_연령구간인구수,"22,577","10,372","2,140","1,438","2,787","1,150","1,195","1,685",989,821
2020년05월_여_0~9세,"1,066",725,62,31,122,19,22,42,27,16
2020년05월_여_10~19세,"1,675",997,101,206,172,48,25,60,38,28
2020년05월_여_20~29세,"1,691","1,055",135,51,172,59,61,84,50,24
2020년05월_여_30~39세,"1,678","1,044",120,67,189,55,41,78,51,33
2020년05월_여_40~49세,"2,300","1,383",183,81,289,72,72,100,63,57
2020년05월_여_50~59세,"4,174","1,745",422,268,567,227,252,345,185,163
2020년05월_여_60~69세,"4,684","1,565",506,347,632,319,333,441,282,259
2020년05월_여_70~79세,"2,909","1,048",327,206,363,188,197,270,148,162
2020년05월_여_80~89세,"1,996",666,237,146,235,135,163,220,121,73
2020년05월_여_90~99세,385,138,42,32,44,26,28,45,24,6
2020년05월_여_100세 이상,19,6,5,3,2,2,1,0,0,0
2020년06월_계_총인구수,"46,442","20,829","4,486","3,115","5,853","2,358","2,433","3,506","2,129","1,733"
2020년06월_계_연령구간인구수,"46,442","20,829","4,486","3,115","5,853","2,358","2,433","3,506","2,129","1,733"
2020년06월_계_0~9세,"2,238","1,509",131,69,261,40,40,81,68,39
2020년06월_계_10~19세,"3,645","2,055",212,580,384,83,68,127,69,67
2020년06월_계_20~29세,"3,887","2,286",372,134,403,123,138,217,125,89
2020년06월_계_30~39세,"3,525","2,093",252,126,440,119,87,194,136,78
2020년06월_계_40~49세,"5,159","2,997",426,182,647,171,175,273,154,134
2020년06월_계_50~59세,"8,870","3,659",919,577,"1,225",458,532,737,409,354
2020년06월_계_60~69세,"9,820","3,179","1,089",748,"1,321",696,719,933,627,508
2020년06월_계_70~79세,"5,625","1,828",663,426,727,400,403,550,305,323
2020년06월_계_80~89세,"3,134","1,024",364,229,388,233,233,332,200,131
2020년06월_계_90~99세,507,189,52,40,55,31,36,59,35,10
2020년06월_계_100세 이상,32,10,6,4,2,4,2,3,1,0
2020년06월_남_총인구수,"23,787","10,465","2,344","1,603","3,066","1,214","1,231","1,822","1,131",911
2020년06월_남_연령구간인구수,"23,787","10,465","2,344","1,603","3,066","1,214","1,231","1,822","1,131",911
2020년06월_남_0~9세,"1,174",786,70,38,137,22,17,40,41,23
2020년06월_남_10~19세,"1,912","1,063",114,303,211,38,43,65,33,42
2020년06월_남_20~29세,"2,200","1,231",239,83,237,64,76,134,74,62
2020년06월_남_30~39세,"1,860","1,060",130,61,253,65,47,116,84,44
2020년06월_남_40~49세,"2,875","1,618",247,103,362,100,101,174,92,78
2020년06월_남_50~59세,"4,693","1,918",495,304,656,231,278,396,222,193
2020년06월_남_60~69세,"5,102","1,597",574,402,689,377,386,490,339,248
2020년06월_남_70~79세,"2,699",776,334,217,359,210,204,279,158,162
2020년06월_남_80~89세,"1,141",362,129,84,153,97,70,115,76,55
2020년06월_남_90~99세,120,51,12,7,9,8,8,10,11,4
2020년06월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년06월_여_총인구수,"22,655","10,364","2,142","1,512","2,787","1,144","1,202","1,684",998,822
2020년06월_여_연령구간인구수,"22,655","10,364","2,142","1,512","2,787","1,144","1,202","1,684",998,822
2020년06월_여_0~9세,"1,064",723,61,31,124,18,23,41,27,16
2020년06월_여_10~19세,"1,733",992,98,277,173,45,25,62,36,25
2020년06월_여_20~29세,"1,687","1,055",133,51,166,59,62,83,51,27
2020년06월_여_30~39세,"1,665","1,033",122,65,187,54,40,78,52,34
2020년06월_여_40~49세,"2,284","1,379",179,79,285,71,74,99,62,56
2020년06월_여_50~59세,"4,177","1,741",424,273,569,227,254,341,187,161
2020년06월_여_60~69세,"4,718","1,582",515,346,632,319,333,443,288,260
2020년06월_여_70~79세,"2,926","1,052",329,209,368,190,199,271,147,161
2020년06월_여_80~89세,"1,993",662,235,145,235,136,163,217,124,76
2020년06월_여_90~99세,387,138,40,33,46,23,28,49,24,6
2020년06월_여_100세 이상,21,7,6,3,2,2,1,0,0,0
2020년07월_계_총인구수,"46,402","20,791","4,472","3,125","5,863","2,353","2,447","3,498","2,128","1,725"
2020년07월_계_연령구간인구수,"46,402","20,791","4,472","3,125","5,863","2,353","2,447","3,498","2,128","1,725"
2020년07월_계_0~9세,"2,223","1,503",132,68,258,38,38,80,68,38
2020년07월_계_10~19세,"3,642","2,053",209,581,388,80,71,126,68,66
2020년07월_계_20~29세,"3,863","2,270",368,132,402,122,139,217,125,88
2020년07월_계_30~39세,"3,513","2,084",253,122,441,121,90,192,132,78
2020년07월_계_40~49세,"5,133","2,984",418,185,637,174,175,273,158,129
2020년07월_계_50~59세,"8,837","3,649",921,575,"1,230",451,532,726,404,349
2020년07월_계_60~69세,"9,878","3,198","1,091",754,"1,326",699,727,942,629,512
2020년07월_계_70~79세,"5,637","1,834",658,431,728,400,403,551,310,322
2020년07월_계_80~89세,"3,134","1,019",363,230,395,233,233,329,198,134
2020년07월_계_90~99세,510,186,53,43,56,32,37,59,35,9
2020년07월_계_100세 이상,32,11,6,4,2,3,2,3,1,0
2020년07월_남_총인구수,"23,779","10,450","2,332","1,609","3,073","1,210","1,239","1,824","1,135",907
2020년07월_남_연령구간인구수,"23,779","10,450","2,332","1,609","3,073","1,210","1,239","1,824","1,135",907
2020년07월_남_0~9세,"1,165",780,71,38,135,21,15,41,41,23
2020년07월_남_10~19세,"1,903","1,060",111,304,210,36,44,65,32,41
2020년07월_남_20~29세,"2,189","1,225",233,82,235,64,78,135,76,61
2020년07월_남_30~39세,"1,856","1,053",133,59,257,65,49,115,82,43
2020년07월_남_40~49세,"2,854","1,613",241,104,354,100,99,173,95,75
2020년07월_남_50~59세,"4,681","1,915",494,302,662,229,278,392,219,190
2020년07월_남_60~69세,"5,141","1,608",575,406,693,379,394,493,340,253
2020년07월_남_70~79세,"2,715",781,333,220,362,210,204,282,162,161
2020년07월_남_80~89세,"1,144",362,128,86,156,96,69,115,76,56
2020년07월_남_90~99세,120,50,13,7,9,8,8,10,11,4
2020년07월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년07월_여_총인구수,"22,623","10,341","2,140","1,516","2,790","1,143","1,208","1,674",993,818
2020년07월_여_연령구간인구수,"22,623","10,341","2,140","1,516","2,790","1,143","1,208","1,674",993,818
2020년07월_여_0~9세,"1,058",723,61,30,123,17,23,39,27,15
2020년07월_여_10~19세,"1,739",993,98,277,178,44,27,61,36,25
2020년07월_여_20~29세,"1,674","1,045",135,50,167,58,61,82,49,27
2020년07월_여_30~39세,"1,657","1,031",120,63,184,56,41,77,50,35
2020년07월_여_40~49세,"2,279","1,371",177,81,283,74,76,100,63,54
2020년07월_여_50~59세,"4,156","1,734",427,273,568,222,254,334,185,159
2020년07월_여_60~69세,"4,737","1,590",516,348,633,320,333,449,289,259
2020년07월_여_70~79세,"2,922","1,053",325,211,366,190,199,269,148,161
2020년07월_여_80~89세,"1,990",657,235,144,239,137,164,214,122,78
2020년07월_여_90~99세,390,136,40,36,47,24,29,49,24,5
2020년07월_여_100세 이상,21,8,6,3,2,1,1,0,0,0
2020년08월_계_총인구수,"46,409","20,786","4,476","3,132","5,866","2,353","2,435","3,494","2,128","1,739"
2020년08월_계_연령구간인구수,"46,409","20,786","4,476","3,132","5,866","2,353","2,435","3,494","2,128","1,739"
2020년08월_계_0~9세,"2,215","1,502",133,63,253,39,39,80,68,38
2020년08월_계_10~19세,"3,614","2,039",206,582,385,77,70,120,68,67
2020년08월_계_20~29세,"3,856","2,272",370,132,400,124,135,214,121,88
2020년08월_계_30~39세,"3,486","2,068",257,124,432,120,89,187,134,75
2020년08월_계_40~49세,"5,124","2,984",412,183,639,167,176,277,155,131
2020년08월_계_50~59세,"8,848","3,653",927,576,"1,232",452,529,722,406,351
2020년08월_계_60~69세,"9,936","3,203","1,098",762,"1,341",704,725,949,631,523
2020년08월_계_70~79세,"5,643","1,839",650,433,731,397,403,555,310,325
2020년08월_계_80~89세,"3,139","1,028",362,230,395,237,230,326,200,131
2020년08월_계_90~99세,515,187,55,42,56,33,37,61,34,10
2020년08월_계_100세 이상,33,11,6,5,2,3,2,3,1,0
2020년08월_남_총인구수,"23,783","10,448","2,330","1,611","3,080","1,211","1,236","1,822","1,132",913
2020년08월_남_연령구간인구수,"23,783","10,448","2,330","1,611","3,080","1,211","1,236","1,822","1,132",913
2020년08월_남_0~9세,"1,167",780,73,36,136,22,15,41,41,23
2020년08월_남_10~19세,"1,886","1,048",108,305,208,35,43,63,33,43
2020년08월_남_20~29세,"2,181","1,226",234,82,234,64,76,132,73,60
2020년08월_남_30~39세,"1,843","1,048",135,60,254,64,48,112,82,40
2020년08월_남_40~49세,"2,842","1,610",234,101,355,98,100,176,92,76
2020년08월_남_50~59세,"4,678","1,918",497,302,660,228,276,390,219,188
2020년08월_남_60~69세,"5,184","1,611",581,410,707,383,395,495,342,260
2020년08월_남_70~79세,"2,719",787,325,220,362,210,204,284,163,164
2020년08월_남_80~89세,"1,147",365,128,87,155,97,70,115,75,55
2020년08월_남_90~99세,125,52,15,7,9,8,8,11,11,4
2020년08월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년08월_여_총인구수,"22,626","10,338","2,146","1,521","2,786","1,142","1,199","1,672",996,826
2020년08월_여_연령구간인구수,"22,626","10,338","2,146","1,521","2,786","1,142","1,199","1,672",996,826
2020년08월_여_0~9세,"1,048",722,60,27,117,17,24,39,27,15
2020년08월_여_10~19세,"1,728",991,98,277,177,42,27,57,35,24
2020년08월_여_20~29세,"1,675","1,046",136,50,166,60,59,82,48,28
2020년08월_여_30~39세,"1,643","1,020",122,64,178,56,41,75,52,35
2020년08월_여_40~49세,"2,282","1,374",178,82,284,69,76,101,63,55
2020년08월_여_50~59세,"4,170","1,735",430,274,572,224,253,332,187,163
2020년08월_여_60~69세,"4,752","1,592",517,352,634,321,330,454,289,263
2020년08월_여_70~79세,"2,924","1,052",325,213,369,187,199,271,147,161
2020년08월_여_80~89세,"1,992",663,234,143,240,140,160,211,125,76
2020년08월_여_90~99세,390,135,40,35,47,25,29,50,23,6
2020년08월_여_100세 이상,22,8,6,4,2,1,1,0,0,0
2020년09월_계_총인구수,"46,482","20,775","4,486","3,150","5,892","2,356","2,439","3,500","2,133","1,751"
2020년09월_계_연령구간인구수,"46,482","20,775","4,486","3,150","5,892","2,356","2,439","3,500","2,133","1,751"
2020년09월_계_0~9세,"2,208","1,499",130,65,249,40,38,79,69,39
2020년09월_계_10~19세,"3,597","2,027",202,581,384,76,69,119,68,71
2020년09월_계_20~29세,"3,858","2,264",379,132,398,126,135,214,122,88
2020년09월_계_30~39세,"3,474","2,055",254,123,439,119,90,184,136,74
2020년09월_계_40~49세,"5,137","2,987",420,188,640,169,169,276,158,130
2020년09월_계_50~59세,"8,840","3,650",922,578,"1,227",453,535,717,400,358
2020년09월_계_60~69세,"10,012","3,228","1,103",770,"1,358",710,729,954,637,523
2020년09월_계_70~79세,"5,642","1,832",654,435,735,391,401,559,310,325
2020년09월_계_80~89세,"3,166","1,033",363,231,406,236,233,332,199,133
2020년09월_계_90~99세,515,189,53,42,54,33,38,63,33,10
2020년09월_계_100세 이상,33,11,6,5,2,3,2,3,1,0
2020년09월_남_총인구수,"23,823","10,439","2,343","1,624","3,089","1,211","1,236","1,828","1,134",919
2020년09월_남_연령구간인구수,"23,823","10,439","2,343","1,624","3,089","1,211","1,236","1,828","1,134",919
2020년09월_남_0~9세,"1,158",777,69,37,132,22,14,41,42,24
2020년09월_남_10~19세,"1,873","1,041",105,304,205,33,43,63,33,46
2020년09월_남_20~29세,"2,193","1,231",244,83,231,67,75,131,73,58
2020년09월_남_30~39세,"1,833","1,036",134,61,259,64,48,110,82,39
2020년09월_남_40~49세,"2,857","1,614",239,105,359,99,95,177,94,75
2020년09월_남_50~59세,"4,670","1,907",498,304,661,226,281,385,215,193
2020년09월_남_60~69세,"5,229","1,626",585,413,711,390,396,500,348,260
2020년09월_남_70~79세,"2,722",785,328,222,362,206,205,290,161,163
2020년09월_남_80~89세,"1,153",366,126,87,160,95,70,117,75,57
2020년09월_남_90~99세,124,53,15,7,9,7,8,11,10,4
2020년09월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년09월_여_총인구수,"22,659","10,336","2,143","1,526","2,803","1,145","1,203","1,672",999,832
2020년09월_여_연령구간인구수,"22,659","10,336","2,143","1,526","2,803","1,145","1,203","1,672",999,832
2020년09월_여_0~9세,"1,050",722,61,28,117,18,24,38,27,15
2020년09월_여_10~19세,"1,724",986,97,277,179,43,26,56,35,25
2020년09월_여_20~29세,"1,665","1,033",135,49,167,59,60,83,49,30
2020년09월_여_30~39세,"1,641","1,019",120,62,180,55,42,74,54,35
2020년09월_여_40~49세,"2,280","1,373",181,83,281,70,74,99,64,55
2020년09월_여_50~59세,"4,170","1,743",424,274,566,227,254,332,185,165
2020년09월_여_60~69세,"4,783","1,602",518,357,647,320,333,454,289,263
2020년09월_여_70~79세,"2,920","1,047",326,213,373,185,196,269,149,162
2020년09월_여_80~89세,"2,013",667,237,144,246,141,163,215,124,76
2020년09월_여_90~99세,391,136,38,35,45,26,30,52,23,6
2020년09월_여_100세 이상,22,8,6,4,2,1,1,0,0,0
2020년10월_계_총인구수,"46,514","20,771","4,491","3,156","5,886","2,387","2,430","3,508","2,135","1,750"
2020년10월_계_연령구간인구수,"46,514","20,771","4,491","3,156","5,886","2,387","2,430","3,508","2,135","1,750"
2020년10월_계_0~9세,"2,182","1,482",127,65,243,38,37,82,71,37
2020년10월_계_10~19세,"3,615","2,029",204,580,388,88,68,119,68,71
2020년10월_계_20~29세,"3,835","2,251",377,132,397,129,130,211,120,88
2020년10월_계_30~39세,"3,457","2,046",252,124,438,119,90,179,136,73
2020년10월_계_40~49세,"5,144","2,992",416,191,642,172,167,273,161,130
2020년10월_계_50~59세,"8,799","3,644",911,576,"1,217",460,529,714,396,352
2020년10월_계_60~69세,"10,114","3,257","1,122",777,"1,365",716,734,974,638,531
2020년10월_계_70~79세,"5,616","1,829",653,434,726,389,399,555,306,325
2020년10월_계_80~89세,"3,197","1,036",369,234,413,240,231,335,205,134
2020년10월_계_90~99세,523,194,54,40,54,33,43,63,33,9
2020년10월_계_100세 이상,32,11,6,3,3,3,2,3,1,0
2020년10월_남_총인구수,"23,847","10,431","2,347","1,625","3,086","1,230","1,235","1,837","1,138",918
2020년10월_남_연령구간인구수,"23,847","10,431","2,347","1,625","3,086","1,230","1,235","1,837","1,138",918
2020년10월_남_0~9세,"1,145",772,67,36,127,19,13,44,44,23
2020년10월_남_10~19세,"1,887","1,040",105,305,207,43,44,64,33,46
2020년10월_남_20~29세,"2,173","1,220",244,81,228,70,72,129,72,57
2020년10월_남_30~39세,"1,827","1,032",132,62,261,63,48,110,81,38
2020년10월_남_40~49세,"2,857","1,618",238,105,359,101,94,172,95,75
2020년10월_남_50~59세,"4,661","1,901",493,307,656,232,281,386,216,189
2020년10월_남_60~69세,"5,283","1,639",594,414,717,392,398,513,350,266
2020년10월_남_70~79세,"2,705",784,328,219,360,204,203,285,158,164
2020년10월_남_80~89세,"1,172",368,129,89,162,97,72,120,78,57
2020년10월_남_90~99세,127,54,17,7,9,7,9,11,10,3
2020년10월_남_100세 이상,10,3,0,0,0,2,1,3,1,0
2020년10월_여_총인구수,"22,667","10,340","2,144","1,531","2,800","1,157","1,195","1,671",997,832
2020년10월_여_연령구간인구수,"22,667","10,340","2,144","1,531","2,800","1,157","1,195","1,671",997,832
2020년10월_여_0~9세,"1,037",710,60,29,116,19,24,38,27,14
2020년10월_여_10~19세,"1,728",989,99,275,181,45,24,55,35,25
2020년10월_여_20~29세,"1,662","1,031",133,51,169,59,58,82,48,31
2020년10월_여_30~39세,"1,630","1,014",120,62,177,56,42,69,55,35
2020년10월_여_40~49세,"2,287","1,374",178,86,283,71,73,101,66,55
2020년10월_여_50~59세,"4,138","1,743",418,269,561,228,248,328,180,163
2020년10월_여_60~69세,"4,831","1,618",528,363,648,324,336,461,288,265
2020년10월_여_70~79세,"2,911","1,045",325,215,366,185,196,270,148,161
2020년10월_여_80~89세,"2,025",668,240,145,251,143,159,215,127,77
2020년10월_여_90~99세,396,140,37,33,45,26,34,52,23,6
2020년10월_여_100세 이상,22,8,6,3,3,1,1,0,0,0
2020년11월_계_총인구수,"46,533","20,763","4,501","3,165","5,885","2,400","2,437","3,505","2,133","1,744"
2020년11월_계_연령구간인구수,"46,533","20,763","4,501","3,165","5,885","2,400","2,437","3,505","2,133","1,744"
2020년11월_계_0~9세,"2,158","1,463",129,66,238,39,35,84,69,35
2020년11월_계_10~19세,"3,590","2,013",201,580,388,88,68,115,66,71
2020년11월_계_20~29세,"3,858","2,269",380,137,392,131,132,212,121,84
2020년11월_계_30~39세,"3,454","2,029",254,127,441,116,94,181,136,76
2020년11월_계_40~49세,"5,121","2,980",417,190,637,171,166,270,159,131
2020년11월_계_50~59세,"8,763","3,642",906,573,"1,214",458,527,703,392,348
2020년11월_계_60~69세,"10,212","3,290","1,133",785,"1,381",728,738,984,644,529
2020년11월_계_70~79세,"5,601","1,825",652,429,721,389,405,548,307,325
2020년11월_계_80~89세,"3,220","1,047",368,238,415,244,227,341,205,135
2020년11월_계_90~99세,524,194,55,37,55,33,43,64,33,10
2020년11월_계_100세 이상,32,11,6,3,3,3,2,3,1,0
2020년11월_남_총인구수,"23,858","10,441","2,352","1,626","3,086","1,238","1,237","1,833","1,135",910
2020년11월_남_연령구간인구수,"23,858","10,441","2,352","1,626","3,086","1,238","1,237","1,833","1,135",910
2020년11월_남_0~9세,"1,136",766,68,37,124,20,13,45,42,21
2020년11월_남_10~19세,"1,884","1,036",104,305,211,43,43,61,33,48
2020년11월_남_20~29세,"2,181","1,229",244,85,224,71,74,131,71,52
2020년11월_남_30~39세,"1,815","1,021",132,62,259,59,51,111,80,40
2020년11월_남_40~49세,"2,852","1,620",238,103,358,101,92,171,94,75
2020년11월_남_50~59세,"4,649","1,900",493,306,654,236,280,378,216,186
2020년11월_남_60~69세,"5,328","1,661",596,416,725,397,401,517,351,264
2020년11월_남_70~79세,"2,699",780,330,218,358,206,203,281,159,164
2020년11월_남_80~89세,"1,178",372,129,89,163,97,70,124,77,57
2020년11월_남_90~99세,126,53,18,5,10,6,9,11,11,3
2020년11월_남_100세 이상,10,3,0,0,0,2,1,3,1,0
2020년11월_여_총인구수,"22,675","10,322","2,149","1,539","2,799","1,162","1,200","1,672",998,834
2020년11월_여_연령구간인구수,"22,675","10,322","2,149","1,539","2,799","1,162","1,200","1,672",998,834
2020년11월_여_0~9세,"1,022",697,61,29,114,19,22,39,27,14
2020년11월_여_10~19세,"1,706",977,97,275,177,45,25,54,33,23
2020년11월_여_20~29세,"1,677","1,040",136,52,168,60,58,81,50,32
2020년11월_여_30~39세,"1,639","1,008",122,65,182,57,43,70,56,36
2020년11월_여_40~49세,"2,269","1,360",179,87,279,70,74,99,65,56
