카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년06월_여_50~59세,"2,284",871,208,276,275,271,218,133,14,18
2020년06월_여_60~69세,"2,559",729,282,356,324,321,324,169,19,35
2020년06월_여_70~79세,"2,762",593,315,323,370,385,424,278,31,43
2020년06월_여_80~89세,"2,005",360,241,260,268,298,312,215,31,20
2020년06월_여_90~99세,287,48,33,36,45,61,39,19,2,4
2020년06월_여_100세 이상,18,3,1,6,1,1,2,4,0,0
2020년07월_계_총인구수,"30,425","10,700","3,025","3,647","3,475","3,424","3,187","2,336",271,360
2020년07월_계_연령구간인구수,"30,425","10,700","3,025","3,647","3,475","3,424","3,187","2,336",271,360
2020년07월_계_0~9세,"1,744",905,121,206,122,124,111,108,16,31
2020년07월_계_10~19세,"2,246","1,165",176,247,165,189,128,130,10,36
2020년07월_계_20~29세,"2,401","1,154",185,266,213,216,201,130,20,16
2020년07월_계_30~39세,"2,275","1,117",184,275,205,168,158,126,17,25
2020년07월_계_40~49세,"3,575","1,566",321,383,366,330,247,287,30,45
2020년07월_계_50~59세,"5,032","1,743",510,587,620,594,512,367,43,56
2020년07월_계_60~69세,"5,165","1,425",585,709,668,649,628,403,43,55
2020년07월_계_70~79세,"4,778","1,051",551,551,654,675,714,466,51,65
2020년07월_계_80~89세,"2,838",510,350,371,406,406,436,294,39,26
2020년07월_계_90~99세,354,61,41,46,55,72,50,22,2,5
2020년07월_계_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년07월_남_총인구수,"14,946","5,240","1,521","1,765","1,760","1,629","1,523","1,194",138,176
2020년07월_남_연령구간인구수,"14,946","5,240","1,521","1,765","1,760","1,629","1,523","1,194",138,176
2020년07월_남_0~9세,835,424,57,105,71,57,51,46,8,16
2020년07월_남_10~19세,"1,164",611,88,121,88,99,59,70,10,18
2020년07월_남_20~29세,"1,380",656,118,140,120,117,131,79,8,11
2020년07월_남_30~39세,"1,240",572,112,151,128,94,87,72,10,14
2020년07월_남_40~49세,"2,061",794,189,235,231,203,168,191,19,31
2020년07월_남_50~59세,"2,756",869,302,313,350,326,296,234,29,37
2020년07월_남_60~69세,"2,603",692,304,353,347,326,303,234,24,20
2020년07월_남_70~79세,"2,021",462,235,226,280,292,296,187,21,22
2020년07월_남_80~89세,821,150,108,111,134,104,121,79,8,6
2020년07월_남_90~99세,65,10,8,10,11,11,11,2,1,1
2020년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"15,479","5,460","1,504","1,882","1,715","1,795","1,664","1,142",133,184
2020년07월_여_연령구간인구수,"15,479","5,460","1,504","1,882","1,715","1,795","1,664","1,142",133,184
2020년07월_여_0~9세,909,481,64,101,51,67,60,62,8,15
2020년07월_여_10~19세,"1,082",554,88,126,77,90,69,60,0,18
2020년07월_여_20~29세,"1,021",498,67,126,93,99,70,51,12,5
2020년07월_여_30~39세,"1,035",545,72,124,77,74,71,54,7,11
2020년07월_여_40~49세,"1,514",772,132,148,135,127,79,96,11,14
2020년07월_여_50~59세,"2,276",874,208,274,270,268,216,133,14,19
2020년07월_여_60~69세,"2,562",733,281,356,321,323,325,169,19,35
2020년07월_여_70~79세,"2,757",589,316,325,374,383,418,279,30,43
2020년07월_여_80~89세,"2,017",360,242,260,272,302,315,215,31,20
2020년07월_여_90~99세,289,51,33,36,44,61,39,20,1,4
2020년07월_여_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년08월_계_총인구수,"30,385","10,705","3,009","3,635","3,470","3,418","3,182","2,335",270,361
2020년08월_계_연령구간인구수,"30,385","10,705","3,009","3,635","3,470","3,418","3,182","2,335",270,361
2020년08월_계_0~9세,"1,735",902,121,202,121,126,110,106,16,31
2020년08월_계_10~19세,"2,229","1,161",171,245,164,184,129,129,10,36
2020년08월_계_20~29세,"2,395","1,156",183,256,212,216,201,134,20,17
2020년08월_계_30~39세,"2,255","1,112",182,273,201,170,155,122,17,23
2020년08월_계_40~49세,"3,575","1,568",315,389,366,328,244,289,30,46
2020년08월_계_50~59세,"5,005","1,741",510,581,618,580,512,364,42,57
2020년08월_계_60~69세,"5,191","1,437",585,710,669,655,630,407,44,54
2020년08월_계_70~79세,"4,768","1,048",551,552,652,673,713,462,51,66
2020년08월_계_80~89세,"2,855",515,346,375,411,412,436,296,38,26
2020년08월_계_90~99세,360,62,44,46,55,73,50,23,2,5
2020년08월_계_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년08월_남_총인구수,"14,912","5,238","1,510","1,753","1,757","1,628","1,519","1,192",138,177
2020년08월_남_연령구간인구수,"14,912","5,238","1,510","1,753","1,757","1,628","1,519","1,192",138,177
2020년08월_남_0~9세,827,421,58,103,67,58,50,46,8,16
2020년08월_남_10~19세,"1,157",609,83,120,88,99,61,69,10,18
2020년08월_남_20~29세,"1,370",655,118,136,117,116,128,80,8,12
2020년08월_남_30~39세,"1,227",568,114,148,126,94,87,68,10,12
2020년08월_남_40~49세,"2,061",794,185,237,235,204,163,192,19,32
2020년08월_남_50~59세,"2,746",871,304,309,347,317,297,234,29,38
2020년08월_남_60~69세,"2,615",697,299,352,351,332,304,236,24,20
2020년08월_남_70~79세,"2,017",461,233,227,279,291,297,186,21,22
2020년08월_남_80~89세,827,152,108,111,136,106,122,78,8,6
2020년08월_남_90~99세,65,10,8,10,11,11,10,3,1,1
2020년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"15,473","5,467","1,499","1,882","1,713","1,790","1,663","1,143",132,184
2020년08월_여_연령구간인구수,"15,473","5,467","1,499","1,882","1,713","1,790","1,663","1,143",132,184
2020년08월_여_0~9세,908,481,63,99,54,68,60,60,8,15
2020년08월_여_10~19세,"1,072",552,88,125,76,85,68,60,0,18
2020년08월_여_20~29세,"1,025",501,65,120,95,100,73,54,12,5
2020년08월_여_30~39세,"1,028",544,68,125,75,76,68,54,7,11
2020년08월_여_40~49세,"1,514",774,130,152,131,124,81,97,11,14
2020년08월_여_50~59세,"2,259",870,206,272,271,263,215,130,13,19
2020년08월_여_60~69세,"2,576",740,286,358,318,323,326,171,20,34
2020년08월_여_70~79세,"2,751",587,318,325,373,382,416,276,30,44
2020년08월_여_80~89세,"2,028",363,238,264,275,306,314,218,30,20
2020년08월_여_90~99세,295,52,36,36,44,62,40,20,1,4
2020년08월_여_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년09월_계_총인구수,"30,300","10,715","3,000","3,614","3,450","3,406","3,161","2,328",266,360
2020년09월_계_연령구간인구수,"30,300","10,715","3,000","3,614","3,450","3,406","3,161","2,328",266,360
2020년09월_계_0~9세,"1,715",901,120,195,117,122,108,105,16,31
2020년09월_계_10~19세,"2,224","1,166",173,240,163,186,124,126,10,36
2020년09월_계_20~29세,"2,393","1,151",184,256,210,217,202,138,18,17
2020년09월_계_30~39세,"2,229","1,118",177,265,194,169,148,119,17,22
2020년09월_계_40~49세,"3,542","1,577",309,381,353,323,241,285,28,45
2020년09월_계_50~59세,"4,991","1,736",512,578,615,574,510,366,41,59
2020년09월_계_60~69세,"5,197","1,428",590,716,676,656,628,405,44,54
2020년09월_계_70~79세,"4,763","1,054",543,554,652,670,711,461,52,66
2020년09월_계_80~89세,"2,864",518,347,375,411,415,438,297,38,25
2020년09월_계_90~99세,365,63,44,48,58,73,49,23,2,5
2020년09월_계_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년09월_남_총인구수,"14,889","5,246","1,504","1,742","1,748","1,626","1,518","1,192",136,177
2020년09월_남_연령구간인구수,"14,889","5,246","1,504","1,742","1,748","1,626","1,518","1,192",136,177
2020년09월_남_0~9세,813,417,58,98,64,57,50,45,8,16
2020년09월_남_10~19세,"1,156",611,83,118,87,100,62,67,10,18
2020년09월_남_20~29세,"1,373",653,118,136,118,117,127,86,6,12
2020년09월_남_30~39세,"1,214",572,107,146,122,93,84,68,10,12
2020년09월_남_40~49세,"2,046",799,181,234,229,201,165,188,19,30
2020년09월_남_50~59세,"2,745",874,304,308,347,313,294,237,28,40
2020년09월_남_60~69세,"2,623",693,304,352,354,334,307,234,25,20
2020년09월_남_70~79세,"2,015",463,232,227,278,291,294,187,21,22
2020년09월_남_80~89세,837,153,108,113,137,109,125,78,8,6
2020년09월_남_90~99세,67,11,9,10,12,11,10,2,1,1
2020년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"15,411","5,469","1,496","1,872","1,702","1,780","1,643","1,136",130,183
2020년09월_여_연령구간인구수,"15,411","5,469","1,496","1,872","1,702","1,780","1,643","1,136",130,183
2020년09월_여_0~9세,902,484,62,97,53,65,58,60,8,15
2020년09월_여_10~19세,"1,068",555,90,122,76,86,62,59,0,18
2020년09월_여_20~29세,"1,020",498,66,120,92,100,75,52,12,5
2020년09월_여_30~39세,"1,015",546,70,119,72,76,64,51,7,10
2020년09월_여_40~49세,"1,496",778,128,147,124,122,76,97,9,15
2020년09월_여_50~59세,"2,246",862,208,270,268,261,216,129,13,19
2020년09월_여_60~69세,"2,574",735,286,364,322,322,321,171,19,34
2020년09월_여_70~79세,"2,748",591,311,327,374,379,417,274,31,44
2020년09월_여_80~89세,"2,027",365,239,262,274,306,313,219,30,19
2020년09월_여_90~99세,298,52,35,38,46,62,39,21,1,4
2020년09월_여_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년10월_계_총인구수,"30,233","10,686","2,981","3,614","3,429","3,419","3,156","2,323",264,361
2020년10월_계_연령구간인구수,"30,233","10,686","2,981","3,614","3,429","3,419","3,156","2,323",264,361
2020년10월_계_0~9세,"1,695",903,117,189,114,118,105,104,16,29
2020년10월_계_10~19세,"2,208","1,155",172,242,158,188,119,126,10,38
2020년10월_계_20~29세,"2,385","1,142",181,260,207,218,206,136,17,18
2020년10월_계_30~39세,"2,223","1,123",172,262,196,171,148,117,15,19
2020년10월_계_40~49세,"3,541","1,572",310,384,349,320,241,290,28,47
2020년10월_계_50~59세,"4,965","1,719",505,574,607,583,507,369,42,59
