카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년03월_남_90~99세,191,41,20,21,12,20,17,9,8,5,9,16,8,3,2
2020년03월_남_100세 이상,11,5,0,0,2,0,1,2,0,0,0,1,0,0,0
2020년03월_여_총인구수,"34,401","11,511","3,869","2,417","3,395","2,215","2,085","1,566","2,010",932,"1,590","1,420","1,082",188,121
2020년03월_여_연령구간인구수,"34,401","11,511","3,869","2,417","3,395","2,215","2,085","1,566","2,010",932,"1,590","1,420","1,082",188,121
2020년03월_여_0~9세,"1,588",704,263,103,150,88,70,22,55,23,57,27,23,1,2
2020년03월_여_10~19세,"2,292","1,121",320,104,189,79,111,66,81,40,70,62,41,6,2
2020년03월_여_20~29세,"2,329",997,290,131,219,128,107,85,95,38,104,68,55,9,3
2020년03월_여_30~39세,"2,570","1,071",351,152,293,133,110,83,113,34,85,72,59,10,4
2020년03월_여_40~49세,"3,587","1,606",514,195,317,157,193,131,144,69,97,71,83,6,4
2020년03월_여_50~59세,"5,942","1,914",670,430,681,408,357,284,301,152,253,249,186,34,23
2020년03월_여_60~69세,"6,863","1,797",661,593,761,552,471,363,449,216,347,304,259,57,33
2020년03월_여_70~79세,"5,276","1,388",440,377,455,383,369,326,430,203,310,330,205,28,32
2020년03월_여_80~89세,"3,339",774,303,266,272,234,251,186,288,134,239,199,142,36,15
2020년03월_여_90~99세,585,130,56,63,57,50,44,20,50,22,24,36,29,1,3
2020년03월_여_100세 이상,30,9,1,3,1,3,2,0,4,1,4,2,0,0,0
2020년04월_계_총인구수,"69,030","22,749","7,737","4,882","6,931","4,481","4,192","3,108","4,091","1,857","3,175","2,923","2,261",380,263
2020년04월_계_연령구간인구수,"69,030","22,749","7,737","4,882","6,931","4,481","4,192","3,108","4,091","1,857","3,175","2,923","2,261",380,263
2020년04월_계_0~9세,"3,274","1,452",518,177,316,158,154,65,120,52,119,69,63,5,6
2020년04월_계_10~19세,"4,721","2,241",661,214,403,199,237,136,165,77,138,118,117,12,3
2020년04월_계_20~29세,"5,519","2,332",715,321,531,284,257,199,242,92,220,179,120,19,8
2020년04월_계_30~39세,"5,424","2,212",679,331,602,323,239,186,240,80,210,164,130,19,9
2020년04월_계_40~49세,"7,874","3,271","1,064",444,746,381,440,298,357,152,278,209,199,23,12
2020년04월_계_50~59세,"12,148","3,822","1,368",880,"1,366",789,745,545,657,347,545,546,409,74,55
2020년04월_계_60~69세,"13,700","3,498","1,336","1,198","1,515","1,127",929,731,925,426,662,627,548,106,72
2020년04월_계_70~79세,"10,034","2,491",843,773,947,748,704,607,810,376,589,615,403,66,62
2020년04월_계_80~89세,"5,521","1,247",475,456,433,401,422,310,511,227,376,343,237,52,31
2020년04월_계_90~99세,777,170,77,85,69,69,62,29,60,27,34,51,35,4,5
2020년04월_계_100세 이상,38,13,1,3,3,2,3,2,4,1,4,2,0,0,0
2020년04월_남_총인구수,"34,609","11,249","3,864","2,470","3,513","2,270","2,096","1,533","2,078",930,"1,582","1,514","1,175",192,143
2020년04월_남_연령구간인구수,"34,609","11,249","3,864","2,470","3,513","2,270","2,096","1,533","2,078",930,"1,582","1,514","1,175",192,143
2020년04월_남_0~9세,"1,707",762,263,75,166,71,83,42,63,30,62,42,40,4,4
2020년04월_남_10~19세,"2,430","1,123",340,113,210,117,126,70,87,36,68,59,74,6,1
2020년04월_남_20~29세,"3,195","1,338",420,188,315,159,153,111,146,54,117,113,66,10,5
2020년04월_남_30~39세,"2,855","1,146",327,179,306,192,127,103,128,46,122,91,74,9,5
2020년04월_남_40~49세,"4,282","1,665",550,254,423,222,246,166,213,83,179,141,114,17,9
2020년04월_남_50~59세,"6,228","1,912",697,450,690,383,387,265,359,198,294,296,225,40,32
2020년04월_남_60~69세,"6,802","1,695",669,606,742,575,460,360,471,209,314,324,287,50,40
2020년04월_남_70~79세,"4,734","1,099",404,394,484,364,328,282,381,174,279,286,192,37,30
2020년04월_남_80~89세,"2,175",464,174,190,163,167,168,123,222,95,138,145,95,16,15
2020년04월_남_90~99세,191,41,20,21,12,20,17,9,8,5,9,16,8,3,2
2020년04월_남_100세 이상,10,4,0,0,2,0,1,2,0,0,0,1,0,0,0
2020년04월_여_총인구수,"34,421","11,500","3,873","2,412","3,418","2,211","2,096","1,575","2,013",927,"1,593","1,409","1,086",188,120
2020년04월_여_연령구간인구수,"34,421","11,500","3,873","2,412","3,418","2,211","2,096","1,575","2,013",927,"1,593","1,409","1,086",188,120
2020년04월_여_0~9세,"1,567",690,255,102,150,87,71,23,57,22,57,27,23,1,2
2020년04월_여_10~19세,"2,291","1,118",321,101,193,82,111,66,78,41,70,59,43,6,2
2020년04월_여_20~29세,"2,324",994,295,133,216,125,104,88,96,38,103,66,54,9,3
2020년04월_여_30~39세,"2,569","1,066",352,152,296,131,112,83,112,34,88,73,56,10,4
2020년04월_여_40~49세,"3,592","1,606",514,190,323,159,194,132,144,69,99,68,85,6,3
2020년04월_여_50~59세,"5,920","1,910",671,430,676,406,358,280,298,149,251,250,184,34,23
2020년04월_여_60~69세,"6,898","1,803",667,592,773,552,469,371,454,217,348,303,261,56,32
2020년04월_여_70~79세,"5,300","1,392",439,379,463,384,376,325,429,202,310,329,211,29,32
2020년04월_여_80~89세,"3,346",783,301,266,270,234,254,187,289,132,238,198,142,36,16
2020년04월_여_90~99세,586,129,57,64,57,49,45,20,52,22,25,35,27,1,3
2020년04월_여_100세 이상,28,9,1,3,1,2,2,0,4,1,4,1,0,0,0
2020년05월_계_총인구수,"69,102","22,749","7,748","4,893","6,944","4,505","4,205","3,107","4,093","1,851","3,184","2,919","2,259",382,263
2020년05월_계_연령구간인구수,"69,102","22,749","7,748","4,893","6,944","4,505","4,205","3,107","4,093","1,851","3,184","2,919","2,259",382,263
2020년05월_계_0~9세,"3,293","1,455",521,182,317,157,153,69,120,52,124,69,63,5,6
2020년05월_계_10~19세,"4,696","2,224",657,216,402,206,236,132,164,77,136,119,112,12,3
2020년05월_계_20~29세,"5,517","2,336",715,319,527,285,255,199,246,92,217,176,122,20,8
2020년05월_계_30~39세,"5,415","2,199",686,331,604,321,242,188,235,81,211,165,125,19,8
2020년05월_계_40~49세,"7,867","3,265","1,057",443,745,389,442,290,364,152,280,203,201,23,13
2020년05월_계_50~59세,"12,135","3,833","1,361",875,"1,367",790,750,541,648,342,543,547,408,75,55
2020년05월_계_60~69세,"13,759","3,514","1,344","1,205","1,519","1,126",933,738,929,428,665,628,550,106,74
2020년05월_계_70~79세,"10,070","2,483",853,779,953,760,703,610,814,370,594,617,406,66,62
2020년05월_계_80~89세,"5,537","1,256",474,459,437,401,425,310,510,231,375,341,236,52,30
2020년05월_계_90~99세,776,171,79,81,70,68,63,29,59,26,35,52,35,4,4
2020년05월_계_100세 이상,37,13,1,3,3,2,3,1,4,0,4,2,1,0,0
2020년05월_남_총인구수,"34,656","11,258","3,872","2,473","3,521","2,286","2,096","1,530","2,083",928,"1,585","1,517","1,171",193,143
2020년05월_남_연령구간인구수,"34,656","11,258","3,872","2,473","3,521","2,286","2,096","1,530","2,083",928,"1,585","1,517","1,171",193,143
2020년05월_남_0~9세,"1,713",760,263,78,162,73,84,44,63,30,64,44,40,4,4
2020년05월_남_10~19세,"2,419","1,120",337,112,212,120,126,66,87,35,67,59,71,6,1
2020년05월_남_20~29세,"3,198","1,337",422,189,315,158,150,112,152,54,115,112,67,10,5
2020년05월_남_30~39세,"2,849","1,141",329,178,308,191,128,102,125,47,121,92,73,10,4
2020년05월_남_40~49세,"4,282","1,663",549,251,422,226,248,165,217,83,180,138,114,16,10
2020년05월_남_50~59세,"6,233","1,933",694,443,690,384,387,261,354,198,294,298,224,41,32
2020년05월_남_60~69세,"6,835","1,700",673,616,745,574,462,362,475,208,316,325,286,51,42
2020년05월_남_70~79세,"4,753","1,098",409,397,483,371,326,286,382,172,282,288,193,36,30
2020년05월_남_80~89세,"2,173",460,175,190,169,167,168,122,220,96,137,144,95,16,14
2020년05월_남_90~99세,192,42,21,19,13,22,16,9,8,5,9,16,8,3,1
2020년05월_남_100세 이상,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년05월_여_총인구수,"34,446","11,491","3,876","2,420","3,423","2,219","2,109","1,577","2,010",923,"1,599","1,402","1,088",189,120
2020년05월_여_연령구간인구수,"34,446","11,491","3,876","2,420","3,423","2,219","2,109","1,577","2,010",923,"1,599","1,402","1,088",189,120
2020년05월_여_0~9세,"1,580",695,258,104,155,84,69,25,57,22,60,25,23,1,2
2020년05월_여_10~19세,"2,277","1,104",320,104,190,86,110,66,77,42,69,60,41,6,2
2020년05월_여_20~29세,"2,319",999,293,130,212,127,105,87,94,38,102,64,55,10,3
2020년05월_여_30~39세,"2,566","1,058",357,153,296,130,114,86,110,34,90,73,52,9,4
2020년05월_여_40~49세,"3,585","1,602",508,192,323,163,194,125,147,69,100,65,87,7,3
2020년05월_여_50~59세,"5,902","1,900",667,432,677,406,363,280,294,144,249,249,184,34,23
2020년05월_여_60~69세,"6,924","1,814",671,589,774,552,471,376,454,220,349,303,264,55,32
2020년05월_여_70~79세,"5,317","1,385",444,382,470,389,377,324,432,198,312,329,213,30,32
2020년05월_여_80~89세,"3,364",796,299,269,268,234,257,188,290,135,238,197,141,36,16
2020년05월_여_90~99세,584,129,58,62,57,46,47,20,51,21,26,36,27,1,3
2020년05월_여_100세 이상,28,9,1,3,1,2,2,0,4,0,4,1,1,0,0
2020년06월_계_총인구수,"69,060","22,726","7,766","4,884","6,957","4,515","4,205","3,096","4,079","1,847","3,183","2,911","2,241",382,268
2020년06월_계_연령구간인구수,"69,060","22,726","7,766","4,884","6,957","4,515","4,205","3,096","4,079","1,847","3,183","2,911","2,241",382,268
2020년06월_계_0~9세,"3,293","1,456",520,183,312,160,160,66,118,54,124,69,59,5,7
2020년06월_계_10~19세,"4,669","2,205",658,215,406,205,234,128,157,76,137,121,112,12,3
2020년06월_계_20~29세,"5,496","2,329",714,318,526,279,257,201,249,90,215,173,116,21,8
2020년06월_계_30~39세,"5,400","2,190",682,332,611,320,242,187,227,81,211,163,127,19,8
2020년06월_계_40~49세,"7,858","3,257","1,061",441,746,396,437,287,365,152,283,200,197,22,14
2020년06월_계_50~59세,"12,094","3,826","1,358",870,"1,365",793,745,538,642,339,539,547,404,74,54
2020년06월_계_60~69세,"13,815","3,522","1,364","1,208","1,537","1,127",939,738,932,425,665,627,548,106,77
2020년06월_계_70~79세,"10,082","2,501",849,775,944,762,703,612,818,373,595,616,406,66,62
2020년06월_계_80~89세,"5,538","1,252",477,461,435,405,422,308,508,231,374,342,239,53,31
2020년06월_계_90~99세,777,174,82,78,72,66,63,30,59,26,36,51,32,4,4
2020년06월_계_100세 이상,38,14,1,3,3,2,3,1,4,0,4,2,1,0,0
2020년06월_남_총인구수,"34,617","11,242","3,885","2,467","3,522","2,287","2,086","1,530","2,077",927,"1,584","1,507","1,166",193,144
2020년06월_남_연령구간인구수,"34,617","11,242","3,885","2,467","3,522","2,287","2,086","1,530","2,077",927,"1,584","1,507","1,166",193,144
2020년06월_남_0~9세,"1,713",760,261,80,163,73,85,44,62,33,64,42,38,4,4
2020년06월_남_10~19세,"2,401","1,109",337,113,212,120,122,65,84,35,66,60,71,6,1
2020년06월_남_20~29세,"3,178","1,329",424,188,311,154,150,113,152,52,114,110,66,10,5
2020년06월_남_30~39세,"2,841","1,138",327,176,311,190,129,103,120,47,121,90,76,9,4
2020년06월_남_40~49세,"4,274","1,655",551,250,423,232,244,163,218,83,182,135,113,15,10
2020년06월_남_50~59세,"6,220","1,934",694,441,692,382,381,261,350,196,294,298,223,42,32
2020년06월_남_60~69세,"6,857","1,705",683,617,752,573,466,363,479,207,314,323,281,51,43
2020년06월_남_70~79세,"4,754","1,105",408,393,476,373,326,286,383,172,284,288,194,37,29
2020년06월_남_80~89세,"2,175",458,178,191,166,169,167,122,220,97,135,144,97,16,15
2020년06월_남_90~99세,195,45,22,18,14,21,15,9,9,5,10,16,7,3,1
2020년06월_남_100세 이상,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년06월_여_총인구수,"34,443","11,484","3,881","2,417","3,435","2,228","2,119","1,566","2,002",920,"1,599","1,404","1,075",189,124
2020년06월_여_연령구간인구수,"34,443","11,484","3,881","2,417","3,435","2,228","2,119","1,566","2,002",920,"1,599","1,404","1,075",189,124
2020년06월_여_0~9세,"1,580",696,259,103,149,87,75,22,56,21,60,27,21,1,3
2020년06월_여_10~19세,"2,268","1,096",321,102,194,85,112,63,73,41,71,61,41,6,2
2020년06월_여_20~29세,"2,318","1,000",290,130,215,125,107,88,97,38,101,63,50,11,3
2020년06월_여_30~39세,"2,559","1,052",355,156,300,130,113,84,107,34,90,73,51,10,4
2020년06월_여_40~49세,"3,584","1,602",510,191,323,164,193,124,147,69,101,65,84,7,4
2020년06월_여_50~59세,"5,874","1,892",664,429,673,411,364,277,292,143,245,249,181,32,22
2020년06월_여_60~69세,"6,958","1,817",681,591,785,554,473,375,453,218,351,304,267,55,34
2020년06월_여_70~79세,"5,328","1,396",441,382,468,389,377,326,435,201,311,328,212,29,33
2020년06월_여_80~89세,"3,363",794,299,270,269,236,255,186,288,134,239,198,142,37,16
2020년06월_여_90~99세,582,129,60,60,58,45,48,21,50,21,26,35,25,1,3
2020년06월_여_100세 이상,29,10,1,3,1,2,2,0,4,0,4,1,1,0,0
2020년07월_계_총인구수,"69,032","22,726","7,739","4,888","6,976","4,510","4,191","3,093","4,079","1,841","3,187","2,919","2,232",384,267
2020년07월_계_연령구간인구수,"69,032","22,726","7,739","4,888","6,976","4,510","4,191","3,093","4,079","1,841","3,187","2,919","2,232",384,267
2020년07월_계_0~9세,"3,311","1,464",516,183,319,159,157,70,117,58,126,71,59,5,7
2020년07월_계_10~19세,"4,644","2,196",658,210,407,206,230,124,154,74,136,122,112,12,3
2020년07월_계_20~29세,"5,464","2,331",713,315,518,270,255,199,247,87,210,176,114,21,8
2020년07월_계_30~39세,"5,388","2,183",671,331,616,322,241,189,227,76,215,160,130,19,8
2020년07월_계_40~49세,"7,823","3,240","1,062",438,745,395,437,283,355,149,286,205,191,23,14
2020년07월_계_50~59세,"12,081","3,842","1,341",877,"1,360",786,732,539,650,340,541,540,403,76,54
2020년07월_계_60~69세,"13,842","3,528","1,363","1,205","1,553","1,134",941,738,933,420,668,631,546,105,77
2020년07월_계_70~79세,"10,113","2,501",852,784,947,769,706,615,820,376,592,621,402,66,62
2020년07월_계_80~89세,"5,553","1,255",477,461,436,402,427,307,513,236,374,342,241,53,29
2020년07월_계_90~99세,775,171,85,81,72,65,62,28,60,25,35,49,33,4,5
2020년07월_계_100세 이상,38,15,1,3,3,2,3,1,3,0,4,2,1,0,0
2020년07월_남_총인구수,"34,582","11,233","3,857","2,465","3,534","2,287","2,079","1,523","2,081",924,"1,592","1,509","1,160",194,144
2020년07월_남_연령구간인구수,"34,582","11,233","3,857","2,465","3,534","2,287","2,079","1,523","2,081",924,"1,592","1,509","1,160",194,144
2020년07월_남_0~9세,"1,732",768,259,80,170,72,83,46,64,35,66,44,37,4,4
2020년07월_남_10~19세,"2,387","1,099",337,110,215,121,120,65,82,34,66,60,71,6,1
2020년07월_남_20~29세,"3,146","1,332",416,184,304,152,145,108,154,51,110,111,64,10,5
2020년07월_남_30~39세,"2,826","1,129",322,175,313,189,130,102,120,44,123,89,77,9,4
2020년07월_남_40~49세,"4,263","1,654",553,251,420,231,242,163,209,82,185,137,111,15,10
2020년07월_남_50~59세,"6,210","1,938",679,445,693,379,377,259,359,195,296,293,221,44,32
2020년07월_남_60~69세,"6,868","1,707",676,615,759,580,468,363,479,204,319,324,281,50,43
2020년07월_남_70~79세,"4,765","1,102",411,397,475,377,327,288,381,175,283,291,192,37,29
2020년07월_남_80~89세,"2,188",458,182,190,169,167,171,121,224,99,135,143,98,16,15
2020년07월_남_90~99세,188,42,22,18,14,19,15,7,9,5,9,16,8,3,1
2020년07월_남_100세 이상,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년07월_여_총인구수,"34,450","11,493","3,882","2,423","3,442","2,223","2,112","1,570","1,998",917,"1,595","1,410","1,072",190,123
2020년07월_여_연령구간인구수,"34,450","11,493","3,882","2,423","3,442","2,223","2,112","1,570","1,998",917,"1,595","1,410","1,072",190,123
2020년07월_여_0~9세,"1,579",696,257,103,149,87,74,24,53,23,60,27,22,1,3
2020년07월_여_10~19세,"2,257","1,097",321,100,192,85,110,59,72,40,70,62,41,6,2
2020년07월_여_20~29세,"2,318",999,297,131,214,118,110,91,93,36,100,65,50,11,3
2020년07월_여_30~39세,"2,562","1,054",349,156,303,133,111,87,107,32,92,71,53,10,4
2020년07월_여_40~49세,"3,560","1,586",509,187,325,164,195,120,146,67,101,68,80,8,4
2020년07월_여_50~59세,"5,871","1,904",662,432,667,407,355,280,291,145,245,247,182,32,22
2020년07월_여_60~69세,"6,974","1,821",687,590,794,554,473,375,454,216,349,307,265,55,34
2020년07월_여_70~79세,"5,348","1,399",441,387,472,392,379,327,439,201,309,330,210,29,33
2020년07월_여_80~89세,"3,365",797,295,271,267,235,256,186,289,137,239,199,143,37,14
2020년07월_여_90~99세,587,129,63,63,58,46,47,21,51,20,26,33,25,1,4
2020년07월_여_100세 이상,29,11,1,3,1,2,2,0,3,0,4,1,1,0,0
2020년08월_계_총인구수,"69,003","22,718","7,755","4,883","6,974","4,522","4,189","3,092","4,067","1,841","3,189","2,911","2,216",380,266
2020년08월_계_연령구간인구수,"69,003","22,718","7,755","4,883","6,974","4,522","4,189","3,092","4,067","1,841","3,189","2,911","2,216",380,266
2020년08월_계_0~9세,"3,316","1,461",521,179,312,163,155,75,117,61,131,70,58,6,7
2020년08월_계_10~19세,"4,625","2,190",660,209,405,206,226,124,155,72,137,121,105,12,3
2020년08월_계_20~29세,"5,422","2,313",719,313,515,268,251,193,235,88,206,177,115,20,9
2020년08월_계_30~39세,"5,384","2,179",669,332,614,328,245,188,231,73,216,156,126,19,8
2020년08월_계_40~49세,"7,771","3,231","1,065",437,738,389,429,271,353,149,283,201,188,23,14
2020년08월_계_50~59세,"12,066","3,840","1,336",874,"1,357",792,734,542,647,340,534,544,400,74,52
2020년08월_계_60~69세,"13,915","3,553","1,359","1,214","1,565","1,138",953,748,934,418,673,630,549,104,77
2020년08월_계_70~79세,"10,103","2,505",852,780,946,770,704,611,819,378,594,618,399,66,61
2020년08월_계_80~89세,"5,581","1,266",484,457,442,400,426,311,517,236,374,344,242,52,30
2020년08월_계_90~99세,783,164,89,85,77,67,63,28,56,26,37,49,33,4,5
2020년08월_계_100세 이상,37,16,1,3,3,1,3,1,3,0,4,1,1,0,0
2020년08월_남_총인구수,"34,585","11,221","3,873","2,466","3,529","2,301","2,084","1,520","2,077",921,"1,594","1,507","1,155",194,143
2020년08월_남_연령구간인구수,"34,585","11,221","3,873","2,466","3,529","2,301","2,084","1,520","2,077",921,"1,594","1,507","1,155",194,143
2020년08월_남_0~9세,"1,734",771,261,79,164,75,81,47,63,37,68,43,36,5,4
2020년08월_남_10~19세,"2,381","1,098",339,109,211,123,119,63,84,32,67,61,67,7,1
2020년08월_남_20~29세,"3,125","1,315",420,185,301,149,145,108,149,54,107,111,66,9,6
2020년08월_남_30~39세,"2,830","1,129",324,176,312,193,135,101,122,39,125,85,76,9,4
2020년08월_남_40~49세,"4,235","1,645",557,249,417,231,239,154,206,83,184,134,111,15,10
2020년08월_남_50~59세,"6,207","1,936",676,444,686,383,377,266,355,194,297,298,220,44,31
2020년08월_남_60~69세,"6,905","1,712",675,623,771,583,477,364,480,205,316,326,282,49,42
2020년08월_남_70~79세,"4,762","1,102",413,394,475,376,325,285,385,174,285,291,190,37,30
2020년08월_남_80~89세,"2,206",469,185,186,175,170,170,124,225,98,134,141,99,16,14
2020년08월_남_90~99세,190,39,23,21,15,18,15,7,8,5,11,16,8,3,1
2020년08월_남_100세 이상,10,5,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년08월_여_총인구수,"34,418","11,497","3,882","2,417","3,445","2,221","2,105","1,572","1,990",920,"1,595","1,404","1,061",186,123
2020년08월_여_연령구간인구수,"34,418","11,497","3,882","2,417","3,445","2,221","2,105","1,572","1,990",920,"1,595","1,404","1,061",186,123
2020년08월_여_0~9세,"1,582",690,260,100,148,88,74,28,54,24,63,27,22,1,3
2020년08월_여_10~19세,"2,244","1,092",321,100,194,83,107,61,71,40,70,60,38,5,2
2020년08월_여_20~29세,"2,297",998,299,128,214,119,106,85,86,34,99,66,49,11,3
2020년08월_여_30~39세,"2,554","1,050",345,156,302,135,110,87,109,34,91,71,50,10,4
2020년08월_여_40~49세,"3,536","1,586",508,188,321,158,190,117,147,66,99,67,77,8,4
2020년08월_여_50~59세,"5,859","1,904",660,430,671,409,357,276,292,146,237,246,180,30,21
2020년08월_여_60~69세,"7,010","1,841",684,591,794,555,476,384,454,213,357,304,267,55,35
2020년08월_여_70~79세,"5,341","1,403",439,386,471,394,379,326,434,204,309,327,209,29,31
2020년08월_여_80~89세,"3,375",797,299,271,267,230,256,187,292,138,240,203,143,36,16
2020년08월_여_90~99세,593,125,66,64,62,49,48,21,48,21,26,33,25,1,4
2020년08월_여_100세 이상,27,11,1,3,1,1,2,0,3,0,4,0,1,0,0
2020년09월_계_총인구수,"69,070","22,711","7,790","4,876","7,006","4,520","4,193","3,071","4,077","1,840","3,193","2,921","2,226",378,268
2020년09월_계_연령구간인구수,"69,070","22,711","7,790","4,876","7,006","4,520","4,193","3,071","4,077","1,840","3,193","2,921","2,226",378,268
2020년09월_계_0~9세,"3,348","1,472",518,183,313,164,156,76,122,62,127,72,69,7,7
2020년09월_계_10~19세,"4,609","2,185",666,205,399,200,226,120,155,72,139,121,106,12,3
2020년09월_계_20~29세,"5,399","2,304",714,310,522,260,252,191,234,87,207,174,116,18,10
2020년09월_계_30~39세,"5,353","2,143",669,334,612,333,244,187,236,68,216,157,127,19,8
2020년09월_계_40~49세,"7,767","3,237","1,078",434,733,389,420,272,347,149,280,203,188,23,14
2020년09월_계_50~59세,"12,032","3,829","1,328",868,"1,359",788,738,530,650,344,540,539,393,75,51
2020년09월_계_60~69세,"14,033","3,586","1,378","1,217","1,591","1,145",958,751,947,413,671,642,552,103,79
2020년09월_계_70~79세,"10,106","2,505",865,781,951,767,704,604,813,383,592,619,397,65,60
2020년09월_계_80~89세,"5,587","1,268",485,449,440,406,428,312,514,236,377,345,245,51,31
2020년09월_계_90~99세,799,166,89,92,83,67,64,27,56,26,40,47,32,5,5
2020년09월_계_100세 이상,37,16,0,3,3,1,3,1,3,0,4,2,1,0,0
2020년09월_남_총인구수,"34,613","11,210","3,898","2,462","3,537","2,300","2,088","1,508","2,082",916,"1,599","1,513","1,163",191,146
2020년09월_남_연령구간인구수,"34,613","11,210","3,898","2,462","3,537","2,300","2,088","1,508","2,082",916,"1,599","1,513","1,163",191,146
2020년09월_남_0~9세,"1,762",782,262,83,163,75,82,47,67,37,67,44,44,5,4
2020년09월_남_10~19세,"2,374","1,097",343,108,208,121,118,60,84,31,67,62,67,7,1
2020년09월_남_20~29세,"3,095","1,295",412,182,303,147,146,105,149,54,111,110,67,7,7
2020년09월_남_30~39세,"2,807","1,111",326,177,308,194,133,100,125,35,122,85,77,10,4
2020년09월_남_40~49세,"4,225","1,645",566,249,412,229,235,154,204,80,180,136,110,15,10
2020년09월_남_50~59세,"6,190","1,935",674,440,687,381,378,259,354,196,302,293,216,45,30
2020년09월_남_60~69세,"6,974","1,729",684,624,785,586,481,368,486,203,317,334,286,47,44
2020년09월_남_70~79세,"4,777","1,105",421,397,476,377,324,282,382,177,287,292,190,37,30
2020년09월_남_80~89세,"2,203",467,188,179,176,172,174,124,223,98,134,140,98,15,15
2020년09월_남_90~99세,196,39,22,23,17,18,16,8,8,5,12,16,8,3,1
2020년09월_남_100세 이상,10,5,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년09월_여_총인구수,"34,457","11,501","3,892","2,414","3,469","2,220","2,105","1,563","1,995",924,"1,594","1,408","1,063",187,122
2020년09월_여_연령구간인구수,"34,457","11,501","3,892","2,414","3,469","2,220","2,105","1,563","1,995",924,"1,594","1,408","1,063",187,122
2020년09월_여_0~9세,"1,586",690,256,100,150,89,74,29,55,25,60,28,25,2,3
2020년09월_여_10~19세,"2,235","1,088",323,97,191,79,108,60,71,41,72,59,39,5,2
2020년09월_여_20~29세,"2,304","1,009",302,128,219,113,106,86,85,33,96,64,49,11,3
