카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년04월_계_연령구간인구수,"31,506","9,209",507,"4,074","8,382","5,073","2,731","1,530"
2020년04월_계_0~9세,"2,551",803,18,368,653,412,248,49
2020년04월_계_10~19세,"2,302",794,24,281,639,328,146,90
2020년04월_계_20~29세,"4,148","1,196",39,526,"1,093",584,587,123
2020년04월_계_30~39세,"3,887","1,168",31,593,925,680,404,86
2020년04월_계_40~49세,"3,963","1,312",61,422,"1,126",628,258,156
2020년04월_계_50~59세,"5,374","1,502",117,627,"1,533",909,353,333
2020년04월_계_60~69세,"4,862","1,279",111,676,"1,262",804,365,365
2020년04월_계_70~79세,"2,738",724,74,326,723,440,237,214
2020년04월_계_80~89세,"1,432",368,29,219,360,246,117,93
2020년04월_계_90~99세,235,56,3,36,64,40,16,20
2020년04월_계_100세 이상,14,7,0,0,4,2,0,1
2020년04월_남_총인구수,"17,027","4,871",273,"2,190","4,533","2,729","1,600",831
2020년04월_남_연령구간인구수,"17,027","4,871",273,"2,190","4,533","2,729","1,600",831
2020년04월_남_0~9세,"1,323",419,8,191,328,217,134,26
2020년04월_남_10~19세,"1,190",423,13,135,338,159,72,50
2020년04월_남_20~29세,"2,740",736,25,347,724,368,456,84
2020년04월_남_30~39세,"2,228",636,22,351,511,402,247,59
2020년04월_남_40~49세,"2,207",708,36,239,633,347,155,89
2020년04월_남_50~59세,"2,847",796,63,326,823,465,197,177
2020년04월_남_60~69세,"2,628",660,56,370,694,460,186,202
2020년04월_남_70~79세,"1,298",347,39,150,335,215,108,104
2020년04월_남_80~89세,494,130,10,69,126,86,41,32
2020년04월_남_90~99세,67,14,1,12,19,9,4,8
2020년04월_남_100세 이상,5,2,0,0,2,1,0,0
2020년04월_여_총인구수,"14,479","4,338",234,"1,884","3,849","2,344","1,131",699
2020년04월_여_연령구간인구수,"14,479","4,338",234,"1,884","3,849","2,344","1,131",699
2020년04월_여_0~9세,"1,228",384,10,177,325,195,114,23
2020년04월_여_10~19세,"1,112",371,11,146,301,169,74,40
2020년04월_여_20~29세,"1,408",460,14,179,369,216,131,39
2020년04월_여_30~39세,"1,659",532,9,242,414,278,157,27
2020년04월_여_40~49세,"1,756",604,25,183,493,281,103,67
2020년04월_여_50~59세,"2,527",706,54,301,710,444,156,156
2020년04월_여_60~69세,"2,234",619,55,306,568,344,179,163
2020년04월_여_70~79세,"1,440",377,35,176,388,225,129,110
2020년04월_여_80~89세,938,238,19,150,234,160,76,61
2020년04월_여_90~99세,168,42,2,24,45,31,12,12
2020년04월_여_100세 이상,9,5,0,0,2,1,0,1
2020년05월_계_총인구수,"31,548","9,261",506,"4,065","8,380","5,073","2,729","1,534"
2020년05월_계_연령구간인구수,"31,548","9,261",506,"4,065","8,380","5,073","2,729","1,534"
2020년05월_계_0~9세,"2,551",802,18,366,651,414,251,49
2020년05월_계_10~19세,"2,299",803,24,278,636,323,145,90
2020년05월_계_20~29세,"4,136","1,192",37,529,"1,094",584,576,124
2020년05월_계_30~39세,"3,870","1,184",30,582,911,672,406,85
2020년05월_계_40~49세,"3,987","1,317",61,428,"1,134",631,259,157
2020년05월_계_50~59세,"5,372","1,516",118,623,"1,519",904,357,335
2020년05월_계_60~69세,"4,895","1,285",111,676,"1,278",813,368,364
2020년05월_계_70~79세,"2,743",728,74,328,720,442,237,214
2020년05월_계_80~89세,"1,446",371,30,219,369,247,115,95
2020년05월_계_90~99세,235,56,3,36,64,41,15,20
2020년05월_계_100세 이상,14,7,0,0,4,2,0,1
2020년05월_남_총인구수,"17,051","4,888",271,"2,189","4,536","2,731","1,604",832
2020년05월_남_연령구간인구수,"17,051","4,888",271,"2,189","4,536","2,731","1,604",832
2020년05월_남_0~9세,"1,322",416,8,190,328,214,138,28
2020년05월_남_10~19세,"1,191",430,13,134,337,157,72,48
2020년05월_남_20~29세,"2,731",729,23,348,727,369,450,85
2020년05월_남_30~39세,"2,230",645,22,349,507,400,248,59
2020년05월_남_40~49세,"2,216",709,35,241,637,350,154,90
2020년05월_남_50~59세,"2,850",800,64,325,820,463,201,177
2020년05월_남_60~69세,"2,639",662,56,369,699,465,187,201
2020년05월_남_70~79세,"1,300",350,39,152,331,216,109,103
2020년05월_남_80~89세,501,131,10,69,130,87,41,33
2020년05월_남_90~99세,66,14,1,12,18,9,4,8
2020년05월_남_100세 이상,5,2,0,0,2,1,0,0
2020년05월_여_총인구수,"14,497","4,373",235,"1,876","3,844","2,342","1,125",702
2020년05월_여_연령구간인구수,"14,497","4,373",235,"1,876","3,844","2,342","1,125",702
2020년05월_여_0~9세,"1,229",386,10,176,323,200,113,21
2020년05월_여_10~19세,"1,108",373,11,144,299,166,73,42
2020년05월_여_20~29세,"1,405",463,14,181,367,215,126,39
2020년05월_여_30~39세,"1,640",539,8,233,404,272,158,26
2020년05월_여_40~49세,"1,771",608,26,187,497,281,105,67
2020년05월_여_50~59세,"2,522",716,54,298,699,441,156,158
2020년05월_여_60~69세,"2,256",623,55,307,579,348,181,163
2020년05월_여_70~79세,"1,443",378,35,176,389,226,128,111
2020년05월_여_80~89세,945,240,20,150,239,160,74,62
2020년05월_여_90~99세,169,42,2,24,46,32,11,12
2020년05월_여_100세 이상,9,5,0,0,2,1,0,1
2020년06월_계_총인구수,"31,554","9,288",505,"4,067","8,376","5,077","2,713","1,528"
2020년06월_계_연령구간인구수,"31,554","9,288",505,"4,067","8,376","5,077","2,713","1,528"
2020년06월_계_0~9세,"2,548",805,18,363,647,416,253,46
2020년06월_계_10~19세,"2,293",806,24,276,631,324,144,88
2020년06월_계_20~29세,"4,108","1,182",38,536,"1,088",586,552,126
2020년06월_계_30~39세,"3,876","1,188",30,580,916,666,412,84
2020년06월_계_40~49세,"3,993","1,329",61,423,"1,131",632,263,154
2020년06월_계_50~59세,"5,333","1,500",117,616,"1,513",908,347,332
2020년06월_계_60~69세,"4,955","1,312",109,688,"1,284",816,374,372
2020년06월_계_70~79세,"2,744",729,75,326,724,439,239,212
2020년06월_계_80~89세,"1,448",373,30,222,373,244,113,93
2020년06월_계_90~99세,242,57,3,37,65,44,16,20
2020년06월_계_100세 이상,14,7,0,0,4,2,0,1
2020년06월_남_총인구수,"17,052","4,901",272,"2,193","4,530","2,736","1,588",832
2020년06월_남_연령구간인구수,"17,052","4,901",272,"2,193","4,530","2,736","1,588",832
2020년06월_남_0~9세,"1,320",418,8,188,324,216,139,27
2020년06월_남_10~19세,"1,190",435,13,133,334,158,72,45
2020년06월_남_20~29세,"2,716",723,24,359,723,371,427,89
2020년06월_남_30~39세,"2,230",646,22,344,512,395,252,59
2020년06월_남_40~49세,"2,218",717,35,235,632,354,158,87
2020년06월_남_50~59세,"2,829",788,64,324,817,464,195,177
2020년06월_남_60~69세,"2,671",676,55,376,705,465,189,205
2020년06월_남_70~79세,"1,301",352,40,151,329,215,111,103
2020년06월_남_80~89세,504,130,10,71,133,87,41,32
2020년06월_남_90~99세,68,14,1,12,19,10,4,8
2020년06월_남_100세 이상,5,2,0,0,2,1,0,0
2020년06월_여_총인구수,"14,502","4,387",233,"1,874","3,846","2,341","1,125",696
2020년06월_여_연령구간인구수,"14,502","4,387",233,"1,874","3,846","2,341","1,125",696
2020년06월_여_0~9세,"1,228",387,10,175,323,200,114,19
2020년06월_여_10~19세,"1,103",371,11,143,297,166,72,43
2020년06월_여_20~29세,"1,392",459,14,177,365,215,125,37
2020년06월_여_30~39세,"1,646",542,8,236,404,271,160,25
2020년06월_여_40~49세,"1,775",612,26,188,499,278,105,67
2020년06월_여_50~59세,"2,504",712,53,292,696,444,152,155
2020년06월_여_60~69세,"2,284",636,54,312,579,351,185,167
2020년06월_여_70~79세,"1,443",377,35,175,395,224,128,109
2020년06월_여_80~89세,944,243,20,151,240,157,72,61
2020년06월_여_90~99세,174,43,2,25,46,34,12,12
2020년06월_여_100세 이상,9,5,0,0,2,1,0,1
2020년07월_계_총인구수,"31,526","9,287",503,"4,079","8,360","5,081","2,693","1,523"
2020년07월_계_연령구간인구수,"31,526","9,287",503,"4,079","8,360","5,081","2,693","1,523"
2020년07월_계_0~9세,"2,539",807,16,366,642,412,249,47
2020년07월_계_10~19세,"2,304",812,25,276,632,328,143,88
2020년07월_계_20~29세,"4,067","1,172",39,540,"1,071",580,540,125
2020년07월_계_30~39세,"3,870","1,190",28,585,917,660,407,83
2020년07월_계_40~49세,"3,990","1,324",61,420,"1,133",634,262,156
2020년07월_계_50~59세,"5,320","1,499",116,616,"1,508",905,348,328
2020년07월_계_60~69세,"4,979","1,317",108,693,"1,289",829,374,369
2020년07월_계_70~79세,"2,741",725,76,324,723,440,240,213
2020년07월_계_80~89세,"1,458",376,31,222,376,247,114,92
2020년07월_계_90~99세,244,58,3,37,65,44,16,21
2020년07월_계_100세 이상,14,7,0,0,4,2,0,1
2020년07월_남_총인구수,"17,022","4,893",269,"2,200","4,516","2,742","1,570",832
2020년07월_남_연령구간인구수,"17,022","4,893",269,"2,200","4,516","2,742","1,570",832
2020년07월_남_0~9세,"1,311",419,7,190,318,213,137,27
2020년07월_남_10~19세,"1,191",436,14,132,333,158,72,46
2020년07월_남_20~29세,"2,695",717,24,363,712,375,414,90
2020년07월_남_30~39세,"2,216",645,20,344,511,388,251,57
2020년07월_남_40~49세,"2,219",714,35,235,634,357,155,89
2020년07월_남_50~59세,"2,824",787,63,324,814,465,196,175
2020년07월_남_60~69세,"2,687",679,55,378,711,472,188,204
2020년07월_남_70~79세,"1,301",352,39,151,327,216,112,104
2020년07월_남_80~89세,505,128,11,71,135,87,41,32
2020년07월_남_90~99세,68,14,1,12,19,10,4,8
2020년07월_남_100세 이상,5,2,0,0,2,1,0,0
2020년07월_여_총인구수,"14,504","4,394",234,"1,879","3,844","2,339","1,123",691
2020년07월_여_연령구간인구수,"14,504","4,394",234,"1,879","3,844","2,339","1,123",691
2020년07월_여_0~9세,"1,228",388,9,176,324,199,112,20
2020년07월_여_10~19세,"1,113",376,11,144,299,170,71,42
2020년07월_여_20~29세,"1,372",455,15,177,359,205,126,35
2020년07월_여_30~39세,"1,654",545,8,241,406,272,156,26
2020년07월_여_40~49세,"1,771",610,26,185,499,277,107,67
2020년07월_여_50~59세,"2,496",712,53,292,694,440,152,153
2020년07월_여_60~69세,"2,292",638,53,315,578,357,186,165
2020년07월_여_70~79세,"1,440",373,37,173,396,224,128,109
2020년07월_여_80~89세,953,248,20,151,241,160,73,60
2020년07월_여_90~99세,176,44,2,25,46,34,12,13
2020년07월_여_100세 이상,9,5,0,0,2,1,0,1
2020년08월_계_총인구수,"31,571","9,331",503,"4,052","8,375","5,095","2,682","1,533"
2020년08월_계_연령구간인구수,"31,571","9,331",503,"4,052","8,375","5,095","2,682","1,533"
2020년08월_계_0~9세,"2,529",805,16,364,639,413,246,46
2020년08월_계_10~19세,"2,299",816,25,267,631,331,144,85
2020년08월_계_20~29세,"4,060","1,174",38,537,"1,072",578,532,129
2020년08월_계_30~39세,"3,881","1,203",28,576,922,664,403,85
2020년08월_계_40~49세,"4,000","1,327",62,413,"1,136",639,264,159
2020년08월_계_50~59세,"5,313","1,506",116,613,"1,498",902,349,329
2020년08월_계_60~69세,"5,035","1,334",108,699,"1,309",839,375,371
2020년08월_계_70~79세,"2,723",727,76,322,717,434,238,209
2020년08월_계_80~89세,"1,472",373,31,224,382,249,115,98
2020년08월_계_90~99세,245,59,3,37,65,44,16,21
2020년08월_계_100세 이상,14,7,0,0,4,2,0,1
2020년08월_남_총인구수,"17,026","4,898",271,"2,185","4,516","2,748","1,567",841
2020년08월_남_연령구간인구수,"17,026","4,898",271,"2,185","4,516","2,748","1,567",841
2020년08월_남_0~9세,"1,298",414,7,187,316,214,134,26
2020년08월_남_10~19세,"1,188",436,14,128,332,158,75,45
2020년08월_남_20~29세,"2,689",713,24,363,711,372,413,93
2020년08월_남_30~39세,"2,219",654,20,339,508,392,246,60
2020년08월_남_40~49세,"2,227",715,36,231,639,361,155,90
2020년08월_남_50~59세,"2,821",788,64,327,806,462,199,175
2020년08월_남_60~69세,"2,707",685,55,377,721,478,186,205
2020년08월_남_70~79세,"1,298",353,39,150,325,214,113,104
2020년08월_남_80~89세,507,125,11,71,137,86,42,35
2020년08월_남_90~99세,67,13,1,12,19,10,4,8
2020년08월_남_100세 이상,5,2,0,0,2,1,0,0
2020년08월_여_총인구수,"14,545","4,433",232,"1,867","3,859","2,347","1,115",692
2020년08월_여_연령구간인구수,"14,545","4,433",232,"1,867","3,859","2,347","1,115",692
2020년08월_여_0~9세,"1,231",391,9,177,323,199,112,20
2020년08월_여_10~19세,"1,111",380,11,139,299,173,69,40
2020년08월_여_20~29세,"1,371",461,14,174,361,206,119,36
2020년08월_여_30~39세,"1,662",549,8,237,414,272,157,25
2020년08월_여_40~49세,"1,773",612,26,182,497,278,109,69
2020년08월_여_50~59세,"2,492",718,52,286,692,440,150,154
2020년08월_여_60~69세,"2,328",649,53,322,588,361,189,166
2020년08월_여_70~79세,"1,425",374,37,172,392,220,125,105
2020년08월_여_80~89세,965,248,20,153,245,163,73,63
2020년08월_여_90~99세,178,46,2,25,46,34,12,13
2020년08월_여_100세 이상,9,5,0,0,2,1,0,1
2020년09월_계_총인구수,"31,538","9,418",505,"4,020","8,320","5,079","2,662","1,534"
2020년09월_계_연령구간인구수,"31,538","9,418",505,"4,020","8,320","5,079","2,662","1,534"
2020년09월_계_0~9세,"2,521",826,17,358,628,408,237,47
2020년09월_계_10~19세,"2,293",814,27,269,625,331,143,84
2020년09월_계_20~29세,"4,028","1,178",35,530,"1,061",567,532,125
2020년09월_계_30~39세,"3,873","1,234",29,561,914,659,393,83
2020년09월_계_40~49세,"3,984","1,338",61,415,"1,108",640,263,159
2020년09월_계_50~59세,"5,307","1,516",117,607,"1,496",896,345,330
2020년09월_계_60~69세,"5,083","1,349",109,695,"1,325",849,379,377
2020년09월_계_70~79세,"2,700",718,76,324,707,429,237,209
2020년09월_계_80~89세,"1,489",379,31,224,387,253,117,98
2020년09월_계_90~99세,247,60,3,37,65,45,16,21
2020년09월_계_100세 이상,13,6,0,0,4,2,0,1
2020년09월_남_총인구수,"17,007","4,944",269,"2,168","4,481","2,743","1,557",845
2020년09월_남_연령구간인구수,"17,007","4,944",269,"2,168","4,481","2,743","1,557",845
2020년09월_남_0~9세,"1,290",419,7,184,311,213,129,27
2020년09월_남_10~19세,"1,189",434,14,132,332,158,74,45
2020년09월_남_20~29세,"2,668",725,22,359,697,366,410,89
2020년09월_남_30~39세,"2,213",665,20,329,505,391,244,59
2020년09월_남_40~49세,"2,216",721,35,230,622,362,155,91
2020년09월_남_50~59세,"2,818",795,65,323,800,460,197,178
2020년09월_남_60~69세,"2,735",692,55,374,735,481,189,209
2020년09월_남_70~79세,"1,288",346,39,155,320,211,113,104
2020년09월_남_80~89세,518,131,11,71,138,90,42,35
2020년09월_남_90~99세,67,14,1,11,19,10,4,8
2020년09월_남_100세 이상,5,2,0,0,2,1,0,0
2020년09월_여_총인구수,"14,531","4,474",236,"1,852","3,839","2,336","1,105",689
2020년09월_여_연령구간인구수,"14,531","4,474",236,"1,852","3,839","2,336","1,105",689
2020년09월_여_0~9세,"1,231",407,10,174,317,195,108,20
2020년09월_여_10~19세,"1,104",380,13,137,293,173,69,39
2020년09월_여_20~29세,"1,360",453,13,171,364,201,122,36
2020년09월_여_30~39세,"1,660",569,9,232,409,268,149,24
2020년09월_여_40~49세,"1,768",617,26,185,486,278,108,68
2020년09월_여_50~59세,"2,489",721,52,284,696,436,148,152
2020년09월_여_60~69세,"2,348",657,54,321,590,368,190,168
2020년09월_여_70~79세,"1,412",372,37,169,387,218,124,105
2020년09월_여_80~89세,971,248,20,153,249,163,75,63
2020년09월_여_90~99세,180,46,2,26,46,35,12,13
2020년09월_여_100세 이상,8,4,0,0,2,1,0,1
2020년10월_계_총인구수,"31,570","9,477",503,"4,035","8,305","5,076","2,641","1,533"
2020년10월_계_연령구간인구수,"31,570","9,477",503,"4,035","8,305","5,076","2,641","1,533"
2020년10월_계_0~9세,"2,502",822,18,353,626,404,232,47
2020년10월_계_10~19세,"2,310",828,27,271,626,334,141,83
2020년10월_계_20~29세,"4,034","1,183",35,536,"1,058",564,529,129
2020년10월_계_30~39세,"3,867","1,245",28,563,914,651,383,83
2020년10월_계_40~49세,"3,985","1,351",61,416,"1,091",645,262,159
2020년10월_계_50~59세,"5,304","1,523",115,612,"1,494",889,343,328
2020년10월_계_60~69세,"5,114","1,356",110,696,"1,333",860,383,376
2020년10월_계_70~79세,"2,699",719,75,328,703,430,235,209
2020년10월_계_80~89세,"1,487",378,31,222,391,251,117,97
2020년10월_계_90~99세,253,65,3,38,65,46,16,20
2020년10월_계_100세 이상,15,7,0,0,4,2,0,2
2020년10월_남_총인구수,"17,001","4,964",268,"2,179","4,463","2,739","1,545",843
2020년10월_남_연령구간인구수,"17,001","4,964",268,"2,179","4,463","2,739","1,545",843
2020년10월_남_0~9세,"1,273",413,8,184,307,210,124,27
2020년10월_남_10~19세,"1,201",441,14,135,334,161,72,44
2020년10월_남_20~29세,"2,663",729,22,362,690,362,407,91
2020년10월_남_30~39세,"2,207",669,19,329,504,388,240,58
2020년10월_남_40~49세,"2,217",727,35,233,611,366,155,90
2020년10월_남_50~59세,"2,808",792,63,322,798,457,197,179
2020년10월_남_60~69세,"2,756",699,56,375,741,486,191,208
2020년10월_남_70~79세,"1,286",344,39,158,318,210,113,104
2020년10월_남_80~89세,519,133,11,71,140,88,42,34
2020년10월_남_90~99세,65,14,1,10,18,10,4,8
2020년10월_남_100세 이상,6,3,0,0,2,1,0,0
2020년10월_여_총인구수,"14,569","4,513",235,"1,856","3,842","2,337","1,096",690
2020년10월_여_연령구간인구수,"14,569","4,513",235,"1,856","3,842","2,337","1,096",690
2020년10월_여_0~9세,"1,229",409,10,169,319,194,108,20
2020년10월_여_10~19세,"1,109",387,13,136,292,173,69,39
2020년10월_여_20~29세,"1,371",454,13,174,368,202,122,38
2020년10월_여_30~39세,"1,660",576,9,234,410,263,143,25
2020년10월_여_40~49세,"1,768",624,26,183,480,279,107,69
2020년10월_여_50~59세,"2,496",731,52,290,696,432,146,149
2020년10월_여_60~69세,"2,358",657,54,321,592,374,192,168
2020년10월_여_70~79세,"1,413",375,36,170,385,220,122,105
2020년10월_여_80~89세,968,245,20,151,251,163,75,63
2020년10월_여_90~99세,188,51,2,28,47,36,12,12
2020년10월_여_100세 이상,9,4,0,0,2,1,0,2
2020년11월_계_총인구수,"31,623","9,751",503,"3,972","8,227","5,047","2,590","1,533"
2020년11월_계_연령구간인구수,"31,623","9,751",503,"3,972","8,227","5,047","2,590","1,533"
2020년11월_계_0~9세,"2,512",901,18,335,601,402,209,46
2020년11월_계_10~19세,"2,315",847,29,266,619,331,141,82
2020년11월_계_20~29세,"4,016","1,218",30,520,"1,040",557,522,129
2020년11월_계_30~39세,"3,890","1,313",28,550,894,653,371,81
2020년11월_계_40~49세,"4,001","1,403",62,406,"1,083",629,257,161
2020년11월_계_50~59세,"5,287","1,528",116,607,"1,486",881,343,326
2020년11월_계_60~69세,"5,146","1,374",110,700,"1,337",867,379,379
2020년11월_계_70~79세,"2,690",718,74,328,703,427,233,207
2020년11월_계_80~89세,"1,499",376,33,223,395,253,119,100
2020년11월_계_90~99세,252,66,3,37,65,45,16,20
2020년11월_계_100세 이상,15,7,0,0,4,2,0,2
2020년11월_남_총인구수,"17,044","5,107",268,"2,138","4,427","2,731","1,526",847
2020년11월_남_연령구간인구수,"17,044","5,107",268,"2,138","4,427","2,731","1,526",847
2020년11월_남_0~9세,"1,278",453,8,169,299,209,114,26
2020년11월_남_10~19세,"1,209",452,14,134,330,162,71,46
2020년11월_남_20~29세,"2,650",744,20,352,673,364,405,92
2020년11월_남_30~39세,"2,224",703,19,322,499,386,239,56
2020년11월_남_40~49세,"2,233",764,36,223,608,357,152,93
2020년11월_남_50~59세,"2,802",792,63,320,795,456,198,178
2020년11월_남_60~69세,"2,771",706,57,378,742,490,188,210
2020년11월_남_70~79세,"1,284",343,39,158,320,207,113,104
2020년11월_남_80~89세,522,133,11,72,141,89,42,34
2020년11월_남_90~99세,65,14,1,10,18,10,4,8
2020년11월_남_100세 이상,6,3,0,0,2,1,0,0
2020년11월_여_총인구수,"14,579","4,644",235,"1,834","3,800","2,316","1,064",686
2020년11월_여_연령구간인구수,"14,579","4,644",235,"1,834","3,800","2,316","1,064",686
2020년11월_여_0~9세,"1,234",448,10,166,302,193,95,20
2020년11월_여_10~19세,"1,106",395,15,132,289,169,70,36
2020년11월_여_20~29세,"1,366",474,10,168,367,193,117,37
2020년11월_여_30~39세,"1,666",610,9,228,395,267,132,25
2020년11월_여_40~49세,"1,768",639,26,183,475,272,105,68
2020년11월_여_50~59세,"2,485",736,53,287,691,425,145,148
2020년11월_여_60~69세,"2,375",668,53,322,595,377,191,169
2020년11월_여_70~79세,"1,406",375,35,170,383,220,120,103
2020년11월_여_80~89세,977,243,22,151,254,164,77,66
2020년11월_여_90~99세,187,52,2,27,47,35,12,12
2020년11월_여_100세 이상,9,4,0,0,2,1,0,2
2020년12월_계_총인구수,"31,694","9,840",515,"3,956","8,223","5,051","2,576","1,533"
2020년12월_계_연령구간인구수,"31,694","9,840",515,"3,956","8,223","5,051","2,576","1,533"
2020년12월_계_0~9세,"2,499",924,16,322,593,400,201,43
2020년12월_계_10~19세,"2,314",842,31,265,623,329,141,83
2020년12월_계_20~29세,"4,067","1,248",35,522,"1,050",563,517,132
2020년12월_계_30~39세,"3,902","1,334",28,538,896,657,370,79
2020년12월_계_40~49세,"3,998","1,418",61,408,"1,071",624,255,161
2020년12월_계_50~59세,"5,255","1,521",119,605,"1,468",881,339,322
2020년12월_계_60~69세,"5,205","1,384",112,708,"1,363",872,385,381
2020년12월_계_70~79세,"2,677",713,77,328,692,425,233,209
2020년12월_계_80~89세,"1,507",382,33,222,400,250,118,102
2020년12월_계_90~99세,256,67,3,38,63,48,17,20
2020년12월_계_100세 이상,14,7,0,0,4,2,0,1
2020년12월_남_총인구수,"17,084","5,155",273,"2,134","4,422","2,740","1,515",845
2020년12월_남_연령구간인구수,"17,084","5,155",273,"2,134","4,422","2,740","1,515",845
2020년12월_남_0~9세,"1,273",464,9,163,298,209,107,23
2020년12월_남_10~19세,"1,209",454,14,133,328,161,73,46
2020년12월_남_20~29세,"2,692",761,22,355,686,373,399,96
2020년12월_남_30~39세,"2,229",711,19,320,495,389,240,55
2020년12월_남_40~49세,"2,233",774,35,227,603,353,150,91
2020년12월_남_50~59세,"2,778",786,63,320,784,455,196,174
2020년12월_남_60~69세,"2,801",713,58,378,754,494,192,212
2020년12월_남_70~79세,"1,275",339,41,156,314,206,113,106
2020년12월_남_80~89세,522,135,11,71,142,89,40,34
2020년12월_남_90~99세,66,15,1,11,16,10,5,8
2020년12월_남_100세 이상,6,3,0,0,2,1,0,0
2020년12월_여_총인구수,"14,610","4,685",242,"1,822","3,801","2,311","1,061",688
2020년12월_여_연령구간인구수,"14,610","4,685",242,"1,822","3,801","2,311","1,061",688
2020년12월_여_0~9세,"1,226",460,7,159,295,191,94,20
2020년12월_여_10~19세,"1,105",388,17,132,295,168,68,37
2020년12월_여_20~29세,"1,375",487,13,167,364,190,118,36
2020년12월_여_30~39세,"1,673",623,9,218,401,268,130,24
2020년12월_여_40~49세,"1,765",644,26,181,468,271,105,70
2020년12월_여_50~59세,"2,477",735,56,285,684,426,143,148
2020년12월_여_60~69세,"2,404",671,54,330,609,378,193,169
2020년12월_여_70~79세,"1,402",374,36,172,378,219,120,103
2020년12월_여_80~89세,985,247,22,151,258,161,78,68
2020년12월_여_90~99세,190,52,2,27,47,38,12,12
2020년12월_여_100세 이상,8,4,0,0,2,1,0,1
2021년01월_계_총인구수,"31,720","9,897",518,"3,943","8,170","5,045","2,616","1,531"
2021년01월_계_연령구간인구수,"31,720","9,897",518,"3,943","8,170","5,045","2,616","1,531"
2021년01월_계_0~9세,"2,487",931,16,323,587,392,196,42
2021년01월_계_10~19세,"2,304",846,32,260,620,324,139,83
2021년01월_계_20~29세,"4,121","1,268",35,513,"1,017",579,575,134
2021년01월_계_30~39세,"3,870","1,327",29,535,884,643,372,80
2021년01월_계_40~49세,"3,999","1,426",60,407,"1,067",629,249,161
2021년01월_계_50~59세,"5,237","1,521",120,608,"1,463",874,335,316
2021년01월_계_60~69세,"5,240","1,404",113,711,"1,372",876,382,382
2021년01월_계_70~79세,"2,671",715,77,327,688,422,232,210
2021년01월_계_80~89세,"1,517",384,33,218,404,256,120,102
2021년01월_계_90~99세,259,68,3,40,64,48,16,20
2021년01월_계_100세 이상,15,7,0,1,4,2,0,1
