카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년03월_여_30~39세,"2,441",918,625,43,44,103,61,33,90,58,191,45,78,32,120
2020년03월_여_40~49세,"3,135","1,130",731,55,65,150,64,56,120,83,289,57,143,54,138
2020년03월_여_50~59세,"5,285","1,428","1,053",159,148,289,215,125,182,203,564,161,243,161,354
2020년03월_여_60~69세,"5,849","1,337","1,046",174,196,398,280,214,246,253,563,193,308,185,456
2020년03월_여_70~79세,"4,598",880,749,236,146,398,241,226,211,231,406,225,219,120,310
2020년03월_여_80~89세,"3,451",634,503,196,166,289,214,152,158,192,267,179,165,112,224
2020년03월_여_90~99세,511,83,74,38,16,43,19,31,23,32,43,26,30,22,31
2020년03월_여_100세 이상,23,3,5,0,1,1,2,0,4,2,0,0,2,0,3
2020년04월_계_총인구수,"61,889","17,250","12,324","2,059","1,643","3,865","2,535","1,815","2,585","2,390","5,633","1,856","2,794","1,522","3,618"
2020년04월_계_연령구간인구수,"61,889","17,250","12,324","2,059","1,643","3,865","2,535","1,815","2,585","2,390","5,633","1,856","2,794","1,522","3,618"
2020년04월_계_0~9세,"3,513","1,434","1,016",63,31,110,70,43,151,72,231,44,107,37,104
2020년04월_계_10~19세,"4,210","1,599",924,126,61,168,247,63,181,76,360,52,165,53,135
2020년04월_계_20~29세,"5,109","1,805",965,127,100,277,140,98,208,180,527,94,220,96,272
2020년04월_계_30~39세,"5,399","1,959","1,282",104,104,245,154,104,202,151,437,113,200,84,260
2020년04월_계_40~49세,"7,198","2,401","1,736",145,140,388,181,149,298,201,657,148,301,137,316
2020년04월_계_50~59세,"11,208","2,916","2,194",335,313,727,441,294,436,485,"1,169",347,518,303,730
2020년04월_계_60~69세,"11,665","2,557","2,090",401,393,802,544,427,489,515,"1,116",407,621,389,914
2020년04월_계_70~79세,"8,011","1,576","1,305",404,265,669,420,379,356,398,706,363,384,248,538
2020년04월_계_80~89세,"4,921",894,723,301,211,423,306,222,230,272,383,258,237,150,311
2020년04월_계_90~99세,630,105,83,53,25,55,28,36,30,38,47,30,39,25,36
2020년04월_계_100세 이상,25,4,6,0,0,1,4,0,4,2,0,0,2,0,2
2020년04월_남_총인구수,"30,770","8,576","6,182","1,023",793,"1,982","1,203",887,"1,335","1,185","2,835",903,"1,360",755,"1,751"
2020년04월_남_연령구간인구수,"30,770","8,576","6,182","1,023",793,"1,982","1,203",887,"1,335","1,185","2,835",903,"1,360",755,"1,751"
2020년04월_남_0~9세,"1,816",741,527,26,18,51,35,25,88,37,116,26,55,19,52
2020년04월_남_10~19세,"2,265",831,500,79,47,107,103,27,108,40,207,31,78,31,76
2020년04월_남_20~29세,"2,934",992,543,78,59,183,81,60,127,104,320,59,115,56,157
2020년04월_남_30~39세,"2,976","1,047",664,61,59,142,93,70,112,95,250,68,124,51,140
2020년04월_남_40~49세,"4,053","1,268",997,92,75,238,117,94,179,114,368,91,157,87,176
2020년04월_남_50~59세,"5,941","1,501","1,137",176,166,441,227,171,254,280,602,190,277,141,378
2020년04월_남_60~69세,"5,808","1,223","1,035",225,197,407,266,210,245,262,557,214,310,204,453
2020년04월_남_70~79세,"3,406",686,552,169,118,272,184,155,142,168,299,142,166,125,228
2020년04월_남_80~89세,"1,462",267,216,103,47,133,88,69,75,81,110,77,72,38,86
2020년04월_남_90~99세,107,20,10,14,7,8,8,6,5,4,6,5,6,3,5
2020년04월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"31,119","8,674","6,142","1,036",850,"1,883","1,332",928,"1,250","1,205","2,798",953,"1,434",767,"1,867"
2020년04월_여_연령구간인구수,"31,119","8,674","6,142","1,036",850,"1,883","1,332",928,"1,250","1,205","2,798",953,"1,434",767,"1,867"
2020년04월_여_0~9세,"1,697",693,489,37,13,59,35,18,63,35,115,18,52,18,52
2020년04월_여_10~19세,"1,945",768,424,47,14,61,144,36,73,36,153,21,87,22,59
2020년04월_여_20~29세,"2,175",813,422,49,41,94,59,38,81,76,207,35,105,40,115
2020년04월_여_30~39세,"2,423",912,618,43,45,103,61,34,90,56,187,45,76,33,120
2020년04월_여_40~49세,"3,145","1,133",739,53,65,150,64,55,119,87,289,57,144,50,140
2020년04월_여_50~59세,"5,267","1,415","1,057",159,147,286,214,123,182,205,567,157,241,162,352
2020년04월_여_60~69세,"5,857","1,334","1,055",176,196,395,278,217,244,253,559,193,311,185,461
2020년04월_여_70~79세,"4,605",890,753,235,147,397,236,224,214,230,407,221,218,123,310
2020년04월_여_80~89세,"3,459",627,507,198,164,290,218,153,155,191,273,181,165,112,225
2020년04월_여_90~99세,523,85,73,39,18,47,20,30,25,34,41,25,33,22,31
2020년04월_여_100세 이상,23,4,5,0,0,1,3,0,4,2,0,0,2,0,2
2020년05월_계_총인구수,"61,873","17,251","12,325","2,074","1,637","3,866","2,530","1,822","2,583","2,389","5,605","1,863","2,790","1,523","3,615"
2020년05월_계_연령구간인구수,"61,873","17,251","12,325","2,074","1,637","3,866","2,530","1,822","2,583","2,389","5,605","1,863","2,790","1,523","3,615"
2020년05월_계_0~9세,"3,496","1,434",999,70,33,111,67,44,150,72,229,44,105,36,102
2020년05월_계_10~19세,"4,203","1,591",933,125,59,169,250,62,180,77,352,54,162,54,135
2020년05월_계_20~29세,"5,067","1,795",956,125,98,275,135,100,207,180,518,93,219,94,272
2020년05월_계_30~39세,"5,366","1,956","1,270",106,102,244,149,104,202,151,435,113,199,81,254
2020년05월_계_40~49세,"7,185","2,405","1,741",144,141,386,177,148,296,201,649,148,300,138,311
2020년05월_계_50~59세,"11,195","2,915","2,199",340,309,723,443,293,437,481,"1,159",345,520,302,729
2020년05월_계_60~69세,"11,716","2,566","2,101",404,395,802,550,428,487,517,"1,123",411,622,391,919
2020년05월_계_70~79세,"8,047","1,578","1,309",407,266,672,421,384,359,398,710,367,385,250,541
2020년05월_계_80~89세,"4,936",902,727,301,209,428,304,223,230,271,382,257,236,152,314
2020년05월_계_90~99세,636,105,83,52,25,55,30,36,31,39,48,31,40,25,36
2020년05월_계_100세 이상,26,4,7,0,0,1,4,0,4,2,0,0,2,0,2
2020년05월_남_총인구수,"30,755","8,574","6,178","1,031",790,"1,978","1,205",890,"1,337","1,187","2,820",906,"1,356",757,"1,746"
2020년05월_남_연령구간인구수,"30,755","8,574","6,178","1,031",790,"1,978","1,205",890,"1,337","1,187","2,820",906,"1,356",757,"1,746"
2020년05월_남_0~9세,"1,802",737,518,29,19,51,35,25,86,38,115,26,53,19,51
2020년05월_남_10~19세,"2,262",829,507,77,44,107,104,26,109,39,202,33,76,32,77
2020년05월_남_20~29세,"2,920",994,544,77,58,178,81,61,125,109,312,59,115,55,152
2020년05월_남_30~39세,"2,961","1,043",661,60,60,142,90,70,114,94,252,67,123,51,134
2020년05월_남_40~49세,"4,016","1,261",988,92,76,235,114,92,178,112,360,89,157,86,176
2020년05월_남_50~59세,"5,929","1,496","1,141",180,161,440,229,168,254,280,598,191,276,141,374
2020년05월_남_60~69세,"5,859","1,234","1,037",228,201,407,271,213,247,263,564,214,316,205,459
2020년05월_남_70~79세,"3,433",691,557,172,117,276,183,161,142,167,300,145,164,127,231
2020년05월_남_80~89세,"1,465",270,214,103,47,135,88,68,77,81,110,76,71,38,87
2020년05월_남_90~99세,106,19,10,13,7,7,9,6,5,4,7,6,5,3,5
2020년05월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"31,118","8,677","6,147","1,043",847,"1,888","1,325",932,"1,246","1,202","2,785",957,"1,434",766,"1,869"
2020년05월_여_연령구간인구수,"31,118","8,677","6,147","1,043",847,"1,888","1,325",932,"1,246","1,202","2,785",957,"1,434",766,"1,869"
2020년05월_여_0~9세,"1,694",697,481,41,14,60,32,19,64,34,114,18,52,17,51
2020년05월_여_10~19세,"1,941",762,426,48,15,62,146,36,71,38,150,21,86,22,58
2020년05월_여_20~29세,"2,147",801,412,48,40,97,54,39,82,71,206,34,104,39,120
2020년05월_여_30~39세,"2,405",913,609,46,42,102,59,34,88,57,183,46,76,30,120
2020년05월_여_40~49세,"3,169","1,144",753,52,65,151,63,56,118,89,289,59,143,52,135
2020년05월_여_50~59세,"5,266","1,419","1,058",160,148,283,214,125,183,201,561,154,244,161,355
2020년05월_여_60~69세,"5,857","1,332","1,064",176,194,395,279,215,240,254,559,197,306,186,460
2020년05월_여_70~79세,"4,614",887,752,235,149,396,238,223,217,231,410,222,221,123,310
2020년05월_여_80~89세,"3,471",632,513,198,162,293,216,155,153,190,272,181,165,114,227
2020년05월_여_90~99세,530,86,73,39,18,48,21,30,26,35,41,25,35,22,31
2020년05월_여_100세 이상,24,4,6,0,0,1,3,0,4,2,0,0,2,0,2
2020년06월_계_총인구수,"61,825","17,222","12,314","2,065","1,636","3,865","2,531","1,824","2,572","2,389","5,613","1,856","2,796","1,532","3,610"
2020년06월_계_연령구간인구수,"61,825","17,222","12,314","2,065","1,636","3,865","2,531","1,824","2,572","2,389","5,613","1,856","2,796","1,532","3,610"
2020년06월_계_0~9세,"3,459","1,428",990,69,30,109,68,44,147,70,223,43,105,35,98
2020년06월_계_10~19세,"4,200","1,585",941,121,59,174,249,63,172,77,359,55,159,53,133
2020년06월_계_20~29세,"5,052","1,793",951,125,100,267,138,98,209,181,525,88,215,97,265
2020년06월_계_30~39세,"5,319","1,945","1,256",105,102,240,150,107,197,148,424,115,201,77,252
2020년06월_계_40~49세,"7,177","2,395","1,748",142,139,386,180,146,294,203,652,148,296,139,309
2020년06월_계_50~59세,"11,155","2,902","2,190",338,306,726,432,292,436,482,"1,154",344,518,303,732
2020년06월_계_60~69세,"11,793","2,576","2,112",407,399,801,554,428,492,513,"1,138",411,639,401,922
2020년06월_계_70~79세,"8,075","1,586","1,310",408,266,677,422,388,358,400,712,366,387,250,545
2020년06월_계_80~89세,"4,935",901,726,299,210,430,304,222,231,275,381,255,233,152,316
2020년06월_계_90~99세,634,107,83,51,25,54,30,36,32,38,45,31,41,25,36
2020년06월_계_100세 이상,26,4,7,0,0,1,4,0,4,2,0,0,2,0,2
2020년06월_남_총인구수,"30,708","8,547","6,171","1,022",792,"1,977","1,200",890,"1,330","1,185","2,821",899,"1,362",764,"1,748"
2020년06월_남_연령구간인구수,"30,708","8,547","6,171","1,022",792,"1,977","1,200",890,"1,330","1,185","2,821",899,"1,362",764,"1,748"
2020년06월_남_0~9세,"1,790",736,516,29,17,52,36,25,85,38,110,25,54,18,49
2020년06월_남_10~19세,"2,265",829,510,74,45,111,102,27,102,38,209,34,75,32,77
2020년06월_남_20~29세,"2,904",989,542,75,60,169,83,59,128,110,317,55,110,58,149
2020년06월_남_30~39세,"2,924","1,033",657,60,61,140,87,71,110,91,241,69,124,49,131
2020년06월_남_40~49세,"4,011","1,254",987,91,76,235,116,89,178,113,361,90,158,86,177
2020년06월_남_50~59세,"5,898","1,491","1,134",177,158,441,221,169,253,281,595,187,272,142,377
2020년06월_남_60~69세,"5,897","1,233","1,039",232,205,406,273,214,251,260,571,214,328,210,461
2020년06월_남_70~79세,"3,442",693,557,171,116,281,184,162,140,167,302,143,165,127,234
2020년06월_남_80~89세,"1,470",270,218,101,47,135,88,68,78,83,108,76,71,39,88
2020년06월_남_90~99세,105,19,10,12,7,7,9,6,5,4,7,6,5,3,5
2020년06월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"31,117","8,675","6,143","1,043",844,"1,888","1,331",934,"1,242","1,204","2,792",957,"1,434",768,"1,862"
2020년06월_여_연령구간인구수,"31,117","8,675","6,143","1,043",844,"1,888","1,331",934,"1,242","1,204","2,792",957,"1,434",768,"1,862"
2020년06월_여_0~9세,"1,669",692,474,40,13,57,32,19,62,32,113,18,51,17,49
2020년06월_여_10~19세,"1,935",756,431,47,14,63,147,36,70,39,150,21,84,21,56
2020년06월_여_20~29세,"2,148",804,409,50,40,98,55,39,81,71,208,33,105,39,116
2020년06월_여_30~39세,"2,395",912,599,45,41,100,63,36,87,57,183,46,77,28,121
2020년06월_여_40~49세,"3,166","1,141",761,51,63,151,64,57,116,90,291,58,138,53,132
2020년06월_여_50~59세,"5,257","1,411","1,056",161,148,285,211,123,183,201,559,157,246,161,355
2020년06월_여_60~69세,"5,896","1,343","1,073",175,194,395,281,214,241,253,567,197,311,191,461
2020년06월_여_70~79세,"4,633",893,753,237,150,396,238,226,218,233,410,223,222,123,311
2020년06월_여_80~89세,"3,465",631,508,198,163,295,216,154,153,192,273,179,162,113,228
2020년06월_여_90~99세,529,88,73,39,18,47,21,30,27,34,38,25,36,22,31
2020년06월_여_100세 이상,24,4,6,0,0,1,3,0,4,2,0,0,2,0,2
2020년07월_계_총인구수,"61,646","17,171","12,297","2,042","1,631","3,834","2,525","1,805","2,563","2,376","5,607","1,865","2,797","1,541","3,592"
2020년07월_계_연령구간인구수,"61,646","17,171","12,297","2,042","1,631","3,834","2,525","1,805","2,563","2,376","5,607","1,865","2,797","1,541","3,592"
2020년07월_계_0~9세,"3,403","1,416",981,67,27,106,68,44,142,64,219,44,99,34,92
2020년07월_계_10~19세,"4,202","1,586",957,118,59,166,246,62,174,76,361,55,157,54,131
2020년07월_계_20~29세,"5,019","1,797",947,121,97,263,135,92,204,182,518,88,217,98,260
2020년07월_계_30~39세,"5,266","1,911","1,243",101,102,245,154,107,199,142,422,115,200,79,246
2020년07월_계_40~49세,"7,164","2,395","1,747",138,142,384,184,146,289,205,650,146,295,137,306
2020년07월_계_50~59세,"11,079","2,880","2,184",329,300,717,423,287,441,479,"1,145",344,523,304,723
2020년07월_계_60~69세,"11,821","2,584","2,106",409,403,794,554,424,487,515,"1,152",415,638,404,936
2020년07월_계_70~79세,"8,086","1,593","1,315",408,268,675,424,384,353,402,714,369,391,251,539
2020년07월_계_80~89세,"4,937",894,726,299,208,427,302,223,239,271,379,258,235,155,321
2020년07월_계_90~99세,640,110,84,52,25,56,30,36,31,38,47,31,39,25,36
2020년07월_계_100세 이상,29,5,7,0,0,1,5,0,4,2,0,0,3,0,2
2020년07월_남_총인구수,"30,641","8,513","6,171","1,013",790,"1,964","1,201",878,"1,330","1,178","2,817",905,"1,365",770,"1,746"
2020년07월_남_연령구간인구수,"30,641","8,513","6,171","1,013",790,"1,964","1,201",878,"1,330","1,178","2,817",905,"1,365",770,"1,746"
2020년07월_남_0~9세,"1,763",727,509,28,15,52,36,26,83,36,109,26,51,17,48
2020년07월_남_10~19세,"2,272",826,523,73,45,104,103,27,103,39,210,34,77,33,75
2020년07월_남_20~29세,"2,889",998,542,72,59,168,81,55,126,108,309,56,111,58,146
2020년07월_남_30~39세,"2,903","1,007",651,58,63,143,92,71,112,88,243,70,122,51,132
2020년07월_남_40~49세,"3,997","1,252",983,89,78,234,118,87,175,115,361,88,159,86,172
2020년07월_남_50~59세,"5,857","1,480","1,135",172,154,437,214,168,256,274,589,188,276,142,372
2020년07월_남_60~69세,"5,919","1,236","1,037",233,207,404,274,211,250,267,574,217,326,211,472
2020년07월_남_70~79세,"3,458",697,561,174,116,280,185,161,142,165,306,143,167,130,231
2020년07월_남_80~89세,"1,475",270,219,102,46,135,87,66,79,82,109,77,71,39,93
2020년07월_남_90~99세,106,20,10,12,7,7,10,6,4,4,7,6,5,3,5
2020년07월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"31,005","8,658","6,126","1,029",841,"1,870","1,324",927,"1,233","1,198","2,790",960,"1,432",771,"1,846"
2020년07월_여_연령구간인구수,"31,005","8,658","6,126","1,029",841,"1,870","1,324",927,"1,233","1,198","2,790",960,"1,432",771,"1,846"
2020년07월_여_0~9세,"1,640",689,472,39,12,54,32,18,59,28,110,18,48,17,44
2020년07월_여_10~19세,"1,930",760,434,45,14,62,143,35,71,37,151,21,80,21,56
2020년07월_여_20~29세,"2,130",799,405,49,38,95,54,37,78,74,209,32,106,40,114
2020년07월_여_30~39세,"2,363",904,592,43,39,102,62,36,87,54,179,45,78,28,114
2020년07월_여_40~49세,"3,167","1,143",764,49,64,150,66,59,114,90,289,58,136,51,134
2020년07월_여_50~59세,"5,222","1,400","1,049",157,146,280,209,119,185,205,556,156,247,162,351
2020년07월_여_60~69세,"5,902","1,348","1,069",176,196,390,280,213,237,248,578,198,312,193,464
2020년07월_여_70~79세,"4,628",896,754,234,152,395,239,223,211,237,408,226,224,121,308
2020년07월_여_80~89세,"3,462",624,507,197,162,292,215,157,160,189,270,181,164,116,228
2020년07월_여_90~99세,534,90,74,40,18,49,20,30,27,34,40,25,34,22,31
2020년07월_여_100세 이상,27,5,6,0,0,1,4,0,4,2,0,0,3,0,2
2020년08월_계_총인구수,"61,590","17,126","12,298","2,036","1,631","3,852","2,526","1,803","2,557","2,373","5,599","1,857","2,794","1,540","3,598"
2020년08월_계_연령구간인구수,"61,590","17,126","12,298","2,036","1,631","3,852","2,526","1,803","2,557","2,373","5,599","1,857","2,794","1,540","3,598"
2020년08월_계_0~9세,"3,380","1,405",983,65,28,109,69,41,138,64,215,41,96,34,92
2020년08월_계_10~19세,"4,192","1,580",958,117,57,169,242,62,176,73,359,57,160,53,129
2020년08월_계_20~29세,"4,981","1,777",945,117,97,260,133,92,201,180,517,85,218,101,258
2020년08월_계_30~39세,"5,240","1,909","1,234",102,106,249,157,106,199,139,410,110,196,79,244
2020년08월_계_40~49세,"7,151","2,372","1,748",137,138,383,184,143,292,209,655,147,297,135,311
2020년08월_계_50~59세,"11,058","2,880","2,178",335,299,721,423,290,436,474,"1,136",343,516,301,726
2020년08월_계_60~69세,"11,860","2,589","2,122",409,406,798,558,422,489,520,"1,156",411,636,405,939
2020년08월_계_70~79세,"8,110","1,597","1,314",406,267,675,422,391,358,403,720,372,394,252,539
2020년08월_계_80~89세,"4,945",896,723,296,209,430,303,222,234,271,385,259,239,155,323
2020년08월_계_90~99세,645,116,86,52,24,57,30,34,30,38,46,32,39,25,36
2020년08월_계_100세 이상,28,5,7,0,0,1,5,0,4,2,0,0,3,0,1
2020년08월_남_총인구수,"30,605","8,491","6,165","1,011",783,"1,970","1,201",882,"1,327","1,177","2,813",905,"1,367",767,"1,746"
2020년08월_남_연령구간인구수,"30,605","8,491","6,165","1,011",783,"1,970","1,201",882,"1,327","1,177","2,813",905,"1,367",767,"1,746"
2020년08월_남_0~9세,"1,756",726,510,27,15,55,37,25,79,36,108,24,49,18,47
2020년08월_남_10~19세,"2,263",822,518,73,43,106,101,27,105,37,209,36,80,32,74
2020년08월_남_20~29세,"2,871",991,540,69,61,167,78,57,124,108,306,56,113,58,143
2020년08월_남_30~39세,"2,879","1,001",648,58,63,144,95,70,109,85,239,66,116,51,134
2020년08월_남_40~49세,"3,982","1,236",979,89,76,231,117,87,178,118,363,89,162,85,172
2020년08월_남_50~59세,"5,861","1,487","1,137",175,152,434,216,168,256,273,583,191,277,140,372
2020년08월_남_60~69세,"5,931","1,233","1,044",233,206,410,277,212,249,270,580,210,322,212,473
2020년08월_남_70~79세,"3,479",701,558,176,115,281,184,164,145,164,308,150,172,129,232
2020년08월_남_80~89세,"1,472",271,219,99,46,135,85,66,78,82,110,77,71,39,94
2020년08월_남_90~99세,109,23,11,12,6,7,10,6,4,4,7,6,5,3,5
2020년08월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"30,985","8,635","6,133","1,025",848,"1,882","1,325",921,"1,230","1,196","2,786",952,"1,427",773,"1,852"
2020년08월_여_연령구간인구수,"30,985","8,635","6,133","1,025",848,"1,882","1,325",921,"1,230","1,196","2,786",952,"1,427",773,"1,852"
2020년08월_여_0~9세,"1,624",679,473,38,13,54,32,16,59,28,107,17,47,16,45
2020년08월_여_10~19세,"1,929",758,440,44,14,63,141,35,71,36,150,21,80,21,55
2020년08월_여_20~29세,"2,110",786,405,48,36,93,55,35,77,72,211,29,105,43,115
2020년08월_여_30~39세,"2,361",908,586,44,43,105,62,36,90,54,171,44,80,28,110
2020년08월_여_40~49세,"3,169","1,136",769,48,62,152,67,56,114,91,292,58,135,50,139
2020년08월_여_50~59세,"5,197","1,393","1,041",160,147,287,207,122,180,201,553,152,239,161,354
2020년08월_여_60~69세,"5,929","1,356","1,078",176,200,388,281,210,240,250,576,201,314,193,466
2020년08월_여_70~79세,"4,631",896,756,230,152,394,238,227,213,239,412,222,222,123,307
2020년08월_여_80~89세,"3,473",625,504,197,163,295,218,156,156,189,275,182,168,116,229
2020년08월_여_90~99세,536,93,75,40,18,50,20,28,26,34,39,26,34,22,31
2020년08월_여_100세 이상,26,5,6,0,0,1,4,0,4,2,0,0,3,0,1
2020년09월_계_총인구수,"61,478","17,045","12,293","2,053","1,617","3,862","2,526","1,803","2,560","2,372","5,575","1,854","2,783","1,540","3,595"
2020년09월_계_연령구간인구수,"61,478","17,045","12,293","2,053","1,617","3,862","2,526","1,803","2,560","2,372","5,575","1,854","2,783","1,540","3,595"
2020년09월_계_0~9세,"3,349","1,382",982,67,28,107,71,41,136,64,211,40,96,34,90
2020년09월_계_10~19세,"4,145","1,563",961,114,51,167,239,61,170,70,356,57,156,52,128
2020년09월_계_20~29세,"4,946","1,758",934,119,94,260,136,94,206,180,504,87,215,100,259
2020년09월_계_30~39세,"5,198","1,895","1,219",101,103,254,157,104,195,138,409,110,193,76,244
2020년09월_계_40~49세,"7,137","2,359","1,757",143,132,382,184,142,290,210,657,146,292,134,309
2020년09월_계_50~59세,"11,037","2,883","2,174",333,296,723,414,287,443,473,"1,122",342,516,302,729
2020년09월_계_60~69세,"11,918","2,593","2,126",421,410,808,566,426,491,528,"1,166",410,637,407,929
2020년09월_계_70~79세,"8,114","1,598","1,319",406,268,673,421,389,361,400,717,368,396,256,542
2020년09월_계_80~89세,"4,958",891,728,296,211,429,303,225,233,268,387,264,242,155,326
2020년09월_계_90~99세,647,118,86,52,24,58,30,34,31,39,46,30,37,24,38
2020년09월_계_100세 이상,29,5,7,1,0,1,5,0,4,2,0,0,3,0,1
2020년09월_남_총인구수,"30,533","8,445","6,163","1,016",775,"1,971","1,202",885,"1,321","1,178","2,802",904,"1,362",766,"1,743"
2020년09월_남_연령구간인구수,"30,533","8,445","6,163","1,016",775,"1,971","1,202",885,"1,321","1,178","2,802",904,"1,362",766,"1,743"
2020년09월_남_0~9세,"1,733",712,511,28,14,52,38,25,76,36,106,23,48,18,46
2020년09월_남_10~19세,"2,238",818,520,69,37,102,101,28,101,35,206,37,78,32,74
2020년09월_남_20~29세,"2,853",979,535,70,60,169,78,59,126,110,297,57,111,58,144
2020년09월_남_30~39세,"2,853",988,640,57,60,146,96,68,106,86,240,65,117,49,135
2020년09월_남_40~49세,"3,968","1,229",978,92,76,231,116,87,177,118,363,90,156,85,170
2020년09월_남_50~59세,"5,860","1,491","1,141",173,151,433,212,168,257,272,579,188,282,139,374
2020년09월_남_60~69세,"5,950","1,236","1,045",238,208,415,281,213,249,274,586,209,319,214,463
2020년09월_남_70~79세,"3,482",699,557,178,116,279,184,164,147,161,307,151,174,130,235
2020년09월_남_80~89세,"1,484",270,223,99,47,137,84,67,78,82,111,78,72,39,97
2020년09월_남_90~99세,110,23,12,12,6,7,11,6,4,4,7,6,5,2,5
2020년09월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"30,945","8,600","6,130","1,037",842,"1,891","1,324",918,"1,239","1,194","2,773",950,"1,421",774,"1,852"
2020년09월_여_연령구간인구수,"30,945","8,600","6,130","1,037",842,"1,891","1,324",918,"1,239","1,194","2,773",950,"1,421",774,"1,852"
2020년09월_여_0~9세,"1,616",670,471,39,14,55,33,16,60,28,105,17,48,16,44
