카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동
2020년03월_남_연령구간인구수,"169,683","3,947","5,425","4,398","6,873","3,207","6,551","6,343","3,876","7,178","7,313","2,267","13,293","5,145","8,153","9,086","7,868","21,710","5,270","34,230","7,550",,,
2020년03월_남_0~9세,"13,501",155,572,380,246,120,472,526,99,324,404,98,"1,397",207,477,496,441,"2,128",290,"4,303",366,,,
2020년03월_남_10~19세,"14,368",275,478,311,408,240,537,613,218,494,550,155,"1,410",310,531,738,532,"1,986",337,"3,625",620,,,
2020년03월_남_20~29세,"22,541",485,596,498,"1,020",472,858,926,638,"1,013","1,028",405,"1,638",749,"1,214","1,370","1,048","2,891",733,"4,088",871,,,
2020년03월_남_30~39세,"23,689",430,781,721,872,317,868,842,629,844,939,286,"1,790",602,"1,108","1,005",979,"3,112",674,"6,197",693,,,
2020년03월_남_40~49세,"26,767",558,"1,015",625,"1,057",454,"1,016",977,568,945,"1,107",299,"2,371",712,"1,107","1,203","1,119","3,550",731,"6,282","1,071",,,
2020년03월_남_50~59세,"27,977",735,756,691,"1,372",582,"1,034","1,106",695,"1,326","1,246",388,"2,073","1,023","1,482","1,696","1,481","3,454","1,004","4,422","1,411",,,
2020년03월_남_60~69세,"23,135",659,649,651,"1,108",553,909,771,557,"1,179","1,142",350,"1,597",907,"1,311","1,454","1,286","2,805",825,"3,130","1,292",,,
2020년03월_남_70~79세,"12,939",461,407,368,593,345,601,395,335,765,648,200,769,470,686,798,729,"1,352",483,"1,664",870,,,
2020년03월_남_80~89세,"4,413",179,156,146,176,117,239,168,126,267,224,83,232,156,221,303,234,398,179,471,338,,,
2020년03월_남_90~99세,320,10,12,7,17,5,15,15,10,19,23,3,16,8,16,22,18,32,12,44,16,,,
2020년03월_남_100세 이상,33,0,3,0,4,2,2,4,1,2,2,0,0,1,0,1,1,2,2,4,2,,,
2020년03월_여_총인구수,"174,250","4,000","5,965","4,555","6,703","3,485","6,994","6,433","3,840","7,277","7,849","1,992","13,704","5,230","8,080","9,681","7,728","22,684","5,100","35,175","7,775",,,
2020년03월_여_연령구간인구수,"174,250","4,000","5,965","4,555","6,703","3,485","6,994","6,433","3,840","7,277","7,849","1,992","13,704","5,230","8,080","9,681","7,728","22,684","5,100","35,175","7,775",,,
2020년03월_여_0~9세,"12,846",142,578,357,244,124,433,475,81,250,407,108,"1,387",217,430,493,391,"1,987",289,"4,113",340,,,
2020년03월_여_10~19세,"13,019",215,398,273,357,190,436,467,165,432,544,125,"1,343",308,467,679,453,"1,795",288,"3,540",544,,,
2020년03월_여_20~29세,"19,490",388,506,509,912,354,680,758,687,854,913,224,"1,343",642,972,"1,118",910,"2,556",578,"3,919",667,,,
2020년03월_여_30~39세,"21,422",309,824,587,696,274,780,837,451,627,806,188,"1,880",432,896,879,746,"3,011",526,"6,041",632,,,
2020년03월_여_40~49세,"25,150",451,936,606,816,435,997,"1,024",461,861,"1,077",225,"2,298",586,981,"1,215",920,"3,427",607,"6,165","1,062",,,
2020년03월_여_50~59세,"29,751",701,886,742,"1,317",691,"1,192","1,139",663,"1,378","1,363",364,"2,213","1,109","1,612","1,977","1,447","3,769","1,054","4,701","1,433",,,
2020년03월_여_60~69세,"26,620",775,860,730,"1,233",693,"1,152",835,703,"1,429","1,409",350,"1,787","1,007","1,387","1,697","1,421","3,194",928,"3,624","1,406",,,
2020년03월_여_70~79세,"16,728",644,644,468,772,463,855,572,400,956,850,262,935,615,869,"1,029",945,"1,804",577,"2,051","1,017",,,
2020년03월_여_80~89세,"8,009",321,284,235,305,236,415,283,201,426,412,132,447,275,404,524,431,990,213,893,582,,,
2020년03월_여_90~99세,"1,122",48,42,45,45,23,49,38,25,56,61,14,66,35,60,64,63,146,36,119,87,,,
2020년03월_여_100세 이상,93,6,7,3,6,2,5,5,3,8,7,0,5,4,2,6,1,5,4,9,5,,,
2020년04월_계_총인구수,"343,568","7,940","11,191","8,958","13,483","6,674","13,524","12,722","7,733","14,421","15,152","4,268","26,951","10,324","16,239","18,692","15,537","44,277","10,334","69,672","15,476",,,
2020년04월_계_연령구간인구수,"343,568","7,940","11,191","8,958","13,483","6,674","13,524","12,722","7,733","14,421","15,152","4,268","26,951","10,324","16,239","18,692","15,537","44,277","10,334","69,672","15,476",,,
2020년04월_계_0~9세,"26,205",297,"1,119",728,489,238,901,991,182,565,814,207,"2,761",421,907,978,820,"4,089",573,"8,425",700,,,
2020년04월_계_10~19세,"27,296",485,877,588,752,429,969,"1,067",382,924,"1,084",280,"2,757",615,987,"1,409",976,"3,774",618,"7,165","1,158",,,
2020년04월_계_20~29세,"41,935",880,"1,068","1,009","1,917",824,"1,530","1,689","1,324","1,857","1,940",629,"2,985","1,366","2,180","2,458","1,940","5,426","1,302","8,055","1,556",,,
2020년04월_계_30~39세,"45,002",731,"1,573","1,305","1,561",587,"1,634","1,684","1,086","1,480","1,735",474,"3,637","1,032","1,999","1,870","1,713","6,071","1,185","12,321","1,324",,,
2020년04월_계_40~49세,"51,790","1,015","1,934","1,219","1,839",885,"1,994","1,963","1,036","1,791","2,175",529,"4,659","1,277","2,097","2,417","2,015","6,992","1,330","12,473","2,150",,,
2020년04월_계_50~59세,"57,627","1,421","1,610","1,438","2,685","1,271","2,228","2,226","1,356","2,681","2,605",752,"4,273","2,118","3,100","3,667","2,910","7,185","2,046","9,168","2,887",,,
2020년04월_계_60~69세,"49,906","1,448","1,476","1,394","2,328","1,248","2,068","1,607","1,264","2,619","2,556",701,"3,390","1,926","2,706","3,147","2,730","6,006","1,758","6,787","2,747",,,
2020년04월_계_70~79세,"29,735","1,092","1,032",840,"1,355",805,"1,468",972,741,"1,717","1,506",461,"1,714","1,092","1,555","1,830","1,677","3,165","1,073","3,720","1,920",,,
2020년04월_계_80~89세,"12,497",507,437,382,487,354,657,460,322,703,645,218,684,428,632,824,673,"1,386",395,"1,379",924,,,
2020년04월_계_90~99세,"1,452",59,55,52,60,29,68,54,36,74,83,17,87,44,74,86,81,176,48,166,103,,,
2020년04월_계_100세 이상,123,5,10,3,10,4,7,9,4,10,9,0,4,5,2,6,2,7,6,13,7,,,
2020년04월_남_총인구수,"169,428","3,955","5,317","4,390","6,822","3,197","6,527","6,301","3,884","7,151","7,307","2,282","13,267","5,115","8,162","9,043","7,840","21,665","5,247","34,347","7,609",,,
2020년04월_남_연령구간인구수,"169,428","3,955","5,317","4,390","6,822","3,197","6,527","6,301","3,884","7,151","7,307","2,282","13,267","5,115","8,162","9,043","7,840","21,665","5,247","34,347","7,609",,,
2020년04월_남_0~9세,"13,407",156,555,378,246,119,465,517,100,319,402,99,"1,385",205,473,488,437,"2,117",288,"4,295",363,,,
2020년04월_남_10~19세,"14,319",276,478,307,399,241,536,606,217,491,541,154,"1,416",307,524,735,528,"1,986",330,"3,632",615,,,
2020년04월_남_20~29세,"22,455",490,577,500,"1,005",474,851,923,629,"1,008","1,035",411,"1,639",735,"1,209","1,348","1,037","2,875",729,"4,106",874,,,
2020년04월_남_30~39세,"23,646",433,755,716,877,312,861,847,631,849,934,286,"1,764",604,"1,110","1,000",976,"3,082",660,"6,252",697,,,
2020년04월_남_40~49세,"26,693",553,"1,009",616,"1,040",448,"1,006",951,573,935,"1,099",302,"2,366",698,"1,122","1,209","1,103","3,568",730,"6,287","1,078",,,
2020년04월_남_50~59세,"27,941",732,738,695,"1,363",580,"1,038","1,099",704,"1,315","1,247",394,"2,069","1,017","1,481","1,692","1,471","3,436","1,002","4,440","1,428",,,
2020년04월_남_60~69세,"23,193",666,634,655,"1,105",554,908,771,555,"1,183","1,148",350,"1,602",913,"1,316","1,446","1,302","2,809",826,"3,141","1,309",,,
2020년04월_남_70~79세,"12,976",457,401,368,584,342,602,401,340,762,647,200,772,473,686,804,731,"1,358",490,"1,666",892,,,
2020년04월_남_80~89세,"4,441",182,155,148,181,120,241,167,124,268,228,83,237,154,226,299,235,401,178,480,334,,,
2020년04월_남_90~99세,324,10,12,7,18,5,17,15,10,19,24,3,17,8,15,21,19,31,12,44,17,,,
2020년04월_남_100세 이상,33,0,3,0,4,2,2,4,1,2,2,0,0,1,0,1,1,2,2,4,2,,,
2020년04월_여_총인구수,"174,140","3,985","5,874","4,568","6,661","3,477","6,997","6,421","3,849","7,270","7,845","1,986","13,684","5,209","8,077","9,649","7,697","22,612","5,087","35,325","7,867",,,
2020년04월_여_연령구간인구수,"174,140","3,985","5,874","4,568","6,661","3,477","6,997","6,421","3,849","7,270","7,845","1,986","13,684","5,209","8,077","9,649","7,697","22,612","5,087","35,325","7,867",,,
2020년04월_여_0~9세,"12,798",141,564,350,243,119,436,474,82,246,412,108,"1,376",216,434,490,383,"1,972",285,"4,130",337,,,
2020년04월_여_10~19세,"12,977",209,399,281,353,188,433,461,165,433,543,126,"1,341",308,463,674,448,"1,788",288,"3,533",543,,,
2020년04월_여_20~29세,"19,480",390,491,509,912,350,679,766,695,849,905,218,"1,346",631,971,"1,110",903,"2,551",573,"3,949",682,,,
2020년04월_여_30~39세,"21,356",298,818,589,684,275,773,837,455,631,801,188,"1,873",428,889,870,737,"2,989",525,"6,069",627,,,
2020년04월_여_40~49세,"25,097",462,925,603,799,437,988,"1,012",463,856,"1,076",227,"2,293",579,975,"1,208",912,"3,424",600,"6,186","1,072",,,
2020년04월_여_50~59세,"29,686",689,872,743,"1,322",691,"1,190","1,127",652,"1,366","1,358",358,"2,204","1,101","1,619","1,975","1,439","3,749","1,044","4,728","1,459",,,
2020년04월_여_60~69세,"26,713",782,842,739,"1,223",694,"1,160",836,709,"1,436","1,408",351,"1,788","1,013","1,390","1,701","1,428","3,197",932,"3,646","1,438",,,
2020년04월_여_70~79세,"16,759",635,631,472,771,463,866,571,401,955,859,261,942,619,869,"1,026",946,"1,807",583,"2,054","1,028",,,
2020년04월_여_80~89세,"8,056",325,282,234,306,234,416,293,198,435,417,135,447,274,406,525,438,985,217,899,590,,,
2020년04월_여_90~99세,"1,128",49,43,45,42,24,51,39,26,55,59,14,70,36,59,65,62,145,36,122,86,,,
2020년04월_여_100세 이상,90,5,7,3,6,2,5,5,3,8,7,0,4,4,2,5,1,5,4,9,5,,,
2020년05월_계_총인구수,"342,897","7,908","11,024","8,930","13,392","6,652","13,530","12,634","7,716","14,369","15,106","4,237","26,820","10,289","16,215","18,626","15,501","44,216","10,343","69,781","15,608",,,
2020년05월_계_연령구간인구수,"342,897","7,908","11,024","8,930","13,392","6,652","13,530","12,634","7,716","14,369","15,106","4,237","26,820","10,289","16,215","18,626","15,501","44,216","10,343","69,781","15,608",,,
2020년05월_계_0~9세,"26,045",292,"1,109",726,483,239,893,973,175,560,817,206,"2,730",421,914,954,816,"4,056",577,"8,402",702,,,
2020년05월_계_10~19세,"27,149",480,869,592,730,422,966,"1,054",379,910,"1,076",272,"2,745",610,974,"1,396",959,"3,786",617,"7,159","1,153",,,
2020년05월_계_20~29세,"41,772",879,"1,046",992,"1,903",817,"1,533","1,671","1,340","1,841","1,932",628,"2,972","1,342","2,188","2,428","1,931","5,406","1,303","8,044","1,576",,,
2020년05월_계_30~39세,"44,818",731,"1,540","1,301","1,555",588,"1,623","1,661","1,077","1,474","1,730",463,"3,597","1,037","1,968","1,867","1,717","6,041","1,179","12,341","1,328",,,
2020년05월_계_40~49세,"51,628","1,009","1,920","1,219","1,816",880,"1,974","1,958","1,032","1,791","2,168",520,"4,623","1,260","2,098","2,391","1,994","6,971","1,327","12,517","2,160",,,
2020년05월_계_50~59세,"57,549","1,421","1,579","1,430","2,671","1,258","2,246","2,220","1,349","2,672","2,591",749,"4,274","2,111","3,088","3,663","2,897","7,170","2,051","9,198","2,911",,,
2020년05월_계_60~69세,"49,979","1,430","1,450","1,404","2,314","1,249","2,077","1,603","1,264","2,607","2,536",700,"3,398","1,931","2,717","3,170","2,730","6,038","1,764","6,812","2,785",,,
2020년05월_계_70~79세,"29,862","1,096","1,015",839,"1,361",804,"1,487",973,737,"1,727","1,512",464,"1,711","1,104","1,565","1,838","1,691","3,177","1,075","3,736","1,950",,,
2020년05월_계_80~89세,"12,526",509,434,372,490,361,657,460,323,703,653,218,679,425,626,826,682,"1,386",393,"1,395",934,,,
2020년05월_계_90~99세,"1,446",56,52,52,59,30,67,53,36,74,81,17,87,43,75,87,82,178,51,164,102,,,
2020년05월_계_100세 이상,123,5,10,3,10,4,7,8,4,10,10,0,4,5,2,6,2,7,6,13,7,,,
2020년05월_남_총인구수,"169,113","3,945","5,236","4,380","6,788","3,177","6,513","6,264","3,872","7,119","7,279","2,264","13,210","5,095","8,161","9,010","7,829","21,637","5,242","34,420","7,672",,,
2020년05월_남_연령구간인구수,"169,113","3,945","5,236","4,380","6,788","3,177","6,513","6,264","3,872","7,119","7,279","2,264","13,210","5,095","8,161","9,010","7,829","21,637","5,242","34,420","7,672",,,
2020년05월_남_0~9세,"13,313",150,557,376,246,119,458,509,96,316,404,100,"1,368",208,480,473,433,"2,098",289,"4,266",367,,,
2020년05월_남_10~19세,"14,244",274,473,305,390,238,537,605,214,480,534,150,"1,407",303,510,729,519,"1,989",329,"3,649",609,,,
2020년05월_남_20~29세,"22,369",490,560,488,996,467,849,910,633,997,"1,030",413,"1,634",725,"1,223","1,337","1,042","2,866",730,"4,091",888,,,
2020년05월_남_30~39세,"23,568",429,740,710,876,313,847,832,628,851,931,279,"1,746",601,"1,093",996,985,"3,070",651,"6,292",698,,,
2020년05월_남_40~49세,"26,630",554,998,622,"1,028",443,997,952,571,930,"1,098",297,"2,349",690,"1,130","1,195","1,093","3,554",732,"6,316","1,081",,,
2020년05월_남_50~59세,"27,945",732,726,701,"1,361",574,"1,047","1,097",704,"1,311","1,237",387,"2,078","1,016","1,475","1,703","1,463","3,435","1,003","4,451","1,444",,,
2020년05월_남_60~69세,"23,187",665,624,657,"1,096",550,908,769,552,"1,174","1,137",351,"1,601",912,"1,318","1,452","1,299","2,825",825,"3,151","1,321",,,
2020년05월_남_70~79세,"13,048",458,392,369,591,343,607,403,340,768,651,203,776,477,690,807,739,"1,363",493,"1,671",907,,,
2020년05월_남_80~89세,"4,453",183,151,145,183,123,244,170,123,270,231,81,234,154,227,297,236,404,174,485,338,,,
2020년05월_남_90~99세,322,10,12,7,17,5,17,13,10,20,23,3,17,8,15,20,19,31,14,44,17,,,
2020년05월_남_100세 이상,34,0,3,0,4,2,2,4,1,2,3,0,0,1,0,1,1,2,2,4,2,,,
2020년05월_여_총인구수,"173,784","3,963","5,788","4,550","6,604","3,475","7,017","6,370","3,844","7,250","7,827","1,973","13,610","5,194","8,054","9,616","7,672","22,579","5,101","35,361","7,936",,,
2020년05월_여_연령구간인구수,"173,784","3,963","5,788","4,550","6,604","3,475","7,017","6,370","3,844","7,250","7,827","1,973","13,610","5,194","8,054","9,616","7,672","22,579","5,101","35,361","7,936",,,
2020년05월_여_0~9세,"12,732",142,552,350,237,120,435,464,79,244,413,106,"1,362",213,434,481,383,"1,958",288,"4,136",335,,,
2020년05월_여_10~19세,"12,905",206,396,287,340,184,429,449,165,430,542,122,"1,338",307,464,667,440,"1,797",288,"3,510",544,,,
2020년05월_여_20~29세,"19,403",389,486,504,907,350,684,761,707,844,902,215,"1,338",617,965,"1,091",889,"2,540",573,"3,953",688,,,
2020년05월_여_30~39세,"21,250",302,800,591,679,275,776,829,449,623,799,184,"1,851",436,875,871,732,"2,971",528,"6,049",630,,,
2020년05월_여_40~49세,"24,998",455,922,597,788,437,977,"1,006",461,861,"1,070",223,"2,274",570,968,"1,196",901,"3,417",595,"6,201","1,079",,,
2020년05월_여_50~59세,"29,604",689,853,729,"1,310",684,"1,199","1,123",645,"1,361","1,354",362,"2,196","1,095","1,613","1,960","1,434","3,735","1,048","4,747","1,467",,,
2020년05월_여_60~69세,"26,792",765,826,747,"1,218",699,"1,169",834,712,"1,433","1,399",349,"1,797","1,019","1,399","1,718","1,431","3,213",939,"3,661","1,464",,,
2020년05월_여_70~79세,"16,814",638,623,470,770,461,880,570,397,959,861,261,935,627,875,"1,031",952,"1,814",582,"2,065","1,043",,,
2020년05월_여_80~89세,"8,073",326,283,227,307,238,413,290,200,433,422,137,445,271,399,529,446,982,219,910,596,,,
2020년05월_여_90~99세,"1,124",46,40,45,42,25,50,40,26,54,58,14,70,35,60,67,63,147,37,120,85,,,
2020년05월_여_100세 이상,89,5,7,3,6,2,5,4,3,8,7,0,4,4,2,5,1,5,4,9,5,,,
2020년06월_계_총인구수,"342,627","7,909","10,892","8,911","13,326","6,632","13,500","12,620","7,619","14,356","15,072","4,217","26,713","10,254","16,206","18,538","15,431","44,057","10,808","69,818","15,748",,,
2020년06월_계_연령구간인구수,"342,627","7,909","10,892","8,911","13,326","6,632","13,500","12,620","7,619","14,356","15,072","4,217","26,713","10,254","16,206","18,538","15,431","44,057","10,808","69,818","15,748",,,
2020년06월_계_0~9세,"25,923",290,"1,096",727,476,239,880,962,167,563,799,202,"2,708",409,908,934,811,"4,014",628,"8,408",702,,,
2020년06월_계_10~19세,"27,046",482,856,593,726,415,954,"1,049",369,898,"1,065",273,"2,732",601,960,"1,382",949,"3,782",644,"7,173","1,143",,,
2020년06월_계_20~29세,"41,737",885,"1,026",986,"1,899",805,"1,534","1,675","1,314","1,838","1,936",618,"2,954","1,344","2,204","2,424","1,914","5,379","1,378","8,034","1,590",,,
2020년06월_계_30~39세,"44,676",729,"1,531","1,302","1,539",588,"1,609","1,638","1,061","1,473","1,716",458,"3,544","1,032","1,973","1,836","1,700","5,996","1,293","12,310","1,348",,,
2020년06월_계_40~49세,"51,576","1,005","1,901","1,224","1,804",871,"1,970","1,961","1,022","1,788","2,157",514,"4,628","1,255","2,089","2,381","1,982","6,935","1,383","12,539","2,167",,,
2020년06월_계_50~59세,"57,362","1,410","1,552","1,422","2,653","1,260","2,247","2,221","1,331","2,658","2,559",753,"4,250","2,091","3,082","3,633","2,878","7,137","2,125","9,160","2,940",,,
2020년06월_계_60~69세,"50,182","1,435","1,419","1,386","2,310","1,253","2,083","1,619","1,255","2,621","2,565",694,"3,411","1,931","2,712","3,181","2,734","6,053","1,810","6,878","2,832",,,
2020년06월_계_70~79세,"29,976","1,097","1,014",848,"1,359",805,"1,481",969,739,"1,727","1,529",468,"1,718","1,120","1,568","1,845","1,695","3,195","1,095","3,730","1,974",,,
2020년06월_계_80~89세,"12,578",513,436,370,490,362,669,465,322,708,656,218,677,424,634,827,682,"1,381",396,"1,407",941,,,
2020년06월_계_90~99세,"1,448",58,51,50,60,30,66,53,35,72,80,19,87,42,74,89,84,178,50,166,104,,,
2020년06월_계_100세 이상,123,5,10,3,10,4,7,8,4,10,10,0,4,5,2,6,2,7,6,13,7,,,
2020년06월_남_총인구수,"168,940","3,943","5,175","4,383","6,762","3,163","6,489","6,251","3,834","7,094","7,269","2,245","13,150","5,083","8,159","8,960","7,773","21,564","5,466","34,427","7,750",,,
2020년06월_남_연령구간인구수,"168,940","3,943","5,175","4,383","6,762","3,163","6,489","6,251","3,834","7,094","7,269","2,245","13,150","5,083","8,159","8,960","7,773","21,564","5,466","34,427","7,750",,,
2020년06월_남_0~9세,"13,241",149,551,379,241,119,453,503,89,310,395,95,"1,358",198,474,464,426,"2,075",314,"4,281",367,,,
2020년06월_남_10~19세,"14,169",276,466,307,391,233,529,599,210,473,529,150,"1,403",301,502,719,507,"1,984",343,"3,645",602,,,
2020년06월_남_20~29세,"22,333",489,549,487,985,461,840,911,620,996,"1,038",409,"1,618",722,"1,235","1,331","1,032","2,857",761,"4,093",899,,,
2020년06월_남_30~39세,"23,532",431,740,710,873,314,834,821,619,852,923,278,"1,716",599,"1,102",983,973,"3,048",714,"6,284",718,,,
2020년06월_남_40~49세,"26,595",553,986,626,"1,020",438,"1,004",953,569,931,"1,094",293,"2,353",689,"1,121","1,192","1,086","3,540",758,"6,308","1,081",,,
2020년06월_남_50~59세,"27,858",727,720,696,"1,356",572,"1,052","1,100",698,"1,300","1,221",388,"2,061","1,012","1,473","1,687","1,454","3,419","1,031","4,434","1,457",,,
2020년06월_남_60~69세,"23,293",664,608,649,"1,100",554,904,777,552,"1,180","1,152",344,"1,607",915,"1,316","1,454","1,305","2,830",857,"3,177","1,348",,,
2020년06월_남_70~79세,"13,091",458,387,376,591,343,605,398,344,761,659,204,785,483,691,815,731,"1,378",498,"1,665",919,,,
2020년06월_남_80~89세,"4,478",185,153,147,184,122,249,174,122,271,232,81,233,154,230,294,239,402,174,493,339,,,
2020년06월_남_90~99세,316,11,12,6,17,5,17,11,10,18,23,3,16,9,15,20,19,29,14,43,18,,,
2020년06월_남_100세 이상,34,0,3,0,4,2,2,4,1,2,3,0,0,1,0,1,1,2,2,4,2,,,
2020년06월_여_총인구수,"173,687","3,966","5,717","4,528","6,564","3,469","7,011","6,369","3,785","7,262","7,803","1,972","13,563","5,171","8,047","9,578","7,658","22,493","5,342","35,391","7,998",,,
2020년06월_여_연령구간인구수,"173,687","3,966","5,717","4,528","6,564","3,469","7,011","6,369","3,785","7,262","7,803","1,972","13,563","5,171","8,047","9,578","7,658","22,493","5,342","35,391","7,998",,,
2020년06월_여_0~9세,"12,682",141,545,348,235,120,427,459,78,253,404,107,"1,350",211,434,470,385,"1,939",314,"4,127",335,,,
2020년06월_여_10~19세,"12,877",206,390,286,335,182,425,450,159,425,536,123,"1,329",300,458,663,442,"1,798",301,"3,528",541,,,
2020년06월_여_20~29세,"19,404",396,477,499,914,344,694,764,694,842,898,209,"1,336",622,969,"1,093",882,"2,522",617,"3,941",691,,,
2020년06월_여_30~39세,"21,144",298,791,592,666,274,775,817,442,621,793,180,"1,828",433,871,853,727,"2,948",579,"6,026",630,,,
2020년06월_여_40~49세,"24,981",452,915,598,784,433,966,"1,008",453,857,"1,063",221,"2,275",566,968,"1,189",896,"3,395",625,"6,231","1,086",,,
2020년06월_여_50~59세,"29,504",683,832,726,"1,297",688,"1,195","1,121",633,"1,358","1,338",365,"2,189","1,079","1,609","1,946","1,424","3,718","1,094","4,726","1,483",,,
2020년06월_여_60~69세,"26,889",771,811,737,"1,210",699,"1,179",842,703,"1,441","1,413",350,"1,804","1,016","1,396","1,727","1,429","3,223",953,"3,701","1,484",,,
2020년06월_여_70~79세,"16,885",639,627,472,768,462,876,571,395,966,870,264,933,637,877,"1,030",964,"1,817",597,"2,065","1,055",,,
2020년06월_여_80~89세,"8,100",328,283,223,306,240,420,291,200,437,424,137,444,270,404,533,443,979,222,914,602,,,
2020년06월_여_90~99세,"1,132",47,39,44,43,25,49,42,25,54,57,16,71,33,59,69,65,149,36,123,86,,,
2020년06월_여_100세 이상,89,5,7,3,6,2,5,4,3,8,7,0,4,4,2,5,1,5,4,9,5,,,
2020년07월_계_총인구수,"342,657","7,788","10,839","8,935","13,365","6,610","13,454","12,587","7,582","14,301","15,000","4,209","21,978","15,086","15,990","18,505","15,374","44,007","11,207",0,"15,854","21,470","29,725","18,791"
2020년07월_계_연령구간인구수,"342,657","7,788","10,839","8,935","13,365","6,610","13,454","12,587","7,582","14,301","15,000","4,209","21,978","15,086","15,990","18,505","15,374","44,007","11,207",0,"15,854","21,470","29,725","18,791"
2020년07월_계_0~9세,"25,805",287,"1,088",723,468,234,867,950,167,558,785,201,"2,383",732,891,918,802,"3,999",661,0,695,"2,536","2,732","3,128"
2020년07월_계_10~19세,"26,970",466,846,594,729,419,935,"1,041",375,884,"1,065",266,"2,332",970,951,"1,374",951,"3,769",669,0,"1,143","2,724","3,032","1,435"
2020년07월_계_20~29세,"41,787",881,"1,033",996,"1,916",803,"1,535","1,671","1,297","1,828","1,910",613,"2,329","2,001","2,175","2,429","1,883","5,352","1,441",0,"1,611","2,199","3,861","2,023"
2020년07월_계_30~39세,"44,552",701,"1,523","1,290","1,548",584,"1,619","1,629","1,070","1,471","1,678",466,"2,962","1,610","1,942","1,805","1,674","5,943","1,384",0,"1,351","3,265","4,304","4,733"
