카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년03월_남_80~89세,"1,011",86,57,120,116,235,231,84,82
2020년03월_남_90~99세,128,7,8,12,19,32,26,15,9
2020년03월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년03월_여_총인구수,"41,291","2,263","1,958","3,264","5,047","10,986","13,981","2,231","1,561"
2020년03월_여_연령구간인구수,"41,291","2,263","1,958","3,264","5,047","10,986","13,981","2,231","1,561"
2020년03월_여_0~9세,"2,934",100,126,110,299,735,"1,412",111,41
2020년03월_여_10~19세,"3,668",131,129,232,448,"1,174","1,381",114,59
2020년03월_여_20~29세,"3,870",172,165,275,480,"1,076","1,414",179,109
2020년03월_여_30~39세,"4,347",190,196,197,451,"1,082","1,909",227,95
2020년03월_여_40~49세,"6,304",254,228,415,746,"1,872","2,391",231,167
2020년03월_여_50~59세,"7,700",459,390,702,962,"2,035","2,426",414,312
2020년03월_여_60~69세,"6,168",483,336,605,848,"1,487","1,614",416,379
2020년03월_여_70~79세,"3,794",284,232,424,504,901,913,292,244
2020년03월_여_80~89세,"2,028",151,128,232,247,508,439,197,126
2020년03월_여_90~99세,458,39,26,70,60,109,79,48,27
2020년03월_여_100세 이상,20,0,2,2,2,7,3,2,2
2020년04월_계_총인구수,"81,713","4,684","3,918","6,376","9,890","21,748","27,358","4,526","3,213"
2020년04월_계_연령구간인구수,"81,713","4,684","3,918","6,376","9,890","21,748","27,358","4,526","3,213"
2020년04월_계_0~9세,"5,914",190,268,243,609,"1,462","2,807",251,84
2020년04월_계_10~19세,"7,610",289,273,476,946,"2,385","2,843",259,139
2020년04월_계_20~29세,"8,845",436,339,656,"1,098","2,447","3,204",400,265
2020년04월_계_30~39세,"9,239",448,413,476,"1,011","2,299","3,843",506,243
2020년04월_계_40~49세,"12,545",569,520,842,"1,454","3,604","4,658",535,363
2020년04월_계_50~59세,"15,139",946,789,"1,330","1,856","4,071","4,585",883,679
2020년04월_계_60~69세,"12,014",992,661,"1,170","1,610","2,990","3,011",847,733
2020년04월_계_70~79세,"6,711",527,433,737,852,"1,597","1,610",493,462
2020년04월_계_80~89세,"3,078",241,187,359,371,744,684,287,205
2020년04월_계_90~99세,584,44,32,83,79,142,107,60,37
2020년04월_계_100세 이상,34,2,3,4,4,7,6,5,3
2020년04월_남_총인구수,"40,393","2,440","1,964","3,096","4,838","10,758","13,358","2,287","1,652"
2020년04월_남_연령구간인구수,"40,393","2,440","1,964","3,096","4,838","10,758","13,358","2,287","1,652"
2020년04월_남_0~9세,"2,993",97,142,129,305,732,"1,405",139,44
2020년04월_남_10~19세,"3,943",162,140,244,492,"1,210","1,468",143,84
2020년04월_남_20~29세,"4,980",267,180,380,612,"1,379","1,781",229,152
2020년04월_남_30~39세,"4,903",262,212,276,562,"1,217","1,944",281,149
2020년04월_남_40~49세,"6,241",317,291,425,716,"1,749","2,254",294,195
2020년04월_남_50~59세,"7,442",493,403,630,897,"2,013","2,172",470,364
2020년04월_남_60~69세,"5,819",502,324,562,769,"1,498","1,384",425,355
2020년04월_남_70~79세,"2,910",244,206,311,348,692,686,205,218
2020년04월_남_80~89세,"1,024",88,58,125,116,237,234,85,81
2020년04월_남_90~99세,124,6,7,12,19,31,27,13,9
2020년04월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년04월_여_총인구수,"41,320","2,244","1,954","3,280","5,052","10,990","14,000","2,239","1,561"
2020년04월_여_연령구간인구수,"41,320","2,244","1,954","3,280","5,052","10,990","14,000","2,239","1,561"
2020년04월_여_0~9세,"2,921",93,126,114,304,730,"1,402",112,40
2020년04월_여_10~19세,"3,667",127,133,232,454,"1,175","1,375",116,55
2020년04월_여_20~29세,"3,865",169,159,276,486,"1,068","1,423",171,113
2020년04월_여_30~39세,"4,336",186,201,200,449,"1,082","1,899",225,94
2020년04월_여_40~49세,"6,304",252,229,417,738,"1,855","2,404",241,168
2020년04월_여_50~59세,"7,697",453,386,700,959,"2,058","2,413",413,315
2020년04월_여_60~69세,"6,195",490,337,608,841,"1,492","1,627",422,378
2020년04월_여_70~79세,"3,801",283,227,426,504,905,924,288,244
2020년04월_여_80~89세,"2,054",153,129,234,255,507,450,202,124
2020년04월_여_90~99세,460,38,25,71,60,111,80,47,28
2020년04월_여_100세 이상,20,0,2,2,2,7,3,2,2
2020년05월_계_총인구수,"81,792","4,665","3,876","6,338","9,862","21,663","27,647","4,539","3,202"
2020년05월_계_연령구간인구수,"81,792","4,665","3,876","6,338","9,862","21,663","27,647","4,539","3,202"
2020년05월_계_0~9세,"5,881",188,269,239,595,"1,438","2,821",251,80
2020년05월_계_10~19세,"7,594",288,269,469,935,"2,367","2,874",259,133
2020년05월_계_20~29세,"8,840",433,334,650,"1,088","2,436","3,236",394,269
2020년05월_계_30~39세,"9,265",443,412,472,997,"2,271","3,911",513,246
2020년05월_계_40~49세,"12,521",565,513,818,"1,459","3,583","4,681",544,358
2020년05월_계_50~59세,"15,146",935,774,"1,325","1,843","4,068","4,644",886,671
2020년05월_계_60~69세,"12,080",994,654,"1,178","1,625","3,004","3,053",837,735
2020년05월_계_70~79세,"6,734",530,431,741,860,"1,591","1,618",498,465
2020년05월_계_80~89세,"3,105",242,187,358,374,752,695,291,206
2020년05월_계_90~99세,591,44,30,84,82,146,108,61,36
2020년05월_계_100세 이상,35,3,3,4,4,7,6,5,3
2020년05월_남_총인구수,"40,436","2,428","1,947","3,086","4,829","10,705","13,506","2,291","1,644"
2020년05월_남_연령구간인구수,"40,436","2,428","1,947","3,086","4,829","10,705","13,506","2,291","1,644"
2020년05월_남_0~9세,"2,979",96,143,128,301,714,"1,419",138,40
2020년05월_남_10~19세,"3,927",161,138,237,491,"1,201","1,476",142,81
2020년05월_남_20~29세,"4,975",269,175,378,599,"1,372","1,799",230,153
2020년05월_남_30~39세,"4,923",255,216,276,557,"1,199","1,984",286,150
2020년05월_남_40~49세,"6,223",316,287,415,720,"1,735","2,261",298,191
2020년05월_남_50~59세,"7,456",487,398,632,890,"2,016","2,207",466,360
2020년05월_남_60~69세,"5,850",503,318,566,777,"1,502","1,403",423,358
2020년05월_남_70~79세,"2,926",246,205,313,357,694,685,206,220
2020년05월_남_80~89세,"1,041",87,59,127,117,241,241,87,82
2020년05월_남_90~99세,122,6,7,12,18,31,28,12,8
2020년05월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년05월_여_총인구수,"41,356","2,237","1,929","3,252","5,033","10,958","14,141","2,248","1,558"
2020년05월_여_연령구간인구수,"41,356","2,237","1,929","3,252","5,033","10,958","14,141","2,248","1,558"
2020년05월_여_0~9세,"2,902",92,126,111,294,724,"1,402",113,40
2020년05월_여_10~19세,"3,667",127,131,232,444,"1,166","1,398",117,52
2020년05월_여_20~29세,"3,865",164,159,272,489,"1,064","1,437",164,116
2020년05월_여_30~39세,"4,342",188,196,196,440,"1,072","1,927",227,96
2020년05월_여_40~49세,"6,298",249,226,403,739,"1,848","2,420",246,167
2020년05월_여_50~59세,"7,690",448,376,693,953,"2,052","2,437",420,311
2020년05월_여_60~69세,"6,230",491,336,612,848,"1,502","1,650",414,377
2020년05월_여_70~79세,"3,808",284,226,428,503,897,933,292,245
2020년05월_여_80~89세,"2,064",155,128,231,257,511,454,204,124
2020년05월_여_90~99세,469,38,23,72,64,115,80,49,28
2020년05월_여_100세 이상,21,1,2,2,2,7,3,2,2
2020년06월_계_총인구수,"82,059","4,605","3,826","6,261","9,751","21,359","28,562","4,511","3,184"
2020년06월_계_연령구간인구수,"82,059","4,605","3,826","6,261","9,751","21,359","28,562","4,511","3,184"
2020년06월_계_0~9세,"5,910",178,254,237,574,"1,404","2,939",243,81
2020년06월_계_10~19세,"7,554",273,273,452,912,"2,291","2,971",254,128
2020년06월_계_20~29세,"8,924",431,327,646,"1,081","2,423","3,363",388,265
2020년06월_계_30~39세,"9,288",434,385,472,993,"2,200","4,052",510,242
2020년06월_계_40~49세,"12,524",551,515,800,"1,439","3,486","4,834",547,352
2020년06월_계_50~59세,"15,133",929,766,"1,300","1,805","4,029","4,761",873,670
2020년06월_계_60~69세,"12,229",999,653,"1,180","1,630","3,020","3,170",840,737
2020년06월_계_70~79세,"6,750",526,432,733,856,"1,596","1,644",498,465
2020년06월_계_80~89세,"3,119",237,189,353,376,760,708,291,205
2020년06월_계_90~99세,594,44,30,84,81,143,114,62,36
2020년06월_계_100세 이상,34,3,2,4,4,7,6,5,3
2020년06월_남_총인구수,"40,583","2,393","1,923","3,053","4,785","10,546","13,977","2,267","1,639"
2020년06월_남_연령구간인구수,"40,583","2,393","1,923","3,053","4,785","10,546","13,977","2,267","1,639"
2020년06월_남_0~9세,"2,983",90,137,127,292,685,"1,483",128,41
2020년06월_남_10~19세,"3,905",150,140,227,479,"1,157","1,536",138,78
2020년06월_남_20~29세,"5,020",270,174,378,608,"1,362","1,854",221,153
2020년06월_남_30~39세,"4,952",248,203,275,553,"1,167","2,069",288,149
2020년06월_남_40~49세,"6,227",312,283,409,716,"1,682","2,337",299,189
2020년06월_남_50~59세,"7,460",482,394,619,866,"2,005","2,273",461,360
2020년06월_남_60~69세,"5,921",505,318,569,780,"1,511","1,458",422,358
2020년06월_남_70~79세,"2,924",243,206,308,353,696,692,206,220
2020년06월_남_80~89세,"1,050",85,61,126,118,249,241,88,82
2020년06월_남_90~99세,128,6,7,13,18,32,31,13,8
2020년06월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년06월_여_총인구수,"41,476","2,212","1,903","3,208","4,966","10,813","14,585","2,244","1,545"
2020년06월_여_연령구간인구수,"41,476","2,212","1,903","3,208","4,966","10,813","14,585","2,244","1,545"
2020년06월_여_0~9세,"2,927",88,117,110,282,719,"1,456",115,40
2020년06월_여_10~19세,"3,649",123,133,225,433,"1,134","1,435",116,50
2020년06월_여_20~29세,"3,904",161,153,268,473,"1,061","1,509",167,112
2020년06월_여_30~39세,"4,336",186,182,197,440,"1,033","1,983",222,93
2020년06월_여_40~49세,"6,297",239,232,391,723,"1,804","2,497",248,163
2020년06월_여_50~59세,"7,673",447,372,681,939,"2,024","2,488",412,310
2020년06월_여_60~69세,"6,308",494,335,611,850,"1,509","1,712",418,379
2020년06월_여_70~79세,"3,826",283,226,425,503,900,952,292,245
2020년06월_여_80~89세,"2,069",152,128,227,258,511,467,203,123
2020년06월_여_90~99세,466,38,23,71,63,111,83,49,28
2020년06월_여_100세 이상,21,1,2,2,2,7,3,2,2
2020년07월_계_총인구수,"82,211","4,581","3,812","6,251","9,672","21,224","29,009","4,497","3,165"
2020년07월_계_연령구간인구수,"82,211","4,581","3,812","6,251","9,672","21,224","29,009","4,497","3,165"
2020년07월_계_0~9세,"5,905",179,255,239,553,"1,385","2,974",242,78
2020년07월_계_10~19세,"7,562",269,274,454,913,"2,246","3,029",247,130
2020년07월_계_20~29세,"8,946",431,323,644,"1,050","2,404","3,443",393,258
2020년07월_계_30~39세,"9,261",421,379,474,980,"2,179","4,090",504,234
2020년07월_계_40~49세,"12,529",548,512,781,"1,425","3,444","4,932",541,346
2020년07월_계_50~59세,"15,156",919,759,"1,307","1,785","4,016","4,830",869,671
2020년07월_계_60~69세,"12,321","1,008",659,"1,182","1,643","3,031","3,217",848,733
2020년07월_계_70~79세,"6,761",522,435,727,853,"1,603","1,659",497,465
2020년07월_계_80~89세,"3,139",237,186,356,385,764,714,287,210
2020년07월_계_90~99세,597,44,28,83,81,146,114,64,37
2020년07월_계_100세 이상,34,3,2,4,4,6,7,5,3
2020년07월_남_총인구수,"40,668","2,369","1,929","3,046","4,768","10,489","14,188","2,257","1,622"
2020년07월_남_연령구간인구수,"40,668","2,369","1,929","3,046","4,768","10,489","14,188","2,257","1,622"
2020년07월_남_0~9세,"2,985",91,137,129,284,675,"1,506",126,37
2020년07월_남_10~19세,"3,907",146,143,228,482,"1,133","1,560",134,81
2020년07월_남_20~29세,"5,033",268,175,378,599,"1,354","1,886",225,148
2020년07월_남_30~39세,"4,952",241,204,276,545,"1,166","2,089",286,145
2020년07월_남_40~49세,"6,236",310,282,402,713,"1,660","2,385",297,187
2020년07월_남_50~59세,"7,468",476,390,622,856,"1,997","2,311",461,355
2020년07월_남_60~69세,"5,959",503,322,566,793,"1,518","1,478",424,355
2020년07월_남_70~79세,"2,931",240,211,304,354,701,696,205,220
2020년07월_남_80~89세,"1,058",86,58,127,124,253,243,82,85
2020년07월_남_90~99세,126,6,7,12,16,32,31,14,8
2020년07월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년07월_여_총인구수,"41,543","2,212","1,883","3,205","4,904","10,735","14,821","2,240","1,543"
2020년07월_여_연령구간인구수,"41,543","2,212","1,883","3,205","4,904","10,735","14,821","2,240","1,543"
2020년07월_여_0~9세,"2,920",88,118,110,269,710,"1,468",116,41
2020년07월_여_10~19세,"3,655",123,131,226,431,"1,113","1,469",113,49
2020년07월_여_20~29세,"3,913",163,148,266,451,"1,050","1,557",168,110
2020년07월_여_30~39세,"4,309",180,175,198,435,"1,013","2,001",218,89
2020년07월_여_40~49세,"6,293",238,230,379,712,"1,784","2,547",244,159
2020년07월_여_50~59세,"7,688",443,369,685,929,"2,019","2,519",408,316
2020년07월_여_60~69세,"6,362",505,337,616,850,"1,513","1,739",424,378
2020년07월_여_70~79세,"3,830",282,224,423,499,902,963,292,245
2020년07월_여_80~89세,"2,081",151,128,229,261,511,471,205,125
2020년07월_여_90~99세,471,38,21,71,65,114,83,50,29
2020년07월_여_100세 이상,21,1,2,2,2,6,4,2,2
2020년08월_계_총인구수,"82,343","4,579","3,803","6,270","9,649","21,220","29,188","4,487","3,147"
2020년08월_계_연령구간인구수,"82,343","4,579","3,803","6,270","9,649","21,220","29,188","4,487","3,147"
2020년08월_계_0~9세,"5,903",179,255,239,543,"1,366","3,008",239,74
2020년08월_계_10~19세,"7,534",267,271,457,905,"2,241","3,019",246,128
2020년08월_계_20~29세,"8,971",432,323,645,"1,048","2,409","3,480",385,249
2020년08월_계_30~39세,"9,278",425,376,474,976,"2,189","4,105",500,233
2020년08월_계_40~49세,"12,532",541,514,780,"1,421","3,421","4,972",543,340
2020년08월_계_50~59세,"15,138",917,755,"1,304","1,771","4,006","4,853",861,671
2020년08월_계_60~69세,"12,440","1,010",663,"1,193","1,661","3,062","3,258",859,734
2020년08월_계_70~79세,"6,766",524,432,732,852,"1,605","1,658",497,466
2020년08월_계_80~89세,"3,147",237,184,359,386,769,714,288,210
2020년08월_계_90~99세,600,44,28,83,82,146,114,64,39
2020년08월_계_100세 이상,34,3,2,4,4,6,7,5,3
2020년08월_남_총인구수,"40,742","2,363","1,927","3,061","4,752","10,500","14,266","2,260","1,613"
2020년08월_남_연령구간인구수,"40,742","2,363","1,927","3,061","4,752","10,500","14,266","2,260","1,613"
2020년08월_남_0~9세,"2,976",89,138,127,278,666,"1,519",126,33
2020년08월_남_10~19세,"3,895",147,141,230,475,"1,136","1,549",136,81
2020년08월_남_20~29세,"5,059",268,174,381,599,"1,367","1,907",221,142
2020년08월_남_30~39세,"4,960",244,202,275,542,"1,174","2,092",286,145
2020년08월_남_40~49세,"6,225",303,284,403,713,"1,646","2,400",294,182
2020년08월_남_50~59세,"7,466",473,392,620,847,"1,989","2,328",458,359
2020년08월_남_60~69세,"6,016",504,322,576,800,"1,530","1,496",434,354
2020년08월_남_70~79세,"2,942",240,210,307,355,704,700,204,222
2020년08월_남_80~89세,"1,063",86,57,128,124,257,241,84,86
2020년08월_남_90~99세,127,7,7,12,17,31,31,14,8
2020년08월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년08월_여_총인구수,"41,601","2,216","1,876","3,209","4,897","10,720","14,922","2,227","1,534"
2020년08월_여_연령구간인구수,"41,601","2,216","1,876","3,209","4,897","10,720","14,922","2,227","1,534"
2020년08월_여_0~9세,"2,927",90,117,112,265,700,"1,489",113,41
2020년08월_여_10~19세,"3,639",120,130,227,430,"1,105","1,470",110,47
2020년08월_여_20~29세,"3,912",164,149,264,449,"1,042","1,573",164,107
2020년08월_여_30~39세,"4,318",181,174,199,434,"1,015","2,013",214,88
2020년08월_여_40~49세,"6,307",238,230,377,708,"1,775","2,572",249,158
2020년08월_여_50~59세,"7,672",444,363,684,924,"2,017","2,525",403,312
2020년08월_여_60~69세,"6,424",506,341,617,861,"1,532","1,762",425,380
2020년08월_여_70~79세,"3,824",284,222,425,497,901,958,293,244
2020년08월_여_80~89세,"2,084",151,127,231,262,512,473,204,124
2020년08월_여_90~99세,473,37,21,71,65,115,83,50,31
2020년08월_여_100세 이상,21,1,2,2,2,6,4,2,2
2020년09월_계_총인구수,"82,457","4,575","3,798","6,255","9,654","21,224","29,303","4,509","3,139"
2020년09월_계_연령구간인구수,"82,457","4,575","3,798","6,255","9,654","21,224","29,303","4,509","3,139"
2020년09월_계_0~9세,"5,885",175,254,240,544,"1,371","2,990",243,68
2020년09월_계_10~19세,"7,529",262,272,457,893,"2,230","3,040",247,128
2020년09월_계_20~29세,"8,983",444,326,637,"1,062","2,397","3,486",384,247
2020년09월_계_30~39세,"9,266",415,368,472,974,"2,187","4,117",507,226
2020년09월_계_40~49세,"12,500",526,516,781,"1,405","3,410","4,983",542,337
2020년09월_계_50~59세,"15,191",931,744,"1,297","1,776","4,012","4,898",860,673
2020년09월_계_60~69세,"12,529","1,018",668,"1,196","1,673","3,091","3,286",860,737
2020년09월_계_70~79세,"6,772",523,430,728,849,"1,604","1,663",507,468
2020년09월_계_80~89세,"3,157",235,191,360,391,770,708,288,214
2020년09월_계_90~99세,612,43,27,83,83,147,125,66,38
2020년09월_계_100세 이상,33,3,2,4,4,5,7,5,3
2020년09월_남_총인구수,"40,828","2,368","1,915","3,050","4,742","10,533","14,347","2,264","1,609"
2020년09월_남_연령구간인구수,"40,828","2,368","1,915","3,050","4,742","10,533","14,347","2,264","1,609"
2020년09월_남_0~9세,"2,973",86,136,127,277,676,"1,513",128,30
2020년09월_남_10~19세,"3,895",147,141,230,472,"1,134","1,559",131,81
2020년09월_남_20~29세,"5,085",278,175,380,602,"1,364","1,922",221,143
2020년09월_남_30~39세,"4,958",234,199,274,541,"1,176","2,107",287,140
2020년09월_남_40~49세,"6,198",296,281,399,703,"1,651","2,397",290,181
2020년09월_남_50~59세,"7,498",485,387,616,848,"1,989","2,354",461,358
2020년09월_남_60~69세,"6,062",506,321,577,800,"1,549","1,516",434,359
2020년09월_남_70~79세,"2,951",242,209,305,353,708,703,210,221
2020년09월_남_80~89세,"1,070",86,60,128,127,254,242,85,88
2020년09월_남_90~99세,125,6,6,12,17,32,31,14,7
2020년09월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년09월_여_총인구수,"41,629","2,207","1,883","3,205","4,912","10,691","14,956","2,245","1,530"
2020년09월_여_연령구간인구수,"41,629","2,207","1,883","3,205","4,912","10,691","14,956","2,245","1,530"
2020년09월_여_0~9세,"2,912",89,118,113,267,695,"1,477",115,38
2020년09월_여_10~19세,"3,634",115,131,227,421,"1,096","1,481",116,47
2020년09월_여_20~29세,"3,898",166,151,257,460,"1,033","1,564",163,104
2020년09월_여_30~39세,"4,308",181,169,198,433,"1,011","2,010",220,86
2020년09월_여_40~49세,"6,302",230,235,382,702,"1,759","2,586",252,156
2020년09월_여_50~59세,"7,693",446,357,681,928,"2,023","2,544",399,315
2020년09월_여_60~69세,"6,467",512,347,619,873,"1,542","1,770",426,378
2020년09월_여_70~79세,"3,821",281,221,423,496,896,960,297,247
