카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년03월_남_10~19세,"1,367",534,117,218,61,58,99,92,90,47,51
2020년03월_남_20~29세,"1,635",578,182,236,73,66,143,104,108,72,73
2020년03월_남_30~39세,"1,880",521,424,289,67,63,202,83,117,46,68
2020년03월_남_40~49세,"2,900",872,442,423,139,112,264,182,219,113,134
2020년03월_남_50~59세,"3,914","1,050",448,508,219,193,338,282,432,229,215
2020년03월_남_60~69세,"3,727",882,397,445,215,166,393,277,453,218,281
2020년03월_남_70~79세,"2,052",485,258,221,107,110,179,155,266,112,159
2020년03월_남_80~89세,717,171,73,64,46,32,43,67,125,39,57
2020년03월_남_90~99세,79,17,11,3,4,7,6,11,11,2,7
2020년03월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년03월_여_총인구수,"17,810","5,296","2,236","2,295",903,854,"1,532","1,291","1,665",779,959
2020년03월_여_연령구간인구수,"17,810","5,296","2,236","2,295",903,854,"1,532","1,291","1,665",779,959
2020년03월_여_0~9세,880,323,134,147,42,26,73,51,55,13,16
2020년03월_여_10~19세,"1,281",486,129,182,62,55,96,102,72,48,49
2020년03월_여_20~29세,"1,237",438,165,184,54,50,87,64,91,48,56
2020년03월_여_30~39세,"1,439",467,310,244,43,44,122,69,71,27,42
2020년03월_여_40~49세,"2,119",796,274,334,80,72,170,140,119,63,71
2020년03월_여_50~59세,"3,282",918,340,418,181,147,324,240,343,164,207
2020년03월_여_60~69세,"3,406",816,459,420,175,182,339,255,366,177,217
2020년03월_여_70~79세,"2,487",626,287,253,173,164,192,193,298,133,168
2020년03월_여_80~89세,"1,393",335,115,100,84,91,107,145,212,89,115
2020년03월_여_90~99세,261,82,17,12,9,19,22,32,35,16,17
2020년03월_여_100세 이상,25,9,6,1,0,4,0,0,3,1,1
2020년04월_계_총인구수,"37,036","10,757","4,716","4,865","1,866","1,685","3,293","2,596","3,540","1,677","2,041"
2020년04월_계_연령구간인구수,"37,036","10,757","4,716","4,865","1,866","1,685","3,293","2,596","3,540","1,677","2,041"
2020년04월_계_0~9세,"1,811",676,246,314,75,46,157,100,112,35,50
2020년04월_계_10~19세,"2,642","1,015",248,393,128,111,196,190,162,97,102
2020년04월_계_20~29세,"2,869","1,015",351,411,124,119,233,170,199,120,127
2020년04월_계_30~39세,"3,274",975,727,522,105,101,321,152,185,73,113
2020년04월_계_40~49세,"5,021","1,679",712,762,220,188,428,321,338,172,201
2020년04월_계_50~59세,"7,160","1,946",795,925,396,337,666,519,767,389,420
2020년04월_계_60~69세,"7,209","1,716",863,879,392,350,745,537,827,397,503
2020년04월_계_70~79세,"4,531","1,112",545,472,281,274,368,347,559,245,328
2020년04월_계_80~89세,"2,129",508,192,167,131,122,152,215,340,129,173
2020년04월_계_90~99세,344,102,28,14,14,27,25,44,48,19,23
2020년04월_계_100세 이상,46,13,9,6,0,10,2,1,3,1,1
2020년04월_남_총인구수,"19,232","5,462","2,472","2,575",965,834,"1,766","1,304","1,874",900,"1,080"
2020년04월_남_연령구간인구수,"19,232","5,462","2,472","2,575",965,834,"1,766","1,304","1,874",900,"1,080"
2020년04월_남_0~9세,933,352,115,165,34,20,85,49,57,22,34
2020년04월_남_10~19세,"1,364",529,118,212,64,58,98,93,89,50,53
2020년04월_남_20~29세,"1,633",581,184,232,72,66,145,101,108,72,72
2020년04월_남_30~39세,"1,851",509,422,282,65,61,199,84,114,46,69
2020년04월_남_40~49세,"2,914",883,439,430,140,114,261,183,219,110,135
2020년04월_남_50~59세,"3,891","1,036",448,507,216,191,343,282,428,228,212
2020년04월_남_60~69세,"3,777",892,401,455,217,170,406,278,458,218,282
2020년04월_남_70~79세,"2,042",485,257,219,105,108,179,154,263,112,160
2020년04월_남_80~89세,729,174,74,66,47,33,44,68,126,40,57
2020년04월_남_90~99세,79,17,11,3,5,7,5,11,12,2,6
2020년04월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년04월_여_총인구수,"17,804","5,295","2,244","2,290",901,851,"1,527","1,292","1,666",777,961
2020년04월_여_연령구간인구수,"17,804","5,295","2,244","2,290",901,851,"1,527","1,292","1,666",777,961
2020년04월_여_0~9세,878,324,131,149,41,26,72,51,55,13,16
2020년04월_여_10~19세,"1,278",486,130,181,64,53,98,97,73,47,49
2020년04월_여_20~29세,"1,236",434,167,179,52,53,88,69,91,48,55
2020년04월_여_30~39세,"1,423",466,305,240,40,40,122,68,71,27,44
2020년04월_여_40~49세,"2,107",796,273,332,80,74,167,138,119,62,66
2020년04월_여_50~59세,"3,269",910,347,418,180,146,323,237,339,161,208
2020년04월_여_60~69세,"3,432",824,462,424,175,180,339,259,369,179,221
2020년04월_여_70~79세,"2,489",627,288,253,176,166,189,193,296,133,168
2020년04월_여_80~89세,"1,400",334,118,101,84,89,108,147,214,89,116
2020년04월_여_90~99세,265,85,17,11,9,20,20,33,36,17,17
2020년04월_여_100세 이상,27,9,6,2,0,4,1,0,3,1,1
2020년05월_계_총인구수,"37,025","10,766","4,726","4,863","1,857","1,679","3,292","2,596","3,546","1,676","2,024"
2020년05월_계_연령구간인구수,"37,025","10,766","4,726","4,863","1,857","1,679","3,292","2,596","3,546","1,676","2,024"
2020년05월_계_0~9세,"1,798",670,248,312,70,46,156,99,112,35,50
2020년05월_계_10~19세,"2,632","1,025",251,388,129,106,193,187,162,96,95
2020년05월_계_20~29세,"2,868","1,015",348,410,122,122,232,176,199,121,123
2020년05월_계_30~39세,"3,258",973,734,516,103,100,313,149,184,72,114
2020년05월_계_40~49세,"4,987","1,671",711,756,217,184,430,313,337,169,199
2020년05월_계_50~59세,"7,160","1,945",796,938,395,334,666,524,762,387,413
2020년05월_계_60~69세,"7,259","1,732",861,885,392,355,754,536,836,400,508
2020년05월_계_70~79세,"4,535","1,113",546,472,278,274,366,352,559,247,328
2020년05월_계_80~89세,"2,136",508,193,166,137,121,155,216,342,128,170
2020년05월_계_90~99세,345,101,29,14,14,27,25,42,50,20,23
2020년05월_계_100세 이상,47,13,9,6,0,10,2,2,3,1,1
2020년05월_남_총인구수,"19,224","5,469","2,478","2,576",961,831,"1,765","1,302","1,877",897,"1,068"
2020년05월_남_연령구간인구수,"19,224","5,469","2,478","2,576",961,831,"1,765","1,302","1,877",897,"1,068"
2020년05월_남_0~9세,933,351,117,166,34,19,85,49,56,22,34
2020년05월_남_10~19세,"1,355",535,117,209,64,55,97,89,90,50,49
2020년05월_남_20~29세,"1,633",580,184,231,71,69,143,106,108,72,69
2020년05월_남_30~39세,"1,840",508,427,279,63,61,193,82,113,45,69
2020년05월_남_40~49세,"2,886",876,438,425,138,112,263,177,217,107,133
2020년05월_남_50~59세,"3,899","1,037",451,518,216,188,343,285,424,227,210
2020년05월_남_60~69세,"3,804",901,399,455,216,173,413,276,467,221,283
2020년05월_남_70~79세,"2,044",487,255,220,105,108,178,158,263,111,159
2020년05월_남_80~89세,732,173,76,66,49,33,44,68,127,40,56
2020년05월_남_90~99세,79,17,11,3,5,7,5,11,12,2,6
2020년05월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년05월_여_총인구수,"17,801","5,297","2,248","2,287",896,848,"1,527","1,294","1,669",779,956
2020년05월_여_연령구간인구수,"17,801","5,297","2,248","2,287",896,848,"1,527","1,294","1,669",779,956
2020년05월_여_0~9세,865,319,131,146,36,27,71,50,56,13,16
2020년05월_여_10~19세,"1,277",490,134,179,65,51,96,98,72,46,46
2020년05월_여_20~29세,"1,235",435,164,179,51,53,89,70,91,49,54
2020년05월_여_30~39세,"1,418",465,307,237,40,39,120,67,71,27,45
2020년05월_여_40~49세,"2,101",795,273,331,79,72,167,136,120,62,66
2020년05월_여_50~59세,"3,261",908,345,420,179,146,323,239,338,160,203
2020년05월_여_60~69세,"3,455",831,462,430,176,182,341,260,369,179,225
2020년05월_여_70~79세,"2,491",626,291,252,173,166,188,194,296,136,169
2020년05월_여_80~89세,"1,404",335,117,100,88,88,111,148,215,88,114
2020년05월_여_90~99세,266,84,18,11,9,20,20,31,38,18,17
2020년05월_여_100세 이상,28,9,6,2,0,4,1,1,3,1,1
2020년06월_계_총인구수,"37,046","10,767","4,737","4,856","1,862","1,675","3,295","2,598","3,541","1,691","2,024"
2020년06월_계_연령구간인구수,"37,046","10,767","4,737","4,856","1,862","1,675","3,295","2,598","3,541","1,691","2,024"
2020년06월_계_0~9세,"1,798",659,257,308,72,42,157,104,113,35,51
2020년06월_계_10~19세,"2,610","1,025",243,388,129,109,187,178,160,96,95
2020년06월_계_20~29세,"2,868","1,015",347,404,123,119,233,179,202,124,122
2020년06월_계_30~39세,"3,242",967,732,517,105,99,313,151,178,69,111
2020년06월_계_40~49세,"4,988","1,671",708,753,216,182,435,313,333,177,200
2020년06월_계_50~59세,"7,140","1,947",793,931,391,333,665,522,760,389,409
2020년06월_계_60~69세,"7,324","1,742",875,892,397,358,760,538,846,401,515
2020년06월_계_70~79세,"4,539","1,112",546,477,277,275,364,354,558,250,326
2020년06월_계_80~89세,"2,147",514,198,165,138,121,155,217,338,129,172
2020년06월_계_90~99세,342,101,29,15,14,27,24,40,50,20,22
2020년06월_계_100세 이상,48,14,9,6,0,10,2,2,3,1,1
2020년06월_남_총인구수,"19,236","5,480","2,485","2,566",963,830,"1,760","1,301","1,878",905,"1,068"
2020년06월_남_연령구간인구수,"19,236","5,480","2,485","2,566",963,830,"1,760","1,301","1,878",905,"1,068"
2020년06월_남_0~9세,933,344,126,163,35,17,83,53,56,22,34
2020년06월_남_10~19세,"1,346",534,111,211,66,56,92,84,91,52,49
2020년06월_남_20~29세,"1,626",581,182,226,71,67,143,110,106,72,68
2020년06월_남_30~39세,"1,829",509,424,281,64,60,190,81,110,42,68
2020년06월_남_40~49세,"2,894",874,437,424,138,111,266,180,218,111,135
2020년06월_남_50~59세,"3,888","1,044",447,508,212,188,344,281,426,229,209
2020년06월_남_60~69세,"3,838",910,413,457,218,173,415,276,470,222,284
2020년06월_남_70~79세,"2,044",487,252,223,104,110,177,157,263,113,158
2020년06월_남_80~89세,740,176,79,66,50,35,44,68,125,40,57
2020년06월_남_90~99세,79,17,11,3,5,7,5,10,13,2,6
2020년06월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년06월_여_총인구수,"17,810","5,287","2,252","2,290",899,845,"1,535","1,297","1,663",786,956
2020년06월_여_연령구간인구수,"17,810","5,287","2,252","2,290",899,845,"1,535","1,297","1,663",786,956
2020년06월_여_0~9세,865,315,131,145,37,25,74,51,57,13,17
2020년06월_여_10~19세,"1,264",491,132,177,63,53,95,94,69,44,46
2020년06월_여_20~29세,"1,242",434,165,178,52,52,90,69,96,52,54
2020년06월_여_30~39세,"1,413",458,308,236,41,39,123,70,68,27,43
2020년06월_여_40~49세,"2,094",797,271,329,78,71,169,133,115,66,65
2020년06월_여_50~59세,"3,252",903,346,423,179,145,321,241,334,160,200
2020년06월_여_60~69세,"3,486",832,462,435,179,185,345,262,376,179,231
2020년06월_여_70~79세,"2,495",625,294,254,173,165,187,197,295,137,168
2020년06월_여_80~89세,"1,407",338,119,99,88,86,111,149,213,89,115
2020년06월_여_90~99세,263,84,18,12,9,20,19,30,37,18,16
2020년06월_여_100세 이상,29,10,6,2,0,4,1,1,3,1,1
2020년07월_계_총인구수,"37,001","10,757","4,722","4,862","1,851","1,678","3,295","2,591","3,536","1,683","2,026"
2020년07월_계_연령구간인구수,"37,001","10,757","4,722","4,862","1,851","1,678","3,295","2,591","3,536","1,683","2,026"
2020년07월_계_0~9세,"1,774",655,249,306,72,40,154,103,111,33,51
2020년07월_계_10~19세,"2,605","1,023",243,383,123,113,189,178,159,98,96
2020년07월_계_20~29세,"2,857","1,003",355,408,125,115,224,180,203,119,125
2020년07월_계_30~39세,"3,203",956,724,513,100,101,310,148,176,69,106
2020년07월_계_40~49세,"4,985","1,679",705,749,212,180,442,314,328,175,201
2020년07월_계_50~59세,"7,116","1,946",789,938,395,332,664,513,755,384,400
2020년07월_계_60~69세,"7,376","1,754",872,897,396,363,769,544,850,408,523
2020년07월_계_70~79세,"4,539","1,110",548,480,275,276,362,351,559,247,331
2020년07월_계_80~89세,"2,157",514,199,167,138,122,157,220,341,129,170
2020년07월_계_90~99세,340,103,29,15,15,25,22,38,51,20,22
2020년07월_계_100세 이상,49,14,9,6,0,11,2,2,3,1,1
2020년07월_남_총인구수,"19,218","5,477","2,483","2,572",957,829,"1,756","1,297","1,872",906,"1,069"
2020년07월_남_연령구간인구수,"19,218","5,477","2,483","2,572",957,829,"1,756","1,297","1,872",906,"1,069"
2020년07월_남_0~9세,918,340,121,162,35,16,81,52,55,21,35
2020년07월_남_10~19세,"1,346",535,111,206,63,58,93,86,90,54,50
2020년07월_남_20~29세,"1,615",574,189,230,72,65,135,109,104,69,68
2020년07월_남_30~39세,"1,817",506,418,282,60,61,190,81,110,43,66
2020년07월_남_40~49세,"2,894",882,440,420,135,108,269,179,216,110,135
2020년07월_남_50~59세,"3,879","1,045",445,515,214,188,341,276,424,228,203
2020년07월_남_60~69세,"3,867",914,412,460,218,175,421,280,471,226,290
2020년07월_남_70~79세,"2,042",485,254,223,106,110,175,155,263,112,159
2020년07월_남_80~89세,744,176,79,67,50,35,45,68,126,41,57
2020년07월_남_90~99세,76,16,11,3,4,6,5,10,13,2,6
2020년07월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년07월_여_총인구수,"17,783","5,280","2,239","2,290",894,849,"1,539","1,294","1,664",777,957
2020년07월_여_연령구간인구수,"17,783","5,280","2,239","2,290",894,849,"1,539","1,294","1,664",777,957
2020년07월_여_0~9세,856,315,128,144,37,24,73,51,56,12,16
2020년07월_여_10~19세,"1,259",488,132,177,60,55,96,92,69,44,46
2020년07월_여_20~29세,"1,242",429,166,178,53,50,89,71,99,50,57
2020년07월_여_30~39세,"1,386",450,306,231,40,40,120,67,66,26,40
2020년07월_여_40~49세,"2,091",797,265,329,77,72,173,135,112,65,66
2020년07월_여_50~59세,"3,237",901,344,423,181,144,323,237,331,156,197
2020년07월_여_60~69세,"3,509",840,460,437,178,188,348,264,379,182,233
2020년07월_여_70~79세,"2,497",625,294,257,169,166,187,196,296,135,172
2020년07월_여_80~89세,"1,413",338,120,100,88,87,112,152,215,88,113
2020년07월_여_90~99세,264,87,18,12,11,19,17,28,38,18,16
2020년07월_여_100세 이상,29,10,6,2,0,4,1,1,3,1,1
2020년08월_계_총인구수,"37,006","10,758","4,710","4,857","1,854","1,678","3,295","2,596","3,541","1,691","2,026"
2020년08월_계_연령구간인구수,"37,006","10,758","4,710","4,857","1,854","1,678","3,295","2,596","3,541","1,691","2,026"
2020년08월_계_0~9세,"1,761",642,251,303,71,41,152,104,112,35,50
2020년08월_계_10~19세,"2,600","1,022",239,382,123,114,189,178,156,99,98
2020년08월_계_20~29세,"2,840","1,009",347,402,125,114,218,180,205,117,123
2020년08월_계_30~39세,"3,178",952,712,513,99,101,304,146,175,71,105
2020년08월_계_40~49세,"4,983","1,673",710,757,208,180,449,310,325,173,198
2020년08월_계_50~59세,"7,117","1,959",783,926,392,330,661,518,762,386,400
2020년08월_계_60~69세,"7,402","1,756",876,903,401,364,770,544,850,411,527
2020년08월_계_70~79세,"4,562","1,108",549,481,281,276,369,357,560,249,332
2020년08월_계_80~89세,"2,167",517,204,169,139,122,158,217,342,128,171
2020년08월_계_90~99세,346,105,30,15,15,25,23,40,51,21,21
2020년08월_계_100세 이상,50,15,9,6,0,11,2,2,3,1,1
2020년08월_남_총인구수,"19,235","5,483","2,480","2,571",960,829,"1,757","1,299","1,879",910,"1,067"
2020년08월_남_연령구간인구수,"19,235","5,483","2,480","2,571",960,829,"1,757","1,299","1,879",910,"1,067"
2020년08월_남_0~9세,910,333,122,161,35,17,79,52,56,21,34
2020년08월_남_10~19세,"1,345",537,111,206,62,59,91,85,88,55,51
2020년08월_남_20~29세,"1,606",572,187,225,73,65,133,109,107,69,66
2020년08월_남_30~39세,"1,805",508,414,280,60,59,187,79,109,43,66
2020년08월_남_40~49세,"2,887",876,439,426,133,109,273,176,213,109,133
2020년08월_남_50~59세,"3,894","1,054",440,513,215,184,341,281,432,231,203
2020년08월_남_60~69세,"3,886",919,417,463,218,178,424,278,471,226,292
2020년08월_남_70~79세,"2,057",486,254,222,110,111,178,160,263,114,159
2020년08월_남_80~89세,750,178,82,68,50,34,45,68,127,40,58
2020년08월_남_90~99세,75,16,11,3,4,6,5,10,13,2,5
2020년08월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년08월_여_총인구수,"17,771","5,275","2,230","2,286",894,849,"1,538","1,297","1,662",781,959
2020년08월_여_연령구간인구수,"17,771","5,275","2,230","2,286",894,849,"1,538","1,297","1,662",781,959
2020년08월_여_0~9세,851,309,129,142,36,24,73,52,56,14,16
2020년08월_여_10~19세,"1,255",485,128,176,61,55,98,93,68,44,47
2020년08월_여_20~29세,"1,234",437,160,177,52,49,85,71,98,48,57
2020년08월_여_30~39세,"1,373",444,298,233,39,42,117,67,66,28,39
2020년08월_여_40~49세,"2,096",797,271,331,75,71,176,134,112,64,65
2020년08월_여_50~59세,"3,223",905,343,413,177,146,320,237,330,155,197
2020년08월_여_60~69세,"3,516",837,459,440,183,186,346,266,379,185,235
2020년08월_여_70~79세,"2,505",622,295,259,171,165,191,197,297,135,173
2020년08월_여_80~89세,"1,417",339,122,101,89,88,113,149,215,88,113
2020년08월_여_90~99세,271,89,19,12,11,19,18,30,38,19,16
2020년08월_여_100세 이상,30,11,6,2,0,4,1,1,3,1,1
2020년09월_계_총인구수,"36,956","10,775","4,709","4,833","1,842","1,683","3,285","2,591","3,530","1,687","2,021"
2020년09월_계_연령구간인구수,"36,956","10,775","4,709","4,833","1,842","1,683","3,285","2,591","3,530","1,687","2,021"
2020년09월_계_0~9세,"1,753",640,250,303,71,40,151,104,111,36,47
2020년09월_계_10~19세,"2,576","1,018",238,377,124,113,183,177,149,97,100
2020년09월_계_20~29세,"2,846","1,025",345,401,123,116,215,179,207,115,120
2020년09월_계_30~39세,"3,148",941,713,504,95,100,302,143,175,72,103
2020년09월_계_40~49세,"4,990","1,684",720,747,206,182,448,307,324,174,198
2020년09월_계_50~59세,"7,074","1,952",779,928,386,330,649,517,752,381,400
2020년09월_계_60~69세,"7,437","1,760",867,905,401,366,784,550,859,415,530
2020년09월_계_70~79세,"4,548","1,107",555,481,280,275,366,354,553,249,328
2020년09월_계_80~89세,"2,184",525,203,166,142,125,162,218,345,125,173
2020년09월_계_90~99세,350,108,30,15,14,25,23,40,52,22,21
2020년09월_계_100세 이상,50,15,9,6,0,11,2,2,3,1,1
2020년09월_남_총인구수,"19,202","5,488","2,485","2,556",953,832,"1,748","1,294","1,873",910,"1,063"
2020년09월_남_연령구간인구수,"19,202","5,488","2,485","2,556",953,832,"1,748","1,294","1,873",910,"1,063"
2020년09월_남_0~9세,903,334,121,160,35,15,77,52,55,22,32
2020년09월_남_10~19세,"1,333",536,111,200,62,59,89,84,85,54,53
2020년09월_남_20~29세,"1,613",580,188,229,72,68,130,107,107,69,63
2020년09월_남_30~39세,"1,785",502,417,270,58,59,185,78,109,43,64
2020년09월_남_40~49세,"2,887",881,447,419,130,110,272,174,211,109,134
2020년09월_남_50~59세,"3,878","1,052",438,516,210,184,338,280,428,229,203
2020년09월_남_60~69세,"3,904",916,413,467,222,180,429,281,477,227,292
2020년09월_남_70~79세,"2,045",487,253,222,109,110,175,159,259,115,156
2020년09월_남_80~89세,757,178,83,67,51,34,47,68,128,40,61
2020년09월_남_90~99세,77,18,11,2,4,6,5,10,14,2,5
