카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동,충청남도 보령시 원산도출장소
2020년06월_남_0~9세,"3,207",76,18,17,34,14,60,43,71,84,38,30,44,99,580,251,867,755,126,0.0
2020년06월_남_10~19세,"4,412",179,66,61,52,42,105,69,115,134,44,35,70,186,757,327,"1,029",932,209,0.0
2020년06월_남_20~29세,"5,626",292,141,73,88,38,141,85,157,228,73,63,97,293,988,423,"1,149",959,338,0.0
2020년06월_남_30~39세,"5,214",221,43,83,73,44,147,89,131,169,62,49,91,249,856,421,"1,191",946,349,0.0
2020년06월_남_40~49세,"7,780",377,107,173,142,77,208,132,233,285,125,109,158,430,"1,216",594,"1,559","1,354",501,0.0
2020년06월_남_50~59세,"9,241",640,154,257,186,142,357,236,380,560,203,151,263,536,"1,266",617,"1,310","1,281",702,0.0
2020년06월_남_60~69세,"8,114",728,197,240,182,128,404,294,444,581,269,219,230,497,960,453,811,813,664,0.0
2020년06월_남_70~79세,"4,987",479,107,168,84,84,287,238,304,378,231,170,151,350,544,275,370,404,363,0.0
2020년06월_남_80~89세,"2,198",205,36,76,39,41,146,124,156,183,135,82,51,142,203,136,134,145,164,0.0
2020년06월_남_90~99세,195,28,4,10,4,3,6,12,9,23,20,9,4,10,16,6,8,11,12,0.0
2020년06월_남_100세 이상,13,2,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0,0.0
2020년06월_여_총인구수,"49,660","3,101",786,"1,038",762,534,"1,741","1,344","1,965","2,585","1,255",856,"1,165","2,560","7,242","3,479","8,344","7,759","3,144",0.0
2020년06월_여_연령구간인구수,"49,660","3,101",786,"1,038",762,534,"1,741","1,344","1,965","2,585","1,255",856,"1,165","2,560","7,242","3,479","8,344","7,759","3,144",0.0
2020년06월_여_0~9세,"3,157",75,24,30,27,17,64,29,61,60,13,24,33,95,552,271,872,772,138,0.0
2020년06월_여_10~19세,"4,077",163,53,65,47,27,88,43,106,141,51,24,56,171,746,305,964,829,198,0.0
2020년06월_여_20~29세,"3,990",163,47,54,48,27,93,64,116,162,43,37,74,180,708,339,846,782,207,0.0
2020년06월_여_30~39세,"4,453",140,41,47,57,22,86,62,86,131,47,37,72,162,743,351,"1,193",953,223,0.0
2020년06월_여_40~49세,"6,405",266,64,94,79,37,150,90,148,216,82,39,104,279,"1,140",545,"1,447","1,339",286,0.0
2020년06월_여_50~59세,"8,091",521,124,152,137,88,273,183,329,434,169,128,206,443,"1,232",548,"1,303","1,219",602,0.0
2020년06월_여_60~69세,"8,509",732,179,249,177,125,391,291,425,550,272,193,279,539,"1,056",505,893,936,717,0.0
2020년06월_여_70~79세,"6,200",566,143,184,92,97,289,283,364,467,294,196,212,375,676,380,518,574,490,0.0
2020년06월_여_80~89세,"4,036",396,91,134,85,79,267,257,283,339,240,145,109,267,339,206,270,295,234,0.0
2020년06월_여_90~99세,695,78,20,29,12,15,39,41,43,78,43,33,15,47,43,26,35,52,46,0.0
2020년06월_여_100세 이상,47,1,0,0,1,0,1,1,4,7,1,0,5,2,7,3,3,8,3,0.0
2020년07월_계_총인구수,"100,601","6,301","1,662","2,196","1,640",,"3,602","2,664","3,963","5,203","2,465","1,766","2,313","5,344","14,551","6,987","16,783","15,474","6,548","1,139"
2020년07월_계_연령구간인구수,"100,601","6,301","1,662","2,196","1,640",,"3,602","2,664","3,963","5,203","2,465","1,766","2,313","5,344","14,551","6,987","16,783","15,474","6,548","1,139"
2020년07월_계_0~9세,"6,344",146,39,48,60,,125,72,135,140,51,55,70,191,"1,117",519,"1,736","1,553",257,30
2020년07월_계_10~19세,"8,454",337,119,126,99,,197,109,219,276,95,60,124,351,"1,481",635,"1,979","1,779",400,68
2020년07월_계_20~29세,"9,598",444,192,124,136,,226,150,275,390,117,100,173,473,"1,691",751,"2,019","1,728",546,63
2020년07월_계_30~39세,"9,657",359,84,132,127,,230,148,213,291,109,85,159,414,"1,583",768,"2,383","1,925",580,67
2020년07월_계_40~49세,"14,127",637,171,267,220,,355,221,379,489,205,143,259,705,"2,340","1,145","2,997","2,700",786,108
2020년07월_계_50~59세,"17,328","1,163",278,406,324,,634,421,701,998,371,276,465,976,"2,485","1,173","2,613","2,528","1,290",226
2020년07월_계_60~69세,"16,669","1,455",378,484,359,,793,584,876,"1,137",547,413,514,"1,041","2,019",963,"1,710","1,765","1,375",256
2020년07월_계_70~79세,"11,228","1,048",250,360,173,,583,522,670,847,529,369,364,722,"1,232",654,892,977,854,182
2020년07월_계_80~89세,"6,247",603,126,210,126,,414,382,437,525,377,224,162,413,535,342,405,445,400,121
2020년07월_계_90~99세,889,106,25,39,15,,44,54,53,102,62,41,18,56,59,33,45,62,57,18
2020년07월_계_100세 이상,60,3,0,0,1,,1,1,5,8,2,0,5,2,9,4,4,12,3,0
2020년07월_남_총인구수,"50,969","3,210",878,"1,159",879,,"1,862","1,321","2,003","2,621","1,205",912,"1,156","2,789","7,347","3,495","8,441","7,668","3,415",608
2020년07월_남_연령구간인구수,"50,969","3,210",878,"1,159",879,,"1,862","1,321","2,003","2,621","1,205",912,"1,156","2,789","7,347","3,495","8,441","7,668","3,415",608
2020년07월_남_0~9세,"3,194",74,18,18,33,,60,42,73,81,38,30,40,97,567,250,865,773,122,13
2020년07월_남_10~19세,"4,395",175,67,62,52,,106,65,116,134,44,36,69,182,747,329,"1,025",943,202,41
2020년07월_남_20~29세,"5,619",285,145,72,87,,136,88,159,231,73,64,98,295,984,413,"1,160",948,343,38
2020년07월_남_30~39세,"5,215",220,44,83,71,,144,87,127,166,62,47,92,249,851,421,"1,193",959,354,45
2020년07월_남_40~49세,"7,746",374,107,174,142,,210,134,233,277,123,105,157,431,"1,205",591,"1,552","1,358",500,73
2020년07월_남_50~59세,"9,241",641,154,254,186,,358,236,377,556,204,149,259,536,"1,266",618,"1,322","1,293",694,138
2020년07월_남_60~69세,"8,144",728,196,238,183,,405,294,446,590,270,222,235,498,960,455,811,822,660,131
2020년07월_남_70~79세,"5,012",478,107,172,82,,291,238,306,381,234,171,151,348,551,276,369,410,363,84
2020년07월_남_80~89세,"2,200",206,36,76,40,,146,124,156,183,137,81,51,143,198,134,135,147,165,42
2020년07월_남_90~99세,190,27,4,10,3,,6,13,9,21,19,7,4,10,16,7,8,11,12,3
2020년07월_남_100세 이상,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020년07월_여_총인구수,"49,632","3,091",784,"1,037",761,,"1,740","1,343","1,960","2,582","1,260",854,"1,157","2,555","7,204","3,492","8,342","7,806","3,133",531
2020년07월_여_연령구간인구수,"49,632","3,091",784,"1,037",761,,"1,740","1,343","1,960","2,582","1,260",854,"1,157","2,555","7,204","3,492","8,342","7,806","3,133",531
2020년07월_여_0~9세,"3,150",72,21,30,27,,65,30,62,59,13,25,30,94,550,269,871,780,135,17
2020년07월_여_10~19세,"4,059",162,52,64,47,,91,44,103,142,51,24,55,169,734,306,954,836,198,27
2020년07월_여_20~29세,"3,979",159,47,52,49,,90,62,116,159,44,36,75,178,707,338,859,780,203,25
2020년07월_여_30~39세,"4,442",139,40,49,56,,86,61,86,125,47,38,67,165,732,347,"1,190",966,226,22
2020년07월_여_40~49세,"6,381",263,64,93,78,,145,87,146,212,82,38,102,274,"1,135",554,"1,445","1,342",286,35
2020년07월_여_50~59세,"8,087",522,124,152,138,,276,185,324,442,167,127,206,440,"1,219",555,"1,291","1,235",596,88
2020년07월_여_60~69세,"8,525",727,182,246,176,,388,290,430,547,277,191,279,543,"1,059",508,899,943,715,125
2020년07월_여_70~79세,"6,216",570,143,188,91,,292,284,364,466,295,198,213,374,681,378,523,567,491,98
2020년07월_여_80~89세,"4,047",397,90,134,86,,268,258,281,342,240,143,111,270,337,208,270,298,235,79
2020년07월_여_90~99세,699,79,21,29,12,,38,41,44,81,43,34,14,46,43,26,37,51,45,15
2020년07월_여_100세 이상,47,1,0,0,1,,1,1,4,7,1,0,5,2,7,3,3,8,3,0
2020년08월_계_총인구수,"100,538","6,288","1,659","2,190","1,632",,"3,603","2,651","3,950","5,195","2,462","1,768","2,314","5,365","14,519","6,957","16,747","15,527","6,570","1,141"
2020년08월_계_연령구간인구수,"100,538","6,288","1,659","2,190","1,632",,"3,603","2,651","3,950","5,195","2,462","1,768","2,314","5,365","14,519","6,957","16,747","15,527","6,570","1,141"
2020년08월_계_0~9세,"6,302",147,38,48,61,,121,71,133,141,51,57,73,195,"1,104",509,"1,709","1,552",262,30
2020년08월_계_10~19세,"8,430",334,117,125,99,,199,109,216,274,92,60,122,350,"1,475",633,"1,962","1,792",404,67
2020년08월_계_20~29세,"9,593",437,186,127,134,,226,151,270,391,114,99,170,479,"1,689",753,"2,027","1,734",543,63
2020년08월_계_30~39세,"9,588",363,85,127,123,,228,142,211,290,108,87,162,409,"1,584",762,"2,345","1,912",584,66
2020년08월_계_40~49세,"14,119",630,170,264,216,,354,215,380,487,203,142,263,709,"2,337","1,142","3,000","2,715",788,104
2020년08월_계_50~59세,"17,272","1,147",277,399,322,,631,423,692,985,375,271,462,977,"2,475","1,161","2,632","2,527","1,286",230
2020년08월_계_60~69세,"16,761","1,470",380,488,363,,795,583,884,"1,142",548,414,514,"1,043","2,025",968,"1,722","1,785","1,380",257
2020년08월_계_70~79세,"11,261","1,046",254,359,172,,590,523,664,850,529,371,363,729,"1,230",652,897,988,860,184
2020년08월_계_80~89세,"6,262",605,127,214,126,,413,379,440,528,376,227,162,414,533,341,406,448,401,122
2020년08월_계_90~99세,889,106,25,38,15,,45,54,55,99,64,40,18,58,58,32,43,62,59,18
2020년08월_계_100세 이상,61,3,0,1,1,,1,1,5,8,2,0,5,2,9,4,4,12,3,0
2020년08월_남_총인구수,"50,941","3,206",876,"1,154",874,,"1,861","1,314","1,999","2,616","1,205",912,"1,159","2,802","7,330","3,474","8,426","7,697","3,427",609
2020년08월_남_연령구간인구수,"50,941","3,206",876,"1,154",874,,"1,861","1,314","1,999","2,616","1,205",912,"1,159","2,802","7,330","3,474","8,426","7,697","3,427",609
2020년08월_남_0~9세,"3,170",75,17,18,33,,58,41,73,82,38,30,42,98,560,245,850,773,124,13
2020년08월_남_10~19세,"4,378",172,65,62,53,,107,65,115,132,43,36,68,184,741,327,"1,016",948,204,40
2020년08월_남_20~29세,"5,627",283,141,74,87,,135,87,157,231,73,63,98,300,987,418,"1,155",955,344,39
2020년08월_남_30~39세,"5,183",222,43,81,68,,142,85,126,167,62,47,94,246,852,414,"1,181",951,358,44
2020년08월_남_40~49세,"7,747",369,106,170,142,,211,132,232,274,122,105,159,433,"1,203",588,"1,562","1,369",500,70
2020년08월_남_50~59세,"9,197",631,155,252,184,,355,237,371,549,204,150,258,537,"1,260",609,"1,320","1,293",691,141
2020년08월_남_60~69세,"8,214",740,199,240,183,,407,294,455,591,272,221,233,501,966,456,824,832,667,133
2020년08월_남_70~79세,"5,011",477,109,170,82,,292,237,303,384,232,171,152,347,547,274,372,415,362,85
2020년08월_남_80~89세,"2,213",209,36,77,39,,148,122,156,185,139,82,51,146,198,135,137,146,165,42
2020년08월_남_90~99세,188,26,5,10,3,,6,14,10,20,19,7,4,10,14,7,8,11,12,2
2020년08월_남_100세 이상,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020년08월_여_총인구수,"49,597","3,082",783,"1,036",758,,"1,742","1,337","1,951","2,579","1,257",856,"1,155","2,563","7,189","3,483","8,321","7,830","3,143",532
2020년08월_여_연령구간인구수,"49,597","3,082",783,"1,036",758,,"1,742","1,337","1,951","2,579","1,257",856,"1,155","2,563","7,189","3,483","8,321","7,830","3,143",532
2020년08월_여_0~9세,"3,132",72,21,30,28,,63,30,60,59,13,27,31,97,544,264,859,779,138,17
2020년08월_여_10~19세,"4,052",162,52,63,46,,92,44,101,142,49,24,54,166,734,306,946,844,200,27
2020년08월_여_20~29세,"3,966",154,45,53,47,,91,64,113,160,41,36,72,179,702,335,872,779,199,24
2020년08월_여_30~39세,"4,405",141,42,46,55,,86,57,85,123,46,40,68,163,732,348,"1,164",961,226,22
2020년08월_여_40~49세,"6,372",261,64,94,74,,143,83,148,213,81,37,104,276,"1,134",554,"1,438","1,346",288,34
2020년08월_여_50~59세,"8,075",516,122,147,138,,276,186,321,436,171,121,204,440,"1,215",552,"1,312","1,234",595,89
2020년08월_여_60~69세,"8,547",730,181,248,180,,388,289,429,551,276,193,281,542,"1,059",512,898,953,713,124
2020년08월_여_70~79세,"6,250",569,145,189,90,,298,286,361,466,297,200,211,382,683,378,525,573,498,99
2020년08월_여_80~89세,"4,049",396,91,137,87,,265,257,284,343,237,145,111,268,335,206,269,302,236,80
2020년08월_여_90~99세,701,80,20,28,12,,39,40,45,79,45,33,14,48,44,25,35,51,47,16
2020년08월_여_100세 이상,48,1,0,1,1,,1,1,4,7,1,0,5,2,7,3,3,8,3,0
2020년09월_계_총인구수,"100,415","6,263","1,655","2,182","1,630",,"3,583","2,646","3,947","5,178","2,463","1,762","2,299","5,360","14,507","6,969","16,713","15,573","6,552","1,133"
2020년09월_계_연령구간인구수,"100,415","6,263","1,655","2,182","1,630",,"3,583","2,646","3,947","5,178","2,463","1,762","2,299","5,360","14,507","6,969","16,713","15,573","6,552","1,133"
2020년09월_계_0~9세,"6,265",151,37,45,62,,120,65,131,143,49,57,72,195,"1,096",511,"1,693","1,550",258,30
2020년09월_계_10~19세,"8,386",326,115,122,100,,196,107,209,267,89,59,119,349,"1,475",649,"1,949","1,787",402,66
2020년09월_계_20~29세,"9,574",436,188,128,132,,224,151,274,385,114,98,165,474,"1,688",737,"2,041","1,730",549,60
2020년09월_계_30~39세,"9,547",352,86,128,124,,222,140,210,286,106,88,162,408,"1,589",769,"2,313","1,926",572,66
2020년09월_계_40~49세,"14,071",622,167,254,216,,349,215,384,480,200,138,261,704,"2,313","1,142","3,015","2,720",786,105
2020년09월_계_50~59세,"17,252","1,139",277,402,322,,636,424,688,969,382,272,456,982,"2,479","1,163","2,616","2,539","1,282",224
2020년09월_계_60~69세,"16,821","1,478",382,487,357,,791,591,885,"1,158",544,414,515,"1,046","2,030",967,"1,733","1,807","1,379",257
2020년09월_계_70~79세,"11,263","1,043",255,362,173,,584,523,666,849,535,368,362,730,"1,224",649,897,992,864,187
2020년09월_계_80~89세,"6,271",606,125,216,128,,412,373,437,530,378,229,164,409,541,346,409,450,398,120
2020년09월_계_90~99세,904,107,23,37,15,,48,56,58,103,64,39,18,61,63,32,43,60,59,18
2020년09월_계_100세 이상,61,3,0,1,1,,1,1,5,8,2,0,5,2,9,4,4,12,3,0
2020년09월_남_총인구수,"50,881","3,193",875,"1,153",875,,"1,854","1,315","1,998","2,619","1,209",909,"1,152","2,797","7,309","3,469","8,412","7,721","3,416",605
2020년09월_남_연령구간인구수,"50,881","3,193",875,"1,153",875,,"1,854","1,315","1,998","2,619","1,209",909,"1,152","2,797","7,309","3,469","8,412","7,721","3,416",605
2020년09월_남_0~9세,"3,159",79,18,16,33,,58,40,72,86,37,30,42,98,558,246,839,772,122,13
2020년09월_남_10~19세,"4,357",165,62,60,54,,106,64,111,130,43,36,67,185,741,332,"1,015",945,202,39
2020년09월_남_20~29세,"5,620",284,143,77,87,,136,87,158,229,74,63,93,298,984,405,"1,162",955,349,36
2020년09월_남_30~39세,"5,154",214,45,82,69,,140,85,125,167,60,49,94,244,850,413,"1,158",963,352,44
2020년09월_남_40~49세,"7,733",364,103,168,142,,209,132,234,272,121,102,158,430,"1,192",590,"1,574","1,374",497,71
2020년09월_남_50~59세,"9,183",629,156,250,184,,358,237,370,545,208,150,256,541,"1,255",609,"1,316","1,296",685,138
2020년09월_남_60~69세,"8,247",742,200,242,181,,406,299,456,596,273,221,232,503,966,456,828,840,672,134
2020년09월_남_70~79세,"5,002",476,108,172,82,,289,237,302,386,231,167,154,345,543,273,373,417,361,86
2020년09월_남_80~89세,"2,218",212,35,77,40,,145,118,159,186,142,83,52,142,202,137,138,144,164,42
2020년09월_남_90~99세,195,26,5,9,3,,7,16,10,21,19,8,4,11,16,7,8,11,12,2
2020년09월_남_100세 이상,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020년09월_여_총인구수,"49,534","3,070",780,"1,029",755,,"1,729","1,331","1,949","2,559","1,254",853,"1,147","2,563","7,198","3,500","8,301","7,852","3,136",528
2020년09월_여_연령구간인구수,"49,534","3,070",780,"1,029",755,,"1,729","1,331","1,949","2,559","1,254",853,"1,147","2,563","7,198","3,500","8,301","7,852","3,136",528
2020년09월_여_0~9세,"3,106",72,19,29,29,,62,25,59,57,12,27,30,97,538,265,854,778,136,17
2020년09월_여_10~19세,"4,029",161,53,62,46,,90,43,98,137,46,23,52,164,734,317,934,842,200,27
2020년09월_여_20~29세,"3,954",152,45,51,45,,88,64,116,156,40,35,72,176,704,332,879,775,200,24
2020년09월_여_30~39세,"4,393",138,41,46,55,,82,55,85,119,46,39,68,164,739,356,"1,155",963,220,22
2020년09월_여_40~49세,"6,338",258,64,86,74,,140,83,150,208,79,36,103,274,"1,121",552,"1,441","1,346",289,34
2020년09월_여_50~59세,"8,069",510,121,152,138,,278,187,318,424,174,122,200,441,"1,224",554,"1,300","1,243",597,86
2020년09월_여_60~69세,"8,574",736,182,245,176,,385,292,429,562,271,193,283,543,"1,064",511,905,967,707,123
2020년09월_여_70~79세,"6,261",567,147,190,91,,295,286,364,463,304,201,208,385,681,376,524,575,503,101
2020년09월_여_80~89세,"4,053",394,90,139,88,,267,255,278,344,236,146,112,267,339,209,271,306,234,78
2020년09월_여_90~99세,709,81,18,28,12,,41,40,48,82,45,31,14,50,47,25,35,49,47,16
2020년09월_여_100세 이상,48,1,0,1,1,,1,1,4,7,1,0,5,2,7,3,3,8,3,0
2020년10월_계_총인구수,"100,336","6,240","1,664","2,185","1,629",,"3,584","2,645","3,950","5,170","2,465","1,759","2,288","5,352","14,486","6,951","16,666","15,648","6,522","1,132"
2020년10월_계_연령구간인구수,"100,336","6,240","1,664","2,185","1,629",,"3,584","2,645","3,950","5,170","2,465","1,759","2,288","5,352","14,486","6,951","16,666","15,648","6,522","1,132"
2020년10월_계_0~9세,"6,210",147,39,45,57,,118,65,129,136,49,58,68,192,"1,095",503,"1,676","1,555",249,29
2020년10월_계_10~19세,"8,353",320,116,124,99,,193,108,205,261,85,59,117,349,"1,471",647,"1,944","1,791",399,65
2020년10월_계_20~29세,"9,559",424,187,127,132,,225,152,279,384,118,96,167,473,"1,693",740,"2,024","1,733",543,62
2020년10월_계_30~39세,"9,505",355,86,126,123,,224,137,212,284,106,85,157,408,"1,573",762,"2,302","1,931",568,66
2020년10월_계_40~49세,"14,020",616,169,254,214,,346,211,384,480,198,140,256,698,"2,303","1,134","3,005","2,727",783,102
2020년10월_계_50~59세,"17,263","1,137",280,399,322,,633,428,687,968,378,271,452,980,"2,471","1,161","2,615","2,577","1,277",227
2020년10월_계_60~69세,"16,902","1,483",378,492,364,,796,592,885,"1,164",548,418,521,"1,056","2,031",977,"1,739","1,824","1,378",256
2020년10월_계_70~79세,"11,269","1,047",260,359,174,,590,523,668,848,537,362,362,722,"1,232",642,899,989,867,188
2020년10월_계_80~89세,"6,280",600,125,220,127,,410,369,438,533,378,232,166,412,543,349,412,453,395,118
2020년10월_계_90~99세,912,108,24,38,16,,48,58,58,104,66,38,17,60,65,32,45,56,60,19
2020년10월_계_100세 이상,63,3,0,1,1,,1,2,5,8,2,0,5,2,9,4,5,12,3,0
2020년10월_남_총인구수,"50,850","3,186",881,"1,157",871,,"1,856","1,317","1,999","2,614","1,207",905,"1,146","2,803","7,301","3,461","8,387","7,761","3,392",606
2020년10월_남_연령구간인구수,"50,850","3,186",881,"1,157",871,,"1,856","1,317","1,999","2,614","1,207",905,"1,146","2,803","7,301","3,461","8,387","7,761","3,392",606
2020년10월_남_0~9세,"3,125",75,18,17,28,,55,39,73,79,37,31,39,95,557,242,831,779,117,13
2020년10월_남_10~19세,"4,339",162,63,61,53,,103,65,107,127,42,36,66,186,739,330,"1,013",947,200,39
2020년10월_남_20~29세,"5,621",280,143,76,88,,137,88,165,233,75,62,94,299,990,410,"1,147",953,344,37
2020년10월_남_30~39세,"5,136",216,45,79,69,,143,83,124,167,61,46,92,248,842,412,"1,151",969,345,44
2020년10월_남_40~49세,"7,711",365,103,171,140,,209,131,234,271,119,106,156,425,"1,190",585,"1,568","1,375",495,68
2020년10월_남_50~59세,"9,178",622,160,245,184,,358,241,368,542,204,148,254,539,"1,251",606,"1,320","1,316",679,141
2020년10월_남_60~69세,"8,302",750,200,245,184,,405,298,458,601,275,222,235,515,962,461,832,847,677,135
2020년10월_남_70~79세,"5,007",478,109,173,82,,294,238,300,384,232,162,152,342,549,270,378,415,364,85
2020년10월_남_80~89세,"2,221",210,35,81,40,,145,118,159,188,142,85,54,143,202,136,138,145,160,40
2020년10월_남_90~99세,197,26,5,9,3,,7,16,10,21,19,7,4,11,17,8,8,11,11,4
2020년10월_남_100세 이상,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020년10월_여_총인구수,"49,486","3,054",783,"1,028",758,,"1,728","1,328","1,951","2,556","1,258",854,"1,142","2,549","7,185","3,490","8,279","7,887","3,130",526
2020년10월_여_연령구간인구수,"49,486","3,054",783,"1,028",758,,"1,728","1,328","1,951","2,556","1,258",854,"1,142","2,549","7,185","3,490","8,279","7,887","3,130",526
2020년10월_여_0~9세,"3,085",72,21,28,29,,63,26,56,57,12,27,29,97,538,261,845,776,132,16
2020년10월_여_10~19세,"4,014",158,53,63,46,,90,43,98,134,43,23,51,163,732,317,931,844,199,26
2020년10월_여_20~29세,"3,938",144,44,51,44,,88,64,114,151,43,34,73,174,703,330,877,780,199,25
2020년10월_여_30~39세,"4,369",139,41,47,54,,81,54,88,117,45,39,65,160,731,350,"1,151",962,223,22
2020년10월_여_40~49세,"6,309",251,66,83,74,,137,80,150,209,79,34,100,273,"1,113",549,"1,437","1,352",288,34
2020년10월_여_50~59세,"8,085",515,120,154,138,,275,187,319,426,174,123,198,441,"1,220",555,"1,295","1,261",598,86
2020년10월_여_60~69세,"8,600",733,178,247,180,,391,294,427,563,273,196,286,541,"1,069",516,907,977,701,121
2020년10월_여_70~79세,"6,262",569,151,186,92,,296,285,368,464,305,200,210,380,683,372,521,574,503,103
2020년10월_여_80~89세,"4,059",390,90,139,87,,265,251,279,345,236,147,112,269,341,213,274,308,235,78
2020년10월_여_90~99세,715,82,19,29,13,,41,42,48,83,47,31,13,49,48,24,37,45,49,15
2020년10월_여_100세 이상,50,1,0,1,1,,1,2,4,7,1,0,5,2,7,3,4,8,3,0
2020년11월_계_총인구수,"100,249","6,236","1,664","2,178","1,628",,"3,573","2,636","3,928","5,159","2,455","1,750","2,291","5,333","14,464","6,939","16,648","15,753","6,493","1,121"
2020년11월_계_연령구간인구수,"100,249","6,236","1,664","2,178","1,628",,"3,573","2,636","3,928","5,159","2,455","1,750","2,291","5,333","14,464","6,939","16,648","15,753","6,493","1,121"
2020년11월_계_0~9세,"6,177",144,39,45,57,,117,67,129,132,48,58,73,190,"1,085",492,"1,658","1,572",243,28
2020년11월_계_10~19세,"8,329",321,111,120,98,,190,105,205,260,84,57,116,338,"1,471",657,"1,942","1,792",397,65
2020년11월_계_20~29세,"9,520",418,189,134,134,,222,146,275,382,115,94,164,475,"1,671",737,"2,034","1,741",529,60
2020년11월_계_30~39세,"9,498",351,87,127,119,,226,135,208,287,104,82,158,399,"1,569",758,"2,291","1,969",562,66
2020년11월_계_40~49세,"13,981",612,170,253,216,,339,212,384,478,193,140,262,698,"2,295","1,126","3,002","2,731",773,97
2020년11월_계_50~59세,"17,237","1,136",281,395,323,,630,424,683,959,382,270,446,974,"2,468","1,165","2,600","2,594","1,279",228
2020년11월_계_60~69세,"16,991","1,490",380,492,362,,796,591,884,"1,173",551,418,520,"1,066","2,051",979,"1,756","1,841","1,387",254
2020년11월_계_70~79세,"11,254","1,047",258,355,177,,596,525,662,848,537,360,361,717,"1,229",644,901,990,860,187
2020년11월_계_80~89세,"6,272",603,125,217,126,,406,370,435,529,373,232,169,414,548,344,412,451,401,117
2020년11월_계_90~99세,926,111,24,39,15,,50,59,57,103,66,39,18,60,68,33,46,60,59,19
2020년11월_계_100세 이상,64,3,0,1,1,,1,2,6,8,2,0,4,2,9,4,6,12,3,0
2020년11월_남_총인구수,"50,814","3,184",880,"1,153",874,,"1,847","1,311","1,994","2,608","1,200",900,"1,145","2,802","7,296","3,456","8,380","7,813","3,372",599
2020년11월_남_연령구간인구수,"50,814","3,184",880,"1,153",874,,"1,847","1,311","1,994","2,608","1,200",900,"1,145","2,802","7,296","3,456","8,380","7,813","3,372",599
2020년11월_남_0~9세,"3,111",74,18,17,27,,54,40,75,76,36,31,41,94,554,238,825,784,114,13
2020년11월_남_10~19세,"4,314",162,58,60,52,,102,63,107,126,42,35,66,178,739,333,"1,006",948,199,38
2020년11월_남_20~29세,"5,601",273,144,78,91,,133,84,168,232,70,60,93,305,975,410,"1,158",955,336,36
2020년11월_남_30~39세,"5,137",215,46,78,68,,142,84,122,171,61,43,90,244,844,410,"1,148",987,341,43
2020년11월_남_40~49세,"7,685",361,104,171,141,,208,130,235,268,117,107,160,422,"1,186",580,"1,560","1,382",488,65
2020년11월_남_50~59세,"9,179",628,161,240,184,,356,239,368,538,203,149,249,541,"1,251",609,"1,318","1,321",682,142
2020년11월_남_60~69세,"8,340",753,200,246,185,,404,297,453,604,278,224,234,523,973,459,836,858,679,134
2020년11월_남_70~79세,"4,999",477,108,171,83,,297,239,295,385,231,160,154,340,547,274,380,416,358,84
2020년11월_남_80~89세,"2,237",212,36,83,40,,144,119,160,186,143,84,54,145,208,134,139,146,164,40
2020년11월_남_90~99세,198,27,5,9,3,,7,16,10,21,18,7,4,10,17,8,9,12,11,4
2020년11월_남_100세 이상,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020년11월_여_총인구수,"49,435","3,052",784,"1,025",754,,"1,726","1,325","1,934","2,551","1,255",850,"1,146","2,531","7,168","3,483","8,268","7,940","3,121",522
2020년11월_여_연령구간인구수,"49,435","3,052",784,"1,025",754,,"1,726","1,325","1,934","2,551","1,255",850,"1,146","2,531","7,168","3,483","8,268","7,940","3,121",522
2020년11월_여_0~9세,"3,066",70,21,28,30,,63,27,54,56,12,27,32,96,531,254,833,788,129,15
2020년11월_여_10~19세,"4,015",159,53,60,46,,88,42,98,134,42,22,50,160,732,324,936,844,198,27
2020년11월_여_20~29세,"3,919",145,45,56,43,,89,62,107,150,45,34,71,170,696,327,876,786,193,24
2020년11월_여_30~39세,"4,361",136,41,49,51,,84,51,86,116,43,39,68,155,725,348,"1,143",982,221,23
2020년11월_여_40~49세,"6,296",251,66,82,75,,131,82,149,210,76,33,102,276,"1,109",546,"1,442","1,349",285,32
2020년11월_여_50~59세,"8,058",508,120,155,139,,274,185,315,421,179,121,197,433,"1,217",556,"1,282","1,273",597,86
2020년11월_여_60~69세,"8,651",737,180,246,177,,392,294,431,569,273,194,286,543,"1,078",520,920,983,708,120
2020년11월_여_70~79세,"6,255",570,150,184,94,,299,286,367,463,306,200,207,377,682,370,521,574,502,103
2020년11월_여_80~89세,"4,035",391,89,134,86,,262,251,275,343,230,148,115,269,340,210,273,305,237,77
