카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년01월_남_10~19세,"15,070",281,317,282,72,44,50,82,101,72,95,196,114,171,62,46,101,169,229,"1,208",413,516,"2,204",524,"1,508","1,166","1,810",584,370,"2,283"
2020년01월_남_20~29세,"20,124",395,374,408,120,57,80,97,138,90,194,502,160,230,152,67,203,274,478,"1,420",765,802,"2,563",506,"1,962","1,142","1,812","2,242",444,"2,447"
2020년01월_남_30~39세,"15,912",314,487,310,69,45,64,101,127,109,167,283,176,214,110,35,216,322,484,"1,312",522,626,"2,293",642,"1,314",853,"1,583",836,487,"1,811"
2020년01월_남_40~49세,"22,113",475,581,504,127,95,121,166,212,158,199,342,283,329,173,105,258,430,520,"1,828",670,858,"3,121",749,"1,768","1,370","2,253",958,584,"2,876"
2020년01월_남_50~59세,"25,364",655,749,749,247,173,226,217,335,290,314,507,440,494,300,125,312,526,627,"1,979",942,"1,011","3,111",659,"2,268","1,214","2,175","1,150",579,"2,990"
2020년01월_남_60~69세,"19,078",675,666,702,230,187,207,301,357,342,309,494,517,454,270,192,356,421,606,"1,554",772,"1,017","2,208",501,"1,518",437,934,930,421,"1,500"
2020년01월_남_70~79세,"10,340",362,354,428,174,119,142,234,230,253,226,278,361,244,164,141,273,229,430,687,372,754,"1,060",277,551,206,333,629,239,590
2020년01월_남_80~89세,"3,965",141,165,187,77,76,69,103,113,125,94,109,179,117,80,67,80,68,155,265,108,261,386,85,165,79,107,199,100,205
2020년01월_남_90~99세,427,15,20,21,11,13,6,13,9,15,11,9,32,17,13,8,9,5,13,22,10,27,38,8,22,6,12,17,13,12
2020년01월_남_100세 이상,22,1,2,3,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,0,2,0,1,1,0,0,1,1,1
2020년01월_여_총인구수,"144,006","3,639","4,103","3,682","1,181",799,969,"1,347","1,506","1,551","1,703","2,568","2,198","2,238","1,314",818,"1,666","2,346","3,588","11,444","4,609","5,933","20,147","4,426","12,172","7,537","12,923","7,788","3,312","16,499"
2020년01월_여_연령구간인구수,"144,006","3,639","4,103","3,682","1,181",799,969,"1,347","1,506","1,551","1,703","2,568","2,198","2,238","1,314",818,"1,666","2,346","3,588","11,444","4,609","5,933","20,147","4,426","12,172","7,537","12,923","7,788","3,312","16,499"
2020년01월_여_0~9세,"10,171",193,304,148,36,17,9,40,64,51,106,163,35,86,32,12,49,156,158,886,197,247,"1,948",483,857,696,"1,165",334,286,"1,413"
2020년01월_여_10~19세,"14,251",328,319,283,74,30,49,81,68,74,70,203,99,136,64,44,67,187,217,"1,080",324,399,"2,205",434,"1,379","1,086","1,763",608,354,"2,226"
2020년01월_여_20~29세,"16,986",278,371,297,77,52,64,77,105,56,158,231,127,186,125,50,158,221,468,"1,183",639,645,"2,398",433,"1,636","1,089","1,587","1,760",338,"2,177"
2020년01월_여_30~39세,"14,491",286,392,257,56,27,44,62,92,63,125,208,84,155,55,33,122,278,339,"1,193",385,471,"2,453",623,"1,239",921,"1,662",628,412,"1,826"
2020년01월_여_40~49세,"21,178",402,499,377,98,49,64,86,129,111,137,257,153,219,92,53,184,329,396,"1,685",577,717,"3,198",693,"1,946","1,594","2,721",816,497,"3,099"
2020년01월_여_50~59세,"24,678",616,723,631,209,120,163,176,231,252,268,466,350,381,262,122,276,444,549,"2,050",995,"1,007","3,404",671,"2,459","1,171","2,109","1,207",521,"2,845"
2020년01월_여_60~69세,"19,364",670,674,660,210,176,207,300,289,359,312,476,468,421,240,180,358,381,694,"1,700",776,"1,123","2,314",540,"1,486",467,"1,030","1,057",394,"1,402"
2020년01월_여_70~79세,"13,167",473,442,524,224,157,188,283,293,308,284,331,446,316,210,169,281,203,460,"1,039",446,901,"1,345",360,677,340,551,784,255,877
2020년01월_여_80~89세,"8,258",335,327,426,160,140,150,206,207,237,216,200,368,290,192,129,134,119,263,548,225,364,759,164,412,152,295,486,197,557
2020년01월_여_90~99세,"1,384",53,52,74,32,29,29,36,27,37,26,31,63,48,39,23,33,26,41,74,42,58,120,24,79,21,37,97,57,76
2020년01월_여_100세 이상,78,5,0,5,5,2,2,0,1,3,1,2,5,0,3,3,4,2,3,6,3,1,3,1,2,0,3,11,1,1
2020년02월_계_총인구수,"286,096","7,134","8,084","7,428","2,330","1,611","1,956","2,697","3,183","3,038","3,409","5,446","4,515","4,598","2,653","1,603","3,525","4,981","7,277","22,587","9,405","12,037","39,055","8,815","24,029","14,701","25,126","15,543","6,842","32,488"
2020년02월_계_연령구간인구수,"286,096","7,134","8,084","7,428","2,330","1,611","1,956","2,697","3,183","3,038","3,409","5,446","4,515","4,598","2,653","1,603","3,525","4,981","7,277","22,587","9,405","12,037","39,055","8,815","24,029","14,701","25,126","15,543","6,842","32,488"
2020년02월_계_0~9세,"20,575",406,585,306,64,34,34,81,118,93,196,336,99,190,71,23,108,331,346,"1,764",448,524,"3,940",959,"1,695","1,405","2,406",653,595,"2,765"
2020년02월_계_10~19세,"29,054",598,631,556,142,72,101,158,167,138,172,391,218,299,122,87,167,353,443,"2,287",714,912,"4,369",948,"2,881","2,237","3,538","1,172",707,"4,474"
2020년02월_계_20~29세,"36,781",670,726,708,197,106,139,179,237,154,353,724,279,411,268,110,361,498,927,"2,573","1,390","1,426","4,939",928,"3,551","2,230","3,413","3,929",776,"4,579"
2020년02월_계_30~39세,"30,163",586,875,563,126,69,105,159,219,171,288,492,254,368,163,73,341,603,824,"2,508",914,"1,076","4,714","1,252","2,529","1,754","3,179","1,451",898,"3,609"
2020년02월_계_40~49세,"43,212",874,"1,083",880,221,146,189,249,341,262,341,599,435,545,266,153,437,763,902,"3,503","1,222","1,577","6,337","1,448","3,715","2,941","4,970","1,764","1,085","5,964"
2020년02월_계_50~59세,"49,941","1,260","1,462","1,377",456,284,386,390,565,541,573,973,792,873,554,246,587,961,"1,177","4,029","1,930","2,015","6,502","1,309","4,703","2,400","4,304","2,356","1,094","5,842"
2020년02월_계_60~69세,"38,642","1,346","1,351","1,364",441,362,418,606,650,702,620,974,985,875,504,369,713,814,"1,299","3,272","1,575","2,142","4,522","1,050","3,035",917,"1,976","1,998",832,"2,930"
2020년02월_계_70~79세,"23,539",838,804,960,397,277,328,511,525,559,511,605,809,560,377,309,554,436,892,"1,723",824,"1,661","2,419",637,"1,234",549,882,"1,403",491,"1,464"
2020년02월_계_80~89세,"12,265",480,492,606,240,218,218,315,323,363,316,310,541,408,273,197,213,188,411,823,335,624,"1,150",249,580,239,404,687,292,770
2020년02월_계_90~99세,"1,822",70,73,99,42,41,35,49,37,51,37,40,97,69,51,33,40,31,54,95,50,77,159,33,103,29,51,117,70,89
2020년02월_계_100세 이상,102,6,2,9,4,2,3,0,1,4,2,2,6,0,4,3,4,3,2,10,3,3,4,2,3,0,3,13,2,2
2020년02월_남_총인구수,"142,534","3,505","3,995","3,761","1,151",821,994,"1,351","1,673","1,494","1,702","2,887","2,327","2,373","1,360",792,"1,871","2,639","3,716","11,154","4,799","6,125","18,924","4,400","11,903","7,179","12,239","7,805","3,532","16,062"
2020년02월_남_연령구간인구수,"142,534","3,505","3,995","3,761","1,151",821,994,"1,351","1,673","1,494","1,702","2,887","2,327","2,373","1,360",792,"1,871","2,639","3,716","11,154","4,799","6,125","18,924","4,400","11,903","7,179","12,239","7,805","3,532","16,062"
2020년02월_남_0~9세,"10,475",209,289,158,29,17,26,42,55,40,91,171,63,105,41,11,65,176,187,883,252,280,"1,993",472,846,718,"1,252",320,307,"1,377"
2020년02월_남_10~19세,"14,928",275,315,285,68,43,50,80,97,70,97,192,119,170,62,45,102,171,230,"1,210",399,513,"2,177",518,"1,505","1,153","1,789",567,357,"2,269"
2020년02월_남_20~29세,"19,967",391,364,409,118,58,77,97,135,93,196,501,158,225,148,65,198,280,471,"1,400",753,789,"2,549",498,"1,947","1,149","1,820","2,209",440,"2,429"
2020년02월_남_30~39세,"15,784",308,483,307,71,44,63,102,126,109,166,280,172,213,109,37,219,324,480,"1,310",526,611,"2,280",635,"1,295",846,"1,555",826,491,"1,796"
2020년02월_남_40~49세,"22,081",474,587,507,126,96,123,162,212,156,203,345,284,328,174,102,257,433,513,"1,820",657,858,"3,123",759,"1,771","1,358","2,251",950,582,"2,870"
2020년02월_남_50~59세,"25,314",648,745,748,247,169,225,214,334,290,309,507,440,495,297,124,312,525,630,"1,985",938,"1,010","3,104",650,"2,251","1,215","2,185","1,147",576,"2,994"
2020년02월_남_60~69세,"19,177",675,670,703,230,184,211,302,359,341,310,497,518,455,269,192,357,424,604,"1,564",781,"1,015","2,206",501,"1,538",443,940,943,429,"1,516"
2020년02월_남_70~79세,"10,386",366,355,430,174,122,145,234,232,255,224,277,362,248,165,141,273,230,435,688,374,758,"1,067",272,558,210,329,630,237,595
2020년02월_남_80~89세,"3,972",145,165,189,77,76,67,105,114,124,95,108,176,116,81,68,79,69,151,269,109,264,386,86,168,81,107,195,99,203
2020년02월_남_90~99세,428,13,20,22,11,12,6,13,9,15,10,9,34,18,13,7,9,6,15,22,10,25,39,8,23,6,11,17,13,12
2020년02월_남_100세 이상,22,1,2,3,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,0,2,0,1,1,0,0,1,1,1
2020년02월_여_총인구수,"143,562","3,629","4,089","3,667","1,179",790,962,"1,346","1,510","1,544","1,707","2,559","2,188","2,225","1,293",811,"1,654","2,342","3,561","11,433","4,606","5,912","20,131","4,415","12,126","7,522","12,887","7,738","3,310","16,426"
2020년02월_여_연령구간인구수,"143,562","3,629","4,089","3,667","1,179",790,962,"1,346","1,510","1,544","1,707","2,559","2,188","2,225","1,293",811,"1,654","2,342","3,561","11,433","4,606","5,912","20,131","4,415","12,126","7,522","12,887","7,738","3,310","16,426"
2020년02월_여_0~9세,"10,100",197,296,148,35,17,8,39,63,53,105,165,36,85,30,12,43,155,159,881,196,244,"1,947",487,849,687,"1,154",333,288,"1,388"
2020년02월_여_10~19세,"14,126",323,316,271,74,29,51,78,70,68,75,199,99,129,60,42,65,182,213,"1,077",315,399,"2,192",430,"1,376","1,084","1,749",605,350,"2,205"
2020년02월_여_20~29세,"16,814",279,362,299,79,48,62,82,102,61,157,223,121,186,120,45,163,218,456,"1,173",637,637,"2,390",430,"1,604","1,081","1,593","1,720",336,"2,150"
2020년02월_여_30~39세,"14,379",278,392,256,55,25,42,57,93,62,122,212,82,155,54,36,122,279,344,"1,198",388,465,"2,434",617,"1,234",908,"1,624",625,407,"1,813"
2020년02월_여_40~49세,"21,131",400,496,373,95,50,66,87,129,106,138,254,151,217,92,51,180,330,389,"1,683",565,719,"3,214",689,"1,944","1,583","2,719",814,503,"3,094"
2020년02월_여_50~59세,"24,627",612,717,629,209,115,161,176,231,251,264,466,352,378,257,122,275,436,547,"2,044",992,"1,005","3,398",659,"2,452","1,185","2,119","1,209",518,"2,848"
2020년02월_여_60~69세,"19,465",671,681,661,211,178,207,304,291,361,310,477,467,420,235,177,356,390,695,"1,708",794,"1,127","2,316",549,"1,497",474,"1,036","1,055",403,"1,414"
2020년02월_여_70~79세,"13,153",472,449,530,223,155,183,277,293,304,287,328,447,312,212,168,281,206,457,"1,035",450,903,"1,352",365,676,339,553,773,254,869
2020년02월_여_80~89세,"8,293",335,327,417,163,142,151,210,209,239,221,202,365,292,192,129,134,119,260,554,226,360,764,163,412,158,297,492,193,567
2020년02월_여_90~99세,"1,394",57,53,77,31,29,29,36,28,36,27,31,63,51,38,26,31,25,39,73,40,52,120,25,80,23,40,100,57,77
2020년02월_여_100세 이상,80,5,0,6,4,2,2,0,1,3,1,2,5,0,3,3,4,2,2,7,3,1,4,1,2,0,3,12,1,1
2020년03월_계_총인구수,"285,431","7,094","8,043","7,400","2,326","1,613","1,960","2,687","3,169","3,029","3,406","5,426","4,488","4,591","2,645","1,604","3,527","4,976","7,230","22,563","9,374","11,970","38,966","8,749","23,962","14,655","25,127","15,625","6,816","32,410"
2020년03월_계_연령구간인구수,"285,431","7,094","8,043","7,400","2,326","1,613","1,960","2,687","3,169","3,029","3,406","5,426","4,488","4,591","2,645","1,604","3,527","4,976","7,230","22,563","9,374","11,970","38,966","8,749","23,962","14,655","25,127","15,625","6,816","32,410"
2020년03월_계_0~9세,"20,424",405,574,296,66,33,32,78,119,94,195,334,93,193,68,23,107,342,346,"1,736",445,521,"3,906",957,"1,681","1,376","2,407",660,595,"2,742"
2020년03월_계_10~19세,"28,887",595,625,550,138,71,105,161,164,136,171,381,211,293,115,89,171,355,437,"2,271",704,903,"4,366",944,"2,860","2,219","3,514","1,208",694,"4,436"
2020년03월_계_20~29세,"36,651",660,716,705,192,106,137,175,230,151,339,714,276,408,271,108,355,490,907,"2,580","1,387","1,402","4,917",912,"3,522","2,253","3,435","3,959",771,"4,573"
2020년03월_계_30~39세,"29,899",574,866,550,128,66,104,158,212,169,291,484,249,365,158,73,337,601,815,"2,493",904,"1,076","4,677","1,242","2,527","1,715","3,154","1,453",886,"3,572"
2020년03월_계_40~49세,"43,006",851,"1,075",861,219,145,187,248,335,262,333,602,425,547,265,155,439,752,896,"3,488","1,219","1,547","6,325","1,449","3,700","2,932","4,961","1,769","1,088","5,931"
2020년03월_계_50~59세,"49,791","1,253","1,457","1,374",453,282,385,386,563,540,577,970,786,866,555,246,578,956,"1,176","4,044","1,912","2,016","6,450","1,281","4,679","2,408","4,317","2,331","1,093","5,857"
2020년03월_계_60~69세,"38,833","1,354","1,354","1,368",442,368,425,606,656,697,628,971,984,876,505,365,723,813,"1,293","3,278","1,586","2,120","4,573","1,053","3,064",931,"1,992","2,011",835,"2,962"
2020년03월_계_70~79세,"23,673",838,812,974,399,276,329,510,530,561,511,613,813,567,383,309,556,443,894,"1,741",822,"1,671","2,431",629,"1,245",549,884,"1,414",496,"1,473"
2020년03월_계_80~89세,"12,323",486,489,612,241,222,217,314,322,366,320,314,546,406,271,200,217,189,413,829,341,633,"1,152",246,578,242,408,693,285,771
2020년03월_계_90~99세,"1,838",72,73,100,44,42,36,51,37,49,39,41,98,70,50,33,40,32,51,93,51,78,165,34,103,30,51,114,70,91
2020년03월_계_100세 이상,106,6,2,10,4,2,3,0,1,4,2,2,7,0,4,3,4,3,2,10,3,3,4,2,3,0,4,13,3,2
2020년03월_남_총인구수,"142,205","3,475","3,980","3,740","1,152",822,"1,001","1,347","1,668","1,483","1,706","2,873","2,313","2,372","1,359",790,"1,871","2,625","3,694","11,135","4,782","6,088","18,878","4,371","11,866","7,165","12,235","7,859","3,518","16,037"
2020년03월_남_연령구간인구수,"142,205","3,475","3,980","3,740","1,152",822,"1,001","1,347","1,668","1,483","1,706","2,873","2,313","2,372","1,359",790,"1,871","2,625","3,694","11,135","4,782","6,088","18,878","4,371","11,866","7,165","12,235","7,859","3,518","16,037"
2020년03월_남_0~9세,"10,397",206,287,153,29,16,25,40,56,40,89,169,58,102,39,10,65,182,185,868,249,282,"1,988",468,841,704,"1,245",327,308,"1,366"
2020년03월_남_10~19세,"14,858",275,314,279,66,44,54,82,95,69,98,192,121,167,61,47,103,171,227,"1,204",392,505,"2,166",513,"1,490","1,146","1,780",593,355,"2,249"
2020년03월_남_20~29세,"19,900",380,360,407,113,57,79,96,136,89,190,491,151,228,152,63,196,270,466,"1,400",756,772,"2,543",494,"1,928","1,165","1,831","2,224",432,"2,431"
2020년03월_남_30~39세,"15,656",301,477,301,73,41,61,102,119,110,168,272,169,213,105,36,216,323,474,"1,303",515,612,"2,260",629,"1,296",835,"1,548",832,482,"1,783"
2020년03월_남_40~49세,"22,004",464,585,497,125,94,124,161,211,155,197,352,279,328,175,106,260,426,505,"1,816",657,846,"3,115",756,"1,770","1,346","2,257",951,584,"2,862"
2020년03월_남_50~59세,"25,226",645,742,746,250,168,227,213,330,287,316,506,436,491,298,124,308,521,634,"1,985",933,"1,008","3,078",642,"2,236","1,222","2,181","1,133",573,"2,993"
2020년03월_남_60~69세,"19,257",677,667,706,232,189,212,302,365,340,315,493,518,457,268,190,360,425,599,"1,567",783,"1,004","2,227",502,"1,552",448,944,949,431,"1,535"
2020년03월_남_70~79세,"10,460",362,363,437,175,123,147,234,231,255,227,280,366,252,168,139,274,231,435,697,375,762,"1,074",270,563,212,327,636,242,603
2020년03월_남_80~89세,"3,993",150,163,189,78,78,65,104,115,123,94,108,179,117,79,68,79,69,156,269,112,269,387,88,167,81,112,196,96,202
2020년03월_남_90~99세,431,14,20,22,11,12,6,13,10,14,11,10,34,17,13,7,10,6,13,23,10,26,40,8,22,6,10,17,14,12
2020년03월_남_100세 이상,23,1,2,3,0,0,1,0,0,1,1,0,2,0,1,0,0,1,0,3,0,2,0,1,1,0,0,1,1,1
2020년03월_여_총인구수,"143,226","3,619","4,063","3,660","1,174",791,959,"1,340","1,501","1,546","1,700","2,553","2,175","2,219","1,286",814,"1,656","2,351","3,536","11,428","4,592","5,882","20,088","4,378","12,096","7,490","12,892","7,766","3,298","16,373"
2020년03월_여_연령구간인구수,"143,226","3,619","4,063","3,660","1,174",791,959,"1,340","1,501","1,546","1,700","2,553","2,175","2,219","1,286",814,"1,656","2,351","3,536","11,428","4,592","5,882","20,088","4,378","12,096","7,490","12,892","7,766","3,298","16,373"
2020년03월_여_0~9세,"10,027",199,287,143,37,17,7,38,63,54,106,165,35,91,29,13,42,160,161,868,196,239,"1,918",489,840,672,"1,162",333,287,"1,376"
2020년03월_여_10~19세,"14,029",320,311,271,72,27,51,79,69,67,73,189,90,126,54,42,68,184,210,"1,067",312,398,"2,200",431,"1,370","1,073","1,734",615,339,"2,187"
2020년03월_여_20~29세,"16,751",280,356,298,79,49,58,79,94,62,149,223,125,180,119,45,159,220,441,"1,180",631,630,"2,374",418,"1,594","1,088","1,604","1,735",339,"2,142"
2020년03월_여_30~39세,"14,243",273,389,249,55,25,43,56,93,59,123,212,80,152,53,37,121,278,341,"1,190",389,464,"2,417",613,"1,231",880,"1,606",621,404,"1,789"
2020년03월_여_40~49세,"21,002",387,490,364,94,51,63,87,124,107,136,250,146,219,90,49,179,326,391,"1,672",562,701,"3,210",693,"1,930","1,586","2,704",818,504,"3,069"
2020년03월_여_50~59세,"24,565",608,715,628,203,114,158,173,233,253,261,464,350,375,257,122,270,435,542,"2,059",979,"1,008","3,372",639,"2,443","1,186","2,136","1,198",520,"2,864"
2020년03월_여_60~69세,"19,576",677,687,662,210,179,213,304,291,357,313,478,466,419,237,175,363,388,694,"1,711",803,"1,116","2,346",551,"1,512",483,"1,048","1,062",404,"1,427"
2020년03월_여_70~79세,"13,213",476,449,537,224,153,182,276,299,306,284,333,447,315,215,170,282,212,459,"1,044",447,909,"1,357",359,682,337,557,778,254,870
2020년03월_여_80~89세,"8,330",336,326,423,163,144,152,210,207,243,226,206,367,289,192,132,138,120,257,560,229,364,765,158,411,161,296,497,189,569
2020년03월_여_90~99세,"1,407",58,53,78,33,30,30,38,27,35,28,31,64,53,37,26,30,26,38,70,41,52,125,26,81,24,41,97,56,79
2020년03월_여_100세 이상,83,5,0,7,4,2,2,0,1,3,1,2,5,0,3,3,4,2,2,7,3,1,4,1,2,0,4,12,2,1
2020년04월_계_총인구수,"285,255","7,081","8,040","7,382","2,331","1,611","1,971","2,687","3,162","3,038","3,412","5,418","4,494","4,606","2,659","1,603","3,542","4,961","7,239","22,568","9,381","11,911","38,940","8,722","23,954","14,632","25,103","15,639","6,789","32,379"
2020년04월_계_연령구간인구수,"285,255","7,081","8,040","7,382","2,331","1,611","1,971","2,687","3,162","3,038","3,412","5,418","4,494","4,606","2,659","1,603","3,542","4,961","7,239","22,568","9,381","11,911","38,940","8,722","23,954","14,632","25,103","15,639","6,789","32,379"
2020년04월_계_0~9세,"20,345",400,579,300,68,33,33,78,118,92,195,333,94,193,72,22,108,344,347,"1,718",447,526,"3,892",946,"1,670","1,361","2,404",658,581,"2,733"
2020년04월_계_10~19세,"28,759",601,623,540,138,71,107,158,159,137,176,374,209,293,116,91,173,352,441,"2,267",711,879,"4,355",949,"2,856","2,192","3,494","1,192",696,"4,409"
2020년04월_계_20~29세,"36,688",648,710,703,188,104,136,176,228,155,335,712,275,406,273,106,354,497,911,"2,575","1,385","1,400","4,927",898,"3,521","2,270","3,452","3,975",774,"4,594"
2020년04월_계_30~39세,"29,738",570,861,548,130,63,104,156,211,167,291,482,249,361,158,72,340,589,823,"2,481",895,"1,064","4,640","1,238","2,511","1,715","3,124","1,457",877,"3,561"
2020년04월_계_40~49세,"42,872",845,"1,087",853,224,147,185,250,328,259,336,603,425,546,263,155,437,750,886,"3,492","1,218","1,534","6,311","1,451","3,704","2,911","4,945","1,755","1,073","5,899"
2020년04월_계_50~59세,"49,730","1,253","1,441","1,368",449,278,383,387,570,540,571,965,783,870,558,244,582,949,"1,177","4,038","1,903","1,998","6,434","1,271","4,658","2,426","4,331","2,335","1,100","5,868"
2020년04월_계_60~69세,"39,040","1,361","1,365","1,371",442,371,433,602,658,704,624,974,994,890,510,364,724,814,"1,293","3,291","1,600","2,124","4,618","1,054","3,082",936,"2,007","2,022",831,"2,981"
2020년04월_계_70~79세,"23,746",841,811,974,393,278,333,514,532,558,517,620,809,563,384,308,559,444,895,"1,764",826,"1,669","2,440",634,"1,267",546,886,"1,420",499,"1,462"
2020년04월_계_80~89세,"12,384",489,487,614,250,222,217,315,321,372,325,312,548,411,273,205,219,188,413,836,342,639,"1,150",247,579,244,406,697,283,780
2020년04월_계_90~99세,"1,847",67,74,101,45,42,37,51,36,50,40,41,101,73,48,33,42,31,51,96,51,75,168,32,104,31,50,115,72,90
2020년04월_계_100세 이상,106,6,2,10,4,2,3,0,1,4,2,2,7,0,4,3,4,3,2,10,3,3,5,2,2,0,4,13,3,2
2020년04월_남_총인구수,"142,088","3,472","3,970","3,724","1,153",824,"1,004","1,353","1,668","1,487","1,705","2,867","2,315","2,377","1,371",787,"1,883","2,613","3,703","11,124","4,790","6,048","18,865","4,358","11,851","7,146","12,225","7,888","3,499","16,018"
2020년04월_남_연령구간인구수,"142,088","3,472","3,970","3,724","1,153",824,"1,004","1,353","1,668","1,487","1,705","2,867","2,315","2,377","1,371",787,"1,883","2,613","3,703","11,124","4,790","6,048","18,865","4,358","11,851","7,146","12,225","7,888","3,499","16,018"
2020년04월_남_0~9세,"10,366",205,291,153,30,16,25,40,55,40,86,172,60,102,42,10,66,184,185,854,249,280,"1,987",465,835,693,"1,248",331,300,"1,362"
2020년04월_남_10~19세,"14,773",278,310,274,66,44,55,80,96,68,102,185,119,164,65,48,102,169,232,"1,197",398,488,"2,153",518,"1,486","1,136","1,767",583,352,"2,238"
2020년04월_남_20~29세,"19,935",374,360,405,109,56,79,98,134,93,188,488,153,229,155,61,199,274,466,"1,399",761,765,"2,564",482,"1,922","1,168","1,831","2,245",434,"2,443"
2020년04월_남_30~39세,"15,552",297,473,299,74,40,59,101,120,109,167,272,170,208,106,35,217,317,479,"1,294",510,605,"2,238",623,"1,289",837,"1,532",836,473,"1,772"
