카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년05월_남_80~89세,739,101,83,117,125,85,74,75,79
2020년05월_남_90~99세,54,9,7,10,7,3,2,5,11
2020년05월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년05월_여_총인구수,"21,407","3,295","2,211","3,020","6,808","1,977","1,788","1,270","1,038"
2020년05월_여_연령구간인구수,"21,407","3,295","2,211","3,020","6,808","1,977","1,788","1,270","1,038"
2020년05월_여_0~9세,"1,326",245,100,197,584,82,65,32,21
2020년05월_여_10~19세,"1,881",270,149,260,806,151,123,71,51
2020년05월_여_20~29세,"1,589",257,143,161,636,136,138,63,55
2020년05월_여_30~39세,"1,917",314,138,302,804,124,113,74,48
2020년05월_여_40~49세,"3,073",474,275,405,"1,281",249,191,111,87
2020년05월_여_50~59세,"3,525",576,384,436,"1,027",377,362,193,170
2020년05월_여_60~69세,"3,841",576,485,579,874,446,342,299,240
2020년05월_여_70~79세,"2,710",370,365,426,516,276,265,271,221
2020년05월_여_80~89세,"1,308",176,136,215,242,114,161,138,126
2020년05월_여_90~99세,201,30,31,34,35,19,23,16,13
2020년05월_여_100세 이상,36,7,5,5,3,3,5,2,6
2020년06월_계_총인구수,"43,203","6,527","4,528","6,071","13,796","3,957","3,536","2,640","2,148"
2020년06월_계_연령구간인구수,"43,203","6,527","4,528","6,071","13,796","3,957","3,536","2,640","2,148"
2020년06월_계_0~9세,"2,728",517,201,414,"1,178",167,129,79,43
2020년06월_계_10~19세,"3,912",581,321,515,"1,689",273,236,187,110
2020년06월_계_20~29세,"3,690",617,348,400,"1,435",284,306,161,139
2020년06월_계_30~39세,"3,986",641,315,579,"1,610",292,269,156,124
2020년06월_계_40~49세,"6,542",953,614,940,"2,618",534,396,285,202
2020년06월_계_50~59세,"7,506","1,132",838,983,"2,189",777,760,439,388
2020년06월_계_60~69세,"7,585","1,099",988,"1,078","1,718",891,707,609,495
2020년06월_계_70~79세,"4,881",658,638,776,940,511,463,484,411
2020년06월_계_80~89세,"2,051",274,219,333,369,201,237,215,203
2020년06월_계_90~99세,260,41,38,45,42,22,26,21,25
2020년06월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년06월_남_총인구수,"21,839","3,237","2,323","3,064","6,982","1,991","1,749","1,375","1,118"
2020년06월_남_연령구간인구수,"21,839","3,237","2,323","3,064","6,982","1,991","1,749","1,375","1,118"
2020년06월_남_0~9세,"1,412",270,102,219,598,85,67,48,23
2020년06월_남_10~19세,"2,036",312,176,256,884,124,111,115,58
2020년06월_남_20~29세,"2,101",365,205,241,792,149,168,98,83
2020년06월_남_30~39세,"2,082",326,173,284,812,167,159,85,76
2020년06월_남_40~49세,"3,479",482,341,534,"1,339",291,204,172,116
2020년06월_남_50~59세,"4,014",566,461,557,"1,158",402,399,249,222
2020년06월_남_60~69세,"3,716",513,499,494,836,445,361,311,257
2020년06월_남_70~79세,"2,183",289,274,348,429,237,200,214,192
2020년06월_남_80~89세,735,98,82,117,122,86,76,76,78
2020년06월_남_90~99세,55,9,7,11,7,3,2,5,11
2020년06월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년06월_여_총인구수,"21,364","3,290","2,205","3,007","6,814","1,966","1,787","1,265","1,030"
2020년06월_여_연령구간인구수,"21,364","3,290","2,205","3,007","6,814","1,966","1,787","1,265","1,030"
2020년06월_여_0~9세,"1,316",247,99,195,580,82,62,31,20
2020년06월_여_10~19세,"1,876",269,145,259,805,149,125,72,52
2020년06월_여_20~29세,"1,589",252,143,159,643,135,138,63,56
2020년06월_여_30~39세,"1,904",315,142,295,798,125,110,71,48
2020년06월_여_40~49세,"3,063",471,273,406,"1,279",243,192,113,86
2020년06월_여_50~59세,"3,492",566,377,426,"1,031",375,361,190,166
2020년06월_여_60~69세,"3,869",586,489,584,882,446,346,298,238
2020년06월_여_70~79세,"2,698",369,364,428,511,274,263,270,219
2020년06월_여_80~89세,"1,316",176,137,216,247,115,161,139,125
2020년06월_여_90~99세,205,32,31,34,35,19,24,16,14
2020년06월_여_100세 이상,36,7,5,5,3,3,5,2,6
2020년07월_계_총인구수,"43,098","6,481","4,524","6,041","13,796","3,955","3,535","2,631","2,135"
2020년07월_계_연령구간인구수,"43,098","6,481","4,524","6,041","13,796","3,955","3,535","2,631","2,135"
2020년07월_계_0~9세,"2,702",501,199,408,"1,180",166,127,78,43
2020년07월_계_10~19세,"3,885",573,319,516,"1,678",275,232,185,107
2020년07월_계_20~29세,"3,691",609,347,396,"1,448",277,313,165,136
2020년07월_계_30~39세,"3,932",637,303,564,"1,598",293,262,154,121
2020년07월_계_40~49세,"6,534",940,620,938,"2,620",531,399,282,204
2020년07월_계_50~59세,"7,491","1,132",837,987,"2,194",777,752,432,380
2020년07월_계_60~69세,"7,602","1,105",992,"1,071","1,716",896,715,610,497
2020년07월_계_70~79세,"4,885",661,636,779,942,512,462,485,408
2020년07월_계_80~89세,"2,050",266,223,330,370,200,240,215,206
2020년07월_계_90~99세,264,43,40,44,42,23,26,21,25
2020년07월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년07월_남_총인구수,"21,804","3,217","2,315","3,049","7,001","1,991","1,752","1,368","1,111"
2020년07월_남_연령구간인구수,"21,804","3,217","2,315","3,049","7,001","1,991","1,752","1,368","1,111"
2020년07월_남_0~9세,"1,399",264,100,218,599,83,65,47,23
2020년07월_남_10~19세,"2,018",306,173,255,877,125,111,114,57
2020년07월_남_20~29세,"2,118",361,207,237,813,149,173,98,80
2020년07월_남_30~39세,"2,056",329,165,274,810,166,155,83,74
2020년07월_남_40~49세,"3,476",471,345,535,"1,340",289,207,171,118
2020년07월_남_50~59세,"4,011",568,459,560,"1,159",404,398,244,219
2020년07월_남_60~69세,"3,725",518,499,492,837,446,363,314,256
2020년07월_남_70~79세,"2,187",290,275,349,430,237,200,214,192
2020년07월_남_80~89세,731,94,80,115,124,87,76,76,79
2020년07월_남_90~99세,57,9,9,11,7,3,2,5,11
2020년07월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년07월_여_총인구수,"21,294","3,264","2,209","2,992","6,795","1,964","1,783","1,263","1,024"
2020년07월_여_연령구간인구수,"21,294","3,264","2,209","2,992","6,795","1,964","1,783","1,263","1,024"
2020년07월_여_0~9세,"1,303",237,99,190,581,83,62,31,20
2020년07월_여_10~19세,"1,867",267,146,261,801,150,121,71,50
2020년07월_여_20~29세,"1,573",248,140,159,635,128,140,67,56
2020년07월_여_30~39세,"1,876",308,138,290,788,127,107,71,47
2020년07월_여_40~49세,"3,058",469,275,403,"1,280",242,192,111,86
2020년07월_여_50~59세,"3,480",564,378,427,"1,035",373,354,188,161
2020년07월_여_60~69세,"3,877",587,493,579,879,450,352,296,241
2020년07월_여_70~79세,"2,698",371,361,430,512,275,262,271,216
2020년07월_여_80~89세,"1,319",172,143,215,246,113,164,139,127
2020년07월_여_90~99세,207,34,31,33,35,20,24,16,14
2020년07월_여_100세 이상,36,7,5,5,3,3,5,2,6
2020년08월_계_총인구수,"42,980","6,480","4,529","6,031","13,742","3,927","3,525","2,620","2,126"
2020년08월_계_연령구간인구수,"42,980","6,480","4,529","6,031","13,742","3,927","3,525","2,620","2,126"
2020년08월_계_0~9세,"2,674",503,198,402,"1,159",169,126,76,41
2020년08월_계_10~19세,"3,864",571,317,514,"1,671",270,232,183,106
2020년08월_계_20~29세,"3,677",609,351,404,"1,447",268,306,160,132
2020년08월_계_30~39세,"3,895",623,295,560,"1,586",288,263,154,126
2020년08월_계_40~49세,"6,506",938,632,934,"2,602",524,394,282,200
2020년08월_계_50~59세,"7,459","1,142",826,977,"2,190",763,748,432,381
2020년08월_계_60~69세,"7,622","1,105",999,"1,074","1,722",901,717,610,494
2020년08월_계_70~79세,"4,908",667,641,782,943,515,466,485,409
2020년08월_계_80~89세,"2,046",264,222,331,371,200,240,214,204
2020년08월_계_90~99세,267,44,40,45,43,24,26,20,25
2020년08월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년08월_남_총인구수,"21,749","3,211","2,311","3,050","6,986","1,983","1,743","1,360","1,105"
2020년08월_남_연령구간인구수,"21,749","3,211","2,311","3,050","6,986","1,983","1,743","1,360","1,105"
2020년08월_남_0~9세,"1,387",263,98,218,591,85,64,45,23
2020년08월_남_10~19세,"2,011",301,171,256,877,122,112,115,57
2020년08월_남_20~29세,"2,111",365,207,242,818,142,168,93,76
2020년08월_남_30~39세,"2,038",320,164,272,802,161,157,84,78
2020년08월_남_40~49세,"3,458",471,348,534,"1,331",289,202,169,114
2020년08월_남_50~59세,"3,999",572,456,552,"1,157",401,394,245,222
2020년08월_남_60~69세,"3,742",519,501,499,840,453,363,314,253
2020년08월_남_70~79세,"2,194",291,275,348,433,237,204,214,192
2020년08월_남_80~89세,726,93,79,115,125,87,75,75,77
2020년08월_남_90~99세,57,9,9,11,7,4,2,4,11
2020년08월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년08월_여_총인구수,"21,231","3,269","2,218","2,981","6,756","1,944","1,782","1,260","1,021"
2020년08월_여_연령구간인구수,"21,231","3,269","2,218","2,981","6,756","1,944","1,782","1,260","1,021"
2020년08월_여_0~9세,"1,287",240,100,184,568,84,62,31,18
2020년08월_여_10~19세,"1,853",270,146,258,794,148,120,68,49
2020년08월_여_20~29세,"1,566",244,144,162,629,126,138,67,56
2020년08월_여_30~39세,"1,857",303,131,288,784,127,106,70,48
2020년08월_여_40~49세,"3,048",467,284,400,"1,271",235,192,113,86
2020년08월_여_50~59세,"3,460",570,370,425,"1,033",362,354,187,159
2020년08월_여_60~69세,"3,880",586,498,575,882,448,354,296,241
2020년08월_여_70~79세,"2,714",376,366,434,510,278,262,271,217
2020년08월_여_80~89세,"1,320",171,143,216,246,113,165,139,127
2020년08월_여_90~99세,210,35,31,34,36,20,24,16,14
2020년08월_여_100세 이상,36,7,5,5,3,3,5,2,6
2020년09월_계_총인구수,"42,937","6,459","4,529","6,042","13,715","3,908","3,518","2,631","2,135"
2020년09월_계_연령구간인구수,"42,937","6,459","4,529","6,042","13,715","3,908","3,518","2,631","2,135"
2020년09월_계_0~9세,"2,650",492,195,404,"1,145",166,128,79,41
2020년09월_계_10~19세,"3,880",573,321,516,"1,667",263,230,204,106
2020년09월_계_20~29세,"3,665",601,351,410,"1,446",269,305,152,131
2020년09월_계_30~39세,"3,864",617,293,550,"1,574",287,261,153,129
2020년09월_계_40~49세,"6,498",934,632,945,"2,595",519,393,284,196
2020년09월_계_50~59세,"7,434","1,141",820,972,"2,189",762,740,426,384
2020년09월_계_60~69세,"7,636","1,107","1,006","1,078","1,723",898,720,606,498
2020년09월_계_70~79세,"4,916",672,639,778,949,516,466,486,410
2020년09월_계_80~89세,"2,061",263,224,334,376,199,241,217,207
2020년09월_계_90~99세,270,45,40,46,43,24,27,20,25
2020년09월_계_100세 이상,63,14,8,9,8,5,7,4,8
2020년09월_남_총인구수,"21,741","3,206","2,312","3,060","6,967","1,975","1,738","1,374","1,109"
2020년09월_남_연령구간인구수,"21,741","3,206","2,312","3,060","6,967","1,975","1,738","1,374","1,109"
2020년09월_남_0~9세,"1,374",256,95,222,585,85,64,46,21
2020년09월_남_10~19세,"2,030",301,172,258,874,119,110,138,58
2020년09월_남_20~29세,"2,103",361,210,242,817,141,168,87,77
2020년09월_남_30~39세,"2,028",322,161,265,797,162,157,83,81
2020년09월_남_40~49세,"3,459",470,348,545,"1,326",286,202,172,110
2020년09월_남_50~59세,"3,976",571,451,551,"1,153",403,388,238,221
2020년09월_남_60~69세,"3,761",522,509,500,843,446,367,315,259
2020년09월_남_70~79세,"2,189",291,274,344,434,239,203,213,191
2020년09월_남_80~89세,735,96,79,118,126,88,74,76,78
2020년09월_남_90~99세,60,9,10,12,7,4,3,4,11
2020년09월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년09월_여_총인구수,"21,196","3,253","2,217","2,982","6,748","1,933","1,780","1,257","1,026"
2020년09월_여_연령구간인구수,"21,196","3,253","2,217","2,982","6,748","1,933","1,780","1,257","1,026"
2020년09월_여_0~9세,"1,276",236,100,182,560,81,64,33,20
2020년09월_여_10~19세,"1,850",272,149,258,793,144,120,66,48
2020년09월_여_20~29세,"1,562",240,141,168,629,128,137,65,54
2020년09월_여_30~39세,"1,836",295,132,285,777,125,104,70,48
2020년09월_여_40~49세,"3,039",464,284,400,"1,269",233,191,112,86
2020년09월_여_50~59세,"3,458",570,369,421,"1,036",359,352,188,163
2020년09월_여_60~69세,"3,875",585,497,578,880,452,353,291,239
2020년09월_여_70~79세,"2,727",381,365,434,515,277,263,273,219
2020년09월_여_80~89세,"1,326",167,145,216,250,111,167,141,129
2020년09월_여_90~99세,210,36,30,34,36,20,24,16,14
2020년09월_여_100세 이상,37,7,5,6,3,3,5,2,6
2020년10월_계_총인구수,"42,901","6,481","4,509","6,035","13,673","3,889","3,539","2,640","2,135"
2020년10월_계_연령구간인구수,"42,901","6,481","4,509","6,035","13,673","3,889","3,539","2,640","2,135"
2020년10월_계_0~9세,"2,630",489,192,405,"1,132",158,133,78,43
2020년10월_계_10~19세,"3,869",578,314,517,"1,659",264,231,202,104
2020년10월_계_20~29세,"3,688",617,355,405,"1,442",271,311,154,133
2020년10월_계_30~39세,"3,837",617,286,545,"1,558",278,265,157,131
2020년10월_계_40~49세,"6,468",930,622,944,"2,587",515,394,281,195
2020년10월_계_50~59세,"7,424","1,147",824,966,"2,184",757,732,435,379
2020년10월_계_60~69세,"7,665","1,107","1,002","1,088","1,734",902,726,604,502
2020년10월_계_70~79세,"4,902",677,630,771,946,516,466,488,408
2020년10월_계_80~89세,"2,078",259,236,340,376,197,245,217,208
2020년10월_계_90~99세,276,45,40,45,47,26,29,20,24
2020년10월_계_100세 이상,64,15,8,9,8,5,7,4,8
2020년10월_남_총인구수,"21,717","3,224","2,305","3,059","6,941","1,959","1,749","1,376","1,104"
2020년10월_남_연령구간인구수,"21,717","3,224","2,305","3,059","6,941","1,959","1,749","1,376","1,104"
2020년10월_남_0~9세,"1,359",258,93,222,572,78,68,46,22
2020년10월_남_10~19세,"2,026",300,170,260,872,119,112,136,57
2020년10월_남_20~29세,"2,108",370,213,237,813,142,169,88,76
2020년10월_남_30~39세,"2,018",325,158,265,789,157,159,83,82
2020년10월_남_40~49세,"3,445",467,340,544,"1,324",287,203,170,110
2020년10월_남_50~59세,"3,965",574,457,549,"1,150",397,381,244,213
2020년10월_남_60~69세,"3,783",523,506,508,851,447,374,312,262
2020년10월_남_70~79세,"2,187",296,271,340,433,240,202,214,191
2020년10월_남_80~89세,735,93,84,119,125,85,75,76,78
2020년10월_남_90~99세,65,11,10,12,7,5,4,5,11
2020년10월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년10월_여_총인구수,"21,184","3,257","2,204","2,976","6,732","1,930","1,790","1,264","1,031"
2020년10월_여_연령구간인구수,"21,184","3,257","2,204","2,976","6,732","1,930","1,790","1,264","1,031"
2020년10월_여_0~9세,"1,271",231,99,183,560,80,65,32,21
2020년10월_여_10~19세,"1,843",278,144,257,787,145,119,66,47
2020년10월_여_20~29세,"1,580",247,142,168,629,129,142,66,57
2020년10월_여_30~39세,"1,819",292,128,280,769,121,106,74,49
2020년10월_여_40~49세,"3,023",463,282,400,"1,263",228,191,111,85
2020년10월_여_50~59세,"3,459",573,367,417,"1,034",360,351,191,166
2020년10월_여_60~69세,"3,882",584,496,580,883,455,352,292,240
2020년10월_여_70~79세,"2,715",381,359,431,513,276,264,274,217
2020년10월_여_80~89세,"1,343",166,152,221,251,112,170,141,130
2020년10월_여_90~99세,211,34,30,33,40,21,25,15,13
2020년10월_여_100세 이상,38,8,5,6,3,3,5,2,6
2020년11월_계_총인구수,"42,800","6,445","4,495","6,027","13,666","3,894","3,521","2,620","2,132"
2020년11월_계_연령구간인구수,"42,800","6,445","4,495","6,027","13,666","3,894","3,521","2,620","2,132"
2020년11월_계_0~9세,"2,595",475,190,398,"1,124",154,133,77,44
2020년11월_계_10~19세,"3,856",578,310,512,"1,654",269,234,196,103
2020년11월_계_20~29세,"3,686",613,353,408,"1,439",279,308,154,132
2020년11월_계_30~39세,"3,796",605,283,541,"1,547",274,260,157,129
2020년11월_계_40~49세,"6,460",928,625,939,"2,591",510,397,276,194
2020년11월_계_50~59세,"7,402","1,134",822,970,"2,190",753,721,433,379
2020년11월_계_60~69세,"7,674","1,111",997,"1,090","1,736",911,726,597,506
2020년11월_계_70~79세,"4,907",680,630,772,954,514,464,488,405
2020년11월_계_80~89세,"2,080",260,236,342,376,199,241,218,208
2020년11월_계_90~99세,280,46,41,46,47,26,30,20,24
2020년11월_계_100세 이상,64,15,8,9,8,5,7,4,8
2020년11월_남_총인구수,"21,685","3,201","2,303","3,060","6,953","1,958","1,734","1,369","1,107"
2020년11월_남_연령구간인구수,"21,685","3,201","2,303","3,060","6,953","1,958","1,734","1,369","1,107"
2020년11월_남_0~9세,"1,342",246,93,220,573,76,66,45,23
2020년11월_남_10~19세,"2,021",303,169,256,871,118,114,133,57
2020년11월_남_20~29세,"2,113",366,212,243,816,146,167,88,75
2020년11월_남_30~39세,"1,996",319,155,264,781,153,158,84,82
2020년11월_남_40~49세,"3,447",466,344,541,"1,330",285,205,167,109
2020년11월_남_50~59세,"3,950",565,454,551,"1,155",393,373,245,214
2020년11월_남_60~69세,"3,791",525,507,509,852,454,371,308,265
2020년11월_남_70~79세,"2,195",299,270,341,440,239,202,215,189
2020년11월_남_80~89세,739,94,86,120,123,87,72,77,80
2020년11월_남_90~99세,65,11,10,12,7,5,4,5,11
2020년11월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년11월_여_총인구수,"21,115","3,244","2,192","2,967","6,713","1,936","1,787","1,251","1,025"
2020년11월_여_연령구간인구수,"21,115","3,244","2,192","2,967","6,713","1,936","1,787","1,251","1,025"
2020년11월_여_0~9세,"1,253",229,97,178,551,78,67,32,21
2020년11월_여_10~19세,"1,835",275,141,256,783,151,120,63,46
2020년11월_여_20~29세,"1,573",247,141,165,623,133,141,66,57
2020년11월_여_30~39세,"1,800",286,128,277,766,121,102,73,47
2020년11월_여_40~49세,"3,013",462,281,398,"1,261",225,192,109,85
2020년11월_여_50~59세,"3,452",569,368,419,"1,035",360,348,188,165
2020년11월_여_60~69세,"3,883",586,490,581,884,457,355,289,241
2020년11월_여_70~79세,"2,712",381,360,431,514,275,262,273,216
2020년11월_여_80~89세,"1,341",166,150,222,253,112,169,141,128
2020년11월_여_90~99세,215,35,31,34,40,21,26,15,13
2020년11월_여_100세 이상,38,8,5,6,3,3,5,2,6
2020년12월_계_총인구수,"42,719","6,452","4,474","6,045","13,609","3,905","3,512","2,604","2,118"
2020년12월_계_연령구간인구수,"42,719","6,452","4,474","6,045","13,609","3,905","3,512","2,604","2,118"
2020년12월_계_0~9세,"2,574",478,188,399,"1,103",155,132,77,42
2020년12월_계_10~19세,"3,831",577,305,515,"1,637",272,241,184,100
2020년12월_계_20~29세,"3,679",616,353,405,"1,441",274,302,156,132
2020년12월_계_30~39세,"3,779",603,277,547,"1,523",283,258,158,130
2020년12월_계_40~49세,"6,434",927,622,943,"2,585",505,394,271,187
2020년12월_계_50~59세,"7,376","1,131",807,965,"2,194",750,723,426,380
2020년12월_계_60~69세,"7,682","1,111","1,003","1,095","1,735",916,720,600,502
2020년12월_계_70~79세,"4,924",685,631,776,958,517,464,489,404
2020년12월_계_80~89세,"2,093",266,237,344,378,202,241,218,207
2020년12월_계_90~99세,282,43,43,47,47,26,30,21,25
2020년12월_계_100세 이상,65,15,8,9,8,5,7,4,9
2020년12월_남_총인구수,"21,640","3,206","2,288","3,074","6,925","1,959","1,729","1,360","1,099"
2020년12월_남_연령구간인구수,"21,640","3,206","2,288","3,074","6,925","1,959","1,729","1,360","1,099"
2020년12월_남_0~9세,"1,338",245,91,224,565,79,67,46,21
