카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년04월_계_30~39세,"2,063",826,162,131,101,259,100,65,105,71,243
2020년04월_계_40~49세,"3,341","1,334",251,181,165,411,216,134,204,139,306
2020년04월_계_50~59세,"5,937","1,814",621,394,364,870,443,347,462,286,336
2020년04월_계_60~69세,"6,587","1,631",755,506,454,952,564,395,528,435,367
2020년04월_계_70~79세,"4,783","1,173",553,361,362,701,378,244,404,386,221
2020년04월_계_80~89세,"3,164",753,374,257,285,469,244,169,246,252,115
2020년04월_계_90~99세,472,140,50,38,39,82,29,22,34,23,15
2020년04월_계_100세 이상,27,6,2,1,1,7,5,1,1,3,0
2020년04월_남_총인구수,"16,050","4,999","1,595","1,054","1,030","2,226","1,126",788,"1,195",906,"1,131"
2020년04월_남_연령구간인구수,"16,050","4,999","1,595","1,054","1,030","2,226","1,126",788,"1,195",906,"1,131"
2020년04월_남_0~9세,774,343,53,30,40,103,35,20,31,18,101
2020년04월_남_10~19세,"1,032",440,90,45,44,148,55,48,67,24,71
2020년04월_남_20~29세,"1,224",518,96,87,65,144,65,39,80,65,65
2020년04월_남_30~39세,"1,123",403,95,74,64,130,52,36,68,41,160
2020년04월_남_40~49세,"1,967",715,144,116,105,249,132,75,132,93,206
2020년04월_남_50~59세,"3,162",955,324,195,200,450,232,182,259,165,200
2020년04월_남_60~69세,"3,418",828,398,260,244,486,301,218,273,215,195
2020년04월_남_70~79세,"2,133",507,254,155,153,315,174,108,190,184,93
2020년04월_남_80~89세,"1,103",270,128,82,104,175,71,55,90,94,34
2020년04월_남_90~99세,109,19,13,9,11,23,9,7,5,7,6
2020년04월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년04월_여_총인구수,"15,839","5,140","1,583","1,108","1,016","2,230","1,125",777,"1,073",864,923
2020년04월_여_연령구간인구수,"15,839","5,140","1,583","1,108","1,016","2,230","1,125",777,"1,073",864,923
2020년04월_여_0~9세,705,298,52,26,38,91,29,16,29,20,106
2020년04월_여_10~19세,884,458,54,53,41,103,44,28,38,15,50
2020년04월_여_20~29세,896,405,65,52,47,116,44,37,39,33,58
2020년04월_여_30~39세,940,423,67,57,37,129,48,29,37,30,83
2020년04월_여_40~49세,"1,374",619,107,65,60,162,84,59,72,46,100
2020년04월_여_50~59세,"2,775",859,297,199,164,420,211,165,203,121,136
2020년04월_여_60~69세,"3,169",803,357,246,210,466,263,177,255,220,172
2020년04월_여_70~79세,"2,650",666,299,206,209,386,204,136,214,202,128
2020년04월_여_80~89세,"2,061",483,246,175,181,294,173,114,156,158,81
2020년04월_여_90~99세,363,121,37,29,28,59,20,15,29,16,9
2020년04월_여_100세 이상,22,5,2,0,1,4,5,1,1,3,0
2020년05월_계_총인구수,"31,843","10,123","3,173","2,155","2,044","4,439","2,251","1,559","2,277","1,774","2,048"
2020년05월_계_연령구간인구수,"31,843","10,123","3,173","2,155","2,044","4,439","2,251","1,559","2,277","1,774","2,048"
2020년05월_계_0~9세,"1,465",639,100,56,78,188,65,36,60,37,206
2020년05월_계_10~19세,"1,904",892,147,95,82,249,98,76,107,38,120
2020년05월_계_20~29세,"2,116",919,159,140,112,258,111,76,118,100,123
2020년05월_계_30~39세,"2,045",821,161,129,101,251,99,62,103,69,249
2020년05월_계_40~49세,"3,319","1,325",250,179,162,409,213,134,204,139,304
2020년05월_계_50~59세,"5,924","1,810",617,389,365,873,443,341,463,289,334
2020년05월_계_60~69세,"6,603","1,647",757,507,456,949,562,396,534,432,363
2020년05월_계_70~79세,"4,781","1,165",555,363,359,706,378,246,403,387,219
2020년05월_계_80~89세,"3,188",759,376,258,288,468,248,168,251,257,115
2020년05월_계_90~99세,469,140,49,38,39,81,29,22,33,23,15
2020년05월_계_100세 이상,29,6,2,1,2,7,5,2,1,3,0
2020년05월_남_총인구수,"16,019","4,984","1,590","1,052","1,031","2,208","1,126",785,"1,199",911,"1,133"
2020년05월_남_연령구간인구수,"16,019","4,984","1,590","1,052","1,031","2,208","1,126",785,"1,199",911,"1,133"
2020년05월_남_0~9세,762,341,51,30,40,99,35,19,30,18,99
2020년05월_남_10~19세,"1,018",432,90,44,42,145,55,48,68,24,70
2020년05월_남_20~29세,"1,231",517,96,88,65,144,68,39,80,67,67
2020년05월_남_30~39세,"1,111",401,94,72,64,123,50,33,66,42,166
2020년05월_남_40~49세,"1,956",711,145,115,102,246,130,75,133,93,206
2020년05월_남_50~59세,"3,162",955,321,194,205,454,230,179,257,165,202
2020년05월_남_60~69세,"3,426",835,396,261,245,484,300,221,279,212,193
2020년05월_남_70~79세,"2,124",500,255,156,152,314,175,107,190,185,90
2020년05월_남_80~89세,"1,117",273,129,83,104,174,74,57,91,98,34
2020년05월_남_90~99세,107,18,13,8,12,22,9,7,5,7,6
2020년05월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년05월_여_총인구수,"15,824","5,139","1,583","1,103","1,013","2,231","1,125",774,"1,078",863,915
2020년05월_여_연령구간인구수,"15,824","5,139","1,583","1,103","1,013","2,231","1,125",774,"1,078",863,915
2020년05월_여_0~9세,703,298,49,26,38,89,30,17,30,19,107
2020년05월_여_10~19세,886,460,57,51,40,104,43,28,39,14,50
2020년05월_여_20~29세,885,402,63,52,47,114,43,37,38,33,56
2020년05월_여_30~39세,934,420,67,57,37,128,49,29,37,27,83
2020년05월_여_40~49세,"1,363",614,105,64,60,163,83,59,71,46,98
2020년05월_여_50~59세,"2,762",855,296,195,160,419,213,162,206,124,132
2020년05월_여_60~69세,"3,177",812,361,246,211,465,262,175,255,220,170
2020년05월_여_70~79세,"2,657",665,300,207,207,392,203,139,213,202,129
2020년05월_여_80~89세,"2,071",486,247,175,184,294,174,111,160,159,81
2020년05월_여_90~99세,362,122,36,30,27,59,20,15,28,16,9
2020년05월_여_100세 이상,24,5,2,0,2,4,5,2,1,3,0
2020년06월_계_총인구수,"31,823","10,094","3,174","2,156","2,045","4,461","2,244","1,554","2,275","1,777","2,043"
2020년06월_계_연령구간인구수,"31,823","10,094","3,174","2,156","2,045","4,461","2,244","1,554","2,275","1,777","2,043"
2020년06월_계_0~9세,"1,459",634,100,57,77,190,64,34,60,36,207
2020년06월_계_10~19세,"1,899",889,149,96,83,248,97,75,107,38,117
2020년06월_계_20~29세,"2,091",911,151,139,111,259,109,71,116,97,127
2020년06월_계_30~39세,"2,044",810,166,132,99,257,97,61,103,71,248
2020년06월_계_40~49세,"3,306","1,327",250,180,157,405,208,134,206,138,301
2020년06월_계_50~59세,"5,909","1,802",613,383,372,880,441,340,455,290,333
2020년06월_계_60~69세,"6,642","1,651",765,512,454,958,563,400,541,435,363
2020년06월_계_70~79세,"4,783","1,163",553,361,360,705,380,249,405,390,217
2020년06월_계_80~89세,"3,186",763,373,257,291,468,251,167,248,254,114
2020년06월_계_90~99세,476,138,52,38,39,84,29,22,33,25,16
2020년06월_계_100세 이상,28,6,2,1,2,7,5,1,1,3,0
2020년06월_남_총인구수,"16,024","4,966","1,591","1,053","1,034","2,222","1,127",783,"1,199",914,"1,135"
2020년06월_남_연령구간인구수,"16,024","4,966","1,591","1,053","1,034","2,222","1,127",783,"1,199",914,"1,135"
2020년06월_남_0~9세,757,337,50,31,40,98,35,18,30,18,100
2020년06월_남_10~19세,"1,017",431,91,46,43,144,54,48,68,24,68
2020년06월_남_20~29세,"1,221",510,95,87,65,146,68,36,79,65,70
2020년06월_남_30~39세,"1,111",399,95,74,62,126,47,33,66,43,166
2020년06월_남_40~49세,"1,949",711,143,115,99,248,130,73,133,92,205
2020년06월_남_50~59세,"3,163",950,322,193,211,453,231,181,255,165,202
2020년06월_남_60~69세,"3,455",836,399,262,244,495,303,222,283,217,194
2020년06월_남_70~79세,"2,123",500,253,154,154,313,175,108,191,186,89
2020년06월_남_80~89세,"1,111",273,128,82,104,173,75,56,89,96,35
2020년06월_남_90~99세,112,18,15,8,12,23,9,8,5,8,6
2020년06월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년06월_여_총인구수,"15,799","5,128","1,583","1,103","1,011","2,239","1,117",771,"1,076",863,908
2020년06월_여_연령구간인구수,"15,799","5,128","1,583","1,103","1,011","2,239","1,117",771,"1,076",863,908
2020년06월_여_0~9세,702,297,50,26,37,92,29,16,30,18,107
2020년06월_여_10~19세,882,458,58,50,40,104,43,27,39,14,49
2020년06월_여_20~29세,870,401,56,52,46,113,41,35,37,32,57
2020년06월_여_30~39세,933,411,71,58,37,131,50,28,37,28,82
2020년06월_여_40~49세,"1,357",616,107,65,58,157,78,61,73,46,96
2020년06월_여_50~59세,"2,746",852,291,190,161,427,210,159,200,125,131
2020년06월_여_60~69세,"3,187",815,366,250,210,463,260,178,258,218,169
2020년06월_여_70~79세,"2,660",663,300,207,206,392,205,141,214,204,128
2020년06월_여_80~89세,"2,075",490,245,175,187,295,176,111,159,158,79
2020년06월_여_90~99세,364,120,37,30,27,61,20,14,28,17,10
2020년06월_여_100세 이상,23,5,2,0,2,4,5,1,1,3,0
2020년07월_계_총인구수,"31,777","10,047","3,171","2,144","2,041","4,488","2,258","1,548","2,277","1,767","2,036"
2020년07월_계_연령구간인구수,"31,777","10,047","3,171","2,144","2,041","4,488","2,258","1,548","2,277","1,767","2,036"
2020년07월_계_0~9세,"1,456",634,100,57,76,192,68,31,60,31,207
2020년07월_계_10~19세,"1,893",882,148,97,81,249,97,76,107,39,117
2020년07월_계_20~29세,"2,077",905,152,136,111,264,108,67,115,90,129
2020년07월_계_30~39세,"2,033",808,167,130,101,253,100,61,102,69,242
2020년07월_계_40~49세,"3,288","1,310",247,175,156,412,210,135,206,137,300
2020년07월_계_50~59세,"5,875","1,779",607,381,368,887,444,335,452,289,333
2020년07월_계_60~69세,"6,683","1,658",774,511,456,968,568,401,546,440,361
2020년07월_계_70~79세,"4,776","1,169",548,361,359,704,376,250,404,390,215
2020년07월_계_80~89세,"3,184",758,375,257,292,466,251,167,249,254,115
2020년07월_계_90~99세,485,138,51,38,39,86,32,24,35,25,17
2020년07월_계_100세 이상,27,6,2,1,2,7,4,1,1,3,0
2020년07월_남_총인구수,"16,005","4,946","1,591","1,046","1,034","2,238","1,133",782,"1,201",906,"1,128"
2020년07월_남_연령구간인구수,"16,005","4,946","1,591","1,046","1,034","2,238","1,133",782,"1,201",906,"1,128"
2020년07월_남_0~9세,753,338,50,31,41,100,35,16,30,14,98
2020년07월_남_10~19세,"1,015",428,91,47,41,143,54,49,68,25,69
2020년07월_남_20~29세,"1,214",503,94,86,66,149,68,36,80,61,71
2020년07월_남_30~39세,"1,104",399,97,72,62,127,48,33,64,42,160
2020년07월_남_40~49세,"1,932",702,140,110,98,250,130,73,134,91,204
2020년07월_남_50~59세,"3,158",940,318,195,209,460,234,179,255,166,202
2020년07월_남_60~69세,"3,469",839,405,260,245,497,306,220,285,218,194
2020년07월_남_70~79세,"2,129",504,251,154,154,313,173,112,192,186,90
2020년07월_남_80~89세,"1,112",273,131,83,106,173,74,55,88,95,34
2020년07월_남_90~99세,114,19,14,7,12,23,11,9,5,8,6
2020년07월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년07월_여_총인구수,"15,772","5,101","1,580","1,098","1,007","2,250","1,125",766,"1,076",861,908
2020년07월_여_연령구간인구수,"15,772","5,101","1,580","1,098","1,007","2,250","1,125",766,"1,076",861,908
2020년07월_여_0~9세,703,296,50,26,35,92,33,15,30,17,109
2020년07월_여_10~19세,878,454,57,50,40,106,43,27,39,14,48
2020년07월_여_20~29세,863,402,58,50,45,115,40,31,35,29,58
2020년07월_여_30~39세,929,409,70,58,39,126,52,28,38,27,82
2020년07월_여_40~49세,"1,356",608,107,65,58,162,80,62,72,46,96
2020년07월_여_50~59세,"2,717",839,289,186,159,427,210,156,197,123,131
2020년07월_여_60~69세,"3,214",819,369,251,211,471,262,181,261,222,167
2020년07월_여_70~79세,"2,647",665,297,207,205,391,203,138,212,204,125
2020년07월_여_80~89세,"2,072",485,244,174,186,293,177,112,161,159,81
2020년07월_여_90~99세,371,119,37,31,27,63,21,15,30,17,11
2020년07월_여_100세 이상,22,5,2,0,2,4,4,1,1,3,0
2020년08월_계_총인구수,"31,701","10,018","3,173","2,142","2,035","4,483","2,254","1,541","2,258","1,763","2,034"
2020년08월_계_연령구간인구수,"31,701","10,018","3,173","2,142","2,035","4,483","2,254","1,541","2,258","1,763","2,034"
2020년08월_계_0~9세,"1,447",622,98,58,78,195,68,32,57,33,206
2020년08월_계_10~19세,"1,881",882,147,96,79,246,95,74,107,39,116
2020년08월_계_20~29세,"2,045",897,147,131,106,264,107,65,113,85,130
2020년08월_계_30~39세,"2,007",797,167,128,100,253,99,59,99,69,236
2020년08월_계_40~49세,"3,287","1,309",251,178,155,415,207,131,201,137,303
2020년08월_계_50~59세,"5,865","1,776",611,382,369,875,442,341,444,291,334
2020년08월_계_60~69세,"6,702","1,665",775,509,458,973,570,400,551,439,362
2020년08월_계_70~79세,"4,757","1,168",548,364,356,697,379,246,402,386,211
2020년08월_계_80~89세,"3,196",759,372,258,293,468,254,168,249,256,119
2020년08월_계_90~99세,485,137,55,37,38,90,29,24,33,25,17
2020년08월_계_100세 이상,29,6,2,1,3,7,4,1,2,3,0
2020년08월_남_총인구수,"15,958","4,930","1,590","1,043","1,032","2,235","1,130",781,"1,186",904,"1,127"
2020년08월_남_연령구간인구수,"15,958","4,930","1,590","1,043","1,032","2,235","1,130",781,"1,186",904,"1,127"
2020년08월_남_0~9세,750,332,50,30,42,101,35,17,29,15,99
2020년08월_남_10~19세,"1,008",429,90,47,39,141,53,49,67,25,68
2020년08월_남_20~29세,"1,197",500,90,82,67,150,65,36,78,58,71
2020년08월_남_30~39세,"1,090",394,96,73,60,126,48,32,61,42,158
2020년08월_남_40~49세,"1,922",703,141,111,97,250,127,70,129,91,203
2020년08월_남_50~59세,"3,164",939,319,196,210,459,234,185,251,167,204
2020년08월_남_60~69세,"3,476",835,407,258,248,497,312,218,288,219,194
2020년08월_남_70~79세,"2,123",506,252,155,152,311,172,109,192,185,89
2020년08월_남_80~89세,"1,109",271,128,84,105,174,75,56,86,95,35
2020년08월_남_90~99세,114,20,17,6,12,23,9,9,5,7,6
2020년08월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년08월_여_총인구수,"15,743","5,088","1,583","1,099","1,003","2,248","1,124",760,"1,072",859,907
2020년08월_여_연령구간인구수,"15,743","5,088","1,583","1,099","1,003","2,248","1,124",760,"1,072",859,907
2020년08월_여_0~9세,697,290,48,28,36,94,33,15,28,18,107
2020년08월_여_10~19세,873,453,57,49,40,105,42,25,40,14,48
2020년08월_여_20~29세,848,397,57,49,39,114,42,29,35,27,59
2020년08월_여_30~39세,917,403,71,55,40,127,51,27,38,27,78
2020년08월_여_40~49세,"1,365",606,110,67,58,165,80,61,72,46,100
2020년08월_여_50~59세,"2,701",837,292,186,159,416,208,156,193,124,130
2020년08월_여_60~69세,"3,226",830,368,251,210,476,258,182,263,220,168
2020년08월_여_70~79세,"2,634",662,296,209,204,386,207,137,210,201,122
2020년08월_여_80~89세,"2,087",488,244,174,188,294,179,112,163,161,84
2020년08월_여_90~99세,371,117,38,31,26,67,20,15,28,18,11
2020년08월_여_100세 이상,24,5,2,0,3,4,4,1,2,3,0
2020년09월_계_총인구수,"31,637","9,990","3,180","2,138","2,031","4,474","2,254","1,529","2,253","1,745","2,043"
2020년09월_계_연령구간인구수,"31,637","9,990","3,180","2,138","2,031","4,474","2,254","1,529","2,253","1,745","2,043"
2020년09월_계_0~9세,"1,426",615,98,58,77,191,67,32,57,30,201
2020년09월_계_10~19세,"1,873",874,146,95,80,245,96,72,106,38,121
2020년09월_계_20~29세,"2,036",900,146,130,103,260,102,66,112,85,132
2020년09월_계_30~39세,"1,992",788,168,126,101,252,103,56,97,65,236
2020년09월_계_40~49세,"3,265","1,298",251,175,151,413,204,131,204,135,303
2020년09월_계_50~59세,"5,837","1,765",608,380,366,872,440,336,442,293,335
2020년09월_계_60~69세,"6,739","1,677",786,514,461,979,574,396,551,436,365
2020년09월_계_70~79세,"4,753","1,168",548,366,355,699,379,247,395,383,213
2020년09월_계_80~89세,"3,192",758,374,256,295,466,255,167,253,249,119
2020년09월_계_90~99세,494,141,53,37,39,90,30,25,34,28,17
2020년09월_계_100세 이상,30,6,2,1,3,7,4,1,2,3,1
2020년09월_남_총인구수,"15,922","4,915","1,592","1,044","1,026","2,228","1,128",776,"1,182",897,"1,134"
2020년09월_남_연령구간인구수,"15,922","4,915","1,592","1,044","1,026","2,228","1,128",776,"1,182",897,"1,134"
2020년09월_남_0~9세,739,325,49,30,41,100,36,17,29,14,98
2020년09월_남_10~19세,"1,005",431,90,47,39,139,52,47,66,24,70
2020년09월_남_20~29세,"1,192",501,89,83,65,148,61,38,77,57,73
2020년09월_남_30~39세,"1,079",385,97,71,60,126,50,31,60,41,158
2020년09월_남_40~49세,"1,910",698,143,108,94,247,127,69,130,89,205
2020년09월_남_50~59세,"3,150",936,314,196,209,458,233,183,250,168,203
2020년09월_남_60~69세,"3,485",837,412,261,249,499,312,215,287,217,196
2020년09월_남_70~79세,"2,119",508,251,156,149,312,172,110,186,185,90
2020년09월_남_80~89세,"1,121",272,131,85,108,172,76,57,92,93,35
2020년09월_남_90~99세,117,21,16,6,12,24,9,9,5,9,6
2020년09월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년09월_여_총인구수,"15,715","5,075","1,588","1,094","1,005","2,246","1,126",753,"1,071",848,909
2020년09월_여_연령구간인구수,"15,715","5,075","1,588","1,094","1,005","2,246","1,126",753,"1,071",848,909
2020년09월_여_0~9세,687,290,49,28,36,91,31,15,28,16,103
2020년09월_여_10~19세,868,443,56,48,41,106,44,25,40,14,51
2020년09월_여_20~29세,844,399,57,47,38,112,41,28,35,28,59
2020년09월_여_30~39세,913,403,71,55,41,126,53,25,37,24,78
2020년09월_여_40~49세,"1,355",600,108,67,57,166,77,62,74,46,98
2020년09월_여_50~59세,"2,687",829,294,184,157,414,207,153,192,125,132
2020년09월_여_60~69세,"3,254",840,374,253,212,480,262,181,264,219,169
2020년09월_여_70~79세,"2,634",660,297,210,206,387,207,137,209,198,123
2020년09월_여_80~89세,"2,071",486,243,171,187,294,179,110,161,156,84
2020년09월_여_90~99세,377,120,37,31,27,66,21,16,29,19,11
2020년09월_여_100세 이상,25,5,2,0,3,4,4,1,2,3,1
2020년10월_계_총인구수,"31,625","9,997","3,180","2,134","2,025","4,457","2,257","1,525","2,253","1,758","2,039"
2020년10월_계_연령구간인구수,"31,625","9,997","3,180","2,134","2,025","4,457","2,257","1,525","2,253","1,758","2,039"
2020년10월_계_0~9세,"1,421",619,98,55,78,185,65,32,55,31,203
2020년10월_계_10~19세,"1,858",863,147,97,79,241,94,71,107,40,119
2020년10월_계_20~29세,"2,030",903,143,128,100,256,99,65,113,90,133
2020년10월_계_30~39세,"2,000",796,170,124,100,252,107,55,97,64,235
2020년10월_계_40~49세,"3,252","1,296",249,173,150,414,201,130,203,134,302
2020년10월_계_50~59세,"5,817","1,763",605,378,362,867,444,334,436,296,332
2020년10월_계_60~69세,"6,780","1,681",793,522,463,983,583,396,556,435,368
2020년10월_계_70~79세,"4,745","1,174",547,362,355,694,375,249,394,384,211
2020년10월_계_80~89세,"3,193",756,373,257,295,468,254,167,254,250,119
2020년10월_계_90~99세,500,141,53,37,40,90,31,25,36,31,16
2020년10월_계_100세 이상,29,5,2,1,3,7,4,1,2,3,1
2020년10월_남_총인구수,"15,925","4,922","1,598","1,040","1,022","2,223","1,132",773,"1,181",902,"1,132"
2020년10월_남_연령구간인구수,"15,925","4,922","1,598","1,040","1,022","2,223","1,132",773,"1,181",902,"1,132"
2020년10월_남_0~9세,731,323,50,29,42,98,34,16,28,13,98
2020년10월_남_10~19세,998,426,91,48,38,137,51,46,66,26,69
2020년10월_남_20~29세,"1,188",505,88,81,63,144,59,38,76,59,75
2020년10월_남_30~39세,"1,087",392,99,69,59,130,53,30,60,40,155
2020년10월_남_40~49세,"1,904",695,142,108,93,246,127,71,129,88,205
2020년10월_남_50~59세,"3,152",936,314,197,210,457,233,183,248,171,203
2020년10월_남_60~69세,"3,512",844,416,263,250,504,319,212,290,217,197
2020년10월_남_70~79세,"2,113",508,252,153,148,309,170,112,186,186,89
2020년10월_남_80~89세,"1,117",271,130,85,107,171,77,56,93,92,35
2020년10월_남_90~99세,118,21,16,6,12,24,9,9,5,10,6
2020년10월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년10월_여_총인구수,"15,700","5,075","1,582","1,094","1,003","2,234","1,125",752,"1,072",856,907
2020년10월_여_연령구간인구수,"15,700","5,075","1,582","1,094","1,003","2,234","1,125",752,"1,072",856,907
2020년10월_여_0~9세,690,296,48,26,36,87,31,16,27,18,105
2020년10월_여_10~19세,860,437,56,49,41,104,43,25,41,14,50
2020년10월_여_20~29세,842,398,55,47,37,112,40,27,37,31,58
2020년10월_여_30~39세,913,404,71,55,41,122,54,25,37,24,80
2020년10월_여_40~49세,"1,348",601,107,65,57,168,74,59,74,46,97
2020년10월_여_50~59세,"2,665",827,291,181,152,410,211,151,188,125,129
2020년10월_여_60~69세,"3,268",837,377,259,213,479,264,184,266,218,171
2020년10월_여_70~79세,"2,632",666,295,209,207,385,205,137,208,198,122
2020년10월_여_80~89세,"2,076",485,243,172,188,297,177,111,161,158,84
2020년10월_여_90~99세,382,120,37,31,28,66,22,16,31,21,10
2020년10월_여_100세 이상,24,4,2,0,3,4,4,1,2,3,1
2020년11월_계_총인구수,"31,555","9,999","3,165","2,116","2,017","4,451","2,233","1,530","2,256","1,758","2,030"
2020년11월_계_연령구간인구수,"31,555","9,999","3,165","2,116","2,017","4,451","2,233","1,530","2,256","1,758","2,030"
2020년11월_계_0~9세,"1,398",619,96,49,72,185,60,31,58,31,197
2020년11월_계_10~19세,"1,859",871,143,94,82,241,90,72,105,41,120
2020년11월_계_20~29세,"2,030",905,144,130,101,253,96,67,116,91,127
2020년11월_계_30~39세,"1,962",785,163,115,100,252,105,55,95,61,231
2020년11월_계_40~49세,"3,248","1,306",247,173,146,410,194,131,204,131,306
2020년11월_계_50~59세,"5,803","1,757",605,377,358,869,442,335,430,297,333
2020년11월_계_60~69세,"6,790","1,677",795,525,467,980,580,395,558,442,371
2020년11월_계_70~79세,"4,738","1,174",547,358,355,694,375,250,397,378,210
2020년11월_계_80~89세,"3,191",759,369,256,291,469,255,169,254,251,118
2020년11월_계_90~99세,507,141,54,37,42,91,33,24,37,32,16
2020년11월_계_100세 이상,29,5,2,2,3,7,3,1,2,3,1
2020년11월_남_총인구수,"15,878","4,923","1,588","1,032","1,016","2,210","1,122",774,"1,185",903,"1,125"
2020년11월_남_연령구간인구수,"15,878","4,923","1,588","1,032","1,016","2,210","1,122",774,"1,185",903,"1,125"
2020년11월_남_0~9세,717,320,47,27,39,100,32,15,30,13,94
2020년11월_남_10~19세,"1,000",433,91,45,39,132,50,47,66,27,70
2020년11월_남_20~29세,"1,184",502,86,82,64,142,57,39,78,61,73
2020년11월_남_30~39세,"1,066",392,93,67,57,128,52,30,58,39,150
2020년11월_남_40~49세,"1,898",696,143,108,90,245,123,71,130,86,206
2020년11월_남_50~59세,"3,140",934,313,196,206,453,232,184,244,173,205
2020년11월_남_60~69세,"3,508",840,416,264,254,500,316,209,293,218,198
2020년11월_남_70~79세,"2,124",513,254,150,148,312,173,114,187,184,89
2020년11월_남_80~89세,"1,116",271,129,86,107,170,77,57,94,91,34
2020년11월_남_90~99세,120,21,16,6,12,25,10,8,5,11,6
