카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년05월_계_90~99세,75,34,7,15,19
2020년05월_계_100세 이상,11,11,0,0,0
2020년05월_남_총인구수,"5,033","3,567",475,246,745
2020년05월_남_연령구간인구수,"5,033","3,567",475,246,745
2020년05월_남_0~9세,222,163,21,11,27
2020년05월_남_10~19세,243,181,25,11,26
2020년05월_남_20~29세,492,353,48,12,79
2020년05월_남_30~39세,548,408,34,22,84
2020년05월_남_40~49세,828,623,61,23,121
2020년05월_남_50~59세,"1,081",774,118,51,138
2020년05월_남_60~69세,932,644,96,54,138
2020년05월_남_70~79세,465,295,44,45,81
2020년05월_남_80~89세,197,112,26,13,46
2020년05월_남_90~99세,20,9,2,4,5
2020년05월_남_100세 이상,5,5,0,0,0
2020년05월_여_총인구수,"4,210","2,965",408,227,610
2020년05월_여_연령구간인구수,"4,210","2,965",408,227,610
2020년05월_여_0~9세,198,143,22,6,27
2020년05월_여_10~19세,247,206,13,6,22
2020년05월_여_20~29세,336,253,25,15,43
2020년05월_여_30~39세,374,277,28,15,54
2020년05월_여_40~49세,503,394,36,12,61
2020년05월_여_50~59세,814,577,82,45,110
2020년05월_여_60~69세,824,559,78,56,131
2020년05월_여_70~79세,554,359,69,39,87
2020년05월_여_80~89세,299,166,50,22,61
2020년05월_여_90~99세,55,25,5,11,14
2020년05월_여_100세 이상,6,6,0,0,0
2020년06월_계_총인구수,"9,239","6,532",873,461,"1,373"
2020년06월_계_연령구간인구수,"9,239","6,532",873,461,"1,373"
2020년06월_계_0~9세,419,305,39,19,56
2020년06월_계_10~19세,488,389,37,16,46
2020년06월_계_20~29세,842,609,76,26,131
2020년06월_계_30~39세,919,680,58,38,143
2020년06월_계_40~49세,"1,329","1,019",96,33,181
2020년06월_계_50~59세,"1,888","1,349",197,93,249
2020년06월_계_60~69세,"1,747","1,199",173,104,271
2020년06월_계_70~79세,"1,024",658,114,83,169
2020년06월_계_80~89세,496,279,76,33,108
2020년06월_계_90~99세,76,34,7,16,19
2020년06월_계_100세 이상,11,11,0,0,0
2020년06월_남_총인구수,"5,026","3,559",468,240,759
2020년06월_남_연령구간인구수,"5,026","3,559",468,240,759
2020년06월_남_0~9세,220,161,19,12,28
2020년06월_남_10~19세,242,182,25,11,24
2020년06월_남_20~29세,503,355,50,12,86
2020년06월_남_30~39세,544,406,30,22,86
2020년06월_남_40~49세,823,621,60,22,120
2020년06월_남_50~59세,"1,074",768,115,50,141
2020년06월_남_60~69세,930,639,98,51,142
2020년06월_남_70~79세,469,301,44,43,81
2020년06월_남_80~89세,195,112,25,12,46
2020년06월_남_90~99세,21,9,2,5,5
2020년06월_남_100세 이상,5,5,0,0,0
2020년06월_여_총인구수,"4,213","2,973",405,221,614
2020년06월_여_연령구간인구수,"4,213","2,973",405,221,614
2020년06월_여_0~9세,199,144,20,7,28
2020년06월_여_10~19세,246,207,12,5,22
2020년06월_여_20~29세,339,254,26,14,45
2020년06월_여_30~39세,375,274,28,16,57
2020년06월_여_40~49세,506,398,36,11,61
2020년06월_여_50~59세,814,581,82,43,108
2020년06월_여_60~69세,817,560,75,53,129
2020년06월_여_70~79세,555,357,70,40,88
2020년06월_여_80~89세,301,167,51,21,62
2020년06월_여_90~99세,55,25,5,11,14
2020년06월_여_100세 이상,6,6,0,0,0
2020년07월_계_총인구수,"9,250","6,538",870,467,"1,375"
2020년07월_계_연령구간인구수,"9,250","6,538",870,467,"1,375"
2020년07월_계_0~9세,425,308,39,19,59
2020년07월_계_10~19세,476,377,38,16,45
2020년07월_계_20~29세,846,619,75,27,125
2020년07월_계_30~39세,933,690,57,40,146
2020년07월_계_40~49세,"1,325","1,012",96,34,183
2020년07월_계_50~59세,"1,886","1,343",197,94,252
2020년07월_계_60~69세,"1,745","1,202",173,102,268
2020년07월_계_70~79세,"1,031",662,112,86,171
2020년07월_계_80~89세,494,278,76,32,108
2020년07월_계_90~99세,78,36,7,17,18
2020년07월_계_100세 이상,11,11,0,0,0
2020년07월_남_총인구수,"5,039","3,566",465,248,760
2020년07월_남_연령구간인구수,"5,039","3,566",465,248,760
2020년07월_남_0~9세,220,163,19,12,26
2020년07월_남_10~19세,237,174,26,11,26
2020년07월_남_20~29세,505,360,49,12,84
2020년07월_남_30~39세,555,414,30,24,87
2020년07월_남_40~49세,822,619,59,23,121
2020년07월_남_50~59세,"1,079",768,115,52,144
2020년07월_남_60~69세,927,638,98,50,141
2020년07월_남_70~79세,470,302,42,46,80
2020년07월_남_80~89세,197,113,25,12,47
2020년07월_남_90~99세,22,10,2,6,4
2020년07월_남_100세 이상,5,5,0,0,0
2020년07월_여_총인구수,"4,211","2,972",405,219,615
2020년07월_여_연령구간인구수,"4,211","2,972",405,219,615
2020년07월_여_0~9세,205,145,20,7,33
2020년07월_여_10~19세,239,203,12,5,19
2020년07월_여_20~29세,341,259,26,15,41
2020년07월_여_30~39세,378,276,27,16,59
2020년07월_여_40~49세,503,393,37,11,62
2020년07월_여_50~59세,807,575,82,42,108
2020년07월_여_60~69세,818,564,75,52,127
2020년07월_여_70~79세,561,360,70,40,91
2020년07월_여_80~89세,297,165,51,20,61
2020년07월_여_90~99세,56,26,5,11,14
2020년07월_여_100세 이상,6,6,0,0,0
2020년08월_계_총인구수,"9,211","6,525",866,461,"1,359"
2020년08월_계_연령구간인구수,"9,211","6,525",866,461,"1,359"
2020년08월_계_0~9세,417,308,40,17,52
2020년08월_계_10~19세,472,376,38,15,43
2020년08월_계_20~29세,831,611,72,27,121
2020년08월_계_30~39세,916,685,56,38,137
2020년08월_계_40~49세,"1,316","1,007",95,35,179
2020년08월_계_50~59세,"1,883","1,339",196,93,255
2020년08월_계_60~69세,"1,757","1,206",173,102,276
2020년08월_계_70~79세,"1,038",669,113,86,170
2020년08월_계_80~89세,493,279,76,32,106
2020년08월_계_90~99세,77,34,7,16,20
2020년08월_계_100세 이상,11,11,0,0,0
2020년08월_남_총인구수,"5,018","3,558",462,245,753
2020년08월_남_연령구간인구수,"5,018","3,558",462,245,753
2020년08월_남_0~9세,214,160,19,11,24
2020년08월_남_10~19세,236,174,26,11,25
2020년08월_남_20~29세,495,356,47,12,80
2020년08월_남_30~39세,545,409,30,23,83
2020년08월_남_40~49세,815,615,58,24,118
2020년08월_남_50~59세,"1,081",769,114,51,147
2020년08월_남_60~69세,934,639,99,51,145
2020년08월_남_70~79세,476,308,42,45,81
2020년08월_남_80~89세,196,113,25,12,46
2020년08월_남_90~99세,21,10,2,5,4
2020년08월_남_100세 이상,5,5,0,0,0
2020년08월_여_총인구수,"4,193","2,967",404,216,606
2020년08월_여_연령구간인구수,"4,193","2,967",404,216,606
2020년08월_여_0~9세,203,148,21,6,28
2020년08월_여_10~19세,236,202,12,4,18
2020년08월_여_20~29세,336,255,25,15,41
2020년08월_여_30~39세,371,276,26,15,54
2020년08월_여_40~49세,501,392,37,11,61
2020년08월_여_50~59세,802,570,82,42,108
2020년08월_여_60~69세,823,567,74,51,131
2020년08월_여_70~79세,562,361,71,41,89
2020년08월_여_80~89세,297,166,51,20,60
2020년08월_여_90~99세,56,24,5,11,16
2020년08월_여_100세 이상,6,6,0,0,0
2020년09월_계_총인구수,"9,191","6,519",867,455,"1,350"
2020년09월_계_연령구간인구수,"9,191","6,519",867,455,"1,350"
2020년09월_계_0~9세,416,306,41,17,52
2020년09월_계_10~19세,474,379,38,15,42
2020년09월_계_20~29세,832,616,70,27,119
2020년09월_계_30~39세,900,675,58,34,133
2020년09월_계_40~49세,"1,315","1,005",97,34,179
2020년09월_계_50~59세,"1,869","1,329",194,93,253
2020년09월_계_60~69세,"1,763","1,212",172,101,278
2020년09월_계_70~79세,"1,038",670,113,87,168
2020년09월_계_80~89세,498,281,77,32,108
2020년09월_계_90~99세,75,35,7,15,18
2020년09월_계_100세 이상,11,11,0,0,0
2020년09월_남_총인구수,"5,009","3,550",464,243,752
2020년09월_남_연령구간인구수,"5,009","3,550",464,243,752
2020년09월_남_0~9세,219,161,20,11,27
2020년09월_남_10~19세,235,174,26,11,24
2020년09월_남_20~29세,493,357,46,12,78
2020년09월_남_30~39세,539,407,30,21,81
2020년09월_남_40~49세,810,608,60,23,119
2020년09월_남_50~59세,"1,076",766,113,51,146
2020년09월_남_60~69세,938,641,99,52,146
2020년09월_남_70~79세,476,307,43,45,81
2020년09월_남_80~89세,197,114,25,12,46
2020년09월_남_90~99세,21,10,2,5,4
2020년09월_남_100세 이상,5,5,0,0,0
2020년09월_여_총인구수,"4,182","2,969",403,212,598
2020년09월_여_연령구간인구수,"4,182","2,969",403,212,598
2020년09월_여_0~9세,197,145,21,6,25
2020년09월_여_10~19세,239,205,12,4,18
2020년09월_여_20~29세,339,259,24,15,41
2020년09월_여_30~39세,361,268,28,13,52
2020년09월_여_40~49세,505,397,37,11,60
2020년09월_여_50~59세,793,563,81,42,107
2020년09월_여_60~69세,825,571,73,49,132
2020년09월_여_70~79세,562,363,70,42,87
2020년09월_여_80~89세,301,167,52,20,62
2020년09월_여_90~99세,54,25,5,10,14
2020년09월_여_100세 이상,6,6,0,0,0
2020년10월_계_총인구수,"9,200","6,526",875,454,"1,345"
2020년10월_계_연령구간인구수,"9,200","6,526",875,454,"1,345"
2020년10월_계_0~9세,408,301,41,17,49
2020년10월_계_10~19세,471,378,36,15,42
2020년10월_계_20~29세,853,622,84,26,121
2020년10월_계_30~39세,889,670,57,34,128
2020년10월_계_40~49세,"1,307",996,99,33,179
2020년10월_계_50~59세,"1,878","1,341",192,92,253
2020년10월_계_60~69세,"1,769","1,219",169,104,277
2020년10월_계_70~79세,"1,040",670,115,87,168
2020년10월_계_80~89세,497,281,76,30,110
2020년10월_계_90~99세,76,36,6,16,18
2020년10월_계_100세 이상,12,12,0,0,0
2020년10월_남_총인구수,"5,030","3,562",476,244,748
2020년10월_남_연령구간인구수,"5,030","3,562",476,244,748
2020년10월_남_0~9세,215,158,20,11,26
2020년10월_남_10~19세,232,174,24,11,23
2020년10월_남_20~29세,514,361,63,12,78
2020년10월_남_30~39세,536,406,29,22,79
2020년10월_남_40~49세,806,604,61,22,119
2020년10월_남_50~59세,"1,088",779,112,51,146
2020년10월_남_60~69세,939,645,95,53,146
2020년10월_남_70~79세,477,306,45,45,81
2020년10월_남_80~89세,197,113,26,12,46
2020년10월_남_90~99세,21,11,1,5,4
2020년10월_남_100세 이상,5,5,0,0,0
2020년10월_여_총인구수,"4,170","2,964",399,210,597
2020년10월_여_연령구간인구수,"4,170","2,964",399,210,597
2020년10월_여_0~9세,193,143,21,6,23
2020년10월_여_10~19세,239,204,12,4,19
2020년10월_여_20~29세,339,261,21,14,43
2020년10월_여_30~39세,353,264,28,12,49
2020년10월_여_40~49세,501,392,38,11,60
2020년10월_여_50~59세,790,562,80,41,107
2020년10월_여_60~69세,830,574,74,51,131
2020년10월_여_70~79세,563,364,70,42,87
2020년10월_여_80~89세,300,168,50,18,64
2020년10월_여_90~99세,55,25,5,11,14
2020년10월_여_100세 이상,7,7,0,0,0
2020년11월_계_총인구수,"9,128","6,478",879,444,"1,327"
2020년11월_계_연령구간인구수,"9,128","6,478",879,444,"1,327"
2020년11월_계_0~9세,399,295,41,16,47
2020년11월_계_10~19세,468,377,36,15,40
2020년11월_계_20~29세,836,610,86,25,115
2020년11월_계_30~39세,868,651,57,32,128
2020년11월_계_40~49세,"1,297",994,100,32,171
2020년11월_계_50~59세,"1,873","1,344",191,88,250
2020년11월_계_60~69세,"1,759","1,211",170,101,277
2020년11월_계_70~79세,"1,044",670,115,89,170
2020년11월_계_80~89세,494,279,76,30,109
2020년11월_계_90~99세,78,35,7,16,20
2020년11월_계_100세 이상,12,12,0,0,0
2020년11월_남_총인구수,"4,993","3,538",480,239,736
2020년11월_남_연령구간인구수,"4,993","3,538",480,239,736
2020년11월_남_0~9세,209,155,20,10,24
2020년11월_남_10~19세,235,177,24,11,23
2020년11월_남_20~29세,504,353,66,11,74
2020년11월_남_30~39세,527,398,29,20,80
2020년11월_남_40~49세,796,601,62,21,112
2020년11월_남_50~59세,"1,092",784,111,51,146
2020년11월_남_60~69세,930,638,94,51,147
2020년11월_남_70~79세,479,306,47,47,79
2020년11월_남_80~89세,194,111,25,12,46
2020년11월_남_90~99세,22,10,2,5,5
2020년11월_남_100세 이상,5,5,0,0,0
2020년11월_여_총인구수,"4,135","2,940",399,205,591
2020년11월_여_연령구간인구수,"4,135","2,940",399,205,591
2020년11월_여_0~9세,190,140,21,6,23
2020년11월_여_10~19세,233,200,12,4,17
2020년11월_여_20~29세,332,257,20,14,41
2020년11월_여_30~39세,341,253,28,12,48
2020년11월_여_40~49세,501,393,38,11,59
2020년11월_여_50~59세,781,560,80,37,104
2020년11월_여_60~69세,829,573,76,50,130
2020년11월_여_70~79세,565,364,68,42,91
2020년11월_여_80~89세,300,168,51,18,63
2020년11월_여_90~99세,56,25,5,11,15
2020년11월_여_100세 이상,7,7,0,0,0
2020년12월_계_총인구수,"9,077","6,434",878,444,"1,321"
2020년12월_계_연령구간인구수,"9,077","6,434",878,444,"1,321"
2020년12월_계_0~9세,392,288,41,16,47
2020년12월_계_10~19세,463,372,36,15,40
2020년12월_계_20~29세,833,609,83,25,116
2020년12월_계_30~39세,852,640,60,31,121
2020년12월_계_40~49세,"1,290",987,101,32,170
2020년12월_계_50~59세,"1,848","1,327",186,88,247
2020년12월_계_60~69세,"1,766","1,212",172,101,281
2020년12월_계_70~79세,"1,045",671,116,90,168
2020년12월_계_80~89세,498,282,75,30,111
2020년12월_계_90~99세,78,34,8,16,20
2020년12월_계_100세 이상,12,12,0,0,0
2020년12월_남_총인구수,"4,956","3,506",480,239,731
2020년12월_남_연령구간인구수,"4,956","3,506",480,239,731
2020년12월_남_0~9세,203,149,20,10,24
2020년12월_남_10~19세,233,174,24,11,24
2020년12월_남_20~29세,506,355,66,11,74
2020년12월_남_30~39세,511,387,32,19,73
2020년12월_남_40~49세,791,598,62,21,110
2020년12월_남_50~59세,"1,079",774,107,51,147
2020년12월_남_60~69세,935,638,96,52,149
2020년12월_남_70~79세,479,306,47,47,79
2020년12월_남_80~89세,192,111,23,12,46
2020년12월_남_90~99세,22,9,3,5,5
2020년12월_남_100세 이상,5,5,0,0,0
2020년12월_여_총인구수,"4,121","2,928",398,205,590
2020년12월_여_연령구간인구수,"4,121","2,928",398,205,590
2020년12월_여_0~9세,189,139,21,6,23
2020년12월_여_10~19세,230,198,12,4,16
2020년12월_여_20~29세,327,254,17,14,42
2020년12월_여_30~39세,341,253,28,12,48
2020년12월_여_40~49세,499,389,39,11,60
2020년12월_여_50~59세,769,553,79,37,100
2020년12월_여_60~69세,831,574,76,49,132
2020년12월_여_70~79세,566,365,69,43,89
2020년12월_여_80~89세,306,171,52,18,65
2020년12월_여_90~99세,56,25,5,11,15
2020년12월_여_100세 이상,7,7,0,0,0
2021년01월_계_총인구수,"9,035","6,397",879,443,"1,316"
2021년01월_계_연령구간인구수,"9,035","6,397",879,443,"1,316"
2021년01월_계_0~9세,388,286,40,15,47
2021년01월_계_10~19세,454,363,36,15,40
2021년01월_계_20~29세,826,606,81,23,116
2021년01월_계_30~39세,845,641,59,31,114
2021년01월_계_40~49세,"1,287",981,101,31,174
2021년01월_계_50~59세,"1,830","1,309",189,89,243
2021년01월_계_60~69세,"1,767","1,210",174,101,282
2021년01월_계_70~79세,"1,050",674,116,92,168
2021년01월_계_80~89세,497,281,75,30,111
2021년01월_계_90~99세,79,34,8,16,21
2021년01월_계_100세 이상,12,12,0,0,0
2021년01월_남_총인구수,"4,933","3,488",480,239,726
2021년01월_남_연령구간인구수,"4,933","3,488",480,239,726
2021년01월_남_0~9세,200,147,20,9,24
2021년01월_남_10~19세,233,174,24,11,24
2021년01월_남_20~29세,496,347,64,10,75
2021년01월_남_30~39세,508,389,32,19,68
2021년01월_남_40~49세,790,597,61,20,112
2021년01월_남_50~59세,"1,071",764,110,52,145
2021년01월_남_60~69세,928,631,96,53,148
2021년01월_남_70~79세,485,312,47,47,79
2021년01월_남_80~89세,195,113,23,13,46
2021년01월_남_90~99세,22,9,3,5,5
2021년01월_남_100세 이상,5,5,0,0,0
2021년01월_여_총인구수,"4,102","2,909",399,204,590
2021년01월_여_연령구간인구수,"4,102","2,909",399,204,590
2021년01월_여_0~9세,188,139,20,6,23
2021년01월_여_10~19세,221,189,12,4,16
2021년01월_여_20~29세,330,259,17,13,41
2021년01월_여_30~39세,337,252,27,12,46
2021년01월_여_40~49세,497,384,40,11,62
2021년01월_여_50~59세,759,545,79,37,98
2021년01월_여_60~69세,839,579,78,48,134
2021년01월_여_70~79세,565,362,69,45,89
2021년01월_여_80~89세,302,168,52,17,65
2021년01월_여_90~99세,57,25,5,11,16
2021년01월_여_100세 이상,7,7,0,0,0
2021년02월_계_총인구수,"9,050","6,412",881,440,"1,317"
2021년02월_계_연령구간인구수,"9,050","6,412",881,440,"1,317"
2021년02월_계_0~9세,394,288,42,15,49
2021년02월_계_10~19세,446,353,37,14,42
2021년02월_계_20~29세,826,608,83,20,115
2021년02월_계_30~39세,857,653,62,32,110
2021년02월_계_40~49세,"1,278",972,98,31,177
2021년02월_계_50~59세,"1,826","1,308",186,88,244
2021년02월_계_60~69세,"1,778","1,222",175,102,279
2021년02월_계_70~79세,"1,049",676,115,91,167
2021년02월_계_80~89세,501,282,75,30,114
2021년02월_계_90~99세,83,38,8,17,20
2021년02월_계_100세 이상,12,12,0,0,0
2021년02월_남_총인구수,"4,965","3,522",483,236,724
2021년02월_남_연령구간인구수,"4,965","3,522",483,236,724
2021년02월_남_0~9세,202,149,20,9,24
2021년02월_남_10~19세,229,170,25,10,24
2021년02월_남_20~29세,505,357,66,8,74
2021년02월_남_30~39세,520,400,34,20,66
2021년02월_남_40~49세,785,593,60,20,112
2021년02월_남_50~59세,"1,074",771,108,50,145
2021년02월_남_60~69세,941,641,97,54,149
2021년02월_남_70~79세,483,312,47,47,77
2021년02월_남_80~89세,199,114,23,13,49
2021년02월_남_90~99세,22,10,3,5,4
2021년02월_남_100세 이상,5,5,0,0,0
2021년02월_여_총인구수,"4,085","2,890",398,204,593
2021년02월_여_연령구간인구수,"4,085","2,890",398,204,593
2021년02월_여_0~9세,192,139,22,6,25
2021년02월_여_10~19세,217,183,12,4,18
2021년02월_여_20~29세,321,251,17,12,41
2021년02월_여_30~39세,337,253,28,12,44
2021년02월_여_40~49세,493,379,38,11,65
2021년02월_여_50~59세,752,537,78,38,99
2021년02월_여_60~69세,837,581,78,48,130
2021년02월_여_70~79세,566,364,68,44,90
2021년02월_여_80~89세,302,168,52,17,65
2021년02월_여_90~99세,61,28,5,12,16
2021년02월_여_100세 이상,7,7,0,0,0
2021년03월_계_총인구수,"9,019","6,386",872,437,"1,324"
2021년03월_계_연령구간인구수,"9,019","6,386",872,437,"1,324"
2021년03월_계_0~9세,392,289,38,14,51
2021년03월_계_10~19세,452,354,39,16,43
2021년03월_계_20~29세,808,590,80,20,118
2021년03월_계_30~39세,855,652,62,32,109
2021년03월_계_40~49세,"1,257",953,97,30,177
2021년03월_계_50~59세,"1,817","1,306",183,86,242
2021년03월_계_60~69세,"1,778","1,224",172,101,281
2021년03월_계_70~79세,"1,057",684,115,89,169
2021년03월_계_80~89세,509,284,78,32,115
2021년03월_계_90~99세,80,36,8,17,19
2021년03월_계_100세 이상,14,14,0,0,0
2021년03월_남_총인구수,"4,944","3,501",478,236,729
2021년03월_남_연령구간인구수,"4,944","3,501",478,236,729
2021년03월_남_0~9세,202,149,17,8,28
2021년03월_남_10~19세,230,170,27,11,22
2021년03월_남_20~29세,493,346,64,8,75
2021년03월_남_30~39세,524,402,35,21,66
2021년03월_남_40~49세,765,572,59,21,113
2021년03월_남_50~59세,"1,072",773,105,49,145
2021년03월_남_60~69세,940,642,96,53,149
2021년03월_남_70~79세,491,318,48,47,78
2021년03월_남_80~89세,200,114,24,13,49
2021년03월_남_90~99세,22,10,3,5,4
2021년03월_남_100세 이상,5,5,0,0,0
2021년03월_여_총인구수,"4,075","2,885",394,201,595
2021년03월_여_연령구간인구수,"4,075","2,885",394,201,595
2021년03월_여_0~9세,190,140,21,6,23
2021년03월_여_10~19세,222,184,12,5,21
2021년03월_여_20~29세,315,244,16,12,43
2021년03월_여_30~39세,331,250,27,11,43
2021년03월_여_40~49세,492,381,38,9,64
2021년03월_여_50~59세,745,533,78,37,97
2021년03월_여_60~69세,838,582,76,48,132
2021년03월_여_70~79세,566,366,67,42,91
2021년03월_여_80~89세,309,170,54,19,66
2021년03월_여_90~99세,58,26,5,12,15
2021년03월_여_100세 이상,9,9,0,0,0
2021년04월_계_총인구수,"9,035","6,419",868,434,"1,314"
2021년04월_계_연령구간인구수,"9,035","6,419",868,434,"1,314"
2021년04월_계_0~9세,392,293,37,14,48
2021년04월_계_10~19세,445,349,38,17,41
2021년04월_계_20~29세,824,610,77,21,116
2021년04월_계_30~39세,851,652,62,32,105
2021년04월_계_40~49세,"1,256",954,97,27,178
2021년04월_계_50~59세,"1,811","1,304",183,86,238
2021년04월_계_60~69세,"1,789","1,232",175,100,282
2021년04월_계_70~79세,"1,059",685,116,87,171
2021년04월_계_80~89세,513,288,76,34,115
2021년04월_계_90~99세,81,38,7,16,20
2021년04월_계_100세 이상,14,14,0,0,0
2021년04월_남_총인구수,"4,961","3,532",474,235,720
2021년04월_남_연령구간인구수,"4,961","3,532",474,235,720
2021년04월_남_0~9세,201,152,17,8,24
2021년04월_남_10~19세,227,168,26,12,21
2021년04월_남_20~29세,506,363,62,8,73
2021년04월_남_30~39세,521,401,36,21,63
2021년04월_남_40~49세,768,572,59,20,117
2021년04월_남_50~59세,"1,068",774,104,49,141
2021년04월_남_60~69세,945,649,96,52,148
2021년04월_남_70~79세,494,318,49,47,80
2021년04월_남_80~89세,204,120,23,13,48
2021년04월_남_90~99세,22,10,2,5,5
2021년04월_남_100세 이상,5,5,0,0,0
2021년04월_여_총인구수,"4,074","2,887",394,199,594
2021년04월_여_연령구간인구수,"4,074","2,887",394,199,594
2021년04월_여_0~9세,191,141,20,6,24
2021년04월_여_10~19세,218,181,12,5,20
2021년04월_여_20~29세,318,247,15,13,43
2021년04월_여_30~39세,330,251,26,11,42
2021년04월_여_40~49세,488,382,38,7,61
2021년04월_여_50~59세,743,530,79,37,97
2021년04월_여_60~69세,844,583,79,48,134
2021년04월_여_70~79세,565,367,67,40,91
2021년04월_여_80~89세,309,168,53,21,67
2021년04월_여_90~99세,59,28,5,11,15
2021년04월_여_100세 이상,9,9,0,0,0
2021년05월_계_총인구수,"9,032","6,410",871,431,"1,320"
2021년05월_계_연령구간인구수,"9,032","6,410",871,431,"1,320"
2021년05월_계_0~9세,391,292,37,13,49
2021년05월_계_10~19세,448,350,38,18,42
2021년05월_계_20~29세,820,606,77,22,115
2021년05월_계_30~39세,850,651,62,30,107
2021년05월_계_40~49세,"1,253",949,98,29,177
2021년05월_계_50~59세,"1,802","1,299",179,84,240
2021년05월_계_60~69세,"1,797","1,237",179,98,283
2021년05월_계_70~79세,"1,061",686,117,86,172
2021년05월_계_80~89세,512,285,77,35,115
